1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,Cifar100,FedALA_AAW,0,4.615442483116778,0.008328891257995736,0.49894047201341835,0.0076884739887636095,0.06569950885778555
3,Cifar100,FedALA_AAW,1,3.598273959513863,0.17723880597014927,0.7009500101133839,0.20777727142457936,0.21457054977146628
4,Cifar100,FedALA_AAW,2,3.2352115207048042,0.2072228144989339,0.7767709091639842,0.22298386434528247,0.1831958246138912
5,Cifar100,FedALA_AAW,3,2.9494682201673936,0.2579291044776119,0.8341266492596312,0.2118667594006316,0.14805017042525123
6,Cifar100,FedALA_AAW,4,2.5193642213608585,0.32609275053304904,0.875851619748014,0.20562511346312223,0.14228175797988174
7,Cifar100,FedALA_AAW,5,2.4112954148977965,0.32742537313432835,0.8982896675145691,0.1804867576890853,0.11454167064706143
8,Cifar100,FedALA_AAW,6,2.459347771622424,0.32029584221748403,0.889658338713124,0.18257037248431296,0.11388999958132875
9,Cifar100,FedALA_AAW,7,2.451977301357167,0.32269456289978676,0.888967921359364,0.19096447865452554,0.1095631617300902
10,Cifar100,FedALA_AAW,8,2.3267395273902682,0.3310900852878465,0.9072564710485219,0.17531802764728288,0.08170117152192997
11,Cifar100,FedALA_AAW,9,2.2208644553981776,0.3432169509594883,0.9162666001187596,0.1776711276281232,0.0714593682011503
12,Cifar100,FedALA_AAW,10,2.2542503512379715,0.3353544776119403,0.9094101858675918,0.17689949959907397,0.08575082753444817
13,Cifar100,FedALA_AAW,11,2.077991851311175,0.3590085287846482,0.9201989823883306,0.1760764236949843,0.0801486139186476
14,Cifar100,FedALA_AAW,12,2.2041302122600843,0.3363539445628998,0.9121715996650758,0.18066826150281806,0.07903592468248641
15,Cifar100,FedALA_AAW,13,1.9431395076713651,0.3714685501066098,0.9295905892777673,0.16861299647881664,0.05945102479732278
16,Cifar100,FedALA_AAW,14,2.133915535189056,0.3365538379530917,0.9185869899139973,0.18659737900589196,0.06817267873652443
17,Cifar100,FedALA_AAW,15,1.930917512433384,0.3790644989339019,0.9299236129468721,0.15834484317997305,0.05953613927021167
18,Cifar100,FedALA_AAW,16,1.8767124006641573,0.3805970149253731,0.936002763193225,0.14804518516644172,0.049018757532898305
19,Cifar100,FedALA_AAW,17,1.8676819329770433,0.3718683368869936,0.9336460856854176,0.1446235825729354,0.05102537418298334
20,Cifar100,FedALA_AAW,18,1.8301759082874112,0.3784648187633262,0.9344055501128764,0.1490554640090491,0.05982222010947251
21,Cifar100,FedALA_AAW,19,1.9101985949360853,0.36160714285714285,0.9289689939319408,0.14669719147530796,0.057203481568546176
22,Cifar100,FedALA_AAW,20,1.862957673289521,0.38392857142857145,0.9214903587944442,0.17952770766951842,0.07717116630119879
23,Cifar100,FedALA_AAW,21,1.7234944765903955,0.3909914712153518,0.9370207301622604,0.15994079841547756,0.05146323430111081
24,Cifar100,FedALA_AAW,22,1.7744030747802892,0.39019189765458423,0.9304535499755201,0.16908083298353319,0.06049667732647485
25,Cifar100,FedALA_AAW,23,1.8765281981630677,0.36673773987206826,0.9238758092969009,0.16110022924013093,0.06257892474617567
26,Cifar100,FedALA_AAW,24,1.735270715109607,0.39205756929637525,0.9320550163548306,0.15648752419962556,0.05367607156806651
27,Cifar100,FedALA_AAW,25,1.7468981117156253,0.38099680170575695,0.9318091635651908,0.15832382138573345,0.052380499322860395
28,Cifar100,FedALA_AAW,26,1.7642111586789313,0.38179637526652455,0.9306782658524446,0.14397754616135838,0.05132001357147547
29,Cifar100,FedALA_AAW,27,1.824448600983654,0.3612073560767591,0.926971071183164,0.14839116511157374,0.05189870104755528
