1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,Cifar100,Center,0,5.011286863740885,0.03470437017994859,0.7118193586595198,0.0,0.0
3,Cifar100,Center,1,4.786515813953471,0.042416452442159386,0.750287059504716,0.0,0.0
4,Cifar100,Center,2,4.718313083436027,0.04627249357326478,0.7486177454456807,0.0,0.0
5,Cifar100,Center,3,4.78508773962384,0.04498714652956298,0.7401561861369158,0.0,0.0
6,Cifar100,Center,4,4.849742514600476,0.04627249357326478,0.7346794515825913,0.0,0.0
7,Cifar100,Center,5,4.858237581841942,0.04498714652956298,0.7324922155249737,0.0,0.0
8,Cifar100,Center,6,4.971894186418216,0.04498714652956298,0.7290630630756918,0.0,0.0
9,Cifar100,Center,7,5.168918982275968,0.04498714652956298,0.7222343627791317,0.0,0.0
10,Cifar100,Center,8,5.299005957451325,0.04498714652956298,0.7172129950652099,0.0,0.0
11,Cifar100,Center,9,5.453124314035396,0.043701799485861184,0.7117734832080495,0.0,0.0
12,Cifar100,Center,10,5.706696002448607,0.042416452442159386,0.7067244800821106,0.0,0.0
13,Cifar100,Center,11,5.8276845268892385,0.04498714652956298,0.7070194997870273,0.0,0.0
14,Cifar100,Center,12,5.984615073298099,0.03984575835475578,0.7005774449379435,0.0,0.0
15,Cifar100,Center,13,6.248285301246938,0.042416452442159386,0.7003567871871015,0.0,0.0
16,Cifar100,Center,14,6.391552594575015,0.04884318766066838,0.6955994995320337,0.0,0.0
17,Cifar100,Center,15,6.539463467397575,0.05012853470437018,0.6951504073987074,0.0,0.0
18,Cifar100,Center,16,6.4519278541028395,0.05269922879177378,0.7001037379297833,0.0,0.0
19,Cifar100,Center,17,6.802959017545036,0.05141388174807198,0.6947233351483258,0.0,0.0
20,Cifar100,Center,18,6.955975935450958,0.04884318766066838,0.6927569988182858,0.0,0.0
21,Cifar100,Center,19,7.304529846327996,0.042416452442159386,0.6833122796885263,0.0,0.0
22,Cifar100,Center,20,7.386400496929015,0.043701799485861184,0.6841454806856172,0.0,0.0
23,Cifar100,Center,21,7.00800889757291,0.05012853470437018,0.695512738356263,0.0,0.0
24,Cifar100,Center,22,7.529593674488378,0.04627249357326478,0.6843961852718072,0.0,0.0
25,Cifar100,Center,23,7.643332541040041,0.04498714652956298,0.6850690474774375,0.0,0.0
26,Cifar100,Center,24,7.623066434716585,0.04498714652956298,0.6862997578430335,0.0,0.0
27,Cifar100,Center,25,7.573131174667008,0.043701799485861184,0.6880811571948294,0.0,0.0
28,Cifar100,Center,26,7.900391251257721,0.04627249357326478,0.6855478860611989,0.0,0.0
29,Cifar100,Center,27,7.813426489895449,0.04498714652956298,0.6838910379760625,0.0,0.0
30,Cifar100,Center,28,7.575748755940033,0.03984575835475578,0.6880330705766369,0.0,0.0
31,Cifar100,Center,29,7.858844999907663,0.04498714652956298,0.6919574659635523,0.0,0.0
32,Cifar100,Center,30,7.873451491891315,0.04627249357326478,0.6896118436164099,0.0,0.0
1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,Cifar100,Center,0,5.011286863740885,0.03470437017994859,0.7118193586595198,0.0,0.0
3,Cifar100,Center,1,4.786515813953471,0.042416452442159386,0.750287059504716,0.0,0.0
4,Cifar100,Center,2,4.718313083436027,0.04627249357326478,0.7486177454456807,0.0,0.0
5,Cifar100,Center,3,4.78508773962384,0.04498714652956298,0.7401561861369158,0.0,0.0
6,Cifar100,Center,4,4.849742514600476,0.04627249357326478,0.7346794515825913,0.0,0.0
7,Cifar100,Center,5,4.858237581841942,0.04498714652956298,0.7324922155249737,0.0,0.0
8,Cifar100,Center,6,4.971894186418216,0.04498714652956298,0.7290630630756918,0.0,0.0
9,Cifar100,Center,7,5.168918982275968,0.04498714652956298,0.7222343627791317,0.0,0.0
10,Cifar100,Center,8,5.299005957451325,0.04498714652956298,0.7172129950652099,0.0,0.0
11,Cifar100,Center,9,5.453124314035396,0.043701799485861184,0.7117734832080495,0.0,0.0
12,Cifar100,Center,10,5.706696002448607,0.042416452442159386,0.7067244800821106,0.0,0.0
