1,clientid,distance,error
2,0,163.08153241416053,"[0.36135644346194445, 0.3413988761412136, 0.32605102087656995, 0.3121222602219463]"
3,1,163.9012244063334,"[0.2648138608266082, 0.2498453021592771, 0.23675605606210107, 0.22593407827231135]"
4,2,161.91691109307618,"[0.34969783826813505, 0.33333723514410507, 0.31839008729740165, 0.3048286047276287]"
5,3,162.1411096579629,"[0.3644775772572995, 0.3401595235814434, 0.3193931575726279, 0.3027549011095968]"
6,4,161.16427629678088,"[0.33660466901215785, 0.3127393329951384, 0.2941182396264026, 0.27875950758370405]"
7,5,160.84106337685063,"[0.39412600352118415, 0.37466224924040337, 0.35566611990332603, 0.33889813200260205]"
8,6,160.34662324972658,"[0.342175207464959, 0.3254438750832551, 0.3092495163058327, 0.2956345188737586]"
9,7,162.5881040264423,"[0.3790686639180775, 0.3591739160736467, 0.34193914076146253, 0.3269183080746727]"
10,8,162.40921454486116,"[0.3581558495520575, 0.33903374178269485, 0.3271826201046384, 0.3162210889006506]"
11,9,161.04115256323556,"[0.31361371922622044, 0.2956484553411486, 0.2807384142050828, 0.26670204087153193]"
12,10,158.82725576233173,"[0.42845581850871955, 0.40466812327737717, 0.3818678737597593, 0.3653167438310889]"
13,11,162.73115435501117,"[0.2990329287684907, 0.2818464626198054, 0.27119124257788185, 0.2588880254141075]"
14,12,160.74108812861704,"[0.35119285840986286, 0.33292237480622044, 0.31796974559320407, 0.30483955962571707]"
15,13,160.314174262491,"[0.4133571433587971, 0.38921069835241023, 0.3716447476074736, 0.3560381021255102]"
16,14,160.73682290952962,"[0.39743205300921985, 0.37722672860910916, 0.35648605189821186, 0.34080999649744087]"
17,15,165.20656015498045,"[0.2278117985801962, 0.21461250958597566, 0.20515953097932452, 0.19722071745410913]"
18,16,162.86014113282573,"[0.3255838936543612, 0.30290950928212473, 0.2887102044960846, 0.27371257221714557]"
19,17,162.71666105658647,"[0.35056744515895844, 0.3221373294904335, 0.29923755701147875, 0.2841772119261078]"
20,18,162.2811006670658,"[0.24866750155651007, 0.23469622917487823, 0.22305740410863853, 0.21332258291142148]"
21,19,157.14156880922107,"[0.45607894664729826, 0.42926037994049887, 0.40848122677426907, 0.38977364463963887]"
1,clientid,distance,error
2,0,601.3915884845957,"[0.36135644346194445, 0.3426105030660564, 0.32668566379830316, 0.31296246821511264]"
3,1,601.3915884845957,"[0.2648138608266082, 0.24861571270782776, 0.23441101411029835, 0.2214421695594124]"
4,2,601.3915884845957,"[0.34969783826813505, 0.332580895818846, 0.31770570798092806, 0.3053311611585902]"
5,3,601.3915884845957,"[0.3644775772572995, 0.33943731766031426, 0.3179854763199994, 0.3008080493479837]"
6,4,601.3915884845957,"[0.33660466901215785, 0.31211654430476526, 0.29321224579651806, 0.27808623293850043]"
7,5,601.3915884845957,"[0.39412600352118415, 0.37444378121445576, 0.35622135213265815, 0.3408671094228824]"
8,6,601.3915884845957,"[0.342175207464959, 0.32619493290343704, 0.30969196342731015, 0.2962420669426194]"
9,7,601.3915884845957,"[0.3790686639180775, 0.3602568261313205, 0.3422113014643383, 0.32761276958185154]"
10,8,601.3915884845957,"[0.3581558495520575, 0.3396454483441169, 0.32700716109592204, 0.31552295820807225]"
11,9,601.3915884845957,"[0.31361371922622044, 0.29619243396372774, 0.28245626771309246, 0.26755281307507217]"
12,10,601.3915884845957,"[0.42845581850871955, 0.40586700790261027, 0.3846428370085723, 0.367935150342068]"
13,11,601.3915884845957,"[0.2990329287684907, 0.28297368315205, 0.2719087393659655, 0.2609238509319686]"
14,12,601.3915884845957,"[0.35119285840986286, 0.33344798033131556, 0.3198862842125994, 0.30612031747616314]"
15,13,601.3915884845957,"[0.4133571433587971, 0.38978529301209325, 0.37190481490559046, 0.35597705092185583]"
16,14,601.3915884845957,"[0.39743205300921985, 0.37622390344989953, 0.35608450448180134, 0.3417126567595051]"
17,15,601.3915884845957,"[0.2278117985801962, 0.21559814683154344, 0.20615342202794365, 0.20004393999853473]"
18,16,601.3915884845957,"[0.3255838936543612, 0.30328495275926887, 0.2889828713867458, 0.2732409481814809]"
19,17,601.3915884845957,"[0.35056744515895844, 0.32011663733623713, 0.2958719941145212, 0.2799547697268142]"
20,18,601.3915884845957,"[0.24866750155651007, 0.23566833163272136, 0.2233388839250378, 0.21570339746268413]"
21,19,601.3915884845957,"[0.45607894664729826, 0.4274609655938076, 0.40459765069205644, 0.38415445855631475]"
1,clientid,distance,error
