1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,Cifar100,FedAAW,0,4.615442483116778,0.008328891257995736,0.49894047201341835,0.0076884739887636095,0.06569950885778555
3,Cifar100,FedAAW,1,3.6396398151290414,0.1642457356076759,0.6799309695410437,0.21246222207116133,0.2132351585490643
4,Cifar100,FedAAW,2,3.3168270622301046,0.19889392324093816,0.7503998454987613,0.22800106360129457,0.19360063178411432
5,Cifar100,FedAAW,3,3.0525506532221987,0.24293710021321963,0.8112667889046135,0.22189813802678726,0.1556847045347372
6,Cifar100,FedAAW,4,2.639526767234204,0.3111673773987207,0.853731001452096,0.21705611106132902,0.1591691070705901
7,Cifar100,FedAAW,5,2.534465298299996,0.3095682302771855,0.8799838938586244,0.19327586266494431,0.1273032628324003
8,Cifar100,FedAAW,6,2.622261571652327,0.300772921108742,0.8661051582150037,0.19170200211941055,0.13742294688456677
9,Cifar100,FedAAW,7,2.6240691770276716,0.30123933901918976,0.8632303825910587,0.20835697779766466,0.13545961705830156
10,Cifar100,FedAAW,8,2.524038823532132,0.3070362473347548,0.8782909993368962,0.19601896036383198,0.10769292657628995
11,Cifar100,FedAAW,9,2.411891692950861,0.3208955223880597,0.8906741922899737,0.19459902040207339,0.09406211426872177
12,Cifar100,FedAAW,10,2.4497830075605496,0.31030117270788915,0.8830542015262209,0.19521631849734739,0.10952997599747111
13,Cifar100,FedAAW,11,2.2907128345230063,0.33168976545842216,0.8933428722980138,0.19822460860746619,0.10787965949246021
14,Cifar100,FedAAW,12,2.424127141330534,0.30437100213219614,0.8853473027463509,0.20326576443323036,0.10339679880763321
15,Cifar100,FedAAW,13,2.1508548549412714,0.33908582089552236,0.9050672123945003,0.1979658008489373,0.08489700434898545
16,Cifar100,FedAAW,14,2.3745114633442697,0.30443763326226014,0.8912531587231518,0.20919620401749328,0.09462645928090947
17,Cifar100,FedAAW,15,2.1516989862654103,0.3402185501066098,0.9068179818811581,0.19027575461558432,0.08176006763567338
18,Cifar100,FedAAW,16,2.1206644456497674,0.34148454157782515,0.9113445351022366,0.17828119792671088,0.07305121390375159
19,Cifar100,FedAAW,17,2.1318366471537598,0.33682036247334757,0.9067874907117108,0.17345179436579078,0.08069463128024049
20,Cifar100,FedAAW,18,2.066456134121935,0.3382196162046908,0.913106992738889,0.18176997960892582,0.07856437629504685
21,Cifar100,FedAAW,19,2.1849040668094895,0.3230277185501066,0.9040282032329918,0.1787523044994753,0.0826707222097808
22,Cifar100,FedAAW,20,2.0737897833884062,0.3556103411513859,0.9014046834954547,0.20552692205534717,0.1002581397793695
23,Cifar100,FedAAW,21,1.9714824211749078,0.35794243070362475,0.9131694422517813,0.19219310428018593,0.07787802820974828
24,Cifar100,FedAAW,22,2.0338148398384828,0.3512126865671642,0.9063530592033033,0.20332788365680907,0.08601475652934266
25,Cifar100,FedAAW,23,2.135755393074123,0.33348880597014924,0.8993833261503923,0.18962576299022546,0.08759485776390669
26,Cifar100,FedAAW,24,2.003853542470706,0.3460820895522388,0.9085360433286642,0.19643810019450123,0.07744707013841384
27,Cifar100,FedAAW,25,2.079912256215388,0.33588752665245203,0.9010277364447294,0.19829764839361186,0.08563394253833703
28,Cifar100,FedAAW,26,2.0590715489279097,0.3366204690831556,0.9061173261833793,0.1782265674524126,0.07394293418485838
29,Cifar100,FedAAW,27,2.123348898879262,0.32036247334754797,0.9015620148503963,0.1823123279734324,0.07669028510612731
30,Cifar100,FedAAW,28,1.918726785156786,0.3392857142857143,0.9156462339179537,0.16605120235871734,0.06007199305389592
31,Cifar100,FedAAW,29,2.046002808063731,0.3310234541577825,0.9016076866520569,0.20311718605106457,0.08174309296585136
32,Cifar100,FedAAW,30,2.072889549404596,0.3244269722814499,0.9022859780652981,0.18410098308310655,0.08151351392769965
33,Cifar100,FedAAW,31,1.9717778461505049,0.3278917910447761,0.9120610978662756,0.16930965221992178,0.0657423211081744
34,Cifar100,FedAAW,32,1.8225093379957968,0.35281183368869934,0.916855073042324,0.18833595529943975,0.07162779875866411
35,Cifar100,FedAAW,33,2.0520298115497906,0.3249600213219616,0.8997864586819907,0.18659197005270944,0.08781651439948958
36,Cifar100,FedAAW,34,2.0980387281238158,0.31949626865671643,0.8967683340121759,0.2007766299441441,0.08611170721803155
37,Cifar100,FedAAW,35,1.9056067168830046,0.33995202558635396,0.9093774279284973,0.1954352098525389,0.07654023560287214
38,Cifar100,FedAAW,36,2.0205017542205774,0.3247601279317697,0.8994858874046091,0.20034901194708252,0.08485242397326158
39,Cifar100,FedAAW,37,1.8495800964088338,0.33675373134328357,0.910564424346823,0.19000159294716418,0.07365852776284863
40,Cifar100,FedAAW,38,1.961192251027948,0.3307569296375267,0.9064747304225558,0.17279397412669453,0.0725756927650671
41,Cifar100,FedAAW,39,1.8988962836757108,0.3254264392324094,0.9125980725065087,0.1647649002593436,0.06522873399131926
42,Cifar100,FedAAW,40,1.9238559854319557,0.3304904051172708,0.9045292678629593,0.16897541703587185,0.08419250665507716
43,Cifar100,FedAAW,41,1.9636540080861937,0.3452825159914712,0.8984613055434048,0.20731451653899363,0.0853159729114783
44,Cifar100,FedAAW,42,1.9109233051152708,0.33255597014925375,0.9058974007693031,0.18461175659271348,0.07432508380280005
45,Cifar100,FedAAW,43,1.954140354102432,0.33042377398720685,0.898791910988777,0.19635838101060865,0.08359261636050079
46,Cifar100,FedAAW,44,1.8786838344531755,0.3358208955223881,0.9039253959905371,0.1847985309608584,0.07763159431497069
47,Cifar100,FedAAW,45,1.9410358530245841,0.3324227078891258,0.9011411130968369,0.19882162495099434,0.08204938564907015
48,Cifar100,FedAAW,46,1.8747462778507336,0.33548773987206826,0.909941331049907,0.18296529979596254,0.07220355178559491
49,Cifar100,FedAAW,47,1.8172974997470026,0.34201759061833686,0.9089690218487465,0.181840690021757,0.06991577727741431
50,Cifar100,FedAAW,48,1.729185097231353,0.3538113006396588,0.9121515213782864,0.18199784297092392,0.06917144912480623
51,Cifar100,FedAAW,49,1.8313386807443486,0.33935234541577824,0.9080895171883941,0.1802684896600922,0.07302022933653421
52,Cifar100,FedAAW,50,1.7908435318532194,0.3453491471215352,0.908801985432458,0.18397562479800206,0.075166804063875
53,Cifar100,FedAAW,51,1.8257218179418442,0.33348880597014924,0.9071303821519926,0.17389489000358396,0.07087418758448978
54,Cifar100,FedAAW,52,1.856245634353531,0.33462153518123666,0.9025871310967704,0.18587074424406103,0.08168557002860799
55,Cifar100,FedAAW,53,1.9452336172115425,0.3180303837953092,0.9008622063470509,0.16669680049719016,0.07095760815924243
56,Cifar100,FedAAW,54,2.0656635935146253,0.3160314498933902,0.8953142925129679,0.19874059960863302,0.08293208403453849
57,Cifar100,FedAAW,55,1.788362495780543,0.3329557569296375,0.9066849413948743,0.17264780031836569,0.07021142358418968
58,Cifar100,FedAAW,56,1.9466882776144092,0.32002931769722814,0.8973427654239963,0.19022448531250946,0.07821655878485013
59,Cifar100,FedAAW,57,1.888260332958957,0.3269589552238806,0.9069370785671725,0.1776178439022353,0.06891084213777852
60,Cifar100,FedAAW,58,1.8395781009596561,0.33595415778251597,0.8983024387855855,0.19046552071375963,0.0819316867234654
61,Cifar100,FedAAW,59,1.9206776474149576,0.3191631130063966,0.903829968237217,0.1768410279144135,0.07013760619326874
62,Cifar100,FedAAW,60,2.024385783392978,0.31709754797441364,0.8908110009200267,0.19147550522957793,0.08586036073656986
63,Cifar100,FedAAW,61,1.8724380924709105,0.32216151385927505,0.9037834504166078,0.17444692209545165,0.07226562649460634
64,Cifar100,FedAAW,62,1.8749445223410905,0.324227078891258,0.9050604841774544,0.18490829404983528,0.07839260028884752
65,Cifar100,FedAAW,63,1.6454886402060485,0.3448160980810235,0.9136584468063984,0.16503371488094393,0.0651376966719095
66,Cifar100,FedAAW,64,1.8716208780716097,0.33562100213219614,0.8992855904381692,0.19054478908525554,0.08314064697391668
67,Cifar100,FedAAW,65,1.8411231682066256,0.33781982942430705,0.9028760465481739,0.1812633856745491,0.07469700001740222
68,Cifar100,FedAAW,66,1.819822649781989,0.31669776119402987,0.9083652526874567,0.15393599899930643,0.06626126931568044
69,Cifar100,FedAAW,67,2.100609972517729,0.3076359275053305,0.8901874706357173,0.19698656481445723,0.08551995858656465
70,Cifar100,FedAAW,68,1.8498001411826297,0.3302238805970149,0.8998854278155286,0.17848631346152105,0.07580833634245247
71,Cifar100,FedAAW,69,1.8872783150450518,0.3292910447761194,0.8964463812422111,0.18622244222846326,0.08280277740281966
72,Cifar100,FedAAW,70,1.8761327130989063,0.3355543710021322,0.899608622182259,0.1967998012428583,0.08060463246431251
73,Cifar100,FedAAW,71,1.8965617088149747,0.32136194029850745,0.8972885467088659,0.1839114769029869,0.0769754752432518
74,Cifar100,FedAAW,72,1.8436787173387266,0.32742537313432835,0.901434621971956,0.18392468970434256,0.07784177458267803
