1,clientid,distance,error
2,0,163.08153241416053,"[-1.840280594578303e-09, -6.134268648594343e-10, -2.044756142183246e-09, -1.2268537297188686e-09, -2.0447576964954806e-10, -8.179024124643774e-10, -2.044756142183246e-09, 1.0223779600693206e-09, 2.0447576964954806e-10, 4.0895109520988626e-10, -1.4313292773238118e-09, 1.6358050469733598e-09]"
3,1,163.9012244063334,"[-1.1037897262866636e-09, -2.4835269396561444e-09, 1.93163196549051e-09, 2.7594748708281713e-10, -1.1037897262866636e-09, 1.1037897262866636e-09, 5.518949741656343e-10, 1.655684478407693e-09, 1.1037897262866636e-09, -5.518947521210293e-10, 8.278424612484514e-10, -1.6556847004522979e-09, 2.7594748708281713e-10, 1.93163196549051e-09, 1.1037897262866636e-09, -2.2075794525733272e-09, 1.1037897262866636e-09, 1.93163196549051e-09, -2.759472650382122e-10, 2.2075794525733272e-09, 2.7594748708281713e-10, -2.7594748708281713e-10, -1.655684478407693e-09, 1.6556847004522979e-09]"
4,2,161.91691109307618,"[-1.419158124349451e-09, 3.0410531870472823e-09, 2.2301058777429716e-09, 1.216421186001071e-09, 1.419158124349451e-09, -6.082108150451404e-10, -4.0547365465215535e-10, 8.109475313489156e-10, -2.2301058777429716e-09, 3.2437903474402674e-09, -8.109475313489156e-10, -6.082108150451404e-10, 1.8246320010462114e-09, -2.0273693834838014e-10]"
5,3,162.1411096579629,"[-1.561693885321347e-09, 1.561693885321347e-09, -1.3014114230713858e-09, 1.3014114230713858e-09, -7.808467206160685e-10, -2.3425408279820203e-09, 5.205647024553173e-10, 2.8631053083927327e-09, 1.3014114230713858e-09, -2.0822583657320592e-09, 2.6028228461427716e-09, 1.3014116451159907e-09, -1.3014114230713858e-09, 2.0822583657320592e-09]"
6,4,161.16427629678088,"[6.851108569350117e-10, 9.134810685651473e-10, -1.141851280195283e-09, 3.6539244963051942e-09, -2.055332570805035e-09, 2.2837030044797757e-09, 2.5120732161099113e-09, 2.2837027824351708e-09, -6.851108569350117e-10, 4.567406453048761e-10, 4.567406453048761e-10, 4.567404232602712e-10]"
7,5,160.84106337685063,"[0.0, -1.9868213740892315e-09, 0.0, -1.390775050680304e-09, -5.960465454535324e-10, -1.5894570104535433e-09, 0.0, 4.172325152040912e-09, -2.1855037779516806e-09, 1.390775050680304e-09, -1.9868218181784414e-10, 5.960465454535324e-10, 9.934109090892207e-10, -2.1855037779516806e-09, -3.973643636356883e-10, 7.947287272713766e-10]"
8,6,160.34662324972658,"[8.249778638003136e-10, -1.6499557276006271e-09, -4.1248870985555186e-10, -4.124889319001568e-10, 1.4437111506282463e-09, 1.0312222187280895e-09, -2.8874223012564926e-09, 1.6499555055560222e-09, -6.187332868279327e-10, 6.187332868279327e-10, -1.4437111506282463e-09, 4.124889319001568e-10, 6.187332868279327e-10, 4.124889319001568e-10, -2.0624457697238086e-10, 8.249778638003136e-10, -8.249778638003136e-10]"
9,7,162.5881040264423,"[-9.723433169739337e-10, 5.834059901843602e-10, -2.5280926241322277e-09, 7.77874653579147e-10, 3.694904604500948e-09, -3.111498614316588e-09, 3.889373267895735e-09, -1.1668119803687205e-09, -3.889373267895735e-10, 9.723433169739337e-10, -3.3059672777113747e-09, 5.834059901843602e-10, 3.3059672777113747e-09, -3.889373267895735e-10]"
10,8,162.40921454486116,"[8.395020234530648e-10, -8.395020234530648e-10, -1.2592531462018997e-09, 6.296265731009498e-10, -8.395020234530648e-10, -2.3086306200070794e-09, -8.395020234530648e-10, 1.0493774738051798e-09, -2.5185060703591944e-09, 2.3086306200070794e-09, 4.1975090070422993e-10, 3.567883766208979e-09, -1.0493774738051798e-09, 2.7283817427559143e-09, 2.0987545035211497e-10]"
11,9,161.04115256323556,"[-5.631934918426396e-10, 5.631934918426396e-10, 2.6282362952656513e-09, 5.631934918426396e-10, 1.877311639475465e-09, -7.509246557901861e-10, 9.386558197377326e-10, 7.509246557901861e-10, -2.4405051313181048e-09, -5.631934918426396e-10, 9.386558197377326e-10, 1.8773116394754652e-10, 1.1263869836852791e-09, 0.0, 7.509246557901861e-10, -1.6895804755279187e-09, -7.509246557901861e-10, 5.631934918426396e-10, -1.3141181476328256e-09]"
12,10,158.82725576233173,"[0.0, 9.342420170810328e-10, -1.1210903316793974e-09, -1.8684842562066706e-09, 3.363271661172007e-09, 1.8684840341620657e-09, 2.2421811074480047e-09, 1.4947874049653365e-09, -2.055332570805035e-09, -7.473937024826682e-10, -9.342422391256378e-10, 7.473937024826682e-10, -1.868483145983646e-10, 2.989574587886068e-09, 1.681635719563701e-09, 1.1210905537240023e-09]"
13,11,162.73115435501117,"[1.1668119803687205e-09, 1.9446866339478674e-10, -1.9446864119032625e-09, -1.555749307158294e-09, 4.2783103726407035e-09, 7.77874653579147e-10, 2.9170297288771962e-09, -1.555749307158294e-09, 1.1668119803687205e-09, 1.7502177485084758e-09, -1.3612804217189023e-09]"
14,12,160.74108812861704,"[-1.124615955916397e-09, 1.874359778497592e-09, 0.0, -2.249231911832794e-09, 2.249231911832794e-09, 2.061796067209798e-09, 7.497440446257997e-10, -3.748719112905974e-10, 0.0, 1.8743584462299623e-10, -1.1246157338717921e-09, 1.3120518005393933e-09, -9.37179889248796e-10, 5.623079779581985e-10]"
15,13,160.314174262491,"[6.113296535659174e-10, 2.6490953874969136e-09, -3.056648489874192e-09, 2.0377655118863913e-10, -3.260424819018226e-09, 0.0, 2.4453188363082745e-09, -1.0188827559431957e-09, -4.0755310237727826e-10, 4.0755310237727826e-10, -1.0188829779878006e-09, -2.4453186142636696e-09, 2.0377655118863913e-09, -8.151062047545565e-10, 8.151062047545565e-10, 8.151064267991615e-10]"
16,14,160.73682290952962,"[0.0, 2.113639707701509e-09, -1.056819742828452e-09, 3.170459672574566e-09, -2.3250037450850414e-09, 0.0, 2.1136381533892745e-10, -2.1136381533892745e-10, 1.2681840022565893e-09, -4.0159158221086955e-09, 2.747731819852106e-09, -2.1136403738353238e-10, 4.2272785272245983e-10]"
17,15,165.20656015498045,"[-1.5018493115803722e-09, -2.0650428034230117e-09, -1.3141181476328256e-09, 1.1263869836852791e-09, 5.631934918426396e-10, -2.0650428034230117e-09, 3.0036986231607443e-09, -1.8773116394754652e-10, 2.0650428034230117e-09, 1.3141181476328256e-09, 3.7546232789509304e-10, 0.0, 0.0, 0.0, 3.0036986231607443e-09, -2.4405051313181048e-09, 7.509246557901861e-10]"
18,16,162.86014113282573,"[-1.474319777372557e-09, -8.424683173302583e-10, 1.895553936037686e-09, -8.424685393748632e-10, -8.424685393748632e-10, 1.2637026980399924e-09, -1.6849368567051215e-09, 1.0530856187074278e-09, -2.1061712374148556e-09, 1.0530856187074278e-09, -2.1061712374148556e-09, 3.1592566340776784e-09, -1.6849368567051215e-09]"
19,17,162.71666105658647,"[2.426652212506042e-09, 2.426652212506042e-09, -2.426652212506042e-09, -4.549972842937677e-09, 3.03331515461025e-09, 1.5166576883274274e-09, -3.0333158207440647e-10, 1.213326106253021e-09, 1.5166576883274274e-09, -1.213326106253021e-09, 1.5166576883274274e-09, -1.8199892704018339e-09, 3.033315376654855e-09, -1.819989048357229e-09, 3.0333136002980154e-10, -9.099945241786145e-10, -1.213326106253021e-09, -1.8199892704018339e-09, 9.099945241786145e-10]"
20,18,162.2811006670658,"[-1.6711583228357085e-09, -1.8568424575704512e-09, -5.570528482934378e-10, 2.413895305863889e-09, -2.413895305863889e-09, 1.8568426796150561e-09, -5.570528482934378e-10, 3.7136849151409024e-10, 2.2282109490845414e-09, 0.0, 9.284211177629231e-10, 2.413895305863889e-09, 3.7136849151409024e-10, -9.284211177629231e-10, 3.7136849151409024e-10, -1.6711583228357085e-09, -5.570528482934378e-10, -2.2282109490845414e-09]"
21,19,157.14156880922107,"[-2.7299837945804484e-09, 2.1233206304316354e-09, -1.8199892704018339e-09, 3.3366469587292613e-09, 1.213326106253021e-09, 0.0, 6.06662942104208e-10, 0.0, 2.426652212506042e-09, 3.0333158207440647e-10, 3.943309900833469e-09, -3.3366469587292613e-09, 6.066631641488129e-10, 3.3366467366846564e-09, 9.099945241786145e-10, 0.0]"
1,clientid,distance,error
2,0,163.08153241416053,"[0.7386607191242649, 0.6677592173410423, 0.6265748072300572, 0.6574567615806954, 0.6419410345817103, 0.6500550846778508, 0.6778006464990549, 0.6190959556079366, 0.6493118243327118, 0.6208679504647826, 0.5544500756612619, 0.5702065083199847, 0.731930247440097, 0.70231557249828, 0.5900033957214698]"
3,1,163.9012244063334,"[0.8624551093240302, 0.6773903964225341, 0.616608677835083, 0.6965036843170378, 0.722078893782088, 0.5855302968983003, 0.6753043018635018, 0.6267001527659077, 0.6650249690838219, 0.6608094885423608, 0.6751500929703642, 0.6582741131623389, 0.6311638132036832, 0.6884564543167168]"
4,2,161.91691109307618,"[0.6057048900445708, 0.5898081171643116, 0.619874302668459, 0.6216666979990824, 0.5567759196289821, 0.568206645410546, 0.5043154307989542, 0.5939580843701553]"
5,3,162.1411096579629,"[0.7288752262801843, 0.5510416027833607, 0.47939950651916224, 0.5458177814369931, 0.4966159337566246, 0.4606985930743826, 0.5866110338646446, 0.5453833671109791, 0.4956973345938045, 0.5155139737274481, 0.4781672218397634, 0.537778862342279, 0.5517125809671942, 0.5583971183595561]"
6,4,161.16427629678088,"[0.7939273572787358, 0.7791540192590021, 0.7562410158008851, 0.7562577885850351, 0.7478358801489988, 0.5798818821594176, 0.6754428671469548, 0.7221455119257629, 0.6662375899134347, 0.6256660237133154, 0.6076634223831611, 0.639872120006877, 0.733501359085299, 0.6270937166266836, 0.6305249544737908, 0.6528965063072862]"
7,5,160.84106337685063,"[0.7029076941063007, 0.6370322373602539, 0.5755245572856317, 0.566127966218628, 0.521089775285994, 0.5521127611274521, 0.5313520936652397, 0.513042860957794, 0.5316537407025074, 0.5248722429216529, 0.5396325931651518, 0.5549852103468341, 0.5668983085535001, 0.5368134978498953, 0.5212141578900628, 0.48793004656113526, 0.556020084292395, 0.5319627783907345, 0.5648174071296429, 0.5669470121804625]"
8,6,160.34662324972658,"[0.7439095744779366, 0.8259739608062386, 0.7772742899869501, 0.8378431566194937, 0.8465688066173563, 0.7897411140751829, 0.8504482768878829, 0.7608948998414238, 0.7146268798615204, 0.6770838500616048, 0.6659622374264633, 0.6556369504515906, 0.659121111035347, 0.7315247037148289, 0.6665197826831708, 0.7776514709408308, 0.8301182726090355, 0.737450735609669]"
9,7,162.5881040264423,"[0.6878554120805679, 0.6682616641310455, 0.8243725920554863, 0.7372954618580774, 0.7434934688759375, 0.7950588243650379, 0.721971578573957, 0.7056936925067453, 0.782816076478017, 0.7262322594872015, 0.6729687212117101, 0.644617495459746, 0.6442098022509992, 0.7466907068224073, 0.7705126573965196]"
10,8,162.40921454486116,"[0.7205776411492352, 0.7002205370374444, 0.7844148162050618, 0.7426586166306228, 0.6393366069106621, 0.635666464595616, 0.6970167411023974, 0.5891836200788302, 0.5741927185445093, 0.6084302113461963, 0.6325043983909984, 0.6730478280666612, 0.589626831924428, 0.5342097910923282]"
11,9,161.04115256323556,"[0.9544669962275449, 0.8698979170244978, 0.7691737732960016, 0.759231007264883, 0.6774984539801798, 0.7375790569139278, 0.7261233903159658, 0.8949936153440495, 0.8140997031124264, 0.7161160599990329, 0.651630084169662, 0.7190278426942042, 0.8134153555910008, 0.7657745878439485, 0.7398753520658636, 0.6896948839336134]"
12,10,158.82725576233173,"[0.685028890089415, 0.6356024347292406, 0.5512244399917257, 0.5260921008286408, 0.5201990699269998, 0.649074802448868, 0.5423190278558756, 0.5587654410639551, 0.4923631526638541, 0.5708341492992478, 0.5184673244505098, 0.5289135583290294, 0.5146546447251815, 0.5601714278186662, 0.6039441714539897]"
13,11,162.73115435501117,"[0.7228449382386238, 0.6141597265863812, 0.5647109124815581, 0.5487462171333649, 0.5547444085646756, 0.6171335678055372, 0.552291151836551, 0.48061828350201613, 0.5629727564900993, 0.5225866722044813, 0.5288226181477138, 0.47747899014669887, 0.5932835621784364, 0.5794367953879701, 0.5551250388638419, 0.52606902934032, 0.5396153294446393]"
14,12,160.74108812861704,"[0.6983103642603323, 0.6185751899069398, 0.5490071277467992, 0.5245963132518501, 0.604502281929665, 0.5992499451070977, 0.6093766259252088, 0.5990523608861222, 0.5950989521770451, 0.567588561301635, 0.6048836690540653, 0.5853838190984028, 0.5408594271346763, 0.5510696725804161, 0.5718474635486814, 0.5665910102569047, 0.46215426361879464, 0.4770476359016637]"
15,13,160.314174262491,"[0.6737047717102571, 0.6356285086044899, 0.6159699993637892, 0.6178390587114879, 0.6409996765482631, 0.5534702537629086, 0.5190994798850554, 0.5351481954368135, 0.5998693354141253, 0.5933195420007548, 0.6604191543996079, 0.6962927487049984, 0.5503674037165494, 0.562440126042208, 0.6481768702722003]"
16,14,160.73682290952962,"[0.690918355493258, 0.6971622732788297, 0.6466029387063195, 0.6308111806073167, 0.595939345325918, 0.5900087410844994, 0.55488544627892, 0.5952628891442816, 0.5205075452929852, 0.5205176716161799, 0.5422792392601226, 0.6459639107607014, 0.5555443082728047, 0.5024572353238728, 0.5255372607395224, 0.4676773400311788, 0.6600028363812767, 0.5401120521408895]"
17,15,165.20656015498045,"[0.8068222880737461, 0.6879411047368538, 0.6070494946532362, 0.5978089023190807, 0.7449428653322512, 0.6749898912209109, 0.7013553710298714, 0.6915609599996769, 0.6117438222213802, 0.7029645880803422, 0.6750437313750364, 0.6670873807515861, 0.6447350384818764, 0.5928368628260636, 0.5967556280182036, 0.5996880123214833]"
18,16,162.86014113282573,"[0.7176414117967389, 0.6884076956646392, 0.6103075516703061, 0.5418626582875268, 0.635634934105137, 0.6147013080204333, 0.49548185946479073, 0.5811807656687004, 0.6123505532428912, 0.6764596119611903, 0.5087447234778254, 0.560383173961245, 0.4530912562850994, 0.5111004724430559, 0.5980674237022736, 0.5350797165534048, 0.6738520860022046, 0.5859636106222289]"
19,17,162.71666105658647,"[0.7680488353543002, 0.757403437706995, 0.6450196723181176, 0.6317464349146827, 0.6108492602944924, 0.6589554398221085, 0.6270839528562193, 0.711193243175527, 0.586739633276196, 0.6084904326564388, 0.6525587530903821, 0.6728199015551605, 0.6727179240757651, 0.63076478777022, 0.7138910535971797, 0.5924446145155522]"
20,18,162.2811006670658,"[0.7597684684126838, 0.7813237923860399, 0.7584515322885415, 0.6446574652303486, 0.7604198421740026, 0.8537184482979272, 0.7215730181088812, 0.7646299334626638, 0.6623480031631286, 0.7428062755300451, 0.7008491437642826, 0.6434936801379987, 0.6593176283946331, 0.594828124964741, 0.6855854152912503]"
21,19,157.14156880922107,"[0.6679622632458465, 0.6977327216615659, 0.7931722666376269, 0.700551188610134, 0.691460578320856, 0.6347353064073558, 0.6658328251661993, 0.6206699528378309, 0.5690237766619932, 0.6696603850321725, 0.6693120609101562, 0.7032576970016684]"
1,clientid,distance,error
2,0,163.08153241416053,"[0.7876753501824102, 0.6663693948161643, 0.6529506424898808, 0.6793886479182012, 0.6361185367064197, 0.6286703996347522, 0.6438137301424356, 0.7057607662408751, 0.6393461124891635, 0.5897142097775666, 0.6109599128148261, 0.6361661638208309, 0.6441264645856251, 0.5959768522767219, 0.6592198658213786, 0.5621107478257057, 0.6537291416451079, 0.6526474459791687, 0.6626612153016095, 0.667863610005693, 0.6727385862189701, 0.7549854367723814, 0.7340747349880361, 0.7129715681635163, 0.7283965602168082, 0.7271575911548053, 0.7200166132196458, 0.6503140588888442, 0.6795127997616159, 0.6227557490530662, 0.5735988295858719, 0.6943996578087953, 0.7787779526868683, 0.6826658034141058, 0.6770441120113629, 0.7340256904120482, 0.7164590270617915, 0.7256152941872315, 0.6508391709594091, 0.6607919616213765, 0.61524411889744, 0.6361682488309263, 0.7513863587358409, 0.6981467355236788, 0.7062456108459773, 0.697305812919153, 0.7825396343182867, 0.7221324640328398, 0.6871259350317257]"
