1,clientid,distance,error
2,0,163.08153241416053,[]
3,1,163.9012244063334,[]
4,2,161.91691109307618,[]
5,3,162.1411096579629,[]
6,4,161.16427629678088,[]
7,5,160.84106337685063,[]
8,6,160.34662324972658,[]
9,7,162.5881040264423,[]
10,8,162.40921454486116,[]
11,9,161.04115256323556,[]
12,10,158.82725576233173,[]
13,11,162.73115435501117,[]
14,12,160.74108812861704,[]
15,13,160.314174262491,[]
16,14,160.73682290952962,[]
17,15,165.20656015498045,[]
18,16,162.86014113282573,[]
19,17,162.71666105658647,[]
20,18,162.2811006670658,[]
21,19,157.14156880922107,[]
