1,clientid,distance,error
2,0,163.08153241416053,"[0.7399108030387611, 0.6889173308352254, 0.6702850819541393, 0.692610584787296, 0.6033869900231091, 0.6399648086348385, 0.5960454062189695, 0.5998076136235154, 0.7013861676965605, 0.6643474945226624, 0.5709918685398012, 0.5754090961369193, 0.6514207345160367, 0.6299421538121193]"
3,1,163.9012244063334,"[0.7497344745767165, 0.635130071792648, 0.6761429293870201, 0.6370769201570914, 0.6561334853263192, 0.6094911583759649, 0.579465814928645, 0.5940497277996555, 0.5903862259508093, 0.6556333025434503, 0.6797668055617208, 0.6262117911925695, 0.6438808788144443, 0.5872178250571812, 0.705989763844021, 0.6802326928294928, 0.6457102111598942, 0.6312667158021618]"
4,2,161.91691109307618,"[0.6991667887987887, 0.6161717857569964, 0.57535783392789, 0.5978924522056009, 0.5724171634928203, 0.5868407591566012, 0.5603015901327615, 0.516677495353494, 0.5542908010728733, 0.5589031204866359, 0.5749406569817921, 0.613665398775733, 0.5245038519960314, 0.4790930014838572, 0.5986053469744479, 0.5029551912484007, 0.5176676669693394]"
5,3,162.1411096579629,"[0.6636992323753226, 0.5694527083349019, 0.5605977239721662, 0.5307900260271725, 0.5321104105004806, 0.48810172514628025, 0.5791984323369477, 0.5497459698413543, 0.6045829652174168, 0.5697318026938325, 0.48913868274499034, 0.4970476793737342, 0.5426849295984035]"
6,4,161.16427629678088,"[0.763151727841589, 0.7795738765570226, 0.7423009071570474, 0.7220630808501465, 0.6937346427337449, 0.7995415075674968, 0.6874297698290655, 0.7292078333715926, 0.6563513959861463, 0.6307562388831185, 0.6329087148843355, 0.6852405373398678]"
7,5,160.84106337685063,"[0.7204111742383491, 0.6178759789001197, 0.7378364779272427, 0.6328421523903186, 0.6792704908472176, 0.6064876032806934, 0.5424563281121664, 0.532459125535873, 0.5736393951671198, 0.5070086846523919, 0.5697811684198678, 0.5463194823040006, 0.5863285542508432, 0.6647802134952507]"
8,6,160.34662324972658,"[0.7849516250631389, 0.7648417523846185, 0.9241271408268326, 0.9042073179416642, 0.8249853761209285, 0.8506305295036247, 0.7967684935427118, 0.746109681094394, 0.7616400670076504, 0.6859056244533392, 0.7908077941438874, 0.7174460231076771, 0.7508991544125247, 0.7595552640530413, 0.7260090187022777]"
9,7,162.5881040264423,"[0.7728822576717684, 0.7994330278119197, 0.7681023016523382, 0.7853514402071666, 0.7008475536331655, 0.7798808395716729, 0.7604025855362658, 0.6694479143979304, 0.646987661351655, 0.8021872044809856, 0.6571563438802569, 0.6816975498954851, 0.7835818737803018, 0.7510903792586451]"
10,8,162.40921454486116,"[0.7327485298426349, 0.6881964857358827, 0.7548718714256916, 0.7065099309736365, 0.6890751917667779, 0.6066256263859007, 0.6283470914628632, 0.6484251506757778, 0.6790116456809493, 0.7074799984259019, 0.6698694573297217, 0.5918745774255973, 0.5502595231158358, 0.6272819777942447, 0.6673163841466229, 0.6480921048676747, 0.6260210893782591]"
11,9,161.04115256323556,"[0.8073707714236862, 0.7776153059632291, 0.720246743099896, 0.8525384266164123, 0.8143193487679279, 0.824297818988855, 0.8572339245140201, 0.7352966248813108, 0.6984423689558867, 0.6392101930689037, 0.7575077226964801, 0.7022575992746205, 0.7103901288376784, 0.6419732855412903, 0.6357288851006704, 0.6700999053807445, 0.7453599418880139, 0.6953541459750355, 0.6480527081039155]"
12,10,158.82725576233173,"[0.6028817967076707, 0.6265870492940412, 0.502175590540151, 0.539294616202459, 0.5315813270271945, 0.4741636104305161, 0.4740866623865586, 0.48110648537883793, 0.46575668578103274, 0.5692894396453885, 0.5278015507430387, 0.5961072401396879, 0.5680681776950942]"
13,11,162.73115435501117,"[0.6735609049466704, 0.5451680689922505, 0.5215259699293733, 0.526463981532472, 0.5897388858204102, 0.563738755073526, 0.5256492464300275, 0.513307723415739, 0.5019835114986506, 0.530493274262725, 0.604842397919894, 0.6821163102246055, 0.5281114179282457, 0.5164557370588146, 0.5253253029750548, 0.5418290381895631, 0.4819880562643011, 0.494729370589795, 0.44358014267433266, 0.49687686860470215, 0.5499889804775786]"
14,12,160.74108812861704,"[0.7218792356152393, 0.6530818787444407, 0.7596513345023419, 0.7169675368745372, 0.6031813014887344, 0.5957954077463035, 0.6053698913226454, 0.5570477026239412, 0.5384842474943425, 0.5379849774587266, 0.5784736753085558, 0.5928153505141747, 0.5479772736606885]"
