1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,Cifar100,FedALA,0,4.615442483116778,0.008328891257995736,0.49894047201341835,0.0076884739887636095,0.06569950885778555
3,Cifar100,FedALA,1,4.424840209047643,0.06603144989339019,0.6595169298090818,0.05624859905009517,0.1451404524234508
4,Cifar100,FedALA,2,4.246624371787446,0.07196162046908315,0.7150610573555343,0.05855748216877173,0.1184546445322308
5,Cifar100,FedALA,3,4.095507863327779,0.10034648187633262,0.755855970300895,0.0653894260381152,0.10461807050901832
6,Cifar100,FedALA,4,4.058231311587968,0.11973614072494669,0.7589288841919059,0.06325624981608911,0.11195303945770614
7,Cifar100,FedALA,5,3.9146576250623797,0.12193496801705757,0.787089110709228,0.08372940123881364,0.09213392379033047
8,Cifar100,FedALA,6,3.8572743694100637,0.13932569296375266,0.7926980493263931,0.09726441933454198,0.09165451247962134
9,Cifar100,FedALA,7,3.705054805480677,0.14905383795309168,0.8172009968409815,0.09566733661045351,0.07936629589717908
10,Cifar100,FedALA,8,3.611643233299892,0.15751599147121534,0.8288895618161763,0.07955365982837337,0.06384110371782982
11,Cifar100,FedALA,9,3.551136173091841,0.16431236673773988,0.8359387820227004,0.0852081657176836,0.06313357343062849
12,Cifar100,FedALA,10,3.501237349585693,0.17077558635394458,0.8388283556425534,0.07706120778206636,0.06970513864999107
13,Cifar100,FedALA,11,3.3834167906682784,0.18696695095948826,0.8519946258730144,0.08301953615647906,0.060130693960214185
14,Cifar100,FedALA,12,3.3116934618169864,0.19283049040511727,0.8588506240458442,0.08200742352504947,0.05150423856193404
15,Cifar100,FedALA,13,3.193249669928734,0.20948827292110875,0.8709322210809851,0.06255364523792656,0.03088111549770853
16,Cifar100,FedALA,14,3.240955580152496,0.1902318763326226,0.8661442115472981,0.09387030869058603,0.043898070333691204
17,Cifar100,FedALA,15,3.150705893535755,0.2144856076759062,0.8716196734462867,0.061276938976207736,0.03849960616094799
18,Cifar100,FedALA,16,3.134062843509595,0.21355277185501065,0.8712464996241672,0.07344597658282705,0.04399502812693434
19,Cifar100,FedALA,17,3.17612369782829,0.21275319829424308,0.8643371437152523,0.08486663765153152,0.052202337637321204
20,Cifar100,FedALA,18,3.172175948047973,0.20569029850746268,0.8645623923073319,0.09255683422650317,0.05749553372630601
21,Cifar100,FedALA,19,3.1931411946035646,0.20289179104477612,0.8613894328721277,0.09345238431389825,0.057674643976571495
