1,group,error
3,1.0,0.8270814884482234
4,2.0,0.786171519093808
5,3.0,0.752015255040235
6,4.0,0.7205118297091262
7,5.0,0.6912288825895467
8,6.0,0.6733975807980945
9,7.0,0.6531509614930573
10,8.0,0.6333597063510255
11,9.0,0.6165674778230658
12,10.0,0.5985206833402061
13,11.0,0.5860967038047613
14,12.0,0.5741480305438127
15,13.0,0.5664812189939601
16,14.0,0.5622908427648132
17,15.0,0.5550379097994389
18,16.0,0.5491443015515071
19,17.0,0.5435012127251617
20,18.0,0.5368471517442782
21,19.0,0.5294823439199139
22,20.0,0.5257383261221659
23,21.0,0.5325319262927003
24,22.0,0.5280764517293199
25,23.0,0.5230041525116769
26,24.0,0.5265565230971498
27,25.0,0.5246999127132408
28,26.0,0.5198973169800769
29,27.0,0.5159643604485389
30,28.0,0.5109039715138461
31,29.0,0.5113848470774071
32,30.0,0.5089189645045817
33,31.0,0.5160672164156991
34,32.0,0.5193084813003556
35,33.0,0.5147150242166721
36,34.0,0.5127016690226315
37,35.0,0.5126079961699858
38,36.0,0.5144164819197172
39,37.0,0.5162995543576085
40,38.0,0.5165288427544785
41,39.0,0.5138616377077679
42,40.0,0.5138122590435105
43,41.0,0.5167267530511845
44,42.0,0.5152163446469895
45,43.0,0.5134174448030535
46,44.0,0.5087836044348395
47,45.0,0.5137596200953175
48,46.0,0.5138649262606949
49,47.0,0.513136691922299
50,48.0,0.5143586675318974
51,49.0,0.5189768644274657
52,50.0,0.5232663619817961
53,51.0,0.5237370276456315
54,52.0,0.5240246543402353
55,53.0,0.5286492506269662
56,54.0,0.5304571136012038
57,55.0,0.5280806390607419
58,56.0,0.534400972657022
59,57.0,0.53246707860742
60,58.0,0.5346587958882358
61,59.0,0.5360555243592844
62,60.0,0.5424556297574644
63,61.0,0.5444752781084831
64,62.0,0.5488859157677684
65,63.0,0.5610013113590839
66,64.0,0.563162960049213
67,65.0,0.5760688188787422
68,66.0,0.5734869198421207
69,67.0,0.5722875293007801
70,68.0,0.5692633834622526
71,69.0,0.570499537695926
72,70.0,0.5716237087787842
73,71.0,0.572865142813658
74,72.0,0.5809220873704004
75,73.0,0.5871566716847045
76,74.0,0.5879778445950554
77,75.0,0.5890791125585868
78,76.0,0.5917403727141473
79,77.0,0.5913018386601558
80,78.0,0.5891579518623379
81,79.0,0.590078288584482
82,80.0,0.5950202488941476
83,81.0,0.593857093118872
84,82.0,0.596766516615268
85,83.0,0.594150585848503
86,84.0,0.5981264963095645
87,85.0,0.6015729782120396
88,86.0,0.6028516613945778
89,87.0,0.601963148600771
90,88.0,0.6014865143034099
91,89.0,0.5996092203003089
92,90.0,0.6000852915683715
93,91.0,0.6017902724451921
94,92.0,0.6052999306667709
95,93.0,0.6049241227420598
96,94.0,0.6120844870561886
97,95.0,0.6090664592810561
98,96.0,0.6103080617808949
99,97.0,0.6123585557452206
100,98.0,0.6119636812291432
101,99.0,0.6124581643511633
102,100.0,0.6161994650012992
