1,group,error,var
2,0.0,1.0782974236662037,0.0008516136324626036
3,1.0,1.0501249879729302,0.0033294010576269835
4,2.0,0.982989723321813,0.0036321017575339414
5,3.0,0.9531714048152742,0.005749247183947593
6,4.0,0.9354358040345172,0.014303303421313964
7,5.0,0.9025124549780406,0.019567026832625022
8,6.0,0.9006772465196349,0.020538273404365974
9,7.0,0.9117550612378489,0.00754945283980366
10,8.0,0.8938320397234758,0.009394179248670174
11,9.0,0.8580351062262259,0.006999169440059143
12,10.0,0.8555749076982158,0.011534848510480256
13,11.0,0.8392763683507241,0.012043360580713966
14,12.0,0.8655464432693648,0.009593605896194133
15,13.0,0.7961878310000732,0.009033548194569325
16,14.0,0.8330747456119699,0.005567057703957189
17,15.0,0.8004650595197482,0.003947289023221966
18,16.0,0.7920687580645973,0.0065395987834778345
19,17.0,0.7874812567291591,0.008425726186549718
20,18.0,0.7929314478978917,0.006268021882120206
21,19.0,0.783450874495443,0.0061168364382690205
22,20.0,0.803992246927548,0.0081497061271781
23,21.0,0.7716457823970142,0.006097139467783087
24,22.0,0.8059383198480695,0.005951143628710461
25,23.0,0.7847429178271873,0.00823265530591132
26,24.0,0.7598519130774348,0.0037190385174705144
27,25.0,0.7615059677735682,0.009471361493791986
28,26.0,0.760812897986781,0.006817675713409023
29,27.0,0.7930528675357909,0.010689794269043557
30,28.0,0.7379696908700827,0.0013240703029403801
31,29.0,0.7487099460558962,0.008835052016087652
32,30.0,0.755183452442185,0.012867097457142424
33,31.0,0.7500141188274005,0.006147381041523365
34,32.0,0.7548611280745272,0.0111307619920506
35,33.0,0.7710276506673684,0.010090303001147523
36,34.0,0.7579331335324915,0.007262388219896901
37,35.0,0.7413448158004471,0.004544458071923568
38,36.0,0.7467707005775216,0.006300230672602658
39,37.0,0.7090020852564989,0.0018356490654171062
40,38.0,0.7359369387066219,0.012458157204897367
41,39.0,0.7266414951989997,0.008011299047113675
42,40.0,0.7363563797560315,0.010142893657006116
43,41.0,0.7567798367827188,0.008681070274787105
44,42.0,0.736119725467748,0.002677574396376608
45,43.0,0.7318163381885041,0.010888970085577359
46,44.0,0.7307764747322529,0.009268557885258264
47,45.0,0.7503218170643657,0.010118601526955049
48,46.0,0.754922110767534,0.004965404420057302
49,47.0,0.7481351379310298,0.004371497140615483
50,48.0,0.7270946005160006,0.0037615378322705595
51,49.0,0.7205712403873483,0.005535014099671381
52,50.0,0.7375905879416721,0.007031623918807524
53,51.0,0.7042767172083779,0.0042612985417690465
54,52.0,0.749298096851004,0.004700009449306774
55,53.0,0.7295712384162123,0.00618689374866464
56,54.0,0.7581423832663508,0.005207353611330796
57,55.0,0.7337474924479366,0.005369785618870794
58,56.0,0.7326144767968465,0.005206922078844553
59,57.0,0.7534419040723952,0.004275222119979835
60,58.0,0.7076832841446266,0.006260117475968732
61,59.0,0.7290532831328108,0.009032098368492647
62,60.0,0.7499586911389722,0.00804763696950404
63,61.0,0.7351040063401204,0.006224090468072726
64,62.0,0.7366933947058999,0.006835595144451973
65,63.0,0.6992568558565164,0.009174468423499426
66,64.0,0.7455363429185133,0.011186469232997587
67,65.0,0.7460761803149667,0.005293519068276259
68,66.0,0.7287263777437152,0.012671292629856093
69,67.0,0.76889637180873,0.005074101825140453
70,68.0,0.7394278191809481,0.007441656789960211
71,69.0,0.7270400115826341,0.007137306439482188
72,70.0,0.7426654350216348,0.010437255192472326
73,71.0,0.7431526567578031,0.006554461544969227
74,72.0,0.7468051666974647,0.004262427454044599
75,73.0,0.7413164160470262,0.005927130528906246
76,74.0,0.7381596594101099,0.010676305767819316
77,75.0,0.7509245795752219,0.003795623784033292
78,76.0,0.7439089479281343,0.009996083914398459
79,77.0,0.7291114691406473,0.009672191953089198
80,78.0,0.7057192261028911,0.009494220444107497
81,79.0,0.7637693514095927,0.0077526138800209365
82,80.0,0.7299989982371622,0.01101112913122293
83,81.0,0.7507201412646051,0.008511280412343109
84,82.0,0.7465347163734286,0.01291572160919501
85,83.0,0.7486732585813296,0.009771728052297854
86,84.0,0.7452561725606679,0.006542333536354661
87,85.0,0.7047139380346661,0.004982436454090528
88,86.0,0.7623581349256543,0.017308839660555415
89,87.0,0.7532374857879856,0.007574713287945923
90,88.0,0.757625616613947,0.011023251075983993
91,89.0,0.728299199350997,0.009181952893950072
92,90.0,0.737110265035584,0.006263380600071729
93,91.0,0.7600713839559429,0.012342089439353797
94,92.0,0.7240619181864814,0.0035608806417098946
95,93.0,0.7443333482293278,0.007909177112831513
96,94.0,0.7589508119180028,0.007202996699381947
97,95.0,0.7492375706894909,0.012350915484704204
98,96.0,0.7529917906023242,0.003614982150592469
99,97.0,0.7466759475723341,0.010180833955319202
100,98.0,0.7690869428690765,0.01077568917201957
101,99.0,0.7324553255419055,0.010063545080279571
102,100.0,0.7577202228422473,0.008930865732215146
1,group,error,var
2,0.0,,
3,1.0,1.0782974236662037,0.0008516136324626036
4,2.0,1.0499341866793208,0.003358939586305949
5,3.0,0.9836247221238106,0.0036334387767016003
6,4.0,0.9529996424310984,0.005727894093652218
7,5.0,0.9353130468483635,0.014445772108870764
8,6.0,0.9027213257468538,0.019558458498225458
9,7.0,0.9007553360514473,0.020297115177725856
10,8.0,0.9113758972401224,0.007545266875069297
11,9.0,0.892964843736392,0.009450423558551373
12,10.0,0.8581435781832563,0.006922682200579881
13,11.0,0.8559542843659926,0.011602652985838903
14,12.0,0.8392320034654807,0.012006284872144932
15,13.0,0.8653843047583678,0.009542503304087532
16,14.0,0.7963372125924609,0.00906837638730596
17,15.0,0.8330051441355939,0.0055125518021598
18,16.0,0.799947814092201,0.003908373242416525
19,17.0,0.791990637596393,0.006503412297385354
20,18.0,0.7875263686698416,0.00852203774643002
21,19.0,0.7929961208856925,0.006175485532084184
22,20.0,0.784096332354866,0.0060371340564978025
23,21.0,0.8043602950121402,0.007946512704233952
24,22.0,0.7716494118303812,0.005953414755940705
25,23.0,0.8057296476703568,0.0059301179901903684
