1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,mnist,FedALA,0,2.3039326570634455,0.09370209930023325,0.4940292791749328,0.18145544267502495,0.21821810742021094
3,mnist,FedALA,1,1.772970586945474,0.4359880039986671,0.6807081790368319,0.37741526348819276,0.3025461469249138
4,mnist,FedALA,2,1.1580110588037364,0.6421192935688104,0.855627191946336,0.2915605441377308,0.21284441999700768
5,mnist,FedALA,3,0.8540875908147865,0.7418193935354882,0.9208298400565493,0.2638642180652009,0.16317504909309527
6,mnist,FedALA,4,0.6081127801442826,0.7959346884371876,0.9666866325282724,0.20189652496423288,0.050088403300734684
7,mnist,FedALA,5,0.5911673363362983,0.808530489836721,0.9643109506146486,0.19721788677022173,0.0881790602374174
8,mnist,FedALA,6,0.5698932556095785,0.8155281572809063,0.9661785975227899,0.18488632959030507,0.05617225988635815
9,mnist,FedALA,7,0.568050543782829,0.8172609130289903,0.9661863884762967,0.18634182004632177,0.06936872787628805
10,mnist,FedALA,8,0.5376833409920534,0.8209930023325558,0.9656828692807289,0.1823599253864899,0.08457620189057787
11,mnist,FedALA,9,0.5043546336379393,0.8215928023992003,0.9716020131772598,0.1740014699971146,0.03342722019409952
12,mnist,FedALA,10,0.4884343266913952,0.8281906031322892,0.9721945464198157,0.1570191445072313,0.0317825676412693
13,mnist,FedALA,11,0.49394024724945484,0.82919026991003,0.9709772112716356,0.15637284288070236,0.0328387339561272
14,mnist,FedALA,12,0.474805963956907,0.837187604131956,0.9725736179384171,0.14322191004616122,0.032582435505083454
15,mnist,FedALA,13,0.46325821311304605,0.8393868710429857,0.9728551594389667,0.14617408335262155,0.031614372762602636
16,mnist,FedALA,14,0.4643023342268566,0.8428523825391536,0.9727353285188037,0.14260359284738267,0.031374942663064884
17,mnist,FedALA,15,0.44938586636531336,0.8449850049983338,0.9732051636743022,0.1411087615191209,0.031002562787688794
18,mnist,FedALA,16,0.44081278484996633,0.8475174941686104,0.97427025457662,0.13803420150744308,0.030894997478980793
19,mnist,FedALA,17,0.42559500140162543,0.8524491836054648,0.9750582791531769,0.13293472381188526,0.0300164592399778
20,mnist,FedALA,18,0.41809883274290033,0.8545151616127957,0.9751897792244966,0.13274306392919796,0.029369309276096833
21,mnist,FedALA,19,0.4118987484201103,0.8571809396867711,0.9756686766222621,0.1278905531386995,0.02896506429094165
22,mnist,FedALA,20,0.40468781552940275,0.8588470509830056,0.975581439157092,0.13314432743783716,0.028251110527742544
1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,mnist,FedALA,0,2.3039326570634455,0.09370209930023325,0.4940292791749328,0.18145544267502495,0.21821810742021094
3,mnist,FedALA,1,1.7716114277717292,0.43658780406531156,0.6808988844244259,0.3778598540285656,0.30284005077374776
4,mnist,FedALA,2,1.156994095345471,0.6414528490503165,0.8555805353119834,0.291635800485941,0.2130055663463276
5,mnist,FedALA,3,0.8521978965216173,0.7408863712095968,0.9209863633367864,0.26547241084726914,0.1629947536154423
6,mnist,FedALA,4,0.6066724276731085,0.7961346217927358,0.9669896779245238,0.2056346457572487,0.04978932155911578
7,mnist,FedALA,5,0.5906507230879218,0.8075974675108297,0.9644793973673758,0.19680050029851398,0.08770044658855804
8,mnist,FedALA,6,0.5684186973995993,0.8145284905031656,0.9664906942622593,0.18596737711059572,0.05579697483339901
