1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,agnews,FedALA,0,1.388425458679244,0.2506581421587063,0.5002096644049084,0.3785598591166258,0.3160080279671853
3,agnews,FedALA,1,0.6931173586014007,0.6997618152187539,0.809221316410932,0.4020139318196009,0.27332863866669643
4,agnews,FedALA,2,0.7222139905977243,0.7455810455058293,0.834025976855764,0.4286463198633587,0.276281629039761
5,agnews,FedALA,3,0.469320624480392,0.8328318916886047,0.8989853013189233,0.2670755189172215,0.1770444977776757
6,agnews,FedALA,4,0.4646950886080794,0.8209539927290962,0.9135549047131752,0.33063753684404196,0.18986761358717416
7,agnews,FedALA,5,0.3415790877407273,0.9084868998370315,0.9681354268056118,0.19607077785442256,0.075428298894282
8,agnews,FedALA,6,0.3528285152286638,0.898834148176006,0.96286759465454,0.2098673850585932,0.12057271735393554
9,agnews,FedALA,7,0.31983778993312173,0.898834148176006,0.9646036103375422,0.2098673850585932,0.1120849237250428
10,agnews,FedALA,8,0.32968885603667114,0.9082675191174627,0.9680788918752488,0.26530628200825324,0.1348892987269706
11,agnews,FedALA,9,0.3718775189006034,0.8327065312774226,0.9257304129728686,0.28975482813991454,0.132726632677519
12,agnews,FedALA,10,0.2643668151701372,0.9102732856963771,0.9671677944434152,0.26403464135209237,0.17257715486275482
13,agnews,FedALA,11,0.2404616095751963,0.9083615394258493,0.9676385230840171,0.2999009416611951,0.1321322654594081
14,agnews,FedALA,12,0.2602867626974001,0.9006205340353516,0.965589213390435,0.2736138144684357,0.15818402567227274
15,agnews,FedALA,13,0.2261572403125889,0.9103359659019682,0.9673645015941359,0.23931499764103545,0.1573188277838864
16,agnews,FedALA,14,0.23255855998704902,0.898834148176006,0.9648583347849412,0.2098673850585932,0.10210317573932995
17,agnews,FedALA,15,0.21050001922040448,0.8989595085871882,0.9655749930386721,0.25859963677004527,0.10350295987048766
18,agnews,FedALA,16,0.24804564410080163,0.898834148176006,0.9648134187856808,0.2098673850585932,0.0757576598536621
19,agnews,FedALA,17,0.24944739885832828,0.9063557728469349,0.9675848423034734,0.2701364898190616,0.11327859876602964
20,agnews,FedALA,18,0.2457502292690902,0.9103359659019682,0.969110556686941,0.23931499764103545,0.1288729673243246
21,agnews,FedALA,19,0.21548676967174213,0.9083301993230538,0.9688467470046976,0.24075308585600214,0.09107377392985075
22,agnews,FedALA,20,0.2307270578099683,0.898834148176006,0.9648111090768507,0.2098673850585932,0.09690914859327283
