1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,mnist,FedALA,0,2.305249011166624,0.10545558411882319,0.5278971311054939,0.14549019371901503,0.21722241535201756
3,mnist,FedALA,1,2.2517687483866435,0.2816909454441588,0.6371596475305592,0.3426763863511245,0.27182600851359195
4,mnist,FedALA,2,2.4764922457314342,0.22102256498143388,0.6702629161786788,0.3310689076461184,0.23808984835747551
5,mnist,FedALA,3,2.5814936932926504,0.29911453870322763,0.6999412461122507,0.3221211352695068,0.22789624880627463
6,mnist,FedALA,4,1.5122283798265916,0.5577834904313054,0.8352172171707681,0.3482850824665563,0.20785339466092304
7,mnist,FedALA,5,1.5928769139394539,0.5293344758640388,0.8297304531729754,0.27047252985723325,0.18809851013908083
8,mnist,FedALA,6,1.5520965216476137,0.5060839760068552,0.8268846316588394,0.3274428353143258,0.19127580957266396
9,mnist,FedALA,7,1.1411648794666371,0.5810911168237647,0.9041268779330318,0.30936965227121754,0.09843863103355302
10,mnist,FedALA,8,1.0951515790011686,0.5972579263067695,0.9124278938779306,0.2830326106384339,0.07951589021469968
11,mnist,FedALA,9,0.921345401632805,0.6817480719794344,0.9324907686545683,0.24855833717597184,0.08007620522077058
12,mnist,FedALA,10,0.9211255287760426,0.697972007997715,0.925604290396306,0.2427588552194912,0.09992076716585531
13,mnist,FedALA,11,1.1199338324479422,0.6734075978291917,0.9114470469411023,0.2525231003106093,0.10077416643613073
14,mnist,FedALA,12,1.1002415704196233,0.659240217080834,0.9072874181310234,0.2746288614919341,0.12140182472500287
15,mnist,FedALA,13,0.9777851561789234,0.6489574407312196,0.9231606089161662,0.29720299863030847,0.0845726717398522
16,mnist,FedALA,14,0.9980799994016248,0.6510711225364182,0.9234773257535751,0.2728254517435143,0.08882433994607263
17,mnist,FedALA,15,0.9279931052425464,0.7295058554698658,0.9327714392547293,0.24999363573653913,0.09086507519804887
18,mnist,FedALA,16,0.9916258964731652,0.7063124821479577,0.925757721896434,0.23737963752123248,0.09671012149071392
19,mnist,FedALA,17,0.8340722189573542,0.742473578977435,0.938270713482461,0.21911777066637345,0.08961064040417788
20,mnist,FedALA,18,0.9765120966142378,0.7092830619822907,0.9300195134446142,0.2102928890564606,0.08395088456857523
