1,clientid,error
2,0,"[0.7313104734834328, 0.7313104734834328, 0.6505775504759921, 0.6505775504759921, 0.6799809341326892, 0.6799809341326892, 0.6538128988948326, 0.6538128988948326, 0.618518409103564, 0.618518409103564, 0.5954778221967801, 0.5954778221967801, 0.6121026889595169, 0.6121026889595169, 0.6073775544800951, 0.6073775544800951, 0.536481783388256, 0.536481783388256, 0.5885310608344105, 0.5885310608344105, 0.5899847879235858, 0.5899847879235858, 0.653743120677143, 0.653743120677143, 0.6308027761836582, 0.6308027761836582, 0.62430581443114, 0.62430581443114, 0.6628060266631136, 0.6628060266631136]"
3,0,"[0.7313104734834328, 0.7313104734834328, 0.6505775504759921, 0.6505775504759921, 0.6799809341326892, 0.6799809341326892, 0.6538128988948326, 0.6538128988948326, 0.618518409103564, 0.618518409103564, 0.5954778221967801, 0.5954778221967801, 0.6121026889595169, 0.6121026889595169, 0.6073775544800951, 0.6073775544800951, 0.536481783388256, 0.536481783388256, 0.5885310608344105, 0.5885310608344105, 0.5899847879235858, 0.5899847879235858, 0.653743120677143, 0.653743120677143, 0.6308027761836582, 0.6308027761836582, 0.62430581443114, 0.62430581443114, 0.6628060266631136, 0.6628060266631136]"
4,0,"[0.7313104734834328, 0.7313104734834328, 0.6505775504759921, 0.6505775504759921, 0.6799809341326892, 0.6799809341326892, 0.6538128988948326, 0.6538128988948326, 0.618518409103564, 0.618518409103564, 0.5954778221967801, 0.5954778221967801, 0.6121026889595169, 0.6121026889595169, 0.6073775544800951, 0.6073775544800951, 0.536481783388256, 0.536481783388256, 0.5885310608344105, 0.5885310608344105, 0.5899847879235858, 0.5899847879235858, 0.653743120677143, 0.653743120677143, 0.6308027761836582, 0.6308027761836582, 0.62430581443114, 0.62430581443114, 0.6628060266631136, 0.6628060266631136]"
5,0,"[0.7313104734834328, 0.7313104734834328, 0.6505775504759921, 0.6505775504759921, 0.6799809341326892, 0.6799809341326892, 0.6538128988948326, 0.6538128988948326, 0.618518409103564, 0.618518409103564, 0.5954778221967801, 0.5954778221967801, 0.6121026889595169, 0.6121026889595169, 0.6073775544800951, 0.6073775544800951, 0.536481783388256, 0.536481783388256, 0.5885310608344105, 0.5885310608344105, 0.5899847879235858, 0.5899847879235858, 0.653743120677143, 0.653743120677143, 0.6308027761836582, 0.6308027761836582, 0.62430581443114, 0.62430581443114, 0.6628060266631136, 0.6628060266631136]"
6,0,"[0.7313104734834328, 0.7313104734834328, 0.6505775504759921, 0.6505775504759921, 0.6799809341326892, 0.6799809341326892, 0.6538128988948326, 0.6538128988948326, 0.618518409103564, 0.618518409103564, 0.5954778221967801, 0.5954778221967801, 0.6121026889595169, 0.6121026889595169, 0.6073775544800951, 0.6073775544800951, 0.536481783388256, 0.536481783388256, 0.5885310608344105, 0.5885310608344105, 0.5899847879235858, 0.5899847879235858, 0.653743120677143, 0.653743120677143, 0.6308027761836582, 0.6308027761836582, 0.62430581443114, 0.62430581443114, 0.6628060266631136, 0.6628060266631136]"
7,0,"[0.7313104734834328, 0.7313104734834328, 0.6505775504759921, 0.6505775504759921, 0.6799809341326892, 0.6799809341326892, 0.6538128988948326, 0.6538128988948326, 0.618518409103564, 0.618518409103564, 0.5954778221967801, 0.5954778221967801, 0.6121026889595169, 0.6121026889595169, 0.6073775544800951, 0.6073775544800951, 0.536481783388256, 0.536481783388256, 0.5885310608344105, 0.5885310608344105, 0.5899847879235858, 0.5899847879235858, 0.653743120677143, 0.653743120677143, 0.6308027761836582, 0.6308027761836582, 0.62430581443114, 0.62430581443114, 0.6628060266631136, 0.6628060266631136]"
8,0,"[0.7313104734834328, 0.7313104734834328, 0.6505775504759921, 0.6505775504759921, 0.6799809341326892, 0.6799809341326892, 0.6538128988948326, 0.6538128988948326, 0.618518409103564, 0.618518409103564, 0.5954778221967801, 0.5954778221967801, 0.6121026889595169, 0.6121026889595169, 0.6073775544800951, 0.6073775544800951, 0.536481783388256, 0.536481783388256, 0.5885310608344105, 0.5885310608344105, 0.5899847879235858, 0.5899847879235858, 0.653743120677143, 0.653743120677143, 0.6308027761836582, 0.6308027761836582, 0.62430581443114, 0.62430581443114, 0.6628060266631136, 0.6628060266631136]"
9,0,"[0.7313104734834328, 0.7313104734834328, 0.6505775504759921, 0.6505775504759921, 0.6799809341326892, 0.6799809341326892, 0.6538128988948326, 0.6538128988948326, 0.618518409103564, 0.618518409103564, 0.5954778221967801, 0.5954778221967801, 0.6121026889595169, 0.6121026889595169, 0.6073775544800951, 0.6073775544800951, 0.536481783388256, 0.536481783388256, 0.5885310608344105, 0.5885310608344105, 0.5899847879235858, 0.5899847879235858, 0.653743120677143, 0.653743120677143, 0.6308027761836582, 0.6308027761836582, 0.62430581443114, 0.62430581443114, 0.6628060266631136, 0.6628060266631136]"
10,0,"[0.7313104734834328, 0.7313104734834328, 0.6505775504759921, 0.6505775504759921, 0.6799809341326892, 0.6799809341326892, 0.6538128988948326, 0.6538128988948326, 0.618518409103564, 0.618518409103564, 0.5954778221967801, 0.5954778221967801, 0.6121026889595169, 0.6121026889595169, 0.6073775544800951, 0.6073775544800951, 0.536481783388256, 0.536481783388256, 0.5885310608344105, 0.5885310608344105, 0.5899847879235858, 0.5899847879235858, 0.653743120677143, 0.653743120677143, 0.6308027761836582, 0.6308027761836582, 0.62430581443114, 0.62430581443114, 0.6628060266631136, 0.6628060266631136]"
11,0,"[0.7313104734834328, 0.7313104734834328, 0.6505775504759921, 0.6505775504759921, 0.6799809341326892, 0.6799809341326892, 0.6538128988948326, 0.6538128988948326, 0.618518409103564, 0.618518409103564, 0.5954778221967801, 0.5954778221967801, 0.6121026889595169, 0.6121026889595169, 0.6073775544800951, 0.6073775544800951, 0.536481783388256, 0.536481783388256, 0.5885310608344105, 0.5885310608344105, 0.5899847879235858, 0.5899847879235858, 0.653743120677143, 0.653743120677143, 0.6308027761836582, 0.6308027761836582, 0.62430581443114, 0.62430581443114, 0.6628060266631136, 0.6628060266631136]"
12,0,"[0.7313104734834328, 0.7313104734834328, 0.6505775504759921, 0.6505775504759921, 0.6799809341326892, 0.6799809341326892, 0.6538128988948326, 0.6538128988948326, 0.618518409103564, 0.618518409103564, 0.5954778221967801, 0.5954778221967801, 0.6121026889595169, 0.6121026889595169, 0.6073775544800951, 0.6073775544800951, 0.536481783388256, 0.536481783388256, 0.5885310608344105, 0.5885310608344105, 0.5899847879235858, 0.5899847879235858, 0.653743120677143, 0.653743120677143, 0.6308027761836582, 0.6308027761836582, 0.62430581443114, 0.62430581443114, 0.6628060266631136, 0.6628060266631136]"
13,0,"[0.7313104734834328, 0.7313104734834328, 0.6505775504759921, 0.6505775504759921, 0.6799809341326892, 0.6799809341326892, 0.6538128988948326, 0.6538128988948326, 0.618518409103564, 0.618518409103564, 0.5954778221967801, 0.5954778221967801, 0.6121026889595169, 0.6121026889595169, 0.6073775544800951, 0.6073775544800951, 0.536481783388256, 0.536481783388256, 0.5885310608344105, 0.5885310608344105, 0.5899847879235858, 0.5899847879235858, 0.653743120677143, 0.653743120677143, 0.6308027761836582, 0.6308027761836582, 0.62430581443114, 0.62430581443114, 0.6628060266631136, 0.6628060266631136]"
14,0,"[0.7313104734834328, 0.7313104734834328, 0.6505775504759921, 0.6505775504759921, 0.6799809341326892, 0.6799809341326892, 0.6538128988948326, 0.6538128988948326, 0.618518409103564, 0.618518409103564, 0.5954778221967801, 0.5954778221967801, 0.6121026889595169, 0.6121026889595169, 0.6073775544800951, 0.6073775544800951, 0.536481783388256, 0.536481783388256, 0.5885310608344105, 0.5885310608344105, 0.5899847879235858, 0.5899847879235858, 0.653743120677143, 0.653743120677143, 0.6308027761836582, 0.6308027761836582, 0.62430581443114, 0.62430581443114, 0.6628060266631136, 0.6628060266631136]"
15,0,"[0.7313104734834328, 0.7313104734834328, 0.6505775504759921, 0.6505775504759921, 0.6799809341326892, 0.6799809341326892, 0.6538128988948326, 0.6538128988948326, 0.618518409103564, 0.618518409103564, 0.5954778221967801, 0.5954778221967801, 0.6121026889595169, 0.6121026889595169, 0.6073775544800951, 0.6073775544800951, 0.536481783388256, 0.536481783388256, 0.5885310608344105, 0.5885310608344105, 0.5899847879235858, 0.5899847879235858, 0.653743120677143, 0.653743120677143, 0.6308027761836582, 0.6308027761836582, 0.62430581443114, 0.62430581443114, 0.6628060266631136, 0.6628060266631136]"
16,0,"[0.7313104734834328, 0.7313104734834328, 0.6505775504759921, 0.6505775504759921, 0.6799809341326892, 0.6799809341326892, 0.6538128988948326, 0.6538128988948326, 0.618518409103564, 0.618518409103564, 0.5954778221967801, 0.5954778221967801, 0.6121026889595169, 0.6121026889595169, 0.6073775544800951, 0.6073775544800951, 0.536481783388256, 0.536481783388256, 0.5885310608344105, 0.5885310608344105, 0.5899847879235858, 0.5899847879235858, 0.653743120677143, 0.653743120677143, 0.6308027761836582, 0.6308027761836582, 0.62430581443114, 0.62430581443114, 0.6628060266631136, 0.6628060266631136]"
17,0,"[0.7313104734834328, 0.7313104734834328, 0.6505775504759921, 0.6505775504759921, 0.6799809341326892, 0.6799809341326892, 0.6538128988948326, 0.6538128988948326, 0.618518409103564, 0.618518409103564, 0.5954778221967801, 0.5954778221967801, 0.6121026889595169, 0.6121026889595169, 0.6073775544800951, 0.6073775544800951, 0.536481783388256, 0.536481783388256, 0.5885310608344105, 0.5885310608344105, 0.5899847879235858, 0.5899847879235858, 0.653743120677143, 0.653743120677143, 0.6308027761836582, 0.6308027761836582, 0.62430581443114, 0.62430581443114, 0.6628060266631136, 0.6628060266631136]"
18,0,"[0.7313104734834328, 0.7313104734834328, 0.6505775504759921, 0.6505775504759921, 0.6799809341326892, 0.6799809341326892, 0.6538128988948326, 0.6538128988948326, 0.618518409103564, 0.618518409103564, 0.5954778221967801, 0.5954778221967801, 0.6121026889595169, 0.6121026889595169, 0.6073775544800951, 0.6073775544800951, 0.536481783388256, 0.536481783388256, 0.5885310608344105, 0.5885310608344105, 0.5899847879235858, 0.5899847879235858, 0.653743120677143, 0.653743120677143, 0.6308027761836582, 0.6308027761836582, 0.62430581443114, 0.62430581443114, 0.6628060266631136, 0.6628060266631136]"
19,0,"[0.7313104734834328, 0.7313104734834328, 0.6505775504759921, 0.6505775504759921, 0.6799809341326892, 0.6799809341326892, 0.6538128988948326, 0.6538128988948326, 0.618518409103564, 0.618518409103564, 0.5954778221967801, 0.5954778221967801, 0.6121026889595169, 0.6121026889595169, 0.6073775544800951, 0.6073775544800951, 0.536481783388256, 0.536481783388256, 0.5885310608344105, 0.5885310608344105, 0.5899847879235858, 0.5899847879235858, 0.653743120677143, 0.653743120677143, 0.6308027761836582, 0.6308027761836582, 0.62430581443114, 0.62430581443114, 0.6628060266631136, 0.6628060266631136]"
20,0,"[0.7313104734834328, 0.7313104734834328, 0.6505775504759921, 0.6505775504759921, 0.6799809341326892, 0.6799809341326892, 0.6538128988948326, 0.6538128988948326, 0.618518409103564, 0.618518409103564, 0.5954778221967801, 0.5954778221967801, 0.6121026889595169, 0.6121026889595169, 0.6073775544800951, 0.6073775544800951, 0.536481783388256, 0.536481783388256, 0.5885310608344105, 0.5885310608344105, 0.5899847879235858, 0.5899847879235858, 0.653743120677143, 0.653743120677143, 0.6308027761836582, 0.6308027761836582, 0.62430581443114, 0.62430581443114, 0.6628060266631136, 0.6628060266631136]"
