1,clientid,error
2,0,"[0.36135644346194445, 0.3331197447640307, 0.30037918280471454, 0.2752760751284723, 0.25766849882044474, 0.24177785466327675, 0.22595310935472646, 0.2103306204336176, 0.19580706703359993, 0.1838465803822001, 0.17048531231880953, 0.16422794573328509, 0.1531277270652162, 0.1449362877676484, 0.14029462914754146, 0.1375615243555572, 0.12806856169606565, 0.12065176893421808, 0.11432433966387504, 0.10738767252270114, 0.10355882311565721, 0.09749875458813628, 0.09322289114987309, 0.09286094974969253, 0.09633409327110132, 0.09434943878464082, 0.08570796290834276, 0.0844267487160919, 0.07819071985696527, 0.0790760228865641, 0.07414121201739521, 0.07218945508193397, 0.06772413697312578, 0.06722101711549862, 0.0695626044359959, 0.06702990562129466, 0.06314203275070489, 0.0606235223806321, 0.06093155415521018, 0.0582315606180112, 0.055730313653929886, 0.05376397825675293, 0.05143228349715989, 0.049041555746335466, 0.046431485007997875, 0.045014654204735015]"
3,0,"[0.36135644346194445, 0.3331197447640307, 0.30037918280471454, 0.2752760751284723, 0.25766849882044474, 0.24177785466327675, 0.22595310935472646, 0.2103306204336176, 0.19580706703359993, 0.1838465803822001, 0.17048531231880953, 0.16422794573328509, 0.1531277270652162, 0.1449362877676484, 0.14029462914754146, 0.1375615243555572, 0.12806856169606565, 0.12065176893421808, 0.11432433966387504, 0.10738767252270114, 0.10355882311565721, 0.09749875458813628, 0.09322289114987309, 0.09286094974969253, 0.09633409327110132, 0.09434943878464082, 0.08570796290834276, 0.0844267487160919, 0.07819071985696527, 0.0790760228865641, 0.07414121201739521, 0.07218945508193397, 0.06772413697312578, 0.06722101711549862, 0.0695626044359959, 0.06702990562129466, 0.06314203275070489, 0.0606235223806321, 0.06093155415521018, 0.0582315606180112, 0.055730313653929886, 0.05376397825675293, 0.05143228349715989, 0.049041555746335466, 0.046431485007997875, 0.045014654204735015]"
4,0,"[0.36135644346194445, 0.3331197447640307, 0.30037918280471454, 0.2752760751284723, 0.25766849882044474, 0.24177785466327675, 0.22595310935472646, 0.2103306204336176, 0.19580706703359993, 0.1838465803822001, 0.17048531231880953, 0.16422794573328509, 0.1531277270652162, 0.1449362877676484, 0.14029462914754146, 0.1375615243555572, 0.12806856169606565, 0.12065176893421808, 0.11432433966387504, 0.10738767252270114, 0.10355882311565721, 0.09749875458813628, 0.09322289114987309, 0.09286094974969253, 0.09633409327110132, 0.09434943878464082, 0.08570796290834276, 0.0844267487160919, 0.07819071985696527, 0.0790760228865641, 0.07414121201739521, 0.07218945508193397, 0.06772413697312578, 0.06722101711549862, 0.0695626044359959, 0.06702990562129466, 0.06314203275070489, 0.0606235223806321, 0.06093155415521018, 0.0582315606180112, 0.055730313653929886, 0.05376397825675293, 0.05143228349715989, 0.049041555746335466, 0.046431485007997875, 0.045014654204735015]"
5,0,"[0.36135644346194445, 0.3331197447640307, 0.30037918280471454, 0.2752760751284723, 0.25766849882044474, 0.24177785466327675, 0.22595310935472646, 0.2103306204336176, 0.19580706703359993, 0.1838465803822001, 0.17048531231880953, 0.16422794573328509, 0.1531277270652162, 0.1449362877676484, 0.14029462914754146, 0.1375615243555572, 0.12806856169606565, 0.12065176893421808, 0.11432433966387504, 0.10738767252270114, 0.10355882311565721, 0.09749875458813628, 0.09322289114987309, 0.09286094974969253, 0.09633409327110132, 0.09434943878464082, 0.08570796290834276, 0.0844267487160919, 0.07819071985696527, 0.0790760228865641, 0.07414121201739521, 0.07218945508193397, 0.06772413697312578, 0.06722101711549862, 0.0695626044359959, 0.06702990562129466, 0.06314203275070489, 0.0606235223806321, 0.06093155415521018, 0.0582315606180112, 0.055730313653929886, 0.05376397825675293, 0.05143228349715989, 0.049041555746335466, 0.046431485007997875, 0.045014654204735015]"
6,0,"[0.36135644346194445, 0.3331197447640307, 0.30037918280471454, 0.2752760751284723, 0.25766849882044474, 0.24177785466327675, 0.22595310935472646, 0.2103306204336176, 0.19580706703359993, 0.1838465803822001, 0.17048531231880953, 0.16422794573328509, 0.1531277270652162, 0.1449362877676484, 0.14029462914754146, 0.1375615243555572, 0.12806856169606565, 0.12065176893421808, 0.11432433966387504, 0.10738767252270114, 0.10355882311565721, 0.09749875458813628, 0.09322289114987309, 0.09286094974969253, 0.09633409327110132, 0.09434943878464082, 0.08570796290834276, 0.0844267487160919, 0.07819071985696527, 0.0790760228865641, 0.07414121201739521, 0.07218945508193397, 0.06772413697312578, 0.06722101711549862, 0.0695626044359959, 0.06702990562129466, 0.06314203275070489, 0.0606235223806321, 0.06093155415521018, 0.0582315606180112, 0.055730313653929886, 0.05376397825675293, 0.05143228349715989, 0.049041555746335466, 0.046431485007997875, 0.045014654204735015]"
7,0,"[0.36135644346194445, 0.3331197447640307, 0.30037918280471454, 0.2752760751284723, 0.25766849882044474, 0.24177785466327675, 0.22595310935472646, 0.2103306204336176, 0.19580706703359993, 0.1838465803822001, 0.17048531231880953, 0.16422794573328509, 0.1531277270652162, 0.1449362877676484, 0.14029462914754146, 0.1375615243555572, 0.12806856169606565, 0.12065176893421808, 0.11432433966387504, 0.10738767252270114, 0.10355882311565721, 0.09749875458813628, 0.09322289114987309, 0.09286094974969253, 0.09633409327110132, 0.09434943878464082, 0.08570796290834276, 0.0844267487160919, 0.07819071985696527, 0.0790760228865641, 0.07414121201739521, 0.07218945508193397, 0.06772413697312578, 0.06722101711549862, 0.0695626044359959, 0.06702990562129466, 0.06314203275070489, 0.0606235223806321, 0.06093155415521018, 0.0582315606180112, 0.055730313653929886, 0.05376397825675293, 0.05143228349715989, 0.049041555746335466, 0.046431485007997875, 0.045014654204735015]"
8,0,"[0.36135644346194445, 0.3331197447640307, 0.30037918280471454, 0.2752760751284723, 0.25766849882044474, 0.24177785466327675, 0.22595310935472646, 0.2103306204336176, 0.19580706703359993, 0.1838465803822001, 0.17048531231880953, 0.16422794573328509, 0.1531277270652162, 0.1449362877676484, 0.14029462914754146, 0.1375615243555572, 0.12806856169606565, 0.12065176893421808, 0.11432433966387504, 0.10738767252270114, 0.10355882311565721, 0.09749875458813628, 0.09322289114987309, 0.09286094974969253, 0.09633409327110132, 0.09434943878464082, 0.08570796290834276, 0.0844267487160919, 0.07819071985696527, 0.0790760228865641, 0.07414121201739521, 0.07218945508193397, 0.06772413697312578, 0.06722101711549862, 0.0695626044359959, 0.06702990562129466, 0.06314203275070489, 0.0606235223806321, 0.06093155415521018, 0.0582315606180112, 0.055730313653929886, 0.05376397825675293, 0.05143228349715989, 0.049041555746335466, 0.046431485007997875, 0.045014654204735015]"
9,0,"[0.36135644346194445, 0.3331197447640307, 0.30037918280471454, 0.2752760751284723, 0.25766849882044474, 0.24177785466327675, 0.22595310935472646, 0.2103306204336176, 0.19580706703359993, 0.1838465803822001, 0.17048531231880953, 0.16422794573328509, 0.1531277270652162, 0.1449362877676484, 0.14029462914754146, 0.1375615243555572, 0.12806856169606565, 0.12065176893421808, 0.11432433966387504, 0.10738767252270114, 0.10355882311565721, 0.09749875458813628, 0.09322289114987309, 0.09286094974969253, 0.09633409327110132, 0.09434943878464082, 0.08570796290834276, 0.0844267487160919, 0.07819071985696527, 0.0790760228865641, 0.07414121201739521, 0.07218945508193397, 0.06772413697312578, 0.06722101711549862, 0.0695626044359959, 0.06702990562129466, 0.06314203275070489, 0.0606235223806321, 0.06093155415521018, 0.0582315606180112, 0.055730313653929886, 0.05376397825675293, 0.05143228349715989, 0.049041555746335466, 0.046431485007997875, 0.045014654204735015]"
10,0,"[0.36135644346194445, 0.3331197447640307, 0.30037918280471454, 0.2752760751284723, 0.25766849882044474, 0.24177785466327675, 0.22595310935472646, 0.2103306204336176, 0.19580706703359993, 0.1838465803822001, 0.17048531231880953, 0.16422794573328509, 0.1531277270652162, 0.1449362877676484, 0.14029462914754146, 0.1375615243555572, 0.12806856169606565, 0.12065176893421808, 0.11432433966387504, 0.10738767252270114, 0.10355882311565721, 0.09749875458813628, 0.09322289114987309, 0.09286094974969253, 0.09633409327110132, 0.09434943878464082, 0.08570796290834276, 0.0844267487160919, 0.07819071985696527, 0.0790760228865641, 0.07414121201739521, 0.07218945508193397, 0.06772413697312578, 0.06722101711549862, 0.0695626044359959, 0.06702990562129466, 0.06314203275070489, 0.0606235223806321, 0.06093155415521018, 0.0582315606180112, 0.055730313653929886, 0.05376397825675293, 0.05143228349715989, 0.049041555746335466, 0.046431485007997875, 0.045014654204735015]"
11,0,"[0.36135644346194445, 0.3331197447640307, 0.30037918280471454, 0.2752760751284723, 0.25766849882044474, 0.24177785466327675, 0.22595310935472646, 0.2103306204336176, 0.19580706703359993, 0.1838465803822001, 0.17048531231880953, 0.16422794573328509, 0.1531277270652162, 0.1449362877676484, 0.14029462914754146, 0.1375615243555572, 0.12806856169606565, 0.12065176893421808, 0.11432433966387504, 0.10738767252270114, 0.10355882311565721, 0.09749875458813628, 0.09322289114987309, 0.09286094974969253, 0.09633409327110132, 0.09434943878464082, 0.08570796290834276, 0.0844267487160919, 0.07819071985696527, 0.0790760228865641, 0.07414121201739521, 0.07218945508193397, 0.06772413697312578, 0.06722101711549862, 0.0695626044359959, 0.06702990562129466, 0.06314203275070489, 0.0606235223806321, 0.06093155415521018, 0.0582315606180112, 0.055730313653929886, 0.05376397825675293, 0.05143228349715989, 0.049041555746335466, 0.046431485007997875, 0.045014654204735015]"
