1,clientid,error
2,0,"[0.7313104734834328, 0.6498941062641287, 0.6774162006201814, 0.65242168231904, 0.617296589349954, 0.5930709373110052, 0.6105448567846832, 0.6052835848291067, 0.5336007486843531, 0.5853581236320744, 0.5881170047731434, 0.6496341070320016, 0.6286914282595008, 0.6206574897995893, 0.6591493984745052, 0.709815791095599, 0.6016356195315182, 0.6077755991414215, 0.5657180127932164, 0.5735919679919222, 0.5636641696162561, 0.6009075903161197, 0.5811714863925406, 0.6417591050538788, 0.7159928935020843, 0.7325408541602219, 0.6339206573837732, 0.6896639792807719, 0.6269411075753231, 0.7660958486957409, 0.6267096949401783, 0.7105376603673683, 0.6519225926520255, 0.7263308892499394, 0.7343155450781083, 0.6987548505641379, 0.6756318425524046, 0.7248198350781245, 0.7028631440249606, 0.7369325477426223, 0.7368049229819512, 0.6909003943627409, 0.6538098732234773, 0.5896845069249826, 0.651639521023535, 0.6506334787139216]"
3,0,"[0.7313104734834328, 0.6498941062641287, 0.6774162006201814, 0.65242168231904, 0.617296589349954, 0.5930709373110052, 0.6105448567846832, 0.6052835848291067, 0.5336007486843531, 0.5853581236320744, 0.5881170047731434, 0.6496341070320016, 0.6286914282595008, 0.6206574897995893, 0.6591493984745052, 0.709815791095599, 0.6016356195315182, 0.6077755991414215, 0.5657180127932164, 0.5735919679919222, 0.5636641696162561, 0.6009075903161197, 0.5811714863925406, 0.6417591050538788, 0.7159928935020843, 0.7325408541602219, 0.6339206573837732, 0.6896639792807719, 0.6269411075753231, 0.7660958486957409, 0.6267096949401783, 0.7105376603673683, 0.6519225926520255, 0.7263308892499394, 0.7343155450781083, 0.6987548505641379, 0.6756318425524046, 0.7248198350781245, 0.7028631440249606, 0.7369325477426223, 0.7368049229819512, 0.6909003943627409, 0.6538098732234773, 0.5896845069249826, 0.651639521023535, 0.6506334787139216]"
4,0,"[0.7313104734834328, 0.6498941062641287, 0.6774162006201814, 0.65242168231904, 0.617296589349954, 0.5930709373110052, 0.6105448567846832, 0.6052835848291067, 0.5336007486843531, 0.5853581236320744, 0.5881170047731434, 0.6496341070320016, 0.6286914282595008, 0.6206574897995893, 0.6591493984745052, 0.709815791095599, 0.6016356195315182, 0.6077755991414215, 0.5657180127932164, 0.5735919679919222, 0.5636641696162561, 0.6009075903161197, 0.5811714863925406, 0.6417591050538788, 0.7159928935020843, 0.7325408541602219, 0.6339206573837732, 0.6896639792807719, 0.6269411075753231, 0.7660958486957409, 0.6267096949401783, 0.7105376603673683, 0.6519225926520255, 0.7263308892499394, 0.7343155450781083, 0.6987548505641379, 0.6756318425524046, 0.7248198350781245, 0.7028631440249606, 0.7369325477426223, 0.7368049229819512, 0.6909003943627409, 0.6538098732234773, 0.5896845069249826, 0.651639521023535, 0.6506334787139216]"
5,0,"[0.7313104734834328, 0.6498941062641287, 0.6774162006201814, 0.65242168231904, 0.617296589349954, 0.5930709373110052, 0.6105448567846832, 0.6052835848291067, 0.5336007486843531, 0.5853581236320744, 0.5881170047731434, 0.6496341070320016, 0.6286914282595008, 0.6206574897995893, 0.6591493984745052, 0.709815791095599, 0.6016356195315182, 0.6077755991414215, 0.5657180127932164, 0.5735919679919222, 0.5636641696162561, 0.6009075903161197, 0.5811714863925406, 0.6417591050538788, 0.7159928935020843, 0.7325408541602219, 0.6339206573837732, 0.6896639792807719, 0.6269411075753231, 0.7660958486957409, 0.6267096949401783, 0.7105376603673683, 0.6519225926520255, 0.7263308892499394, 0.7343155450781083, 0.6987548505641379, 0.6756318425524046, 0.7248198350781245, 0.7028631440249606, 0.7369325477426223, 0.7368049229819512, 0.6909003943627409, 0.6538098732234773, 0.5896845069249826, 0.651639521023535, 0.6506334787139216]"
6,0,"[0.7313104734834328, 0.6498941062641287, 0.6774162006201814, 0.65242168231904, 0.617296589349954, 0.5930709373110052, 0.6105448567846832, 0.6052835848291067, 0.5336007486843531, 0.5853581236320744, 0.5881170047731434, 0.6496341070320016, 0.6286914282595008, 0.6206574897995893, 0.6591493984745052, 0.709815791095599, 0.6016356195315182, 0.6077755991414215, 0.5657180127932164, 0.5735919679919222, 0.5636641696162561, 0.6009075903161197, 0.5811714863925406, 0.6417591050538788, 0.7159928935020843, 0.7325408541602219, 0.6339206573837732, 0.6896639792807719, 0.6269411075753231, 0.7660958486957409, 0.6267096949401783, 0.7105376603673683, 0.6519225926520255, 0.7263308892499394, 0.7343155450781083, 0.6987548505641379, 0.6756318425524046, 0.7248198350781245, 0.7028631440249606, 0.7369325477426223, 0.7368049229819512, 0.6909003943627409, 0.6538098732234773, 0.5896845069249826, 0.651639521023535, 0.6506334787139216]"
7,0,"[0.7313104734834328, 0.6498941062641287, 0.6774162006201814, 0.65242168231904, 0.617296589349954, 0.5930709373110052, 0.6105448567846832, 0.6052835848291067, 0.5336007486843531, 0.5853581236320744, 0.5881170047731434, 0.6496341070320016, 0.6286914282595008, 0.6206574897995893, 0.6591493984745052, 0.709815791095599, 0.6016356195315182, 0.6077755991414215, 0.5657180127932164, 0.5735919679919222, 0.5636641696162561, 0.6009075903161197, 0.5811714863925406, 0.6417591050538788, 0.7159928935020843, 0.7325408541602219, 0.6339206573837732, 0.6896639792807719, 0.6269411075753231, 0.7660958486957409, 0.6267096949401783, 0.7105376603673683, 0.6519225926520255, 0.7263308892499394, 0.7343155450781083, 0.6987548505641379, 0.6756318425524046, 0.7248198350781245, 0.7028631440249606, 0.7369325477426223, 0.7368049229819512, 0.6909003943627409, 0.6538098732234773, 0.5896845069249826, 0.651639521023535, 0.6506334787139216]"
8,0,"[0.7313104734834328, 0.6498941062641287, 0.6774162006201814, 0.65242168231904, 0.617296589349954, 0.5930709373110052, 0.6105448567846832, 0.6052835848291067, 0.5336007486843531, 0.5853581236320744, 0.5881170047731434, 0.6496341070320016, 0.6286914282595008, 0.6206574897995893, 0.6591493984745052, 0.709815791095599, 0.6016356195315182, 0.6077755991414215, 0.5657180127932164, 0.5735919679919222, 0.5636641696162561, 0.6009075903161197, 0.5811714863925406, 0.6417591050538788, 0.7159928935020843, 0.7325408541602219, 0.6339206573837732, 0.6896639792807719, 0.6269411075753231, 0.7660958486957409, 0.6267096949401783, 0.7105376603673683, 0.6519225926520255, 0.7263308892499394, 0.7343155450781083, 0.6987548505641379, 0.6756318425524046, 0.7248198350781245, 0.7028631440249606, 0.7369325477426223, 0.7368049229819512, 0.6909003943627409, 0.6538098732234773, 0.5896845069249826, 0.651639521023535, 0.6506334787139216]"
9,0,"[0.7313104734834328, 0.6498941062641287, 0.6774162006201814, 0.65242168231904, 0.617296589349954, 0.5930709373110052, 0.6105448567846832, 0.6052835848291067, 0.5336007486843531, 0.5853581236320744, 0.5881170047731434, 0.6496341070320016, 0.6286914282595008, 0.6206574897995893, 0.6591493984745052, 0.709815791095599, 0.6016356195315182, 0.6077755991414215, 0.5657180127932164, 0.5735919679919222, 0.5636641696162561, 0.6009075903161197, 0.5811714863925406, 0.6417591050538788, 0.7159928935020843, 0.7325408541602219, 0.6339206573837732, 0.6896639792807719, 0.6269411075753231, 0.7660958486957409, 0.6267096949401783, 0.7105376603673683, 0.6519225926520255, 0.7263308892499394, 0.7343155450781083, 0.6987548505641379, 0.6756318425524046, 0.7248198350781245, 0.7028631440249606, 0.7369325477426223, 0.7368049229819512, 0.6909003943627409, 0.6538098732234773, 0.5896845069249826, 0.651639521023535, 0.6506334787139216]"
10,0,"[0.7313104734834328, 0.6498941062641287, 0.6774162006201814, 0.65242168231904, 0.617296589349954, 0.5930709373110052, 0.6105448567846832, 0.6052835848291067, 0.5336007486843531, 0.5853581236320744, 0.5881170047731434, 0.6496341070320016, 0.6286914282595008, 0.6206574897995893, 0.6591493984745052, 0.709815791095599, 0.6016356195315182, 0.6077755991414215, 0.5657180127932164, 0.5735919679919222, 0.5636641696162561, 0.6009075903161197, 0.5811714863925406, 0.6417591050538788, 0.7159928935020843, 0.7325408541602219, 0.6339206573837732, 0.6896639792807719, 0.6269411075753231, 0.7660958486957409, 0.6267096949401783, 0.7105376603673683, 0.6519225926520255, 0.7263308892499394, 0.7343155450781083, 0.6987548505641379, 0.6756318425524046, 0.7248198350781245, 0.7028631440249606, 0.7369325477426223, 0.7368049229819512, 0.6909003943627409, 0.6538098732234773, 0.5896845069249826, 0.651639521023535, 0.6506334787139216]"
11,0,"[0.7313104734834328, 0.6498941062641287, 0.6774162006201814, 0.65242168231904, 0.617296589349954, 0.5930709373110052, 0.6105448567846832, 0.6052835848291067, 0.5336007486843531, 0.5853581236320744, 0.5881170047731434, 0.6496341070320016, 0.6286914282595008, 0.6206574897995893, 0.6591493984745052, 0.709815791095599, 0.6016356195315182, 0.6077755991414215, 0.5657180127932164, 0.5735919679919222, 0.5636641696162561, 0.6009075903161197, 0.5811714863925406, 0.6417591050538788, 0.7159928935020843, 0.7325408541602219, 0.6339206573837732, 0.6896639792807719, 0.6269411075753231, 0.7660958486957409, 0.6267096949401783, 0.7105376603673683, 0.6519225926520255, 0.7263308892499394, 0.7343155450781083, 0.6987548505641379, 0.6756318425524046, 0.7248198350781245, 0.7028631440249606, 0.7369325477426223, 0.7368049229819512, 0.6909003943627409, 0.6538098732234773, 0.5896845069249826, 0.651639521023535, 0.6506334787139216]"
