1,group,error
3,1.0,0.8270814471765224
4,2.0,0.7855470940668249
5,3.0,0.7529950445447343
6,4.0,0.7219258644088933
7,5.0,0.6945177189970502
8,6.0,0.6730078264569976
9,7.0,0.6568592258016438
10,8.0,0.6389971876834435
11,9.0,0.6198057988651492
12,10.0,0.6055114128750353
13,11.0,0.596594593117973
14,12.0,0.5842164694821942
15,13.0,0.574643226789494
16,14.0,0.5729114872770328
17,15.0,0.5724744542837003
18,16.0,0.5639122664942546
19,17.0,0.5536487065407334
20,18.0,0.5485290871541524
21,19.0,0.5436048019504542
22,20.0,0.5381205710090315
23,21.0,0.5322631904587263
24,22.0,0.5280863445583788
25,23.0,0.5302489887526132
26,24.0,0.525834569051001
27,25.0,0.5204451270660766
28,26.0,0.5178312795605355
29,27.0,0.5159024585745735
30,28.0,0.5152842492620093
31,29.0,0.5144752146339284
32,30.0,0.5172461806708298
33,31.0,0.5174468212794499
34,32.0,0.5192493382271619
35,33.0,0.5220767263090238
36,34.0,0.5176548254570331
37,35.0,0.5182384242797553
38,36.0,0.5129599819107116
39,37.0,0.515061269249506
40,38.0,0.5114823419568094
41,39.0,0.5132106150040988
42,40.0,0.5105847825881827
43,41.0,0.5208498213901431
44,42.0,0.5282426407010379
45,43.0,0.5264121999877689
46,44.0,0.5264669153237871
47,45.0,0.5289226932777444
48,46.0,0.5301363648336106
49,47.0,0.5257965734590967
50,48.0,0.5501192912390582
51,49.0,0.5524783876967072
52,50.0,0.5524273113030975
53,51.0,0.5514251180194233
54,52.0,0.5555865830661567
55,53.0,0.5569318875803606
56,54.0,0.5569880105742909
57,55.0,0.5543806447261226
58,56.0,0.5592363047069574
59,57.0,0.5604037930439738
60,58.0,0.5632314549813269
61,59.0,0.5611989628824329
62,60.0,0.5613883665555587
63,61.0,0.5658017281408485
64,62.0,0.5606852830492601
65,63.0,0.5648634455783229
66,64.0,0.565257483898357
67,65.0,0.5656379873572432
68,66.0,0.5691037981173422
69,67.0,0.5681153799643763
70,68.0,0.5696932256945398
71,69.0,0.5699693500187784
72,70.0,0.580055602211955
73,71.0,0.5789728092050416
74,72.0,0.5787417157738564
75,73.0,0.5802474219267562
76,74.0,0.5780106293348857
77,75.0,0.5788629259062211
78,76.0,0.5820379395709703
79,77.0,0.5829735771076671
80,78.0,0.5856639080237735
81,79.0,0.5844622744635148
82,80.0,0.5841673359774701
83,81.0,0.5845063758541293
84,82.0,0.5861264815574748
85,83.0,0.5857352843771382
86,84.0,0.5847181789497192
87,85.0,0.5882461991601193
88,86.0,0.5883988375946831
89,87.0,0.5886587534173349
90,88.0,0.5875263436016791
91,89.0,0.5910612595961676
92,90.0,0.5931928868705819
93,91.0,0.5959794003468811
94,92.0,0.6016674412408258
95,93.0,0.6064534820401054
96,94.0,0.6040313353263297
97,95.0,0.6044651674146956
