1,group,error
3,1.0,0.8733609776633482
4,2.0,0.8671710664554584
5,3.0,0.8613533403936096
6,4.0,0.8530037346627621
7,5.0,0.8443077486184791
8,6.0,0.8381800570475841
9,7.0,0.8316732255170461
10,8.0,0.8229356053581631
11,9.0,0.816704395293103
12,10.0,0.8139331447359203
13,11.0,0.8115347777489771
14,12.0,0.8050266848764185
15,13.0,0.8036522978821515
16,14.0,0.8036440084183899
17,15.0,0.80072697630138
18,16.0,0.8036134267906715
19,17.0,0.802003174489999
20,18.0,0.7986666612951507
21,19.0,0.7970896994165907
22,20.0,0.7978345615041414
23,21.0,0.7949339292140918
24,22.0,0.79600005574281
25,23.0,0.7968363699519119
26,24.0,0.7977212265837641
27,25.0,0.7959195093096544
28,26.0,0.7953069987532217
29,27.0,0.7950391805783676
30,28.0,0.7958393494683232
31,29.0,0.7937992631218742
32,30.0,0.7949193585186908
33,31.0,0.7937343874252154
34,32.0,0.7957260812190889
35,33.0,0.7951313825522613
36,34.0,0.7936457996880177
37,35.0,0.795058313953147
38,36.0,0.7975583445728813
39,37.0,0.7986904193379097
40,38.0,0.8009523928782789
41,39.0,0.8048896733749918
42,40.0,0.809083871170702
43,41.0,0.8103560968144324
44,42.0,0.814830580794704
45,43.0,0.8178999272580822
46,44.0,0.819024871045787
47,45.0,0.8211919249898831
48,46.0,0.8241074055839845
49,47.0,0.8272643451064747
50,48.0,0.8278731487767249
51,49.0,0.8296842252540624
52,50.0,0.831575736588495
53,51.0,0.8363347510709762
54,52.0,0.8382397465306868
55,53.0,0.8432193790215851
56,54.0,0.8488514932921547
57,55.0,0.850856280529644
58,56.0,0.8578693781483735
59,57.0,0.8605747533873938
60,58.0,0.8642177852243714
61,59.0,0.8675166291278209
62,60.0,0.8714818421129056
63,61.0,0.8731227582282207
64,62.0,0.8763344911186406
65,63.0,0.8791873598230957
66,64.0,0.8814970844572986
67,65.0,0.8840572240602782
68,66.0,0.8888977562292535
69,67.0,0.8870579985080191
70,68.0,0.8902252722162909
71,69.0,0.8934167168394638
72,70.0,0.8946229431387496
73,71.0,0.8940116657169931
74,72.0,0.8971650218162475
75,73.0,0.9001467755355407
76,74.0,0.9019336763219061
77,75.0,0.9041763937871138
78,76.0,0.905619413820166
79,77.0,0.909840282973142
80,78.0,0.9100573266758036
81,79.0,0.911099969727079
82,80.0,0.9136187169858285
83,81.0,0.9166618188306033
84,82.0,0.9184674267307413
85,83.0,0.9208007360155921
86,84.0,0.9254233869009167
87,85.0,0.9278823887472037
88,86.0,0.9304701847778315
89,87.0,0.9335345921592142
90,88.0,0.9360970865234831
91,89.0,0.936892673812161
92,90.0,0.9385090502630301
93,91.0,0.9403516920542284
94,92.0,0.9407904553170904
95,93.0,0.9463440369205217
96,94.0,0.9493906372873673
97,95.0,0.9498446829501269
98,96.0,0.9522757577569406
99,97.0,0.9533429284447762
100,98.0,0.9552610753815591
101,99.0,0.9586927751368476
102,100.0,0.959568026188208
