1,group,error,var
2,0.0,0.3763147791539866,0.12654288490227167
3,1.0,0.6116932726382148,0.08324442459004835
4,2.0,0.6319242428213881,0.07179409082392717
5,3.0,0.6880527625361175,0.05716820468622032
6,4.0,0.744544020466269,0.023349356033546695
7,5.0,0.7500386474080071,0.028264689900199903
8,6.0,0.7277914649084416,0.02158640920744926
9,7.0,0.7219187420612021,0.011868437270080651
10,8.0,0.7215270613301954,0.014565008381540925
11,9.0,0.7228959847490326,0.020058352660560767
12,10.0,0.7045490501045203,0.01602936436615764
13,11.0,0.6940508898077578,0.01501305832580169
14,12.0,0.6784867111291693,0.005750436038186739
15,13.0,0.6956210848629836,0.01864229535644581
16,14.0,0.6894986541508918,0.012915446333634253
17,15.0,0.692119673609413,0.015653468180751758
18,16.0,0.7155829918109867,0.021717148575223548
19,17.0,0.7135931319991078,0.02092698159230038
20,18.0,0.7260332375736438,0.02346899573656887
21,19.0,0.7122784786781517,0.01765581000592717
22,20.0,0.710042878010149,0.014138681421086591
23,21.0,0.7137394106740406,0.018758614198280555
24,22.0,0.7119253997540514,0.01547794962628132
25,23.0,0.7067367084692052,0.014076657028608542
26,24.0,0.706384523383256,0.016265584568453385
27,25.0,0.706935981474267,0.017933555381824163
28,26.0,0.7165244205538781,0.01879518899302931
29,27.0,0.6994059874564322,0.01354973585777731
30,28.0,0.730550537811367,0.023730877543061423
31,29.0,0.7151419093699014,0.02311753339707475
32,30.0,0.7143536825021266,0.01805516544724126
