1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,mnist,FedALA_AAW,0,2.3039326570634455,0.09370209930023325,0.4940292791749328,0.18145544267502495,0.21821810742021094
3,mnist,FedALA_AAW,1,1.6105145355414883,0.3948683772075975,0.6988496665144599,0.358057341447939,0.2596506297132968
4,mnist,FedALA_AAW,2,1.1026378143166091,0.5818727090969676,0.8480023907777529,0.3556970384888977,0.1910088207733581
5,mnist,FedALA_AAW,3,0.8276144267246552,0.6863045651449516,0.9120421820515746,0.3188641065755073,0.12976252306488367
6,mnist,FedALA_AAW,4,0.7025691948855474,0.7608797067644119,0.9544797546867517,0.23727934172554047,0.06808190999465848
7,mnist,FedALA_AAW,5,0.5705494845237965,0.8042652449183606,0.9656547842044758,0.17794220973726063,0.043892187115514535
8,mnist,FedALA_AAW,6,0.5223421191596342,0.8173275574808397,0.9701428854577613,0.16798442005519623,0.03366747915037446
9,mnist,FedALA_AAW,7,0.4972655572622221,0.823458847050983,0.9717115213721113,0.16875096886262533,0.03248020275633617
10,mnist,FedALA_AAW,8,0.48885809834903055,0.8277240919693436,0.9716809905504391,0.1593637578490392,0.03172051287795244
11,mnist,FedALA_AAW,9,0.48303320044530834,0.8295901366211262,0.9736990272732745,0.15785701683443953,0.031448315286969265
12,mnist,FedALA_AAW,10,0.4733871729992984,0.8327224258580473,0.9732785896258971,0.15489202454131482,0.031344334035515065
13,mnist,FedALA_AAW,11,0.47248442170930655,0.8331222925691436,0.9727394747236584,0.16365182734376124,0.03357679388064269
14,mnist,FedALA_AAW,12,0.4600184364826127,0.8337220926357881,0.9743423132124153,0.1560395868801785,0.03049218648726142
15,mnist,FedALA_AAW,13,0.44592838180768823,0.8402532489170277,0.9743549468995237,0.1483611558563187,0.03021411349497983
16,mnist,FedALA_AAW,14,0.44664206101247883,0.8400533155614796,0.9738815954302646,0.151119150137514,0.029768810271715507
17,mnist,FedALA_AAW,15,0.4347971609964662,0.8419860046651116,0.9752920814678221,0.1523514475741269,0.029824682277027125
