1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,agnews,FedALA_AAW,0,1.388425458679244,0.2506581421587063,0.5002096644049084,0.3785598591166258,0.3160080279671853
3,agnews,FedALA_AAW,1,0.5745561381514083,0.7771718691237307,0.8779365407698431,0.3954240829612375,0.2812587236376053
4,agnews,FedALA_AAW,2,0.5239398727997076,0.8831014165726464,0.957507619322833,0.3154989258702379,0.20489122356847647
5,agnews,FedALA_AAW,3,0.402364560095166,0.9082361790146671,0.9479370646818571,0.22351994640929804,0.18298732778182278
6,agnews,FedALA_AAW,4,0.3779362839093333,0.8343362166227906,0.9184188180685787,0.3178448897004656,0.23590838004049172
7,agnews,FedALA_AAW,5,0.21943946003270437,0.9099912247712173,0.9686841408273501,0.2671509526105147,0.11038774998492641
8,agnews,FedALA_AAW,6,0.2321555925420425,0.9008399147549204,0.9661582679585293,0.20815231079853083,0.09676839785533893
9,agnews,FedALA_AAW,7,0.21755628451619674,0.8991162091011659,0.9649309697966079,0.2189169930139836,0.09659919259945142
10,agnews,FedALA_AAW,8,0.1907894299738686,0.9097718440516485,0.9673808483393621,0.3184795617153,0.16634822818034814
11,agnews,FedALA_AAW,9,0.29900091889884967,0.8346182775479504,0.9420052704175629,0.3158903305398733,0.1654176977778811
12,agnews,FedALA_AAW,10,0.2744005346326959,0.9102732856963771,0.9533938365496413,0.26403464135209237,0.15550932239920687
13,agnews,FedALA_AAW,11,0.20961842700803643,0.9061050520245706,0.966943703363546,0.3167522133966089,0.13386431914954666
14,agnews,FedALA_AAW,12,0.22518415271399833,0.8857026451046759,0.9609940961002645,0.28273145006664296,0.10345542314634
15,agnews,FedALA_AAW,13,0.18270171291224643,0.9083301993230538,0.9680927630676616,0.24075308585600214,0.1889420159657515
16,agnews,FedALA_AAW,14,0.1933044007550398,0.9077660774727341,0.9680071797391974,0.31942662289312745,0.15069572163993258
17,agnews,FedALA_AAW,15,0.2011845904390037,0.9082988592202582,0.9685505978452795,0.29049099685483537,0.15708469789494664
18,agnews,FedALA_AAW,16,0.19524879195486156,0.8985834273536417,0.9656914588863843,0.23514874135088146,0.09536368217909125
19,agnews,FedALA_AAW,17,0.19542314615423434,0.9066064936692992,0.9662558060631441,0.24974744105608288,0.10731319503020934
20,agnews,FedALA_AAW,18,0.20879374980930882,0.9083301993230538,0.9688656381917117,0.24075308585600214,0.13005945306525638
21,agnews,FedALA_AAW,19,0.18351265950685483,0.9083301993230538,0.9687560589146675,0.24075308585600214,0.09231761758119864
22,agnews,FedALA_AAW,20,0.21409754647163154,0.9080794785006895,0.9684718525814396,0.2622689848592858,0.11353475428183948
