1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,mnist,FedALA_AAW,0,2.305249011166624,0.10545558411882319,0.5278971311054939,0.14549019371901503,0.21722241535201756
3,mnist,FedALA_AAW,1,1.4844575908255722,0.46598114824335907,0.8117861705904246,0.43302202180111005,0.20312756050787156
4,mnist,FedALA_AAW,2,1.4937745671760367,0.47614967152242216,0.7979602820256934,0.4544382563605188,0.18640742955638456
5,mnist,FedALA_AAW,3,1.7199259261312538,0.46889460154241647,0.8002497238863655,0.43456137165030145,0.18981762725389756
6,mnist,FedALA_AAW,4,0.6241291391173307,0.7511568123393316,0.9358425506134901,0.37286562290071806,0.10303457127391427
7,mnist,FedALA_AAW,5,0.7080873174840301,0.7259068837475007,0.927887657776585,0.30014512788547104,0.08974204041302507
8,mnist,FedALA_AAW,6,1.1762549271112386,0.6627249357326478,0.8500332071934469,0.35479399536775497,0.1988480644815813
9,mnist,FedALA_AAW,7,0.824641056946442,0.6892887746358184,0.9247566884806004,0.32988887859927984,0.09518465680792701
10,mnist,FedALA_AAW,8,0.42624107653677973,0.8586689517280777,0.9695895670883856,0.2345561061762451,0.05975914890220675
11,mnist,FedALA_AAW,9,0.4001454144668484,0.8455869751499572,0.9756699460251432,0.20353942888489007,0.03818385030397808
12,mnist,FedALA_AAW,10,0.29983760671735604,0.8904884318766066,0.9849001512461348,0.21293634621071406,0.03338011439986481
13,mnist,FedALA_AAW,11,0.5023833421088663,0.8222793487574979,0.9648194871364542,0.21855337554142917,0.04997087274224117
14,mnist,FedALA_AAW,12,0.6929605959935007,0.8078834618680377,0.9308449194778204,0.24448882463127106,0.12406563456549656
15,mnist,FedALA_AAW,13,0.4991402773453644,0.8182804912882033,0.9689840382306689,0.24300107539107568,0.05282215860303817
16,mnist,FedALA_AAW,14,0.341614591781923,0.8711225364181663,0.9832671613505013,0.20573994576600205,0.030588552620487916
17,mnist,FedALA_AAW,15,0.2838973921039026,0.8994001713796058,0.9837617420335963,0.15709960791687813,0.035010846138057945
18,mnist,FedALA_AAW,16,0.2695909337689457,0.9082547843473293,0.9882768351568691,0.14059339476316643,0.029058049528865107
19,mnist,FedALA_AAW,17,0.134401528100008,0.9538417594972864,0.9957564760485941,0.10647509676548514,0.013798587792226187
20,mnist,FedALA_AAW,18,0.2927470828389766,0.9052270779777206,0.9867429766750344,0.11788378943244088,0.018744671132740066
21,mnist,FedALA_AAW,19,0.21365377636864188,0.9297914881462439,0.9916294968200209,0.10416358812722268,0.017461854505127036
22,mnist,FedALA_AAW,20,0.2926622673171088,0.8932305055698372,0.9827276217034915,0.14695009564953632,0.028831034300839258
23,mnist,FedALA_AAW,21,0.33382389888647124,0.8856898029134533,0.9847170007664953,0.12278671062275699,0.019470989189638837
24,mnist,FedALA_AAW,22,0.12578230269063828,0.9569837189374465,0.9964086827978866,0.09686151034714867,0.01806395476105756
25,mnist,FedALA_AAW,23,0.35132951568940257,0.8844901456726649,0.9797865090625962,0.14746562934104096,0.033018457804103944
26,mnist,FedALA_AAW,24,0.22962685658298929,0.913796058269066,0.9906946650114961,0.13705473246358618,0.01876812279118143
27,mnist,FedALA_AAW,25,0.480620405772874,0.8319337332190803,0.9618082154855885,0.22792781311742757,0.06560137030100918
28,mnist,FedALA_AAW,26,0.441212659113821,0.8327335047129392,0.974796799868019,0.22223420797157065,0.03926974539840426
29,mnist,FedALA_AAW,27,0.277516578612196,0.9088260497000857,0.9871611378706314,0.13269002922794934,0.02719248109167027
30,mnist,FedALA_AAW,28,0.11763533821501114,0.9610968294772922,0.9972130102064183,0.05674742219094107,0.005521669511973245
31,mnist,FedALA_AAW,29,0.5249011334725042,0.825535561268209,0.9626601467786007,0.23423249194473217,0.06305697544797953
32,mnist,FedALA_AAW,30,0.3519632425427203,0.8605541273921736,0.9791441995004152,0.21031580744887002,0.03705575789255523
33,mnist,FedALA_AAW,31,0.30748290471123085,0.8756926592402171,0.981589207266884,0.1743126104076392,0.030710247308673715
34,mnist,FedALA_AAW,32,0.3475242871040006,0.8588974578691803,0.9826178919300688,0.18921229537257192,0.03135505602955906
35,mnist,FedALA_AAW,33,0.27211212921300243,0.9063696086832334,0.9880701147851427,0.09707372398551328,0.015455431439337981
36,mnist,FedALA_AAW,34,0.29990719121175413,0.8786061125392745,0.9835705232350257,0.1528614516879162,0.02664875194825447
37,mnist,FedALA_AAW,35,0.24602048844724256,0.9056840902599257,0.9891300793680476,0.12160632867678509,0.016367454832434316
38,mnist,FedALA_AAW,36,0.2741274129859002,0.9095115681233933,0.9864607928399762,0.1068759236425826,0.01915432538490936
39,mnist,FedALA_AAW,37,0.24262900137499327,0.9096829477292202,0.988006132653388,0.11010671091597522,0.01911540085326987
40,mnist,FedALA_AAW,38,0.34887934961862604,0.883690374178806,0.9843828271119583,0.13722440631611726,0.026423826316348004
41,mnist,FedALA_AAW,39,0.3175628273555935,0.8739788631819481,0.9852585577501558,0.15234312526018023,0.024413155505550378
42,mnist,FedALA_AAW,40,0.2009018346284788,0.927277920594116,0.9929124380544148,0.09777271914428283,0.012587438732726058
43,mnist,FedALA_AAW,41,0.31514199046190244,0.8943730362753499,0.9849916998057466,0.10889182579531195,0.01782541541266763
44,mnist,FedALA_AAW,42,0.2398320900674509,0.9116252499285918,0.9895445587108807,0.146865919492254,0.019722816784654238
45,mnist,FedALA_AAW,43,0.15839843359534744,0.9410454155955441,0.9948059068206503,0.06598752705975404,0.007198672024052835
46,mnist,FedALA_AAW,44,0.33813341962638055,0.8856898029134533,0.9817752303015927,0.1526674104954845,0.025879839163438903
47,mnist,FedALA_AAW,45,0.32685438061581235,0.8833476149671522,0.9847401019219064,0.11923551501861283,0.01992099431829117
48,mnist,FedALA_AAW,46,0.15980556643517652,0.9419023136246787,0.9945526009089742,0.09009375721302862,0.010440535760699947
49,mnist,FedALA_AAW,47,0.21356700907100004,0.9322479291630963,0.9910863837737364,0.09249173479847904,0.01596331937011707
