1,clientid,distance,error
2,0,0,"[-0.4944394601266773, -0.597723561365064, -0.5591430799036319, -0.47112695807426097]"
3,0,0,"[-0.4944394601266773, -0.597723561365064, -0.5591430799036319, -0.47112695807426097]"
4,0,0,"[-0.4944394601266773, -0.597723561365064, -0.5591430799036319, -0.47112695807426097]"
5,0,0,"[-0.4944394601266773, -0.597723561365064, -0.5591430799036319, -0.47112695807426097]"
6,1,0,"[0.43735819487698824, 0.4695016337554315, 0.5561277292390852, 0.5217551534106961]"
7,1,0,"[0.43735819487698824, 0.4695016337554315, 0.5561277292390852, 0.5217551534106961]"
8,1,0,"[0.43735819487698824, 0.4695016337554315, 0.5561277292390852, 0.5217551534106961]"
9,1,0,"[0.43735819487698824, 0.4695016337554315, 0.5561277292390852, 0.5217551534106961]"
10,2,0,"[0.5139061861392745, 0.5426634937005282, 0.5318424503610399, 0.5173371095609451]"
11,2,0,"[0.5139061861392745, 0.5426634937005282, 0.5318424503610399, 0.5173371095609451]"
12,2,0,"[0.5139061861392745, 0.5426634937005282, 0.5318424503610399, 0.5173371095609451]"
13,2,0,"[0.5139061861392745, 0.5426634937005282, 0.5318424503610399, 0.5173371095609451]"
14,3,0,"[0.6196079986397681, 0.5323300271256375, 0.5099768518870818, 0.4842342770440854]"
15,3,0,"[0.6196079986397681, 0.5323300271256375, 0.5099768518870818, 0.4842342770440854]"
16,3,0,"[0.6196079986397681, 0.5323300271256375, 0.5099768518870818, 0.4842342770440854]"
17,3,0,"[0.6196079986397681, 0.5323300271256375, 0.5099768518870818, 0.4842342770440854]"
18,4,0,"[0.6921250855307526, 0.6381815109630312, 0.6231640505879203, 0.6218833020813335]"
19,4,0,"[0.6921250855307526, 0.6381815109630312, 0.6231640505879203, 0.6218833020813335]"
20,4,0,"[0.6921250855307526, 0.6381815109630312, 0.6231640505879203, 0.6218833020813335]"
21,4,0,"[0.6921250855307526, 0.6381815109630312, 0.6231640505879203, 0.6218833020813335]"
22,5,0,"[0.4833074494358153, 0.3648485901361951, 0.35807924557166804, 0.3688176478740448]"
23,5,0,"[0.4833074494358153, 0.3648485901361951, 0.35807924557166804, 0.3688176478740448]"
24,5,0,"[0.4833074494358153, 0.3648485901361951, 0.35807924557166804, 0.3688176478740448]"
25,5,0,"[0.4833074494358153, 0.3648485901361951, 0.35807924557166804, 0.3688176478740448]"
26,6,0,"[0.8105788612230698, 0.7540970560578971, 0.7230870002698616, 0.7221501325841213]"
27,6,0,"[0.8105788612230698, 0.7540970560578971, 0.7230870002698616, 0.7221501325841213]"
28,6,0,"[0.8105788612230698, 0.7540970560578971, 0.7230870002698616, 0.7221501325841213]"
29,6,0,"[0.8105788612230698, 0.7540970560578971, 0.7230870002698616, 0.7221501325841213]"
30,7,0,"[0.8877388534795487, 0.8461021266005581, 0.8460788927382833, 0.8245516981470715]"
31,7,0,"[0.8877388534795487, 0.8461021266005581, 0.8460788927382833, 0.8245516981470715]"
32,7,0,"[0.8877388534795487, 0.8461021266005581, 0.8460788927382833, 0.8245516981470715]"
33,7,0,"[0.8877388534795487, 0.8461021266005581, 0.8460788927382833, 0.8245516981470715]"
34,8,0,"[0.5649668029509484, 0.5149877642455155, 0.5037917763299741, 0.5225149234432995]"
35,8,0,"[0.5649668029509484, 0.5149877642455155, 0.5037917763299741, 0.5225149234432995]"
36,8,0,"[0.5649668029509484, 0.5149877642455155, 0.5037917763299741, 0.5225149234432995]"
37,8,0,"[0.5649668029509484, 0.5149877642455155, 0.5037917763299741, 0.5225149234432995]"
38,9,0,"[0.9445469921117458, 0.8632896732172275, 0.8086232857749335, 0.8029170214059198]"
39,9,0,"[0.9445469921117458, 0.8632896732172275, 0.8086232857749335, 0.8029170214059198]"
40,9,0,"[0.9445469921117458, 0.8632896732172275, 0.8086232857749335, 0.8029170214059198]"
41,9,0,"[0.9445469921117458, 0.8632896732172275, 0.8086232857749335, 0.8029170214059198]"
42,10,0,"[0.4801857371706528, 0.4183498183498888, 0.4221584814546636, 0.43310243676512916]"
43,10,0,"[0.4801857371706528, 0.4183498183498888, 0.4221584814546636, 0.43310243676512916]"
44,10,0,"[0.4801857371706528, 0.4183498183498888, 0.4221584814546636, 0.43310243676512916]"
45,10,0,"[0.4801857371706528, 0.4183498183498888, 0.4221584814546636, 0.43310243676512916]"
46,11,0,"[0.40398402334620864, 0.40076293010943753, 0.3778658161125166, 0.3876267401672456]"
47,11,0,"[0.40398402334620864, 0.40076293010943753, 0.3778658161125166, 0.3876267401672456]"
48,11,0,"[0.40398402334620864, 0.40076293010943753, 0.3778658161125166, 0.3876267401672456]"
49,11,0,"[0.40398402334620864, 0.40076293010943753, 0.3778658161125166, 0.3876267401672456]"
50,12,0,"[0.6987746047550143, 0.6396337833252601, 0.6046625018491755, 0.5881002604047645]"
51,12,0,"[0.6987746047550143, 0.6396337833252601, 0.6046625018491755, 0.5881002604047645]"
52,12,0,"[0.6987746047550143, 0.6396337833252601, 0.6046625018491755, 0.5881002604047645]"
53,12,0,"[0.6987746047550143, 0.6396337833252601, 0.6046625018491755, 0.5881002604047645]"
54,13,0,"[0.3260208940451854, 0.24214014942144868, 0.24327602595265985, 0.19604662481265567]"
55,13,0,"[0.3260208940451854, 0.24214014942144868, 0.24327602595265985, 0.19604662481265567]"
56,13,0,"[0.3260208940451854, 0.24214014942144868, 0.24327602595265985, 0.19604662481265567]"
57,13,0,"[0.3260208940451854, 0.24214014942144868, 0.24327602595265985, 0.19604662481265567]"
58,14,0,"[0.4570328220568187, 0.3957386312994722, 0.33971027427366174, 0.33647776867183754]"
59,14,0,"[0.4570328220568187, 0.3957386312994722, 0.33971027427366174, 0.33647776867183754]"
60,14,0,"[0.4570328220568187, 0.3957386312994722, 0.33971027427366174, 0.33647776867183754]"
61,14,0,"[0.4570328220568187, 0.3957386312994722, 0.33971027427366174, 0.33647776867183754]"
62,15,0,"[0.6972365388781471, 0.531930045047445, 0.48879770224132035, 0.44604062563088887]"
63,15,0,"[0.6972365388781471, 0.531930045047445, 0.48879770224132035, 0.44604062563088887]"
64,15,0,"[0.6972365388781471, 0.531930045047445, 0.48879770224132035, 0.44604062563088887]"
65,15,0,"[0.6972365388781471, 0.531930045047445, 0.48879770224132035, 0.44604062563088887]"
66,16,0,"[0.4494075251368036, 0.41688112128162325, 0.37541711822813606, 0.3977522483034235]"
67,16,0,"[0.4494075251368036, 0.41688112128162325, 0.37541711822813606, 0.3977522483034235]"
68,16,0,"[0.4494075251368036, 0.41688112128162325, 0.37541711822813606, 0.3977522483034235]"
69,16,0,"[0.4494075251368036, 0.41688112128162325, 0.37541711822813606, 0.3977522483034235]"
70,17,0,"[0.5325084626701313, 0.5159995810516208, 0.5026683829826688, 0.4916354584624356]"
71,17,0,"[0.5325084626701313, 0.5159995810516208, 0.5026683829826688, 0.4916354584624356]"
72,17,0,"[0.5325084626701313, 0.5159995810516208, 0.5026683829826688, 0.4916354584624356]"
73,17,0,"[0.5325084626701313, 0.5159995810516208, 0.5026683829826688, 0.4916354584624356]"
74,18,0,"[0.9885653767749523, 0.853987301454588, 0.802910496816273, 0.7666912335262734]"
75,18,0,"[0.9885653767749523, 0.853987301454588, 0.802910496816273, 0.7666912335262734]"
76,18,0,"[0.9885653767749523, 0.853987301454588, 0.802910496816273, 0.7666912335262734]"
77,18,0,"[0.9885653767749523, 0.853987301454588, 0.802910496816273, 0.7666912335262734]"
78,19,0,"[0.7433542284839632, 0.67174070264964, 0.6397598300214488, 0.6272542207447324]"
79,19,0,"[0.7433542284839632, 0.67174070264964, 0.6397598300214488, 0.6272542207447324]"
80,19,0,"[0.7433542284839632, 0.67174070264964, 0.6397598300214488, 0.6272542207447324]"
81,19,0,"[0.7433542284839632, 0.67174070264964, 0.6397598300214488, 0.6272542207447324]"
1,clientid,distance,error
