1,clientid,distance,error
2,0,163.08153241416053,"[-0.5738728201119634, -0.7056385609902125, -0.5125721654065267, -0.3176871538791233, -0.2775015057878103, -0.06858079981196219]"
3,1,163.9012244063334,"[0.39857076962275806, 0.42603905087377847, 0.36531946905550416, 0.636508507701196, 0.44833043963594554, 0.6277193710921152]"
4,2,161.91691109307618,"[0.483279524704435, 0.43939704773868404, 0.423788463541617, 0.3835570472648976]"
5,3,162.1411096579629,"[0.5465435406343613, 0.4949666410023713, 0.49412763979810587, 0.518864369066127]"
6,4,161.16427629678088,"[0.6739741698321369, 0.5686107116958334, 0.5317588488881786, 0.6244975595736797, 0.6844165207130363, 0.555079248053614]"
7,5,160.84106337685063,"[0.4542585815023631, 0.37219259931085, 0.4032594967105736]"
8,6,160.34662324972658,"[0.7851640834258772, 0.696155867260594, 0.5914063868189399, 0.6228246652991688]"
9,7,162.5881040264423,"[0.9106520527448099, 0.8025171404756108]"
10,8,162.40921454486116,"[0.4672611663199986, 0.5261054563395101, 0.496849669664967, 0.4207864331719334, 0.4898408357181888, 0.38681683611185425]"
11,9,161.04115256323556,"[0.9233043773011782, 0.8141513755471688, 0.662690373190026]"
12,10,158.82725576233173,"[0.4849696280084388, 0.44026448891197445, 0.3281935428496928, 0.36119794385393833, 0.33147125179422465, 0.2648330729496359, 0.38804697036541724]"
13,11,162.73115435501117,"[0.3138036012260599, 0.3145688328795898, 0.2441243583205055, 0.31194292139079643, 0.18012094672930345]"
14,12,160.74108812861704,"[0.6144192158639923, 0.49479334542246645, 0.4900622873438183, 0.5176689286537632, 0.5191452026403064, 0.5879202775721974, 0.4482617314727193, 0.482284613891575]"
15,13,160.314174262491,"[0.3799597152835157, 0.2798682646101549, 0.24337294848524338, 0.3113232800490262]"
16,14,160.73682290952962,"[0.41962624236227997, 0.39530452713865705, 0.35088251630696365, 0.2030701273350468]"
17,15,165.20656015498045,"[0.5995438662162381, 0.3901127912484542, 0.39119190621862604, 0.3746898080955633, 0.4116745127433742, 0.4156941294865352, 0.368516858326185]"
18,16,162.86014113282573,"[0.24451670423150063, 0.42177797807236583, 0.43171266112690493]"
19,17,162.71666105658647,"[0.43001417963825994, 0.4965650236332415, 0.42197603488290025, 0.42649836401376906, 0.38094340007380123, 0.4630672664398744, 0.4193050912945738]"
20,18,162.2811006670658,"[0.8948060991541613, 0.7106050892731655, 0.6045117206436812, 0.5891357899775718, 0.544918891245767, 0.6405653166087254]"
21,19,157.14156880922107,"[0.8723019310119196, 0.6785520025962637, 0.7029678456428398, 0.6211310475969891, 0.6780398055038988]"
1,clientid,distance,error
