1,clientid,distance,error
2,0,163.08153241416053,"[1.6926276056390503, 1.5111885490710648, 1.4972693111785218, 1.2082008961202755, 1.0622472423035931, 0.7617789348902894, 0.5413231262913226, 0.4385167697247271, 0.42214569717519446, 0.3344508993357906, 0.3889781470421708, 0.33878714785915937, 0.31164552454395766, 0.3054062038816601, 0.2563186614897172]"
3,1,163.9012244063334,"[0.7592620233028557, 0.697355585700953, 0.5805049942708272, 0.5475503920377512, 0.4064155834157056, 0.5028024198243117, 0.667179247519656, 0.5994127604218631, 0.8454459598790689, 0.6155544350964756, 0.8805630092112837, 0.6234509693699858, 0.6265767601303027, 0.7024041938128802, 0.4224356533316125, 0.40545656453441886, 0.5868177355652093, 0.3662988607415577]"
4,2,161.91691109307618,"[0.5947042830244061, 0.48430242104143806, 0.46393964777630914, 0.4554864062569706, 0.4536169973141862, 0.40922311570203934, 0.5106751710419197, 0.3977438039294853, 0.3966298839610924, 0.34652725207167173, 0.3711767292845413, 0.34974781497982316, 0.36214726696030053, 0.3075629601900095, 0.2884005078056758]"
5,3,162.1411096579629,"[0.6106992827679588, 0.4530888952764247, 0.4102027496754082, 0.35305820532370863, 0.3411314113087968, 0.32771375471844, 0.3067886898447617, 0.3005055078619473, 0.29982076343845404, 0.28226784563584734, 0.2740831187017278, 0.2574987076459286, 0.2591402631725274, 0.25446163887434076, 0.25034458011929045, 0.23631465953940478, 0.21937339214752194, 0.25929733066360555, 0.334196237101185, 0.3056270260034397, 0.23929369904702796, 0.19351258032689483]"
6,4,161.16427629678088,"[0.5004370766424242, 0.42917811205268075, 0.40016277683488455, 0.37351323127339797, 0.34480444586838477, 0.3112526046365528, 0.28754433978351646, 0.26138669139080256, 0.2556177616308727, 0.2430508401110176, 0.23843484721191127, 0.24907657800868316]"
7,5,160.84106337685063,"[0.6966905952322607, 0.6195286315384632, 0.6117041412422743, 0.6116042513493448, 0.5289171624106045, 0.5310123870087167, 0.5066028018660533, 0.5179658749474523, 0.4837233379964406, 0.4453152839478571, 0.4502553671268591, 0.49053547108953355, 0.4783395096752793, 0.32535994615027447, 0.4239028597215656, 0.42118260887914705, 0.4355459450150859]"
8,6,160.34662324972658,"[0.5045008104782758, 0.5019957401018725, 0.4802479982544478, 0.4689832429722222, 0.43927364884134523, 0.39621100659122865, 0.3761891273221333, 0.3747684997990832, 0.3797125983714269, 0.38136862312021425, 0.3706392644131062, 0.3459401639358104, 0.3176242463545929, 0.29243854163324207, 0.3292335913300461, 0.36044816576561695]"
9,7,162.5881040264423,"[0.5123210870903927, 0.44697376375495296, 0.38806223971875564, 0.37038657034034755, 0.32545030390658397, 0.3155407991391708, 0.30877291885178787, 0.2924285776347991, 0.31925553515827704, 0.2531471525626196, 0.24105157308260716, 0.26396070224022933]"
10,8,162.40921454486116,"[0.5948345656154191, 0.5567732024339395, 0.5430856439843282, 0.5430914208546698, 0.518041234068502, 0.4874223842919709, 0.48094026829668607, 0.4748672894489112, 0.4265751357487088, 0.41849121378505566, 0.48158975793245495, 0.3675060428260468, 0.4162290896459984, 0.3444294520702154, 0.34265796733900417, 0.33897139527302067, 0.3023349349166662]"
11,9,161.04115256323556,"[0.42016435485245207, 0.48108540284337376, 0.4141719194042944, 0.3673024561630166, 0.3499984082589879, 0.3045184672887136, 0.28697827611050725, 0.3267120278458749, 0.30570727659061214]"
12,10,158.82725576233173,"[0.6129294931932373, 0.5858061486741288, 0.559703218239742, 0.5488926519247116, 0.5229940496328167, 0.5034722878012315, 0.5034918314171517, 0.4702768408150345, 0.468548870441098, 0.47998432551516473, 0.48079212156174045, 0.43847864316075713, 0.4217416875839502, 0.4048811172786224, 0.4115588598808735, 0.4167733363563423, 0.37615442101414487, 0.3417827085346249, 0.31733356092452164]"
13,11,162.73115435501117,"[0.6817403447732244, 0.641715028067993, 0.4422105695062118, 0.4390723051508618, 0.47807438645495154, 0.45934942032348786, 0.3878713874079873, 0.2986036734841612, 0.3123426810130105, 0.2717650633937334, 0.28581261528106283, 0.2737737484109648, 0.2755844305669372, 0.2668365133516255, 0.24866461866115733]"
14,12,160.74108812861704,"[0.47994723823946556, 0.558498711175133, 0.4484684592945378, 0.4226205309965712, 0.4094087103628495, 0.3889368636125066, 0.3501033138944299, 0.3329063498685224, 0.28590814622174715, 0.27398961378314896, 0.31352540738909923, 0.2941146931020139, 0.3031670409188834, 0.34430496831695073, 0.2777652578437906]"
15,13,160.314174262491,"[0.8714830098450821, 0.8653028651586392, 0.8351319330258884, 0.8572914806425445, 0.7721148472820591, 0.7231497059886655, 0.7559628997443832, 0.7142243706159548, 0.47762857653980706, 0.4321816199180535, 0.5645316112641261, 0.7445292874088145, 0.5341811577787495, 0.683980601750171, 0.6111901039902408, 0.613864877133065, 0.5848753781145455]"
16,14,160.73682290952962,"[0.5633527255841656, 0.7412362737921298, 0.7287185665150668, 0.6861187956173713, 0.8763239182860438, 0.8477486072880949, 0.6395364859098476, 0.7762320054032846, 0.5881908952526035, 0.4915743277885042]"
17,15,165.20656015498045,"[0.5014275566092692, 0.602409884666265, 0.5005232426917224, 0.5689405017743239, 0.517956076362207, 0.4890162141571522, 0.5076760671497048, 0.4412540085996317, 0.5622469711284278, 0.4233737274662245, 0.356873823933791, 0.4696810147654921, 0.5720598243256686, 0.5160269394754473, 0.4721773804172871, 0.3979086868894887, 0.40576962022612745, 0.35616895327708537, 0.3066651512714532]"
18,16,162.86014113282573,"[0.6284106338798569, 0.48530662444221884, 0.4348564128047546, 0.3746898313170807, 0.3859465699032025, 0.3748640897085268, 0.33128922419744306, 0.4219441521499806, 0.371201406260831, 0.30837113434175695, 0.2668984579215486, 0.23715466358145623, 0.2723693113223145, 0.24822097234684, 0.236387782587214, 0.29058640646327527]"
19,17,162.71666105658647,"[0.5490252641749476, 0.529179212742997, 0.49674172401096456, 0.4698829814750505, 0.46735785570755156, 0.4453020450152112, 0.41944675352600636, 0.4044843399592109, 0.39755591913600363, 0.38856534411643134, 0.3527775188175868, 0.34915878065137795, 0.32466436365978324, 0.3265946705035602, 0.3096711198728515, 0.297006815614898, 0.2844819399599595, 0.2756685644015551]"
20,18,162.2811006670658,"[0.3165436472334936, 0.28062170927761054, 0.26531294183808307, 0.25355661562762716, 0.24850632873253362, 0.25154015970134574, 0.25488608339019886, 0.22960657445602178, 0.2018508290312749, 0.1829842602916793, 0.1753082056883078, 0.20677187760753793]"
21,19,157.14156880922107,"[0.5683707895454104, 0.5366940723860082, 0.5103808390332087, 0.4971164370017273, 0.4692832829463876, 0.44869091452286597, 0.4311949383164104, 0.43175421360140764, 0.41929356100004517, 0.4109279797353211, 0.3954544962945444, 0.38125055483198766, 0.375463612458216, 0.3441735081577261, 0.34325425635724693, 0.35981254145721064]"
