1,clientid,distance,error
2,0,163.08153241416053,"[1.6926276056390503, 1.6760706007309143, 1.5882316274942982, 1.523579934838869, 1.4464846980939923, 1.3002347637228584, 1.2633986433117397, 1.2223819391434536, 1.133097725291377, 1.1127388671265777, 1.0349616943459197, 0.844032539629839, 0.642419782441627, 0.776473768398395, 0.5226339900668066, 0.5047299274244214, 0.4538690341719607, 0.39344636580026604, 0.4609195105340108, 0.4020935836732132, 0.5592621172850993, 0.37967582973835295, 0.5207098142549836, 0.3371035468322904, 0.5799081200142918, 0.3229732994875978, 0.29958889980666265, 0.5704632624173074, 0.3501888879875958, 0.30352376322968866, 0.5257686597343428, 0.33898040151030245, 0.31489342131782133, 0.30654105820851224, 0.339072919982906, 0.4188060811401295, 0.5814183791351543, 0.35886177236108846, 0.29694661449516785, 0.24092638219617257, 0.5501914926210345, 0.3400320978022514, 0.23445390797041754, 0.21103496958284382, 0.2684989822768857, 0.35986388673991687, 0.1768357133602204, 0.21477720039043222, 0.2585121494593893, 0.22261605159231077, 0.23391049045964152, 0.19949806521626312, 0.21426201406133474, 0.17585569347240354, 0.20364942235558547, 0.21888247865158744, 0.32296929789342044, 0.41330884842830173, 0.1675630014597274, 0.1467090143789086, 0.3056673314338627, 0.17517339095937953, 0.15653943512334892, 0.20558699196225122, 0.1636195441982633, 0.15477750595986697, 0.1748055633758713, 0.21851640604971673, 0.13840183122721533, 0.17175851162083336, 0.23468961325259, 0.16557009747905158, 0.1760518645672665, 0.1652234622591471, 0.12479122474683263, 0.2995867264431631, 0.5468562981035353, 0.12887668750936365, 0.11241138907489445, 0.11981527583692404, 0.14745650065987903, 0.18535580551929692, 0.1637351034269346, 0.1622284001550943, 0.11721066988489778, 0.13193096511390595, 0.16546794556625033, 0.13255230880333788, 0.12032270881028277, 0.12910464119951354, 0.09000154668489001, 0.13254824639461169, 0.1304597942945522, 0.12437880693967655, 0.12097443526054465, 0.10788739541646275, 0.16426079876864652, 0.10476270942278522, 0.11069327540201376, 0.12189343661396801, 0.18797271882886135]"
3,1,163.9012244063334,"[0.7592620233028557, 0.6272839916011974, 0.48922524022883507, 0.5218280306654817, 0.4882068169244694, 0.48273977312042177, 0.48854321611827767, 0.499895122495959, 0.4760251881855395, 0.5611414369014811, 0.5954386643358883, 0.790271373789909, 0.579663931544962, 0.6693087283509419, 0.8549097758160079, 0.7475863733691144, 0.6048420142764775, 0.5257430288729665, 0.8898213621992747, 0.9130014409285778, 0.5585386426550498, 0.6260131375084728, 0.8612587152486453, 0.6978856003149967, 0.8252971595585298, 0.6399123020996974, 0.4989823801985604, 0.6973824043222315, 0.49045737695165054, 0.5101915407385205, 0.6567037250614833, 0.7430989641835668, 0.6759071448400896, 0.760958272941166, 0.5210351292341739, 0.6957203452705942, 0.6283681963896067, 0.4521635870452551, 0.666180815451672, 0.617538894771804, 0.6524563429258907, 0.650263394560549, 0.6581391247420166, 0.607229155269385, 0.5467688160872681, 0.46705434252675737, 0.24900819248518424, 0.4515284899022542, 0.5914923230299993, 0.4401862621426281, 0.37756688030165403, 0.5896901621982512, 0.7464767882278532, 0.6702184604261751, 0.25975438082496616, 0.3464409199122437, 0.3198124962370154, 0.9285676388208609, 0.5478030459573001, 0.31623840870194003, 0.7179882213596877, 0.49206051082328656, 0.2123447616084975, 0.44230108667791146, 0.21079385884018023, 0.6153611162595317, 0.6923266885440905, 0.5436385176908, 0.3734271291404904, 0.22495236810653052, 0.43644895913173326, 0.2468299753206793, 0.8250089364424908, 0.6428186668140874, 0.1759530027482583, 0.21497659067901825, 0.39803748752779533, 0.22910060983423786, 0.25017978395067497, 0.4590617383769166, 0.17375257579979364, 0.3417403651496861, 0.2145773073221596, 0.4431046621665473, 0.7699652891006105, 0.36702414831452074, 0.4423341166252523, 0.18253334962014667, 0.49213217685089067, 0.1693038554001726, 0.6647467447894184, 0.5924022318279216, 0.45198408303655957, 0.3910129873628368, 0.15109829190891694, 0.19990835118200165, 0.2360390052096772, 0.1270253883099357, 0.41229662188592264, 0.8983213658211879, 0.14145842926249494]"
4,2,161.91691109307618,"[0.5947042830244061, 0.5261284938164461, 0.49777248134792207, 0.5034313851010789, 0.5053358238529363, 0.471489018513536, 0.48201344395610723, 0.4766876286340776, 0.47618327777259384, 0.4610587581825842, 0.435597387536866, 0.4157693729174425, 0.4073452271404676, 0.4078270264172239, 0.3853715500260979, 0.3853171569810781, 0.358034189405406, 0.35988524659706256, 0.3402551131336443, 0.33932889793499776, 0.32542355663676076, 0.3073853605973683, 0.33954398050709456, 0.29486405801306775, 0.29752186995489066, 0.28691227139103653, 0.28538227677076017, 0.32022868122764525, 0.3043032523798384, 0.38178770113159266, 0.2929788886131497, 0.3000924533221811, 0.24757517304003784, 0.2647063655729863, 0.23655977541235115, 0.2438775083019642, 0.22942430665181968, 0.23136379474132135, 0.2261508638565377, 0.22510702225049406, 0.21300516530029856, 0.20147667990368928, 0.20983478470757322, 0.19271672836468348, 0.19488086853912168, 0.2102500179108469, 0.2066253528055251, 0.19250050589903211, 0.18514340768331528, 0.20582641488266634, 0.17788345353503346, 0.20802858471667487, 0.19423736788397403, 0.20283755027021533, 0.18467985080056357, 0.17322899960303167, 0.17323870831589475, 0.19692414800790306, 0.17162439080345152, 0.15242473957944325, 0.17054292077593383, 0.1796653282371506, 0.2011388092777, 0.17478767388749883, 0.22421449449643505, 0.16177317165165483, 0.21488019569739483, 0.16735153504158404, 0.1950309354398229, 0.2019855271608903, 0.1497836251536757, 0.19139006778699028, 0.2175734533045871, 0.14618197814180428, 0.18658094336399011, 0.16725728380721366, 0.15354115982065852, 0.15046347626320294, 0.11366476191966086, 0.18566399898185607, 0.17256121340866773, 0.14463978344444905, 0.15550364703502512, 0.15532450709176937, 0.16190266003441586, 0.16639070275269802, 0.1433735060198834, 0.14859808351732892, 0.1858413189657724, 0.144309949478741, 0.1561900556822647, 0.09624410041918896, 0.1647631109880831, 0.15110409628945734, 0.12757790427066568, 0.12493539194181004, 0.17306752401854048, 0.13062387912782314, 0.1119071012345674, 0.11828807426395063, 0.11014316502022076]"
5,3,162.1411096579629,"[0.6106992827679588, 0.5145742037378284, 0.4524262856791715, 0.43398426164360515, 0.4205949813733487, 0.38793047187508256, 0.373917336554844, 0.34901524476572776, 0.3445561662022488, 0.34516261720762476, 0.33102901548240743, 0.3577204836640755, 0.31998851930079003, 0.3259236513821034, 0.2991305375141275, 0.2911736225296528, 0.3093378950751363, 0.2780166750716724, 0.2611673612439847, 0.24702674130678856, 0.23991689377173442, 0.23908807351870953, 0.22542026218229397, 0.2097590459072236, 0.22027938994838284, 0.20534454513878053, 0.21734156071589816, 0.22603055971053018, 0.2672260954902242, 0.25165845501004297, 0.2572235650914558, 0.31030795962283364, 0.2672482875972507, 0.3698058567494337, 0.23550360166471793, 0.3092463841667784, 0.26939095154963333, 0.27650197832428614, 0.2952108173272517, 0.22806271124444596, 0.3474443026561103, 0.23453429557859962, 0.22455743963198418, 0.1957789169391776, 0.28676439418458116, 0.23833358896158385, 0.23011189505329468, 0.30894673908886544, 0.18797436845946375, 0.17025681834426734, 0.1605805477952563, 0.46376222615318674, 0.28665936829904687, 0.2721702444440061, 0.41043951325709477, 0.23168331544290485, 0.2862523802137575, 0.21205803390261507, 0.17762081353226414, 0.2221205548477677, 0.524992612881002, 0.2081848606606774, 0.17619920888973115, 0.21253167547352586, 0.17865174680804455, 0.27927691939703153, 0.2251581488511969, 0.2934218827992037, 0.524390411736256, 0.16498730431229042, 0.24523274658518882, 0.16254720847474796, 0.293126476603221, 0.1589067878744786, 0.169977444598137, 0.17473288150012778, 0.2220047545945392, 0.1367402637558488, 0.18456326826937255, 0.2025744815399871, 0.2047913108453702, 0.3537618157808577, 0.19710861972048824, 0.30460972933358066, 0.16271972389787875, 0.1927160172859354, 0.1540230055028643, 0.30592025793324523, 0.3783923152456844, 0.14221693063924803, 0.19036120352215552, 0.16180243569795486, 0.1462287736614984, 0.14233381333974204, 0.22056228803196168, 0.28616192866996853, 0.13269977736372765, 0.11436622169117915, 0.14433975966605292, 0.18474233588569094, 0.325810980015535]"
6,4,161.16427629678088,"[0.5431380102025538, 0.5210288662491973, 0.48948559837979605, 0.466477760017432, 0.4435471793890028, 0.480671764918785, 0.45265039973276744, 0.4983257804279148, 0.425108649589967, 0.3788336888053793, 0.3636043824483391, 0.3541991738062816, 0.33112092549382743, 0.3329849943250571, 0.31485915611234006, 0.3065652346661782, 0.3097238698242753, 0.2861254467099006, 0.30162341313051255, 0.25460744720024603, 0.2572531598728057, 0.24196219679960174, 0.23718745953343645, 0.26025120390224954, 0.2249841920879154, 0.24586088230594336, 0.24493219658185575, 0.2190876901789811, 0.23896614734419724, 0.2103273047007606, 0.21146782198443587, 0.18949654306462604, 0.2094426486684434, 0.18532452331026267, 0.19654173726930507, 0.16311638110600077, 0.20037943147117507, 0.19596878355065667, 0.17552954618117333, 0.20524447832507003, 0.1987407676996244, 0.20823972284379264, 0.1656597284205676, 0.18772319421376538, 0.21460111896164816, 0.18566469306843547, 0.1723440132773806, 0.17848894266923196, 0.17995024956049552, 0.1950662162231185, 0.2214466899313126, 0.20033459556827327, 0.1761379694062654, 0.19032959779104386, 0.17172506243996116, 0.20077284804995393, 0.19135617734067903, 0.21277822632292046, 0.18801649953177477, 0.18671956534514383, 0.25897794320572126, 0.16039880106606802, 0.21646195987962483, 0.2781237790772961, 0.1660017520804466, 0.1597574897467061, 0.210899115774932, 0.1892019826582885, 0.19237355213221813, 0.15552333730991247, 0.19142168104149956, 0.16953399031536506, 0.2536521706953368, 0.16975092166028155, 0.19662127335400031, 0.15307587157367308, 0.14903957756210046, 0.2253167724830516, 0.19973215603759106, 0.17680381747572677, 0.2378177196295405, 0.15518525770626027, 0.1862456339202274, 0.15092937253863792, 0.14475542559879287, 0.1607937262102388, 0.19510700813150145, 0.18365551431947108, 0.17344074035095758, 0.13598351888907634, 0.11149740418700467, 0.25163810628866795, 0.17137712105287084, 0.1454012899577521, 0.3223145366263656, 0.2194146060609205, 0.19013279293216034, 0.1251971507516657, 0.14638673618134027, 0.1422317619437606, 0.15402764410663264]"
7,5,160.84106337685063,"[0.6829461828712374, 0.7348941868760933, 0.7039098879136145, 0.6838207752529222, 0.6155044710325698, 0.5745587123146592, 0.5623227310506627, 0.5406778636256543, 0.5311795071690965, 0.5134016163880005, 0.48489632558620843, 0.48395884324098004, 0.4819548271239425, 0.460328266658665, 0.4610682674078271, 0.5021271968896811, 0.5209664936348175, 0.43170637415062324, 0.3950603434680185, 0.49548349997009306, 0.43860216535705454, 0.531544734404888, 0.40398014524990383, 0.4318067776186702, 0.4877438427629143, 0.36265673204053506, 0.3724993031000486, 0.36530522991815817, 0.40971455434240245, 0.4468523653042212, 0.40817157314532476, 0.4736752103721665, 0.3891470404884603, 0.40018273251696274, 0.3809902038233607, 0.4159832644771571, 0.4690256337596414, 0.5912977545127311, 0.5888393562045531, 0.3729632451476452, 0.5035164067489192, 0.4860271890496612, 0.5356868173053954, 0.7492132093350301, 0.44277939762362317, 0.39040546588969544, 0.46917485546393434, 0.6869534095105944, 0.7260319897666826, 0.5936439196754266, 0.5499098933252268, 0.4671416924557222, 0.758661185373591, 0.4191758326373504, 0.5408722719500656, 0.6324793522849723, 0.5144906616020428, 0.5614360822170905, 0.44213540140789215, 0.6106825521278855, 0.48558602832282, 0.4882634622033341, 0.6737709630811272, 0.5179010784841618, 0.5461589008921692, 0.4694436582265189, 0.4338657434011535, 0.6816607654431754, 0.7073705042589548, 0.5233879004542178, 0.5650813130649491, 0.3496115676426052, 0.5665561563415394, 0.47775222548806295, 0.531450304399926, 0.4013980905380777, 0.61482251633013, 0.37757266236594056, 0.4253509954116741, 0.5457047500733279, 0.5863487040240504, 0.5593741479469994, 0.48748724116972575, 0.45968065444795686, 0.5965675774573174, 0.6536020895876088, 0.36183368578963987, 0.6050709769377924, 0.6235831007926307, 0.5472227443369911, 0.3932426598805099, 0.9043556698317714, 0.4342644540024685, 0.4919408160218518, 0.5787698557249253, 0.6457214130635804, 0.7940476577242112, 0.6544954837931118, 0.48707468759443295, 0.600652479824001, 0.4364391043939804]"
8,6,160.34662324972658,"[0.5045008104782758, 0.5019629605543062, 0.49968747267818603, 0.4742159210858467, 0.47132969128973395, 0.45834826341883367, 0.4367630423661354, 0.42622950804543885, 0.4154767213817476, 0.3975261070906139, 0.3972325477305805, 0.3960124382813752, 0.3873795886544364, 0.3833692865315293, 0.36917512852741463, 0.36050938607073085, 0.363194435494677, 0.34040111935567385, 0.34163211516145575, 0.3554787671007276, 0.3372019572125282, 0.3142848045016445, 0.3597835702567835, 0.35068165201712503, 0.41660556219835204, 0.4076303100731235, 0.3641825081757592, 0.38197798984740367, 0.41734512002104823, 0.4450973095049055, 0.4130762533006928, 0.48894901733104684, 0.4418609943658808, 0.4132622546148231, 0.3783801456313501, 0.44618401083327663, 0.3754860722986239, 0.48027210671442183, 0.41052658317272656, 0.5580567165199499, 0.32740257953594326, 0.35201503715746163, 0.49438359008800475, 0.4182579782364445, 0.5712385672351239, 0.4205117329610462, 0.5058556448767033, 0.3656954179192848, 0.44786731071788344, 0.3551388861343534, 0.3341980555573783, 0.42003648585186115, 0.2935371970089713, 0.5212111859318642, 0.3772868100868199, 0.35222433438368395, 0.23528637906075256, 0.27954900092032925, 0.45704015717628516, 0.3518940182312949, 0.28353607690535915, 0.30741692040621876, 0.28676449757466355, 0.28029176832124025, 0.21314332917584825, 0.287633838802227, 0.21939248070132014, 0.21991584752962, 0.3486599030723185, 0.30909772566027793, 0.28427946003892895, 0.3067995804819151, 0.20853306034286923, 0.26023680894332946, 0.2539933667191287, 0.336259352383806, 0.1871523461493522, 0.29945954882723713, 0.21127561807080386, 0.22517727634983917, 0.20823377486863373, 0.304390301039444, 0.15556367065116308, 0.229783788215086, 0.17249327993502708, 0.36224864738677054, 0.14238377408395997, 0.18534609486915418, 0.21515655482209953, 0.16488339712188596, 0.19364049785378254, 0.20848716362066172, 0.19341885979850282, 0.2158826688119636, 0.2581317669232373, 0.2297094378211875, 0.3113324040638328, 0.22765085084570208, 0.17754940066176372, 0.2456485216682211, 0.19454946849072954]"
9,7,162.5881040264423,"[0.5123210870903927, 0.4495913970039559, 0.4180397812176806, 0.4107247525978025, 0.37920993292889577, 0.3745481719932903, 0.3713101585476156, 0.3809478336460524, 0.37413428442212365, 0.37901521975373575, 0.3512708311589043, 0.34914924031454725, 0.3342922365951517, 0.3400141663308488, 0.33718806556365216, 0.31191889711254583, 0.30148562224472447, 0.31021332111267363, 0.31394636895823586, 0.29342128720201344, 0.2844737303476677, 0.2758583380458238, 0.2594722586396784, 0.28760401596357743, 0.24322722610891426, 0.229787626489845, 0.24739036904602368, 0.2623356912529315, 0.23470447249186405, 0.22895276805516607, 0.2293706242069921, 0.23593498739549892, 0.21634275134306075, 0.23185798709264077, 0.20682592444056508, 0.21106460884473247, 0.1892037095948689, 0.19656191870181244, 0.19743454626033638, 0.2070526294167143, 0.21340447349046915, 0.19621817959581925, 0.18089545728562045, 0.21692034342068134, 0.1990449720060986, 0.19429180127219867, 0.1913772426428065, 0.1775755611306522, 0.17060225459830197, 0.1635506689129929, 0.15672340508681254, 0.2411197087388069, 0.23172710830669596, 0.18014964619254048, 0.1506428188484065, 0.25074731835572345, 0.1878252781524595, 0.18932680424087173, 0.17491653452920394, 0.2787518963489676, 0.16388295215681442, 0.19117988960319154, 0.295585289551363, 0.19511155896906252, 0.2069499997739986, 0.20796818035705952, 0.17555147545351127, 0.1971507799878854, 0.21731823480440118, 0.19364238262074224, 0.23475604726281657, 0.2030582673676625, 0.1871910410551464, 0.22867605411329128, 0.17229099751256033, 0.22115449833367326, 0.16196742313024506, 0.20247645009231, 0.1854564615002196, 0.1715040575075899, 0.2066926088546572, 0.19326887235383972, 0.2129408846345366, 0.18308376194115744, 0.26823235432587145, 0.26867692944871996, 0.21123280406335643, 0.20912986306871617, 0.21391789898873587, 0.21403935566599144, 0.24014709792058586, 0.21299545760336988, 0.19946183532918238, 0.1634390626095336, 0.16098902411802699, 0.19371195532496388, 0.16804552536997977, 0.1805176495029948, 0.17285694259032972, 0.22260409074309492, 0.177983809831761]"
10,8,162.40921454486116,"[0.6089560113729201, 0.5835463602184383, 0.57211380261554, 0.5407834684723843, 0.5361434692655473, 0.5130343290302463, 0.5001791846160826, 0.48504162343214, 0.48757576532838176, 0.46991412074597794, 0.4339368858431633, 0.42178928662619464, 0.41473828790636413, 0.42304519844642335, 0.41935957121661976, 0.4154309681507072, 0.3882159946772678, 0.4286599366032661, 0.39049384558903755, 0.41024071281715574, 0.3726101210036497, 0.35293734388390696, 0.3556816296348726, 0.3691963944423753, 0.3258239539469466, 0.3232447288417615, 0.3305389168556463, 0.32878658207610756, 0.38322586039568807, 0.3062211873972482, 0.29046156268855733, 0.3060830139857758, 0.25873452772737465, 0.35557742032039935, 0.277171526999462, 0.28686381712459863, 0.3014386694573954, 0.3910484732175359, 0.33877531735586824, 0.3080368305736172, 0.32713084446576957, 0.2803929951832813, 0.28068634806598786, 0.3094849605042558, 0.3240623593947533, 0.2890721668351854, 0.28333755840989217, 0.2893970733033788, 0.29050388429761725, 0.3104182957738463, 0.250369912744799, 0.3572914123129573, 0.26334260637842405, 0.260030636994972, 0.36975155701690365, 0.2522371928348484, 0.24907928679506217, 0.2478399034896964, 0.284382505703822, 0.3673516237167139, 0.239357958191185, 0.25004915539565586, 0.253991675303451, 0.3489598919939431, 0.25467988856810825, 0.460615323136752, 0.2979037483518509, 0.4477886808262437, 0.2810205420847431, 0.3435575895496538, 0.2904140908820457, 0.18401609270024502, 0.22747023604231698, 0.269884633805708, 0.29283344446615583, 0.1616433578990614, 0.3552375429445871, 0.26008547451752284, 0.19500797455287244, 0.23939943564183638, 0.783859238740872, 0.4597027098519979, 0.20324459611159731, 0.18223206903397188, 0.48503011396172, 0.22110013352374436, 0.14880100442888589, 0.18425792971601382, 0.4038535621908934, 0.19788759551114105, 0.23412908619216702, 0.7001973074287325, 0.2772351448429021, 0.21274915056926122, 0.20148990461311866, 0.2244709278512205, 0.18490001184030497, 0.15885905403843226, 0.19383759761105207, 0.2610153559296025, 0.15620790228667653]"
11,9,161.04115256323556,"[0.42016435485245207, 0.43985421178554457, 0.4679016013974397, 0.43979894002664865, 0.4168143134021501, 0.40633679589799304, 0.3782471338345662, 0.3461328741577344, 0.34629187789547633, 0.3167855210646283, 0.3058159833619972, 0.3084346467350412, 0.2925288101709558, 0.2912605539730596, 0.33511128129719897, 0.30510657737361574, 0.28104523311416785, 0.2976369138821725, 0.27282005356602723, 0.24615218336235614, 0.25330328010517633, 0.23278022601716514, 0.2657540292937426, 0.20544912080054986, 0.2739536974667095, 0.23861411825962747, 0.2263567227353232, 0.24982505867855373, 0.26532910272284727, 0.215129092002634, 0.19037870004162188, 0.2498882685464396, 0.27877505438782246, 0.1903228946738715, 0.22121560826208295, 0.16923703768979906, 0.20812511673264983, 0.20785305096161016, 0.2686727135799464, 0.27087313599112683, 0.2998098552891023, 0.24524695321946866, 0.22941910242203506, 0.18840774550853392, 0.27704416781376984, 0.23291828079984658, 0.19719125873924373, 0.18218693967874705, 0.1917210688873645, 0.23548578585164143, 0.1966496205883647, 0.25810713664745494, 0.21373093282533137, 0.21767436098059875, 0.3846994034609896, 0.25253515945866, 0.20759615765501357, 0.21312170865461752, 0.22697785148991997, 0.14726547838035625, 0.1348643071843551, 0.16253005775430412, 0.25331711703504084, 0.217471806126462, 0.15051409973591973, 0.2388205645744394, 0.3770537974721157, 0.18370036882899413, 0.19105585036855685, 0.2105964281400881, 0.2327768655841669, 0.13761674468401677, 0.1560857788334334, 0.2869249207813439, 0.1576978175283165, 0.12676698455235147, 0.12594733399549823, 0.20053578763521598, 0.29277691820499957, 0.18236847445265714, 0.2644534459921502, 0.22577658453004643, 0.23184372994154778, 0.22136981527341565, 0.12926988723883384, 0.11963730557319764, 0.27584841399992677, 0.1580768495956893, 0.33415116390324545, 0.39959256348529737, 0.15123444676105788, 0.18086325518554333, 0.13898136441649533, 0.1785491489385023, 0.1400237579436946, 0.14293779169609866, 0.12354338397629776, 0.27943642267973845, 0.14850697148615472, 0.32500609747677817, 0.1034665836206594]"
