1,clientid,distance,error
2,0,163.08153241416053,"[-0.5236872331679199, -0.5804954301458118, -0.43664585716272497, -0.49323958304898297, -0.3273074886934132, -0.20001716167693173, -0.16589719283004734, 0.017911668368263745, 0.2370618164368009, 0.4422878882061773, 0.4896384781046002, 0.41371761023775416, 0.393399642436968, 0.32071836721543445, 0.008796894587983717, 0.49156238143587894, 0.4863834501628318, 0.4592688892817039, 0.5402347235365309, 0.5997857165370715, 0.5276038255062279, 0.5660886212350325, 0.5647888235153956, 0.665071450464344, 0.5854574282988398, 0.6401968998914364, 0.6111390732872259, 0.5650307680332416, 0.63912990651862, 0.5280316175645742, 0.6327377653535322, 0.6618280089643023, 0.7557831173179105, 0.6030235201167851, 0.7248849317183943, 0.5422980040473806, 0.5931946812508573, 0.6785823173835349, 0.7059017854980104, 0.7665927999869179, 0.7587751142533153, 0.7100325317838618, 0.6676109964512482, 0.7529235374695886, 0.712858121050352, 0.7351337740756192, 0.58467099989158, 0.7164965108908412, 0.7014096270401001, 0.7600437468270614, 0.8074755988408927, 0.6901629903463526]"
3,1,163.9012244063334,"[0.48965705698895, 0.42382094964893824, 0.43880574702139974, 0.4938249161533787, 0.3266545983100918, 0.24408522983947445, 0.14036071842572162, 0.07532288051606884, 0.1696224824633511, 0.12666198715148602, 0.07013681243542436, 0.049161547365018654, 0.14104672394982443, 0.057970725491078845, 0.12227630608519702, -0.003655443071844844, 0.21768096377541435, 0.14508465856313157, 0.37980825944067775, 0.5324354299070144, 0.6708272488785615, 0.3118689603425798, 0.7697449353407272, 0.6154698135732597, 0.6671888963886639, 0.6394278551901472, 0.7115224088443954, 0.49594314413321977, 0.7235229470793793, 0.8169787959084007, 0.6278214724357827, 0.881380652837682, 0.7975258757637254, 0.8193108059696593, 0.944335311858171, 0.865553681574195, 0.811830622729598, 0.8899163226380965, 0.7448936867450616, 0.7985182644708557, 0.9593143492383399, 1.057288687875477, 1.0496463076587452, 0.7698994268263565, 1.0799019614624088, 0.8927352336874632, 0.7945825263597985, 1.144556280987373, 1.2524887062999057, 1.0753254413554885, 0.8477348806096108, 0.4274311185360453, 0.8702405811849561, 0.9485230634377372, 0.9178004239831523]"
4,2,161.91691109307618,"[0.5671162957216289, 0.5282517313940583, 0.45511092854027013, 0.32191233554709264, 0.34545572002958436, 0.4612883007455598, 0.4079136598311194, 0.4908712968132443, 0.4847874720780841, 0.3865553112201659, 0.46081797049337675, 0.5085211087411845, 0.5271463992479408, 0.498329773749487, 0.47412931011691944, 0.537061366938818, 0.42093771130560703, 0.48256988976684123, 0.44008811959824023, 0.47754429492176453, 0.5386161385813837, 0.5080154228909575, 0.5703887109086194, 0.523553609258441, 0.6025625488298977, 0.6960965136588662, 0.638515691994583, 0.7420549890852872, 0.6829382497558165, 0.6883971046998706, 0.825558699777655, 0.6059064760487376, 0.6694321429606173, 0.6342419289401844, 0.7465741601403055, 0.6866210527370677, 0.5764654545588683, 0.7103511973697215, 0.7060010676091587, 0.7953554942024638, 0.8180864456206891, 0.6868694792882579, 0.7673767209436559, 0.7519295770425454, 0.8660361046365831, 0.7638840935390945, 0.7032301100021625, 0.7871318294068229]"
5,3,162.1411096579629,"[0.5321842948092741, 0.6030200264573212, 0.44029326209702885, 0.5187581605033941, 0.41429707826233125, 0.44491285221894195, 0.4503790089335927, 0.3852319144031265, 0.4206626168006749, 0.3741273970191171, 0.44139362932517096, 0.34076292349501436, 0.43675482199242893, 0.42147636196156535, 0.22087097851997728, 0.36612862572719557, 0.33104825666805676, 0.3669612893581036, 0.4109148197992384, 0.4137090917062329, 0.44442680887220876, 0.3860088824139457, 0.4078884992696265, 0.4837926477715858, 0.5872657148869319, 0.5668697809691263, 0.5607726227420394, 0.5945669030292718, 0.5617908071838281, 0.6599791427492836, 0.7283845957234396, 0.6716723388380316, 0.6944726685122229, 0.722691900854264, 0.7342791530651347, 0.6672425849808634, 0.7237772879092216, 0.4713778896089839, 0.7359903993090078, 0.7591919200226009, 0.769777336641642, 0.7279110815378808, 0.7480460480743665, 0.2898648061164793, 0.6607371643776667, 0.591655893403674, 0.7182885022133092, 0.7613204572393398, 0.9973386529039041, 0.7632151068194089, 0.6148303505110165, 0.6511971379780603, 0.6806276614507866, 0.22340315588120585]"
6,4,161.16427629678088,"[0.5509448975121238, 0.4763888041042791, 0.5919702519373646, 0.6103900782630148, 0.6407891370309695, 0.5868122568902634, 0.5484441241449711, 0.5943042739852906, 0.6203829839431334, 0.6709233707921416, 0.6804773583581137, 0.6611546352318907, 0.6911561511156115, 0.6360914856902417, 0.6102351760624424, 0.7323404070881099, 0.7019910847131081, 0.6591515930762732, 0.6702115704366856, 0.5964265982712971, 0.6758339367309583, 0.7800426309139734, 0.7841638329587549, 0.4006110384797261, 0.7391142742321319, 0.7347973744453509, 0.6918620975973724, 0.778751005934074, 0.8390565781745859, 0.8113124736567894, 0.812315863204384, 0.8017923483716638, 0.8477087190852415, 0.7299885748282811, 0.8944245199616288, 0.8205982388524115, 0.7768489520786475, 0.8239067089998082, 0.9690038292794106, 0.8188839339378569, 0.9589559100981923, 0.7651709588614906, 0.7028660287736572, 0.8942943563621266, 0.9009471007794565, 0.9975514435936229]"
7,5,160.84106337685063,"[0.4706162695245196, 0.336378871592072, 0.3234612226920822, 0.267980524681819, 0.3840641540956373, 0.39406047204198935, 0.48304667690768843, 0.39386524154338987, 0.452850413483878, 0.4299204517419761, 0.4263944706056888, 0.5005727510216336, 0.4519709986141727, 0.582750887182774, 0.6857124669523909, 0.46838908308922933, 0.48481612763328785, 0.5462380367308894, 0.5345560862148462, 0.589716355257624, 0.4847057926835987, 0.5392826038048952, 0.5605271911771949, 0.5091785167956551, 0.5806562124102856, 0.517715504878967, 0.6325577008876644, 0.4618947927469707, 0.4070125951559263, 0.5518237024292951, 0.5718682017571458, 0.44614393047253537, 0.49966538693852885, 0.6093042651062812, 0.47469774148970223, 0.4139720558822941, 0.5007090608854682, 0.6447814191020613, 0.6236864480408015, 0.42559963645945875, 0.4363484833233179, 0.5285494476225191, 0.34054625796611615, 0.47605618825994456, 0.2298431539990876, 0.5953748540174095, 0.27699385395045584, 0.5109072900595433, 0.4824611824044556, 0.5867458703758499, 0.5429181084091381, 0.505154469589354, 0.3932347094112931, 0.5954076124369657]"
8,6,160.34662324972658,"[0.7159524306628344, 0.6342212466966558, 0.8264061139063076, 0.7550863862036852, 0.770939714127868, 0.7600091463895468, 0.6637821014988466, 0.642122897524708, 0.8360856490248066, 0.627104648246034, 0.6545181486226755, 0.5871869395676841, 0.5772474350282442, 0.5865556642229075, 0.5338247522418097, 0.5928921459288801, 0.5922392909675893, 0.7628684201691112, 0.6720372233368621, 0.6833279952426268, 0.6042479123728434, 0.6829200305896517, 0.6451505786898102, 0.7402490508713124, 0.6311153282851881, 0.5606757957894342, 0.5878015066916769, 0.8151784646640021, 0.6728316609755562, 0.7488002478258406, 0.7518201784479913, 0.676008053430649, 0.7618286300312698, 0.6326353771462602, 0.775341652134063, 0.6857353236810269, 0.774347185260947, 0.7547785446314048, 0.8261436516402235, 0.8513664263922831, 0.8903950210262108, 0.8626748240159411, 0.8597615025165839, 0.815240242383162, 0.8041276443903445, 0.8327888797299476, 0.8466386643355399, 0.9359716306909887, 0.894175760071837, 0.8644243169339664, 1.0394283724468254]"
9,7,162.5881040264423,"[0.8473879545494052, 0.8426321070203724, 0.7554150265147742, 0.7175734088289722, 0.7325376989395885, 0.7991891304543015, 0.671995267128423, 0.6440789612180282, 0.6383651123111718, 0.7416871895612526, 0.6790206615750786, 0.7742097356674211, 0.7051144758027448, 0.7902560040938135, 0.7044346327407265, 0.7484351833025069, 0.6829591965852426, 0.8051434103207705, 0.6383807866659956, 0.8161676809604569, 0.6749478301810492, 0.8576932319509833, 0.7463855094725127, 0.7377348766617742, 0.8998052953831893, 0.8286379064608185, 0.8282263515162741, 0.8128063565756636, 0.5496971211072181, 0.8162542508058473, 0.6756775596960409, 0.7904521439771757, 0.9695380063692234, 0.7982663730846689, 0.8678682164545579, 0.7321502466333734, 0.7146668773721829, 0.8337438641628829, 0.8433791871398313, 0.7950333373284466, 0.8966003637492004, 0.9275338147146546, 0.9721774507194674, 0.7296177121337215, 0.8544928467520922, 0.9945465877229047, 0.8398297192727847, 0.971122443954778, 1.0061178751813573, 0.9874493907663774, 0.9608050525577715, 0.9613462512462894, 0.9132975280527089]"
10,8,162.40921454486116,"[0.5436876358293835, 0.5019329206142443, 0.48756332717783435, 0.44214436975857047, 0.5469687459892003, 0.5086061057993736, 0.451911531971861, 0.4599719523615368, 0.5994920070798784, 0.4796307922523751, 0.45163962137651736, 0.5556742415412348, 0.5495301709458071, 0.5653429162887054, 0.56540789883386, 0.6037123933274415, 0.6722571962445599, 0.690264019858096, 0.7212210978295714, 0.6440784106896796, 0.5603891575298969, 0.6414054250204015, 0.6832254600355977, 0.7326444824700983, 0.625472074990483, 0.662661559760495, 0.7248905355616342, 0.7918689621690671, 0.7483563171894736, 0.6853213131503622, 0.6571257317386014, 0.822941036247226, 0.7272378951364655, 0.8374025487160959, 0.8099823937076389, 0.8821740688904661, 0.8308420209046796, 0.8542959305625766, 0.7858630532486968, 0.5461042409764892, 0.7103136197929671, 0.7357675642874737, 0.8271115497462964, 0.8316299435524555, 0.8165119285443254, 0.8346923822519399, 0.803423845874917, 0.9369524620094947]"
11,9,161.04115256323556,"[0.8367694356574082, 0.7809697789917369, 0.7389281176705293, 0.6171187912337629, 0.7769441270414286, 0.8091709766573617, 0.7441839731179221, 0.72314399079911, 0.883966095781038, 0.7041175392504935, 0.7020888233442761, 0.8346388991286898, 0.7125764381928796, 0.7960887786078883, 0.7288355988478764, 0.7332902905030275, 0.8746271815826093, 0.8118797210660694, 0.779649755863361, 0.8168339872724968, 0.6178502458775386, 0.8211115140320645, 0.9162487841733638, 0.798878020488629, 0.7815316978471805, 0.7072783778948429, 0.7320461588251433, 0.8296509464396032, 0.8461779750321439, 0.8557325718888653, 0.72109800885599, 0.7138779592487066, 0.7628760382562865, 0.7272163855855034, 0.8641937669678406, 0.7501500643661552, 0.8558816094077447, 0.9672638538334961, 0.8095989825699668, 0.6949638445215381, 0.8861827829002015, 0.9134417070879502, 0.9668720239123211, 0.8711586848020482, 0.991008166366805, 0.9328695366325656, 1.015914586875208, 0.8848722779713399, 0.8582504330447284, 0.8091228817266327, 0.7749963143751195, 0.6737673938812438]"
12,10,158.82725576233173,"[0.4944578638551377, 0.4178642736416497, 0.40655300902643576, 0.46879686284839506, 0.41386842394034523, 0.4047314549951747, 0.39229985094427783, 0.389738907353284, 0.3467566757510361, 0.4174258114224837, 0.36138717087038985, 0.2638539110872745, 0.33910457730741417, 0.365628997929946, 0.31288488880697596, 0.43736603329243534, 0.5001576113017192, 0.38504762398546155, 0.3112990001207772, 0.36315892466732963, 0.402364722867947, 0.437403564820804, 0.40793505958536, 0.4740995797997857, 0.4355120270543197, 0.4926507277919642, 0.45993465557920243, 0.45459125988056726, 0.558734467453919, 0.535808315243153, 0.5608835545252671, 0.4788653088704211, 0.5172195163605211, 0.4906521385262716, 0.44437427906386173, 0.5229003258116272, 0.6169295148593337, 0.49502853246843564, 0.45804973452783904, 0.5234587316602224, 0.48064614530277394, 0.5023835780973507, 0.4843546997444519, 0.5484298224354316, 0.5515915670266764, 0.6425128145332747, 0.5715805292700531, 0.5854056932251148, 0.5300421223374687, 0.5595373018977596, 0.592145160876062, 0.680385223360662]"
13,11,162.73115435501117,"[0.25010011020685474, 0.34377985568352487, 0.3675322084107282, 0.21097982371131752, 0.2875146109274274, 0.26949533241009793, 0.40983825555213865, 0.32475234459480573, 0.4837235090039042, 0.3976252193388775, 0.39464960005768646, 0.45415038930869017, 0.4361843999022683, 0.4874491839299129, 0.47822330083600134, 0.45807130746846314, 0.5706872112786384, 0.6331615435320314, 0.5664669123194697, 0.6125736506587445, 0.5548591151762364, 0.677309609590871, 0.6562874303939528, 0.6128965321727717, 0.6013025692469192, 0.746132039360037, 0.5384155382898573, 0.5707036827790697, 0.5090573700354264, 0.5821423316223501, 0.5199884807632438, 0.6827364539983461, 0.6472468152275248, 0.7742451025940141, 0.7074882069147749, 0.6360343623921911, 0.6338447205886177, 0.6726201309191023, 0.724322425717413, 0.7967807581092398, 0.8172747719686413, 0.6470577466724822, 0.7699120522085648, 0.6187797025852203, 0.542704148966989, 0.7932582832381341, 0.7384709858946539]"
14,12,160.74108812861704,"[0.6535639410337679, 0.5953422718075158, 0.5228100018055946, 0.4943426690809722, 0.5541107188038962, 0.59513243947635, 0.42690369467680794, 0.5077529270588143, 0.6861162351267911, 0.5151563928149194, 0.6912711108935874, 0.6568284991666611, 0.5629582398242695, 0.6333189718630281, 0.6512857254802501, 0.6318979853830622, 0.6409009199351718, 0.6815047082969876, 0.7196829607753029, 0.6425394682759955, 0.7636244119761236, 0.651610278044291, 0.6281611502414742, 0.7354861445898832, 0.8598087247717661, 0.7023844429275516, 0.6989143223005707, 0.6330585466759211, 0.6783060356951778, 0.7382317199322677, 0.7468049793151752, 0.7997562349656566, 0.6253277235081478, 0.7054643679866628, 0.9373932754783681]"
15,13,160.314174262491,"[0.3026292581381833, 0.2264221618357951, 0.12672445877160654, 0.12186452325385733, 0.18369567971994993, 0.3472149479453668, 0.18885112388684355, 0.2695783539334885, 0.3444397608805288, 0.31899041979251286, 0.4174554071782165, 0.2758552833786633, 0.40514261523972095, 0.26849353436687096, 0.4136043949108412, 0.3404920208767359, 0.42843808340581335, 0.4558636824190457, 0.39316049653929297, 0.4401887624399164, 0.4612748806276279, 0.6035744513369574, 0.42413858901142165, 0.5233371426341915, 0.5454010038063504, 0.43404605219371495, 0.6398951192274014, 0.42417587762172176, 0.4363313612550035, 0.3336728598994131, 0.5222767598350417, 0.2832306152377795, 0.57906210383064, 0.42744371800197883, 0.4636335010953252, 0.33922191989726513, 0.11846713561382605, 0.4309426057394733, 0.5429559771171035, 0.5785780735046238, 0.6989124108252165, 0.6407655311275757, 0.21701702621790808, 0.6279856492858777, 0.5722041073308224, 0.5782003756677712, 0.7598623264141299, 0.5891357902815892, 0.8903263149901606, 0.6050200028097606, 0.7569271019856325, 0.5980377219680207, 0.8051078854464221, 0.5295170465377548, 0.5468657874929097]"
16,14,160.73682290952962,"[0.3987121847664594, 0.32149421927974897, 0.25289917278024265, 0.23172454758636418, 0.20402781872313258, -0.04864599193604868, -0.14248066169378204, 0.024211557238967063, -0.03625214272277788, 0.08109890841317524, 0.021225533508431482, 0.21749957045209956, 0.19703603331420683, 0.17498037285676737, 0.2994393689447687, 0.4040794709766719, 0.3096686224559453, 0.4465242961885206, 0.5207974178617876, 0.4953234262781173, 0.45990581584749424, 0.5723866491744886, 0.449245952794001, 0.6010142175584134, 0.42626856311574984, 0.4782652797813487, 0.5364834043372368, 0.5477830934273149, 0.6970017097631023, 0.5792909417815274, 0.6430687334495622, 0.5079708048368512, 0.5129141659844666, 0.6435282687758341, 0.6576733626394304, 0.5952840230936431, 0.8398881638514978, 0.6390405221521674, 0.8156794880080191, 0.5325709835460721, 0.6368287395772113, 0.5520276889097717, 0.7211181061676072, 0.6883108406487439, 0.7531100491265624, 0.7461119301840636, 0.7036836747687492, 0.8176238066773023, 0.7898372972902005, 0.830140642712522, 0.7460612295474478, 0.7958017362142655, 0.7482642935785523, 0.8256245723132323, 0.6700236482758567, 0.8220024440568696, 0.8705466500272231]"
17,15,165.20656015498045,"[0.6235046734082822, 0.4161309811984203, 0.28966034113293826, 0.32830268426735953, 0.4303658888094112, 0.41334096412838983, 0.34947746549750175, 0.41338543235778064, 0.3138734333313565, 0.32899229144214615, 0.44101395177677605, 0.32058524163672475, 0.528923854500071, 0.5744417039493597, 0.30961997117190077, 0.3542017953303117, 0.355440508280757, 0.3204850048705611, 0.26089665276371604, 0.3456239328494264, 0.28489054259180124, 0.33916833843304917, 0.37803728219842725, 0.5230234990537848, 0.5174553563624205, 0.44336264968830275, 0.6691584775807493, 0.5116452365236409, 0.3356763323135836, 0.4419533979443438, 0.5233869901086976, 0.6074918417404431, 0.6506199662671739, 0.7340567337993795, 0.6721553000847281, 0.629280385965683, 0.6146875413142263, 0.6557704748219616, 0.6191453194498535, 0.7628474036933781, 0.8149815174137075, 0.9707141558195174, 0.8122903797704961, 0.7522804933664544, 0.7710074198019834, 0.8327058644290358, 0.9854425219955402, 0.7213878612664515, 0.912363236090443, 0.786985433508068, 0.8413661166254485, 0.8935014973669999, 0.8024810072150703, 0.8800858932124231, 0.9774193394436871, 0.8951551283156745]"
18,16,162.86014113282573,"[0.5205947567870045, 0.3393735677286054, 0.28967396557033265, 0.4461539058704193, 0.43170210903151746, 0.41639401138264054, 0.4272784684892076, 0.49855085817676176, 0.4370994405513884, 0.35817009739936884, 0.4407510525562805, 0.524931231713284, 0.42892287955940256, 0.5265839242460665, 0.5634828825867814, 0.5634419068101189, 0.5510503404728444, 0.5054332383346001, 0.5974492045063511, 0.5441737639858624, 0.5618849992634387, 0.6029301949901833, 0.7191990712791738, 0.5756087391699999, 0.5570208989357965, 0.5247166931133542, 0.6082832700664281, 0.6186790685820893, 0.5394293992434824, 0.511510712638682, 0.6493423909327274, 0.6909082004429096, 0.4252053919431236, 0.4342548951206501, 0.7235815555952492, 0.6332309344725187, 0.6241185629337757, 0.6478127751527258, 0.5852805545125221, 0.6679134716894819, 0.6369972025963553, 0.6544099280245096, 0.618827696817198, 0.6900317897058617, 0.8096500656495283, 0.5978930328213818, 0.7135912363055082, 0.5942635903976826, 0.5773445605758665, 0.6628770751408535, 0.7296207903936315, 0.5751224247643422, 0.8249173814418594, 0.6322246338154525, 0.7874741170230842]"
19,17,162.71666105658647,"[0.4316239313604001, 0.519121208056362, 0.5588698995850019, 0.47842054620519064, 0.5292537113066298, 0.5224172991204891, 0.47211680618223184, 0.5629526220678835, 0.5677655207149628, 0.5268083543081397, 0.6761093433897051, 0.6159665196514618, 0.6427410702922327, 0.6440110216395629, 0.7485262775346673, 0.6657360145548088, 0.6277761694246639, 0.6434803699442342, 0.7008475860887096, 0.7386295660685496, 0.6869694132334472, 0.6930495187571764, 0.6870408997264912, 0.8023593756085503, 0.7879416799300432, 0.728373048265563, 0.7789760747413723, 0.8485506517252861, 0.8458138661367518, 0.8578735060355793, 0.7065820370135367, 0.7627224211752341, 0.7097439338997164, 0.8175906978870863, 0.8501968799626239, 0.9878969228972797, 0.7588686723802103, 0.8263060516855547, 0.8692809081019747, 0.8699498079725416, 0.8100290388583027, 0.9751076598494348, 0.8840598112086249, 0.9197736406516018, 0.8852404694383343, 0.8095778665801544, 0.7925660546121486]"
20,18,162.2811006670658,"[0.9631405686040155, 0.7416720729465808, 0.7838786240879536, 0.8058724438134133, 0.7351707785020036, 0.7289859309029654, 0.704914069179093, 0.6520561729303493, 0.7276862172039839, 0.6730956907783119, 0.5960356494310008, 0.7226622692893028, 0.6245270129781667, 0.6373063816912594, 0.6434603471157047, 0.6299929455944835, 0.6168769229278896, 0.7115728437434666, 0.6849938604273609, 0.6030521825456783, 0.7207013411535839, 0.6281274683555802, 0.6248823865900656, 0.6372714044268173, 0.7525906925350307, 0.6591384341792416, 0.6468443497869532, 0.7115985574079979, 0.6644738702529741, 0.858644718033637, 0.7342962065974227, 0.7238317883466776, 0.9233192223344934, 0.8682106597867697, 0.7987926825761282, 0.8571909131646493, 0.9226783430420746, 0.9581232731957436, 0.9924632895590045, 0.852780835115038, 0.8461438056601338, 0.9195336836762653, 0.898493444932497, 0.801852221983308, 0.8994383478634063, 0.819731454944107, 0.8619985659778967, 0.9490265207187727, 0.9493279874637172, 0.9608431059414784, 1.006585515411361]"
21,19,157.14156880922107,"[0.7712536563779259, 0.6226933333482452, 0.6008779333558398, 0.6778512452954175, 0.7099170882809367, 0.6075339883319446, 0.670126304248438, 0.6958842168730368, 0.6358144796612191, 0.5822443626631459, 0.7174149182146421, 0.7670994963906894, 0.7274466115606917, 0.6594184869112395, 0.7999649177167361, 0.761471923746396, 0.7919679201248342, 0.8223236237546552, 0.8399330147633297, 0.8041767211478089, 0.8161163378194978, 0.7004618303635235, 0.8357198826258329, 0.8050462186076435, 0.7867822992519427, 1.0101082530515457, 0.8723148730836462, 0.8164351551702278, 0.8978159196847226, 0.8709068661885936, 0.7731864577150103, 0.8786576267931097, 0.9107239594684235, 0.9468069986260138, 0.9325467672285063, 0.9148663289479303, 1.003693024776494, 1.1161388644812469, 1.062215028682244, 1.0248694556940623, 1.02266805670507, 0.9621655392421571]"
1,clientid,distance,error
