1,group,error,var
2,0.0,0.4831168576744611,0.16110292638571921
3,1.0,0.41377432856469804,0.12344030020920518
4,2.0,0.5450430992850028,0.024217717362251253
5,3.0,0.42819994969225306,0.02324325205959092
6,4.0,0.3746477563552888,0.10179900388196843
7,5.0,0.44861866091470126,0.041795110249033374
8,6.0,0.4706922296333097,0.04139337088799187
9,7.0,0.4388058635889749,0.09381981023722763
10,8.0,0.40446679821850606,0.0663077471570396
11,9.0,0.3962287971268327,0.02395200382104922
12,10.0,0.4077108205820371,0.05284556553146833
13,11.0,0.4630640578803689,0.025935868441144427
14,12.0,0.5152185818345525,0.03776316495649335
15,13.0,0.38910292706911137,0.0391770836918778
16,14.0,0.49851663111323274,0.051263986281258264
17,15.0,0.4172410522345789,0.017133171696232043
18,16.0,0.4215239248968544,0.03273330256066743
19,17.0,0.42959950170374306,0.0353623802578777
20,18.0,0.47363383576803003,0.013807680710241844
21,19.0,0.4303783183015505,0.024907386630794826
22,20.0,0.4646032079062201,0.033180902391189974
23,21.0,0.41134543721971006,0.02519910279203607
24,22.0,0.49500581979004926,0.02476152646008959
25,23.0,0.5118139497915639,0.04299908974111747
26,24.0,0.4686277746654053,0.016431183243403775
27,25.0,0.5081407699072634,0.017991570845573006
28,26.0,0.5142804859172602,0.01182296010677375
29,27.0,0.511119309709384,0.039258040040116154
30,28.0,0.4881432406345597,0.015469311200196928
31,29.0,0.5155076454123668,0.01963522199015017
32,30.0,0.5674937335877634,0.012321977809621205
33,31.0,0.524115027910841,0.03354064770622021
34,32.0,0.47702584036015416,0.031651419727493815
35,33.0,0.5703008391167314,0.03455716810664759
36,34.0,0.5395845429467583,0.027265140161230626
37,35.0,0.5307589970866297,0.019676556647145967
38,36.0,0.5551739214107754,0.03041937842129453
39,37.0,0.5186588948023373,0.014894215522725249
40,38.0,0.578016532254645,0.023650897965242744
41,39.0,0.5536599273209034,0.01144853952930663
42,40.0,0.6089676875870959,0.012215795886492405
43,41.0,0.5746850800077934,0.020256095250531733
44,42.0,0.5223958062587131,0.027884878874095687
45,43.0,0.5656644203627685,0.015972951549440593
46,44.0,0.558314637859316,0.021165545177175227
47,45.0,0.583550588416923,0.027951203539702922
48,46.0,0.5915502196505459,0.03282386894157176
49,47.0,0.5938258601458648,0.022162706843605655
50,48.0,0.6255408082475586,0.015706776052213208
51,49.0,0.6277189629584421,0.011919808332984847
52,50.0,0.6314743399392159,0.007424675155096818
53,51.0,0.5483229719005116,0.027339020792644286
54,52.0,0.6537738808252106,0.00974043385191414
55,53.0,0.6186518851540652,0.020574230769449038
56,54.0,0.6288324541326945,0.007380449610630053
57,55.0,0.6325270180458387,0.010303085166159983
58,56.0,0.638247745022248,0.006893966474851599
59,57.0,0.6225736955254673,0.019722775224403487
60,58.0,0.6467364987306693,0.007278450872287267
61,59.0,0.6469040191391374,0.010837350485693314
62,60.0,0.6639940993502353,0.013347183269167132
63,61.0,0.6524053123494074,0.024173853410300178
64,62.0,0.6496090726699508,0.009358479614083703
65,63.0,0.6839162978804525,0.015765029910367028
66,64.0,0.6692823123681948,0.020163006341763066
67,65.0,0.6393548719810839,0.022719476706648555
68,66.0,0.6964297449863759,0.019881797300753404
69,67.0,0.6927220209695231,0.0184149176886892
70,68.0,0.691593170803779,0.008140530454768497
71,69.0,0.6764140243437123,0.02805939693305723
72,70.0,0.713147263898199,0.014704904410826081
73,71.0,0.6992830923213968,0.005243683998031568
74,72.0,0.6938980393841503,0.007162466516227208
75,73.0,0.7065207276701283,0.019113056553393397
76,74.0,0.7086108760745302,0.03083013809498361
77,75.0,0.7409222318943297,0.006005663187998149
78,76.0,0.692476488252616,0.010673168339579406
79,77.0,0.6967375227342764,0.03877333772063214
80,78.0,0.7054632911033334,0.024819551550736917
81,79.0,0.7414572369241731,0.012102587146516606
82,80.0,0.699469399718477,0.03265399338489999
83,81.0,0.6649787432827613,0.05063430141153846
84,82.0,0.710958143606579,0.014043677048222727
85,83.0,0.7958752446030302,0.011533810892687724
86,84.0,0.7461104884479697,0.022198017918484098
87,85.0,0.7359357462551924,0.00582115282532589
88,86.0,0.7518680359501234,0.024021169371299916
89,87.0,0.7362296341536533,0.029293462826840942
90,88.0,0.7205892820491324,0.0281579882749032
91,89.0,0.8028402256976829,0.024284179446437813
92,90.0,0.7311773310723648,0.027456510951501284
93,91.0,0.7576825944335173,0.024706024857530994
94,92.0,0.7584024330036516,0.016246477184162833
95,93.0,0.7621937055199657,0.01647289846967178
96,94.0,0.8041913484035904,0.01874047076310175
97,95.0,0.7551262875300536,0.029012061065406082
98,96.0,0.7767812306797481,0.022155982562454764
99,97.0,0.7434323705584374,0.01180607794117674
100,98.0,0.8352565740797602,0.013546961314038606
101,99.0,0.75912651553116,0.018636854582457372
102,100.0,0.782440990719554,0.027005852785605994
