1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,mnist,FedAvg,0,6.18033934870193,0.10208511853756069,0.5077446522773228,0.28480932456467917,0.29537808083044936
3,mnist,FedAvg,1,2.3193715027484827,0.2980862610682662,0.6074591416322157,0.3490161387789013,0.31651828080427824
4,mnist,FedAvg,2,1.9298429269353556,0.3204227363610397,0.7100776570940304,0.34679241370100417,0.2745019942869511
5,mnist,FedAvg,3,1.7062543831134709,0.3869180234218795,0.7897975070877481,0.3478273315110694,0.19934335793654184
6,mnist,FedAvg,4,1.5282640128781204,0.45672664952870606,0.8351217739614355,0.3432856170569517,0.15873684890904188
7,mnist,FedAvg,5,1.3726740879652106,0.5133390459868609,0.8664444069395565,0.323407308934361,0.12847931113347186
8,mnist,FedAvg,6,1.2361393537810639,0.5699514424450157,0.8883247514814702,0.2923343534447393,0.10677542625319754
9,mnist,FedAvg,7,1.131642982626321,0.6153670379891459,0.9027025003263345,0.2713934752791791,0.09405290798620235
10,mnist,FedAvg,8,1.0446981363714454,0.64764353041988,0.9136767249818697,0.25691743307726506,0.0837828893861682
11,mnist,FedAvg,9,0.97293470781854,0.6730648386175379,0.9220921384684321,0.2467132026279791,0.0760216019683133
12,mnist,FedAvg,10,0.9158258117578209,0.6930019994287346,0.9286240349990738,0.23722812507254248,0.06901476836680184
13,mnist,FedAvg,11,0.8670100410711348,0.7055698371893745,0.9338423078331882,0.23280307425149788,0.0635444199305469
14,mnist,FedAvg,12,0.824309052100501,0.7177377892030848,0.9382288712209131,0.22822463674765298,0.058836898086238376
15,mnist,FedAvg,13,0.7851273599459817,0.7291059697229363,0.9420929311545351,0.2234368636658578,0.05443649655099914
16,mnist,FedAvg,14,0.7502756120610095,0.7388746072550699,0.945414100822195,0.21601472165325378,0.05060219852525203
17,mnist,FedAvg,15,0.7215361893197159,0.7474435875464153,0.9481499564658524,0.20928748087889304,0.04746576770926545
18,mnist,FedAvg,16,0.6958097710651225,0.7566409597257926,0.9506822431221691,0.2012267799164702,0.04433675792149211
19,mnist,FedAvg,17,0.673392432636339,0.7660668380462725,0.9527532505852827,0.19147025553626568,0.04195166573931426
20,mnist,FedAvg,18,0.6546857495551212,0.773207654955727,0.9545118778319278,0.18608347079144957,0.040014789064669626
21,mnist,FedAvg,19,0.6346620893428351,0.781033990288489,0.9563281024594785,0.1780031611818506,0.03782372688268349
22,mnist,FedAvg,20,0.6177245104736202,0.7885175664095972,0.9578461214291415,0.1707494595142833,0.0360691450430294
23,mnist,FedAvg,21,0.6021468774986755,0.7952584975721223,0.9592698848444907,0.16395255371798811,0.034235026027243445
24,mnist,FedAvg,22,0.5866264395330151,0.801256783776064,0.9606241101389037,0.1584522109180409,0.03276693707196229
25,mnist,FedAvg,23,0.5738384763043753,0.8055412739217367,0.961740131917789,0.15404989624463217,0.031510991037530856
26,mnist,FedAvg,24,0.5630419139475896,0.809711510996858,0.9627140550873752,0.14780223284080157,0.030211561188414882
27,mnist,FedAvg,25,0.5526512541346542,0.8137103684661525,0.9635589650502523,0.1421239297299458,0.029212789444645518
28,mnist,FedAvg,26,0.5433333536099131,0.8181091116823764,0.964341845857737,0.13742493876552894,0.028228856534379707
29,mnist,FedAvg,27,0.5339952389722527,0.8213653241930877,0.9651126245190059,0.13374059756126416,0.02730456181961539
30,mnist,FedAvg,28,0.5248659115352156,0.8252499285918309,0.965835209576736,0.13010987894103956,0.02643125381839232
31,mnist,FedAvg,29,0.5183493337234778,0.8278777492145102,0.9663700519762765,0.12766083577751527,0.025717299022497416
32,mnist,FedAvg,30,0.5098223968940179,0.8310768351899457,0.9670054649922025,0.12415751881222092,0.024931697989550923
33,mnist,FedAvg,31,0.5037834752598668,0.8329048843187661,0.9674670215314956,0.12158827668296364,0.024476678635371993
34,mnist,FedAvg,32,0.49764363913513465,0.8348471865181377,0.9679238946193941,0.119425023618894,0.023890442991468395
35,mnist,FedAvg,33,0.4923339941768544,0.8369608683233362,0.9683107377174472,0.11721251897983744,0.023482050028461335
36,mnist,FedAvg,34,0.48648496674999525,0.8395315624107398,0.9687233856064078,0.11508272992892953,0.02302696582905801
37,mnist,FedAvg,35,0.48163847068904825,0.8410739788631819,0.9690551609349357,0.11354646902797717,0.02261058239741477
38,mnist,FedAvg,36,0.47665763709801184,0.842787774921451,0.9694260391129815,0.11124273197926848,0.022209428608091247
39,mnist,FedAvg,37,0.4730273176669102,0.8439303056269637,0.969676758738578,0.1096350903687979,0.021963750677781852
40,mnist,FedAvg,38,0.46923897728204095,0.8458726078263353,0.9699425357071692,0.10732923359398344,0.021603939784750496
41,mnist,FedAvg,39,0.4656595364378039,0.8466723793201942,0.9701613518786378,0.10577046338052822,0.021374619948264062
42,mnist,FedAvg,40,0.4620740084972406,0.8479291630962582,0.9703926164465349,0.10669239944575003,0.021111916101883243
43,mnist,FedAvg,41,0.4592058274011848,0.8487860611253928,0.9705835411041497,0.10335805606191986,0.020852611763113156
44,mnist,FedAvg,42,0.4569002218838016,0.849528706083976,0.9707453213001035,0.10208790027254754,0.02067814567398726
45,mnist,FedAvg,43,0.4544154849927998,0.8506141102542131,0.9709172119972113,0.10100339176976054,0.02051663461066876
46,mnist,FedAvg,44,0.4514204425121077,0.8514710082833477,0.9711088936868493,0.09966507519058064,0.020241741086407215
47,mnist,FedAvg,45,0.4491602212061125,0.8516995144244501,0.971267840124991,0.09905757341443629,0.02005316131734679
48,mnist,FedAvg,46,0.44733894955425346,0.8521565267066552,0.9714083530516896,0.09830971240754996,0.019867986081174183
49,mnist,FedAvg,47,0.4451982634233785,0.8527277920594116,0.9715580319576617,0.09739769321592465,0.019698151747031132
50,mnist,FedAvg,48,0.4431849111855275,0.8535275635532705,0.9716893283346929,0.09666551358032481,0.019556610578885927
51,mnist,FedAvg,49,0.4417873214365999,0.8533561839474436,0.9718052899755311,0.09615526709879159,0.019433342338718573
52,mnist,FedAvg,50,0.4400099128250912,0.853756069694373,0.9719308677381926,0.09580638796394406,0.019343625552740683
53,mnist,FedAvg,51,0.4380625806484125,0.8548414738646101,0.9720695969929416,0.09465628571642742,0.019183358930188344
54,mnist,FedAvg,52,0.4364691575932029,0.8554127392173665,0.9721852719881694,0.09488228697209462,0.01908556142759869
55,mnist,FedAvg,53,0.4351546498746454,0.856269637246501,0.9722832762921912,0.09398891299375083,0.018982540252650244
56,mnist,FedAvg,54,0.433867426124081,0.8566123964581548,0.9723909699589869,0.09337918422900858,0.018894739845679284
57,mnist,FedAvg,55,0.4325783880405388,0.856898029134533,0.9724848251811758,0.09316427959743372,0.018827076430651023
58,mnist,FedAvg,56,0.43139902554110443,0.8574692944872894,0.9725660087302592,0.09280972617514192,0.018775238363969556
59,mnist,FedAvg,57,0.43043478498730187,0.8576978006283918,0.972646373923211,0.09260464666643162,0.018689831773265962
60,mnist,FedAvg,58,0.4288532306883188,0.8583833190516995,0.9727472627751979,0.09228289039054881,0.018630131728623763
61,mnist,FedAvg,59,0.4277308076647286,0.8589545844044558,0.9728297115860961,0.09222050690961665,0.01857822824703886
