1,clientid,distance,error
2,0,168.2594959959101,"[0.49159324531194154, 0.34732479883076, 0.3202903805812345, 0.28970258605201465, 0.2584606883634895, 0.23147054657394683, 0.2074858572277043, 0.18668815467592487, 0.17056326383457426, 0.15792812214620267]"
3,1,174.37781668656552,"[0.2832930732587489, 0.07920113580816371, 0.06483352548974945, 0.06097736751936107, 0.055595497618021725, 0.050393950246286214, 0.04595642515669702, 0.04203077926016082, 0.03890168218456182, 0.0361041937822285]"
4,2,181.07903904559686,"[0.7812452746675262, 0.6185140491198399, 0.5443057939325445, 0.46698731592554393, 0.39446550658631163, 0.33190409716115027, 0.2784593634114936, 0.23561751640543663, 0.2032485921940861, 0.17967434711696115]"
5,3,175.4636486445999,"[1.1144308921974806, 0.8947194855161147, 0.7771170726790195, 0.6951349363962858, 0.6197777121960293, 0.5448515206002154, 0.4822698096621943, 0.42532949417234656, 0.3830923407605889, 0.34829599807658834]"
6,4,166.78258478912414,"[0.7169996330803665, 0.5664723051498911, 0.483297100368737, 0.42391756683796694, 0.3812146840904224, 0.3542081195740619, 0.3241873831567148, 0.30019020051249945, 0.2849586910829663, 0.2711226891942316]"
7,5,176.74105245269047,"[0.731950534498799, 0.6675511242008471, 0.6438373932087604, 0.6073256147722711, 0.5644683277729541, 0.5297492702813773, 0.4981552142481076, 0.46422941914078725, 0.4374782978012027, 0.4152107040607971]"
8,6,168.78738686567038,"[0.14618567712689412, 0.03970328855366524, 0.01785833284601429, 0.012095192437415718, 0.010243912762340166, 0.009664994248958865, 0.009299675215992427, 0.009269363009880903, 0.009201745785737792, 0.009311942861099735]"
9,7,173.92749948867672,"[0.5476017330408554, 0.4446338950979242, 0.3719713388418519, 0.3029277777400805, 0.2520540402439299, 0.2065774620679804, 0.16172714703687507, 0.12905905822818858, 0.10705189429524736, 0.09118463293672457]"
10,8,181.35124408069495,"[0.2043659681204095, 0.028822270691144597, 0.028972301660835354, 0.02754045346379975, 0.025519093983796245, 0.023530276647096487, 0.021920155220597273, 0.020899777575078896, 0.020071418209050507, 0.019233648059797367]"
11,9,177.27036557616654,"[0.4606672277389875, 0.4250062023779791, 0.3434128543508225, 0.26329460227898926, 0.210419131154013, 0.1703349972802493, 0.13584135917787446, 0.11601167016519401, 0.10207624122179804, 0.09223089608827]"
