1,group,error
3,1.0,1.1746380495773212
4,2.0,0.7436689915834315
5,3.0,0.35490572478390053
6,4.0,0.18082018314952608
7,5.0,0.07430663298266157
8,6.0,0.0437052289344048
9,7.0,0.23702230944030947
10,8.0,0.18848980338397267
11,9.0,0.17937633710557685
12,10.0,0.6073414635806711
13,11.0,0.03681609271555245
14,12.0,0.7073060384444428
15,13.0,0.4286034834724824
16,14.0,0.32522423501047343
17,15.0,0.48008645116599574
18,16.0,0.032955920752734055
19,17.0,0.006000402406015481
20,18.0,0.17187959372425052
21,19.0,0.03542783504718133
22,20.0,0.03651682800275594
23,21.0,0.04728426233786683
24,22.0,0.018830719349002416
25,23.0,0.01485426628656932
26,24.0,0.05001620345860301
27,25.0,0.038919911358797486
28,26.0,0.01613219079662012
29,27.0,0.2633452785924559
30,28.0,0.09139818853932034
31,29.0,0.03270000641225986
32,30.0,0.07887919022185907
33,31.0,0.10966764396639318
34,32.0,0.06428550247245662
35,33.0,0.08881690895548498
36,34.0,0.2376840171034836
37,35.0,0.04059041503350782
38,36.0,0.11556001264518402
39,37.0,0.05787894789531611
40,38.0,0.12044256698254174
41,39.0,0.029822800776483673
42,40.0,0.086114315051695
43,41.0,0.16148102709960735
44,42.0,0.3501486654819455
45,43.0,0.027227567500951937
46,44.0,0.037106918635469506
47,45.0,0.03553487654823556
48,46.0,0.03961933095816163
49,47.0,0.13331301005444274
50,48.0,0.12650137610710585
51,49.0,0.039484475556637984
52,50.0,0.3221914214979534
53,51.0,0.32518186461231674
54,52.0,0.08209544941368076
55,53.0,0.15374940793568162
56,54.0,0.039707341271786205
57,55.0,0.04184934897951346
58,56.0,0.038981391646240426
59,57.0,0.06336822357160772
60,58.0,0.025283775821085534
61,59.0,0.011233384839884999
62,60.0,0.026148673470304726
63,61.0,0.058452496486459324
64,62.0,0.01987755526045758
65,63.0,0.10071792927197734
66,64.0,0.05223824636778378
67,65.0,0.07357968036557708
68,66.0,0.07840158944836188
69,67.0,0.053404101033896846
70,68.0,0.07679571351097486
71,69.0,0.013662257599864865
72,70.0,0.049579363718955285
73,71.0,0.04047644379001459
74,72.0,0.057367788069685795
75,73.0,0.11669105658303773
76,74.0,0.0182532783866041
77,75.0,0.2885226290905294
78,76.0,0.0286365449447417
79,77.0,0.20730448836191925
