1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,join_ratio
2,Cifar10,FedDA,0,2.305912733131018,0.10808289464916372,0.5066627693106875,0.17819068061222287,0.20771729139704956,0.5
3,Cifar10,FedDA,1,2.6102183351501456,0.13400413140534417,0.5256667610439573,0.22112703584351717,0.2758860739852252,0.5
4,Cifar10,FedDA,2,3.8057548688512743,0.1938428733257813,0.5338015418046603,0.30569475500251453,0.27969463825122265,0.5
5,Cifar10,FedDA,3,3.739220564944727,0.15825947890984207,0.5408626009013228,0.23381050330360664,0.2365194835962838,0.5
6,Cifar10,FedDA,4,4.420105764339842,0.20583727593789564,0.5482970604364868,0.3219216675328152,0.29065274500468435,0.5
7,Cifar10,FedDA,5,2.566797535479159,0.18431398680615713,0.6129001372813822,0.2412204758545993,0.2267673554724698,0.5
8,Cifar10,FedDA,6,3.327102183788037,0.18951156127140667,0.5731587655774317,0.24840196295248032,0.24105855090154404,0.5
9,Cifar10,FedDA,7,4.746543685124618,0.1934430599053775,0.5632486893360298,0.30733560417438205,0.2629155395159207,0.5
10,Cifar10,FedDA,8,3.894354240326018,0.2117012061038182,0.5849027423858035,0.29478372441653905,0.2885492173042144,0.5
11,Cifar10,FedDA,9,3.3339634052029883,0.22189644832411543,0.6075042414626722,0.2910867417771877,0.2795313600869656,0.5
12,Cifar10,FedDA,10,3.7343151281794205,0.21876457653095222,0.5999489150605434,0.2786840920935189,0.262696898793411,0.5
13,Cifar10,FedDA,11,2.868089598569004,0.2112347571133471,0.6249170336483594,0.24497912381494452,0.2070355833128844,0.5
14,Cifar10,FedDA,12,2.540521344837796,0.24108749250349837,0.6645577957330432,0.24976692368838405,0.2091478647658276,0.5
15,Cifar10,FedDA,13,4.116447610836469,0.13726927433864197,0.5960167617443909,0.21867023464565577,0.13120094659972634,0.5
16,Cifar10,FedDA,14,2.709011567563195,0.24008795895248883,0.6597898719760696,0.24000505029901242,0.23561622694171278,0.5
17,Cifar10,FedDA,15,3.245680693603597,0.1696541613913507,0.6156116309870264,0.21190257136936386,0.17765664290853905,0.5
18,Cifar10,FedDA,16,3.870112068514751,0.18384753781568602,0.596830806957307,0.23457649760884514,0.20198930316976052,0.5
19,Cifar10,FedDA,17,3.822646792996935,0.12394216032518159,0.6091228056925391,0.2842051557477171,0.17643029256481893,0.5
20,Cifar10,FedDA,18,4.73502582041685,0.16085826614246684,0.5818111205145607,0.33380346325324456,0.22460669333216496,0.5
21,Cifar10,FedDA,19,3.6027596525195458,0.21276737522489506,0.6387670895385307,0.2878491707910334,0.21250097919962402,0.5
22,Cifar10,FedDA,20,4.155120126296865,0.14120077297261277,0.5939800958398987,0.1990138874239675,0.17341509610368347,0.5
23,Cifar10,FedDA,21,3.564863828465377,0.21190111281402013,0.6423505660476795,0.2883383472058,0.21527587038956636,0.5
24,Cifar10,FedDA,22,3.690919791947471,0.1586592923302459,0.6270006574082172,0.2124466941714063,0.1317860169978493,0.5
25,Cifar10,FedDA,23,3.243677228823429,0.2222296261744519,0.658336059222065,0.2788831143193548,0.19677155876448024,0.5
26,Cifar10,FedDA,24,5.29239515528636,0.16325714666488972,0.5965877033752834,0.24004115322592967,0.14888468808970887,0.5
27,Cifar10,FedDA,25,3.4241377821960324,0.21856466982075032,0.6522620896428754,0.279375371772955,0.2175518182826112,0.5
28,Cifar10,FedDA,26,3.7003956420086492,0.16432331578596654,0.6161958297273038,0.22615660594354073,0.21315441391411188,0.5
29,Cifar10,FedDA,27,3.7656478037621284,0.21903111881122142,0.6416366844304836,0.29127845048501405,0.19772240851201126,0.5
30,Cifar10,FedDA,28,4.509775200823722,0.20577064036782836,0.626902301021667,0.2992989670734775,0.19679968644334017,0.5
31,Cifar10,FedDA,29,4.663021368583722,0.2044379289664823,0.625585340984575,0.3010377814404494,0.19659083257987048,0.5
32,Cifar10,FedDA,30,4.230865931884932,0.2147664423269141,0.6356130808115941,0.2968773945130712,0.200362800861382,0.5
33,Cifar10,FedDA,31,3.667054609945351,0.2186979409608849,0.6559501941374608,0.2898898190657743,0.1871458670540834,0.5
34,Cifar10,FedDA,32,5.25196276069906,0.20157259945358832,0.622464808868494,0.3054245624755292,0.197175307502443,0.5
35,Cifar10,FedDA,33,3.774105153206069,0.22083027920303858,0.6514554641288333,0.27777118081787405,0.2043603180991723,0.5
36,Cifar10,FedDA,34,3.8506442156591247,0.1832478176850803,0.6454203453655296,0.25854126606560346,0.1849986365069742,0.5
37,Cifar10,FedDA,35,3.0177282661810567,0.22702738721929766,0.6530775736763108,0.19782709380964558,0.18177359610433835,0.5
38,Cifar10,FedDA,36,3.2852973748244665,0.2045045645365496,0.6485381084385367,0.20732159568922368,0.1548580999397798,0.5
39,Cifar10,FedDA,37,3.897091377307152,0.17511827813686945,0.6261428179454611,0.21300024913359672,0.16552562775173305,0.5
40,Cifar10,FedDA,38,4.853066776747236,0.17105350836276403,0.6059320720998898,0.23403742202093672,0.19038299132518463,0.5
41,Cifar10,FedDA,39,3.392803230026097,0.22043046578263478,0.6411571626074063,0.2246486984409443,0.21750987416127568,0.5
42,Cifar10,FedDA,40,5.1675528584671575,0.18091557273272474,0.5948978078173258,0.27505062716041684,0.24222652561178779,0.5
43,Cifar10,FedDA,41,4.677856821151316,0.194442593456387,0.6024059847079829,0.22789158913442387,0.2294380756268114,0.5
44,Cifar10,FedDA,42,3.1791681009408386,0.23615646031851803,0.6810422020420057,0.2568421495273523,0.1393945369347016,0.5
45,Cifar10,FedDA,43,3.787658948417072,0.2254947691077497,0.6601787661477249,0.2802861909930134,0.18950194325238917,0.5
46,Cifar10,FedDA,44,6.017190153066716,0.16132471513293797,0.603405941857857,0.2362163234801945,0.13993414668862644,0.5
47,Cifar10,FedDA,45,2.8999518478713533,0.22915972546145133,0.6725667018479289,0.16713861364319796,0.140687852049596,0.5
