1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,Cifar100,FedGen,0,11.976702011859624,0.009375,0.4972738793219446,0.031026445522477086,0.11837273202026592
3,Cifar100,FedGen,1,6.708102118605015,0.021808510638297873,0.52197358915981,0.03324631489296062,0.13543806172469103
4,Cifar100,FedGen,2,5.1272418090774,0.03357712765957447,0.5717774218229373,0.05440859869033456,0.1493057599132347
5,Cifar100,FedGen,3,4.99301439965331,0.028590425531914893,0.600628962328075,0.05205946873109806,0.13537570089831485
6,Cifar100,FedGen,4,4.889881610572392,0.04268617021276596,0.632631866595698,0.05471458216913429,0.13389914846463352
7,Cifar100,FedGen,5,4.744370827524178,0.05831117021276596,0.6472625143591764,0.06551633454942296,0.14194313779707646
8,Cifar100,FedGen,6,4.720360743416311,0.04734042553191489,0.6782126859317481,0.05002800612728833,0.11887240477054224
9,Cifar100,FedGen,7,4.582807377073897,0.055053191489361705,0.6922496714060461,0.05651955439059535,0.10522899659530315
10,Cifar100,FedGen,8,4.536777273153029,0.05292553191489362,0.6998331931685802,0.0592474469500326,0.10974903920867339
11,Cifar100,FedGen,9,4.5354254387080974,0.050132978723404255,0.7071410576177946,0.057991381297319164,0.10515471332270358
12,Cifar100,FedGen,10,4.392694996501948,0.07267287234042553,0.7166892059758138,0.06744835869197523,0.10166889157098404
13,Cifar100,FedGen,11,4.290198954689228,0.08503989361702127,0.7271498013344249,0.06272579413158758,0.09821663378853096
14,Cifar100,FedGen,12,4.3970458885321255,0.0764627659574468,0.7357934848055216,0.05613228221788652,0.08004448164692181
15,Cifar100,FedGen,13,4.272981493276393,0.08809840425531915,0.7417479727073901,0.06421997216304341,0.07968903714740991
16,Cifar100,FedGen,14,4.361808223674136,0.0834441489361702,0.7355767981082542,0.0637775813683336,0.09511685608090938
17,Cifar100,FedGen,15,4.286297729602351,0.09720744680851064,0.7480958578691768,0.06592345687091207,0.0815852939856583
18,Cifar100,FedGen,16,4.301970637561891,0.09747340425531915,0.7397186659879789,0.07640459301069243,0.10065674499478097
19,Cifar100,FedGen,17,4.3211885474660825,0.09980053191489362,0.7486299277452285,0.07917153986518226,0.09565795293808622
20,Cifar100,FedGen,18,4.153218955785925,0.1040558510638298,0.757916760608593,0.07072858654018103,0.08317296973956038
21,Cifar100,FedGen,19,4.276094177752132,0.10518617021276595,0.7589636519030767,0.06368901086948138,0.07948901818522092
22,Cifar100,FedGen,20,4.189289902644676,0.10478723404255319,0.762443915514895,0.06579769835597142,0.07543262618430831
23,Cifar100,FedGen,21,4.2015278558393945,0.09840425531914894,0.7624836504328265,0.06778021973742615,0.07535903617042389
24,Cifar100,FedGen,22,4.154262388275044,0.10977393617021276,0.7696134921403911,0.06898826134025712,0.06407198808556529
25,Cifar100,FedGen,23,4.1859034765215775,0.10325797872340425,0.7653269475327358,0.06786442857760457,0.07192636513886497
