
1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,Cifar100,FedProx,0,4.615562544410243,0.00826226012793177,0.49925935941762684,0.006105447987905244,0.047671385134914035
3,Cifar100,FedProx,1,4.457195033405285,0.045109275053304906,0.6368378652584916,0.03163032881248249,0.10436053248453146
4,Cifar100,FedProx,2,4.2010282484413235,0.07482675906183368,0.7194048493028814,0.030043522833101313,0.08317694350343166
5,Cifar100,FedProx,3,4.0299300374329,0.08395522388059702,0.7615850214634943,0.04324723881503249,0.048611586420093125
6,Cifar100,FedProx,4,3.950076074601068,0.10347814498933902,0.7769115643512119,0.046828487713768796,0.05450488313329084
7,Cifar100,FedProx,5,3.808600489794413,0.12020255863539446,0.7932581959819051,0.05574201926465909,0.05607936344396055
8,Cifar100,FedProx,6,3.7776149859888193,0.1220682302771855,0.8023371351377415,0.06367078674587764,0.05457554467597789
9,Cifar100,FedProx,7,3.698508424874282,0.12913113006396587,0.8129629201218169,0.04731678638761852,0.04838736539149836
10,Cifar100,FedProx,8,3.6333794929849317,0.13132995735607675,0.8238341158669706,0.038613884319921826,0.030080681946708838
11,Cifar100,FedProx,9,3.626004290822519,0.12839818763326227,0.8230468883838306,0.04083977163558309,0.0363425900428
12,Cifar100,FedProx,10,3.5353522219335116,0.1423907249466951,0.8297600315472947,0.04674268336056231,0.035191580477454146
13,Cifar100,FedProx,11,3.491514801189073,0.15471748400852878,0.8318748034624219,0.044856662067432086,0.04198685280874379
14,Cifar100,FedProx,12,3.489433436233831,0.15025319829424308,0.8329039882514283,0.04229346211088588,0.035955865348690025
15,Cifar100,FedProx,13,3.5319610789161073,0.15171908315565033,0.8269132306132178,0.04669612296094933,0.04985934878491065
16,Cifar100,FedProx,14,3.4367151884085407,0.1558502132196162,0.835741854821179,0.06303409450510301,0.04018433988596217
17,Cifar100,FedProx,15,3.3975106008354827,0.15571695095948826,0.8390084874024646,0.04434770571644214,0.03065799350465652
18,Cifar100,FedProx,16,3.320575854716681,0.16084754797441364,0.8434909060300856,0.055921640542930334,0.032661769033585204
19,Cifar100,FedProx,17,3.372697234678642,0.15538379530916843,0.8378445595048932,0.05408992176522507,0.039854266069496914
20,Cifar100,FedProx,18,3.348811507166715,0.15631663113006397,0.8399775510605278,0.042753514030417605,0.040814568464778746
21,Cifar100,FedProx,19,3.3658815009873697,0.1566497867803838,0.8395180316307292,0.0443930374783306,0.03773109034893272
22,Cifar100,FedProx,20,3.270147359237576,0.16744402985074627,0.8447780837846215,0.04519042345990301,0.03494627070998575
23,Cifar100,FedProx,21,3.281087128498857,0.16591151385927505,0.8435909558387013,0.04393465813459825,0.030548894417922738
24,Cifar100,FedProx,22,3.2685307526934126,0.1695095948827292,0.842755297794011,0.04817287885943124,0.03735228981427232
25,Cifar100,FedProx,23,3.3450046566680665,0.1583821961620469,0.8391512317520482,0.034803246960784864,0.032600659928535884
26,Cifar100,FedProx,24,3.2761784640973075,0.16371268656716417,0.8420470628793812,0.048322676578448444,0.03274787963541565
27,Cifar100,FedProx,25,3.2196100987659677,0.1656449893390192,0.8455904758862064,0.056041166774860866,0.026976683702114035
28,Cifar100,FedProx,26,3.284704858481916,0.15711620469083157,0.8431694946146512,0.03745987106245519,0.025747992601550737
29,Cifar100,FedProx,27,3.201778148776631,0.1713086353944563,0.8465276824996872,0.04349409558396932,0.024677269765599714
30,Cifar100,FedProx,28,3.2056521375373133,0.17217484008528786,0.8451564225067695,0.04920937604911707,0.03162813862746984
31,Cifar100,FedProx,29,3.226328575655916,0.16584488272921108,0.8439124035342501,0.056222643230989626,0.03346053979602027
32,Cifar100,FedProx,30,3.1323698723343765,0.17663912579957355,0.8488274030403201,0.057088080636809306,0.025887287960784964
33,Cifar100,FedProx,31,3.162238073267349,0.16970948827292112,0.8477281375240879,0.03738528466333949,0.02221023958006377
34,Cifar100,FedProx,32,3.166571447731464,0.16864339019189764,0.8451282941792191,0.03822355066863528,0.030599502777065475
35,Cifar100,FedProx,33,3.123024514646499,0.17550639658848613,0.8473240125266094,0.04286577518808421,0.030077442312459932
36,Cifar100,FedProx,34,3.111016994673912,0.17790511727078892,0.8460699760405427,0.04488497820158199,0.027209823911277606
37,Cifar100,FedProx,35,3.15112200769596,0.17337420042643922,0.8433458406368259,0.045004668401844194,0.030756555964448772
38,Cifar100,FedProx,36,3.1610150321134416,0.17017590618336886,0.8416731697937628,0.0531610029850393,0.036762725967482486
39,Cifar100,FedProx,37,3.1656563894601506,0.17310767590618337,0.8417597588177068,0.049387775792190024,0.03485557345565058
40,Cifar100,FedProx,38,3.1606682806721977,0.16970948827292112,0.8426820014819159,0.05396924038739263,0.03309004564270576
41,Cifar100,FedProx,39,3.143430721940593,0.1656449893390192,0.8424066869787356,0.0418218576545164,0.033353625661231685
42,Cifar100,FedProx,40,3.242803329659874,0.16038113006396587,0.838574839750485,0.044708084237081704,0.03541157527196686
43,Cifar100,FedProx,41,3.1573296509440567,0.1713086353944563,0.8410099866097633,0.0577139963917611,0.0364538541458201
44,Cifar100,FedProx,42,3.0920409616695945,0.16964285714285715,0.8451128360219252,0.037366798379296594,0.02251103249934126
45,Cifar100,FedProx,43,3.082450441173113,0.17417377398720682,0.8447565235050063,0.04422904173411138,0.02974543861092928
46,Cifar100,FedProx,44,3.081268785886229,0.17277452025586354,0.844338150813764,0.04791033394174049,0.028541445788730368
47,Cifar100,FedProx,45,3.0819366568640825,0.17444029850746268,0.8431813124500722,0.04993163801058196,0.034235462823197504
48,Cifar100,FedProx,46,3.0781381204194114,0.17164179104477612,0.8435470537656866,0.04711384696433576,0.029590782381236337
49,Cifar100,FedProx,47,3.137749850294001,0.16651119402985073,0.8406054457900729,0.03980739354056736,0.02869007618675684
50,Cifar100,FedProx,48,3.1030743087134396,0.1677771855010661,0.8423841226640381,0.044174895515770266,0.02521390057670165
51,Cifar100,FedProx,49,3.0995211893952077,0.16784381663113007,0.8417503579576799,0.053169385063996,0.0278346993199339
52,Cifar100,FedProx,50,3.078895959765212,0.1732409381663113,0.8417838796679273,0.055569477976067955,0.032367486859858526
53,Cifar100,FedProx,51,3.1065803171808004,0.17417377398720682,0.8407371043936929,0.0484373353429057,0.03131876681987057
54,Cifar100,FedProx,52,3.051050333688266,0.17404051172707888,0.8434872960446207,0.05135080526865261,0.031073297950709258
55,Cifar100,FedProx,53,3.1215251692764765,0.16864339019189764,0.8396916049968677,0.04284462941271411,0.0295786469624975
56,Cifar100,FedProx,54,3.106625298916594,0.16784381663113007,0.8404975616494035,0.03896715740571961,0.028015183346876495
57,Cifar100,FedProx,55,3.0976875817697787,0.16517857142857142,0.8396995283414662,0.03427218586414929,0.024952154805650984
58,Cifar100,FedProx,56,3.1347072997926246,0.16531183368869937,0.8369638236122515,0.048845073472640214,0.03311855382735839
59,Cifar100,FedProx,57,3.0516927276026036,0.17337420042643922,0.8417158199896784,0.045377931733679946,0.02536219433361426
60,Cifar100,FedProx,58,3.10913370709798,0.16937633262260127,0.8388731205718981,0.03726947020917208,0.02706079814819088
61,Cifar100,FedProx,59,3.0971127664095417,0.16597814498933902,0.8399228568572971,0.04683392684368831,0.025769697959614885
62,Cifar100,FedProx,60,3.0833076688689154,0.1642457356076759,0.8396137644062261,0.03078296443927347,0.022957567117325408
63,Cifar100,FedProx,61,3.10201425026069,0.16624466950959488,0.8394433890063057,0.035397462428333214,0.022935091748404756
64,Cifar100,FedProx,62,3.043979194896053,0.16844349680170576,0.8395529361376458,0.042836005581778774,0.024464340770841263
65,Cifar100,FedProx,63,3.0899212972765193,0.1755730277185501,0.8382619680168863,0.05075522286062641,0.03294383901664896
66,Cifar100,FedProx,64,3.090673600264017,0.1689765458422175,0.8384434844739957,0.04967879538315475,0.03037720853846727
67,Cifar100,FedProx,65,3.0714072050668233,0.16717750533049042,0.8367798703324186,0.04891285241590924,0.028627963260055532
68,Cifar100,FedProx,66,3.073692374329055,0.16637793176972282,0.8386728050945185,0.04192807959011753,0.022428020698230848
69,Cifar100,FedProx,67,3.1582841525363623,0.16357942430703626,0.8348239195989903,0.05476832228991179,0.03611406621776058
70,Cifar100,FedProx,68,3.0959748569322563,0.17017590618336886,0.8369212874150201,0.031273725310756714,0.023412632389533013
71,Cifar100,FedProx,69,3.0203314672216437,0.1734408315565032,0.839423743321924,0.038427644181710685,0.02555790526989959
72,Cifar100,FedProx,70,3.091743189396807,0.16704424307036247,0.8375982876831288,0.035914453261471024,0.021261262224067864
73,Cifar100,FedProx,71,3.0856848119830476,0.1722414712153518,0.8373029834807468,0.040427674240842454,0.02387881541684756
74,Cifar100,FedProx,72,3.1083805989729214,0.1691098081023454,0.8356429161253142,0.0415394253397353,0.031077250278620842
75,Cifar100,FedProx,73,3.1237013199726333,0.17197494669509594,0.8348716975917748,0.043951373741869616,0.02957645111393844
76,Cifar100,FedProx,74,3.1090437756568656,0.16457889125799574,0.8342985224058715,0.04292428243320616,0.028793904631505367
77,Cifar100,FedProx,75,3.1156830286921617,0.16837686567164178,0.835141083886284,0.049101165687516234,0.02924886126522845
78,Cifar100,FedProx,76,3.102389971815279,0.16851012793176973,0.8357791430742039,0.033229194336496216,0.026816452504652498
79,Cifar100,FedProx,77,3.071270418958962,0.16984275053304904,0.8368770297776886,0.0341654118215189,0.024085152650791666
80,Cifar100,FedProx,78,3.0837774515679524,0.17037579957356078,0.835110178805659,0.04981347513836689,0.031479364179349975
81,Cifar100,FedProx,79,3.097063842231699,0.16977611940298507,0.8353560972117698,0.050661806748076486,0.030452640102880468
82,Cifar100,FedProx,80,3.1164038964560308,0.16384594882729211,0.8348603684900032,0.03958370534084809,0.023298114434653024
83,Cifar100,FedProx,81,3.1390735653908868,0.16591151385927505,0.8340896583492774,0.04258924433698996,0.02612529839941773
84,Cifar100,FedProx,82,3.0916982711294625,0.16917643923240938,0.8344697057323045,0.03403471106101005,0.0246855434802937
85,Cifar100,FedProx,83,3.1222065036456645,0.16711087420042645,0.8329087307352482,0.04137457560780934,0.027732073579224366
86,Cifar100,FedProx,84,3.0336422838328323,0.17457356076759062,0.8375985082839611,0.040451503362167046,0.02273674112789264
87,Cifar100,FedProx,85,3.0799867569733514,0.17064232409381663,0.8339318713319365,0.0445228286293288,0.031963509897804415
88,Cifar100,FedProx,86,3.0805279237308167,0.16970948827292112,0.8360712402751503,0.03522555102724933,0.02585642086944959
89,Cifar100,FedProx,87,3.1350404248562778,0.16704424307036247,0.8335388817816555,0.030245800544317657,0.020417695758750395
90,Cifar100,FedProx,88,3.0707281865343568,0.17017590618336886,0.8334118673356474,0.04421082869725756,0.02937953069328946
91,Cifar100,FedProx,89,3.1007351428515557,0.17277452025586354,0.8321048446388604,0.050278725398135535,0.033224229633018694
92,Cifar100,FedProx,90,3.1191416393492943,0.16937633262260127,0.8325180450719301,0.05534256874515068,0.03173486739583317
93,Cifar100,FedProx,91,3.083822554414782,0.16997601279317698,0.8327450944333756,0.040177898551462796,0.02985091969560218
94,Cifar100,FedProx,92,3.1300607669102436,0.16791044776119404,0.8335023222306399,0.03373128196034443,0.019959528578057443
95,Cifar100,FedProx,93,3.1983957632910873,0.16571162046908317,0.829363503545844,0.0494221671708214,0.0349610456382423
96,Cifar100,FedProx,94,3.1272730907712583,0.16964285714285715,0.8323248792697275,0.03224099091126306,0.025734901477850847
97,Cifar100,FedProx,95,3.1327660328479445,0.1715085287846482,0.830971255898969,0.04286468031509221,0.030915059172565054
98,Cifar100,FedProx,96,3.1818659568589536,0.162113539445629,0.8304424481601564,0.0438752852676075,0.02928266485540561
99,Cifar100,FedProx,97,3.1620640959289124,0.16731076759061833,0.8295943630504073,0.0468856059048475,0.0340701011255382
100,Cifar100,FedProx,98,3.102423386069721,0.1695095948827292,0.8334977035924199,0.03604182813116688,0.023538957438633528
101,Cifar100,FedProx,99,3.142172435574264,0.1722414712153518,0.831872376079742,0.03614273852238754,0.02757961350875194
102,Cifar100,FedProx,100,3.132705724802948,0.16431236673773988,0.832515050717732,0.03419878836971284,0.021384078544399703
