1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,Cifar10,FedProx,0,2.3039326570634455,0.09370209930023325,0.4940292791749328,0.18145544267502495,0.21821810742021094
3,Cifar10,FedProx,1,2.5136311472032946,0.09996667777407531,0.5185100198985233,0.21278604900733364,0.2537573325293749
4,Cifar10,FedProx,2,2.347924856161705,0.12595801399533488,0.5401447432913347,0.2193044012320914,0.2430628640526634
5,Cifar10,FedProx,3,2.4511505243269114,0.17380873042319228,0.5678493447324545,0.20825593314369162,0.2621043009030916
6,Cifar10,FedProx,4,2.6533783245952005,0.15428190603132289,0.5828856166533817,0.2226155876590806,0.23685388598649673
7,Cifar10,FedProx,5,2.397235922228385,0.2015994668443852,0.6002864873564199,0.2133357269793066,0.22434809906084194
8,Cifar10,FedProx,6,2.3475399698586803,0.15948017327557482,0.6314678256308558,0.23450256593294955,0.17700072661055943
9,Cifar10,FedProx,7,2.397363306472148,0.18760413195601466,0.6352029267581086,0.23834452623841398,0.2189013209528454
10,Cifar10,FedProx,8,2.110634076252888,0.24758413862045986,0.7000362665225092,0.2321687573056726,0.1701082066034376
11,Cifar10,FedProx,9,2.0495118857146744,0.271242919026991,0.7030998241863688,0.2174867262259643,0.1728400821193725
12,Cifar10,FedProx,10,2.106338783219354,0.2549816727757414,0.691489224409704,0.2042081096400761,0.18938448877554845
13,Cifar10,FedProx,11,2.2574436483020057,0.19040319893368876,0.7027168373621382,0.23188313987534262,0.1335352385175749
14,Cifar10,FedProx,12,2.174288563913079,0.23785404865044985,0.6824126382988828,0.22959868478225898,0.17719671987071295
15,Cifar10,FedProx,13,2.0794091389907066,0.25438187270909696,0.7158576329123718,0.22070573846679625,0.160092488891296
16,Cifar10,FedProx,14,2.0638025807023075,0.25938020659780076,0.7210242278365091,0.20299798710621822,0.1393808667117911
17,Cifar10,FedProx,15,2.1191488751136656,0.22139286904365213,0.7217424225402224,0.24929172817543116,0.14124365662956426
18,Cifar10,FedProx,16,2.227963967296494,0.205731422859047,0.7095898736360571,0.23260279719041818,0.176940895661813
19,Cifar10,FedProx,17,2.2010698827596156,0.2109296901032989,0.7172378892008143,0.23134223572168147,0.15263989194970393
20,Cifar10,FedProx,18,2.2376604723760476,0.22599133622125958,0.7111119019592044,0.2264908159447476,0.1686223938648142
21,Cifar10,FedProx,19,2.043811936257438,0.2701766077974009,0.7412805326399484,0.18156966163935973,0.12983468748126892
22,Cifar10,FedProx,20,1.9227328490929572,0.3011662779073642,0.7551276188904943,0.2272317788492889,0.16577380373343312
