1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,fmnist,FedProx,0,2.3242531752744497,0.09110121087502855,0.46429591960703553,0.13321063983281498,0.1759116718002623
3,fmnist,FedProx,1,2.119701107091599,0.26856294265478636,0.6571844986768233,0.38752354260547095,0.2571967063449586
4,fmnist,FedProx,2,1.819104493248251,0.3847955220470642,0.738587406834903,0.4264064112831132,0.2833842311272415
5,fmnist,FedProx,3,1.7682237999551091,0.45904729266620975,0.7663074889340222,0.3602785718886962,0.23411302642169493
6,fmnist,FedProx,4,1.4961812509009538,0.4669865204477953,0.8512172496301689,0.4088077916051788,0.1547240044759832
7,fmnist,FedProx,5,1.3202414877887105,0.48103724011880283,0.8913874534687684,0.30969471584506425,0.10441753622621533
8,fmnist,FedProx,6,1.6091984212640642,0.4266620973269363,0.8365251542783243,0.3183420137867937,0.12911054806506178
9,fmnist,FedProx,7,1.5073385253921237,0.4889764679003884,0.8607155103134249,0.3400054774445123,0.13156161798388077
10,fmnist,FedProx,8,1.2168841299096809,0.5534041580991547,0.8999970829249752,0.3767693136356173,0.13199855409807537
11,fmnist,FedProx,9,1.360421963140574,0.4764679003883939,0.8778109684908277,0.34232110497511475,0.14504144195587787
12,fmnist,FedProx,10,1.1107865080672341,0.5625428375599726,0.9013348443654008,0.35927586669016304,0.16469857850412684
13,fmnist,FedProx,11,1.1840876666571967,0.5718528672606809,0.9160881732618018,0.33287442622922364,0.09435347094008674
14,fmnist,FedProx,12,1.0429143343156526,0.5580877313228239,0.917760211019726,0.31811906570524573,0.10598996403884026
15,fmnist,FedProx,13,1.0974574521595206,0.6082933516106922,0.9128668395040201,0.315357780645316,0.1351408404660891
16,fmnist,FedProx,14,1.175858244050861,0.5939570482065342,0.9157510197610663,0.3072118272275952,0.10103411780865293
17,fmnist,FedProx,15,1.3120372291761973,0.5488919351153758,0.8962191203096705,0.28797891857906516,0.11181300316076896
18,fmnist,FedProx,16,0.8530704684905163,0.7077907242403473,0.951470254132407,0.20843056036298496,0.04753363166118852
19,fmnist,FedProx,17,0.8256572249322455,0.6902558830249029,0.9524071084959917,0.21977910570854936,0.046894866779784015
20,fmnist,FedProx,18,0.8022823622135431,0.6891135480923006,0.9548937101554034,0.18856882728138236,0.040229565852772556
21,fmnist,FedProx,19,1.192811224617104,0.5665410098240804,0.9206348098422937,0.32031224892864807,0.06774033737053889
22,fmnist,FedProx,20,0.9869349528045334,0.6387936943111721,0.9301054244031918,0.27590866290842764,0.06700771871963912
23,fmnist,FedProx,21,1.3115424911957723,0.6667809001599269,0.9318885221711651,0.2693239435997625,0.076723147729998
24,fmnist,FedProx,22,0.963455084244862,0.6458190541466758,0.9399223370831483,0.2525692424215239,0.06041761452098024
25,fmnist,FedProx,23,0.8883762990386378,0.6750057116746631,0.9467319310759642,0.21857835430516742,0.05469834546792267
26,fmnist,FedProx,24,0.8858209741354459,0.6722069910897875,0.9383590124552504,0.25711857544010036,0.06686594491299586
27,fmnist,FedProx,25,0.8322853035681683,0.7165867032213845,0.9503948911349913,0.22178080902023414,0.05767979618333275
28,fmnist,FedProx,26,0.8167317291893349,0.6950536897418323,0.9547985912530245,0.2062877098107823,0.04354520500855684
29,fmnist,FedProx,27,0.7890459373842024,0.709675576879141,0.953598409866093,0.22063422383312,0.05026810297621181
30,fmnist,FedProx,28,0.9280493497372871,0.679575051405072,0.9425175098706898,0.2116311059160214,0.06496144677267492
31,fmnist,FedProx,29,0.8021448573760839,0.6917409184372858,0.9532222961443648,0.23073694914420467,0.04854537310363042
32,fmnist,FedProx,30,0.903521823187081,0.6815741375371259,0.947866225447606,0.263170355522486,0.056145108510672566
33,fmnist,FedProx,31,0.7227741909109622,0.7303518391592415,0.961725994509354,0.19072472519181988,0.03711087452601358
34,fmnist,FedProx,32,0.7599970722753936,0.716358236234864,0.9573835567797588,0.22115841281116197,0.047607340251026795
35,fmnist,FedProx,33,1.1068746468258874,0.6511880283299063,0.9369130829578274,0.2793868427014437,0.06873811692634738
36,fmnist,FedProx,34,0.9657044722594549,0.6655814484806946,0.9395600256310493,0.27537701983288854,0.06775164620102105
37,fmnist,FedProx,35,0.7790536633323963,0.69899474525931,0.9549525024862767,0.2253092489554047,0.04517082738637113
38,fmnist,FedProx,36,0.8613557537684373,0.6683801690655701,0.9445975068912998,0.22361456369855467,0.049571780783989695
39,fmnist,FedProx,37,0.6887517321321815,0.734178661183459,0.9661082507002725,0.1335924099379937,0.027748822823381404
40,fmnist,FedProx,38,0.8466706396931206,0.6726068083161983,0.9444856285511591,0.2304482875953362,0.047075035470166254
41,fmnist,FedProx,39,0.9892147546764432,0.6459904043865662,0.9347273190027068,0.2663189577477435,0.06395095361118701
42,fmnist,FedProx,40,0.8014147324933046,0.6992803289924606,0.9498533602280212,0.21156975723215501,0.04318593158321505
43,fmnist,FedProx,41,0.912665339802518,0.6783755997258396,0.9421483322721471,0.23717121716850678,0.05957732834916896
44,fmnist,FedProx,42,0.7283999888603339,0.728067169294037,0.9623799820545981,0.16860571406044916,0.0343578544750788
45,fmnist,FedProx,43,0.9021147399216042,0.6804889193511537,0.9464817711554643,0.22916654206041698,0.05920307404421093
46,fmnist,FedProx,44,0.730412593691047,0.7407470870459218,0.9612126109885979,0.2003345809758536,0.050434115694050735
47,fmnist,FedProx,45,0.7343228592485544,0.7254397989490519,0.9606361259755207,0.18305823176964797,0.04466346435883769
48,fmnist,FedProx,46,0.7822524617936297,0.710189627598812,0.9557290591100499,0.21526975880221488,0.046680747396068846
49,fmnist,FedProx,47,0.8246466442560655,0.7144733835960704,0.9514654389750191,0.2399018840423731,0.0610764131042329
50,fmnist,FedProx,48,1.2747776625533846,0.597955220470642,0.9213541383778038,0.35082579549967696,0.0846203600099782
51,fmnist,FedProx,49,1.0576719034765105,0.6389079278044323,0.9360969625497327,0.30531735766031565,0.07499206578752077
52,fmnist,FedProx,50,0.7552157812389291,0.7353209961160613,0.9607199189584985,0.22233332098738148,0.051296660918796456
53,fmnist,FedProx,51,1.009423626745701,0.6337674206077222,0.942707015059105,0.28532411751963593,0.05207324608748461
