1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,fmnist,MOON,0,6.209792004439665,0.10035412382910669,0.4930421872493544,0.21731339652394108,0.251313363806871
3,fmnist,MOON,1,2.850226351098243,0.09869773817683344,0.5768893071117733,0.30170184334235073,0.278724585803175
4,fmnist,MOON,2,2.367798271324928,0.3290495773360749,0.6256490782565854,0.3358242083169735,0.342792335041295
5,fmnist,MOON,3,2.242297066960805,0.35583733150559743,0.6817503684738809,0.33980739214256445,0.27151903695301094
6,fmnist,MOON,4,1.7835826682243654,0.4306602695910441,0.7742107543989958,0.40164841155616293,0.21810486217880654
7,fmnist,MOON,5,1.6622422203801308,0.39204934886908843,0.8236298765500852,0.33602832308518144,0.17332097178252756
8,fmnist,MOON,6,1.8919216290265208,0.3791980808773132,0.7673998647441514,0.3332529025866796,0.19289485031245926
9,fmnist,MOON,7,1.8564363294523711,0.41084075851039525,0.8196187175619798,0.3554355534819386,0.15084820380693428
10,fmnist,MOON,8,1.5640654051209382,0.478581220013708,0.8464025258080684,0.4013080190255227,0.21863084179138037
11,fmnist,MOON,9,1.715230801373586,0.4354580763079735,0.8346482373375277,0.33386173977388384,0.21148671034041022
12,fmnist,MOON,10,1.6008346994028542,0.5246173177975783,0.8585581741848904,0.3888732612677978,0.23536173264950408
13,fmnist,MOON,11,1.576335269777815,0.5066826593557231,0.8834710454331554,0.3751758691879117,0.11209408600303104
14,fmnist,MOON,12,1.4296807025101839,0.44465387251542154,0.8741050660676042,0.3286265042903262,0.14552236468985102
15,fmnist,MOON,13,1.3324887737016682,0.6134909755540324,0.8814484518700797,0.34013292462135686,0.1952719007873824
16,fmnist,MOON,14,1.6092557952357487,0.5523189399131826,0.8736162417191828,0.3436255330225486,0.14741631346136108
17,fmnist,MOON,15,1.6921887114561054,0.48646333104866346,0.8596017538706251,0.3344243459618555,0.14614610960873778
18,fmnist,MOON,16,1.132714352867305,0.5843043180260452,0.9169695602060074,0.2792619259099954,0.06149424120172683
19,fmnist,MOON,17,1.1342298477651478,0.5592871830020562,0.9163082923545313,0.3196207881551973,0.06629583606417432
20,fmnist,MOON,18,0.9542353000674177,0.6400502627370345,0.9169073445576117,0.25395442823235387,0.07435098034990548
21,fmnist,MOON,19,1.3584366895564937,0.5120516335389537,0.9098597188698176,0.344100000647963,0.07241022883885058
22,fmnist,MOON,20,1.2757287876532928,0.5510623714873201,0.9063779772486418,0.3259090198789913,0.07576327914543385
23,fmnist,MOON,21,1.821844671641672,0.5406671236006397,0.9074287857447784,0.38305370995620863,0.08152125346818115
24,fmnist,MOON,22,1.394335725126578,0.5404957733607494,0.9086245200303114,0.3202404894635806,0.07607291833303297
25,fmnist,MOON,23,1.2417907937963366,0.6109207219556774,0.9214952516403031,0.2606297641343203,0.05181716035761374
26,fmnist,MOON,24,1.079650432014191,0.6169179803518392,0.9173094169650352,0.29217829513417565,0.0626618897674193
27,fmnist,MOON,25,1.0236752533108142,0.6810600868174549,0.9332182221583161,0.24784101292229332,0.04770415318544473
28,fmnist,MOON,26,1.013808788880264,0.6812314370573452,0.9340138749194528,0.2019236027080493,0.03956731899009222
29,fmnist,MOON,27,0.9965628613568726,0.6465615718528672,0.9353164746273046,0.26714360723732683,0.04802384049212455
30,fmnist,MOON,28,1.1773881438874452,0.6053232807859265,0.923202015179873,0.2770249774091306,0.06529087001169488
31,fmnist,MOON,29,1.0424885868100608,0.6461617546264565,0.9333668136764375,0.2641147706813644,0.05231901779306503
32,fmnist,MOON,30,1.147772264113346,0.6376513593785698,0.9331149303002146,0.30593200496224315,0.054434743511191375
33,fmnist,MOON,31,0.7883250510685947,0.7059058716015536,0.9412381872709175,0.2118450260741751,0.03856010300775012
34,fmnist,MOON,32,1.0062016522330317,0.6750628284212932,0.9391133401368286,0.258748679942513,0.044925281264241036
35,fmnist,MOON,33,1.510304364415332,0.5829335161069226,0.9204782156024008,0.32916414234252994,0.07155873995180433
36,fmnist,MOON,34,1.1930143197873249,0.6029243774274617,0.9281147847950714,0.3465587775847081,0.06431039510204455
37,fmnist,MOON,35,0.8941772563697394,0.6742060772218414,0.9368446216131278,0.21823320317569286,0.0413447270129415
38,fmnist,MOON,36,1.1350631263298627,0.6150902444596755,0.9207465186201533,0.290387433992042,0.06439128607284013
39,fmnist,MOON,37,0.7828393222941529,0.7016792323509253,0.9427963137699246,0.17751768600068626,0.03198641545209665
40,fmnist,MOON,38,1.2325275855262874,0.5662554260909298,0.9167567621912566,0.3289384419875481,0.06160607463804939
41,fmnist,MOON,39,1.4317006641421692,0.5945282156728353,0.9092590954690021,0.2960805002312637,0.07292553625829186
42,fmnist,MOON,40,1.0690591510911325,0.6200022846698652,0.9268964703932985,0.29295157096450497,0.05398738682972811
43,fmnist,MOON,41,1.0591915292583363,0.6615261594699566,0.933818289350565,0.23514637004436537,0.052780372711568845
44,fmnist,MOON,42,1.0075731730599236,0.7009367146447338,0.937681526486007,0.1977234050771473,0.051000278968081375
45,fmnist,MOON,43,1.075529142748206,0.6792323509252913,0.9358665037088363,0.22798617857484227,0.05696442029544985
46,fmnist,MOON,44,1.0193413393166568,0.7314941740918437,0.9356924889103796,0.20522060072370754,0.06803322425672491
47,fmnist,MOON,45,0.9156149777072744,0.6831162896961389,0.943380208912896,0.22406599751654233,0.042336349103090185
48,fmnist,MOON,46,1.0178759577772323,0.686200594014165,0.9323328590778946,0.22566695348119947,0.0586185773881774
49,fmnist,MOON,47,1.0731749343437424,0.665809915467215,0.9331047088398768,0.285406891060033,0.06438645805344455
50,fmnist,MOON,48,1.6019355597783,0.5776787754169522,0.9112836335567845,0.3789309933302809,0.08225526387426031
51,fmnist,MOON,49,1.2541261679799391,0.5997829563628055,0.921125494207243,0.3251550174075435,0.07131139273108338
52,fmnist,MOON,50,0.9704785519628489,0.7103038610920722,0.9460374898908067,0.23565966595035584,0.04166952577623363
53,fmnist,MOON,51,1.1209545653655237,0.6604409412839845,0.9408570063786609,0.2513971107180861,0.044920558703078914
54,fmnist,MOON,52,0.9888291827220436,0.7064770390678546,0.9430269796368931,0.1930118977352828,0.04342742782617854
55,fmnist,MOON,53,0.877072983171955,0.6722069910897875,0.9436999311859996,0.23673255486656528,0.03715090703765304
56,fmnist,MOON,54,0.8114612189770164,0.7027073337902673,0.9457573991629727,0.21920877459247076,0.0390460490805445
57,fmnist,MOON,55,1.2287467316895033,0.6521018962759881,0.9290787125497478,0.2158032833168452,0.046470552692277414
58,fmnist,MOON,56,0.9412897480207608,0.6854580763079735,0.9411447829469031,0.2020402816054647,0.03688225253899683
59,fmnist,MOON,57,1.5562678685653923,0.6032099611606123,0.9266621527694561,0.29987091952934725,0.057210192438816164
60,fmnist,MOON,58,1.0960815958550196,0.643877084761252,0.9310922981808427,0.2666130693914986,0.0554682482142814
61,fmnist,MOON,59,0.8954092235316501,0.718871373086589,0.9463342300014138,0.18771248661351103,0.03862633789407195
62,fmnist,MOON,60,0.9301274931328791,0.7099040438656614,0.9407835121577989,0.21218199301654334,0.04199237380878145
63,fmnist,MOON,61,0.9541271979040388,0.7039067854694997,0.9446839721896633,0.23097203477437797,0.04153973202700112
