1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,join_ratio
2,Cifar100,PerAvg,0,4.425923355042331,0.007228116710875331,0.49633495271818656,0.01128076503984541,0.07394823986012679,0.5
3,Cifar100,PerAvg,1,4.172586875653646,0.02460212201591512,0.5976659205036898,0.02943055618536997,0.06921652862473919,0.5
4,Cifar100,PerAvg,2,3.89539986726991,0.04350132625994695,0.6524222878903744,0.040859996750081055,0.06274407417484328,0.5
5,Cifar100,PerAvg,3,3.664615212943723,0.053249336870026524,0.6913333500664016,0.04814471916653623,0.0586907959952338,0.5
6,Cifar100,PerAvg,4,3.491370848772236,0.06618037135278515,0.7177059774795207,0.04803255082434857,0.0585790235047555,0.5
7,Cifar100,PerAvg,5,3.3692663346839105,0.07513262599469496,0.734074923698987,0.051005743760315296,0.05661572067327573,0.5
8,Cifar100,PerAvg,6,3.278048561788912,0.08076923076923077,0.7482111650468984,0.052616880106724676,0.05528682301952182,0.5
9,Cifar100,PerAvg,7,3.207525141392976,0.08919098143236075,0.755574806483049,0.05196354256583725,0.0600522078265328,0.5
10,Cifar100,PerAvg,8,3.1476953918863675,0.09409814323607427,0.7656977602747338,0.05250630955258539,0.05654849591109677,0.5
11,Cifar100,PerAvg,9,3.0989083276021088,0.10053050397877984,0.7733954110212827,0.05729787272367188,0.055474681330837855,0.5
12,Cifar100,PerAvg,10,3.0532823176784967,0.10391246684350132,0.7801838595747399,0.055839034965163604,0.05105273641350063,0.5
13,Cifar100,PerAvg,11,3.0182130900717055,0.10477453580901856,0.7839017118230199,0.05362047504341979,0.05213151383762545,0.5
14,Cifar100,PerAvg,12,2.9822763186467034,0.11007957559681697,0.7912796263234242,0.05800887048491605,0.04598704233098669,0.5
15,Cifar100,PerAvg,13,2.9514167815997427,0.11220159151193634,0.796433348388268,0.057459566282077074,0.043646337456265026,0.5
16,Cifar100,PerAvg,14,2.922732431490066,0.11485411140583554,0.8014009769753191,0.05664438967563767,0.04219908380144815,0.5
17,Cifar100,PerAvg,15,2.898387044277676,0.11803713527851459,0.8039042779622946,0.058418893742239485,0.0419193235463891,0.5
18,Cifar100,PerAvg,16,2.8731964620803354,0.1226790450928382,0.806662512961048,0.06038256961013612,0.04151000790675016,0.5
19,Cifar100,PerAvg,17,2.851267004230258,0.12208222811671088,0.8104231185960369,0.060368296294600464,0.03872857406457027,0.5
20,Cifar100,PerAvg,18,2.833575620652074,0.12493368700265252,0.8111405144836077,0.061803641294861135,0.040472236988001585,0.5
21,Cifar100,PerAvg,19,2.8128544090609853,0.12858090185676394,0.8133979294855216,0.06351894022750726,0.039981176499851695,0.5
22,Cifar100,PerAvg,20,2.7935174728068826,0.12984084880636604,0.8158852009184764,0.06221848646996325,0.03821952320257229,0.5
23,Cifar100,PerAvg,21,2.7737636314418608,0.1316976127320955,0.8178452093556449,0.06244275393063559,0.03723965128906097,0.5
24,Cifar100,PerAvg,22,2.758428308513695,0.1322944297082228,0.8192340999174421,0.061252272666040344,0.03763917443588293,0.5
25,Cifar100,PerAvg,23,2.744992149972044,0.13474801061007957,0.8194424915777564,0.0666620192114156,0.038807628634913265,0.5
26,Cifar100,PerAvg,24,2.7282111427092026,0.13919098143236075,0.8224015558835466,0.06433160936518077,0.036963621533859285,0.5
27,Cifar100,PerAvg,25,2.7139168874746087,0.13925729442970822,0.82344838543662,0.06164723951768987,0.037287511762560906,0.5
28,Cifar100,PerAvg,26,2.702603145651607,0.13839522546419097,0.823323706644401,0.05740164571236039,0.03827216593550824,0.5
29,Cifar100,PerAvg,27,2.688561236380206,0.14184350132625995,0.8247965393253446,0.05951623035448701,0.03789878946909419,0.5
30,Cifar100,PerAvg,28,2.6739203671418674,0.14058355437665782,0.8268664330720643,0.057998625757956744,0.03580346411650121,0.5
31,Cifar100,PerAvg,29,2.664771066699076,0.14575596816976127,0.8271468359717341,0.06093357307103652,0.036222577984391734,0.5
32,Cifar100,PerAvg,30,2.6513185053804347,0.14489389920424403,0.8288211422839409,0.062149222895414705,0.03526654853992972,0.5
33,Cifar100,PerAvg,31,2.64050611793168,0.14840848806366047,0.8292164930509339,0.06275965842132461,0.035608054076789804,0.5
34,Cifar100,PerAvg,32,2.6323523822635773,0.14741379310344827,0.8295376854540637,0.06341323752085508,0.03548338869025528,0.5
35,Cifar100,PerAvg,33,2.6203004097325597,0.14973474801061007,0.8306886814161307,0.061518710392569134,0.034981955923351266,0.5
36,Cifar100,PerAvg,34,2.611058719234316,0.14980106100795756,0.8309449275935661,0.06387414307078179,0.03404461570030975,0.5
37,Cifar100,PerAvg,35,2.601683026338542,0.14907161803713528,0.8320233615080611,0.06176625656995741,0.03447674005362843,0.5
38,Cifar100,PerAvg,36,2.594433224040192,0.1519230769230769,0.8321954966804652,0.05948530089063676,0.034963160230452185,0.5
39,Cifar100,PerAvg,37,2.5858806768740905,0.1496684350132626,0.8329478381338498,0.061213862183285526,0.034734064551561694,0.5
40,Cifar100,PerAvg,38,2.5778800629159537,0.15245358090185676,0.8332786805319389,0.06436980407425662,0.034481042968208434,0.5
41,Cifar100,PerAvg,39,2.566385897408326,0.15570291777188328,0.8355291006573269,0.06333360994961594,0.03239794067060786,0.5
42,Cifar100,PerAvg,40,2.560203381178159,0.15285145888594165,0.8348378637336767,0.06196028015389231,0.03396324248612956,0.5
43,Cifar100,PerAvg,41,2.5536323602259254,0.15179045092838198,0.8352230896960592,0.06307611476293785,0.03446350589704896,0.5
44,Cifar100,PerAvg,42,2.5463401973427793,0.15484084880636606,0.8357454687396555,0.06182712758347465,0.03387950145233366,0.5
45,Cifar100,PerAvg,43,2.538807223825082,0.15689655172413794,0.8357208658216967,0.06543115781546692,0.03386801651952836,0.5
46,Cifar100,PerAvg,44,2.5314761207813183,0.15842175066312997,0.8365463557272745,0.06586641742034466,0.03383966682513394,0.5
47,Cifar100,PerAvg,45,2.5240895977029316,0.1606100795755968,0.8369062162639581,0.06623298016360642,0.03401633564302447,0.5
48,Cifar100,PerAvg,46,2.517687682648002,0.1579575596816976,0.8372293519497164,0.06511575332071176,0.03342748439955828,0.5
49,Cifar100,PerAvg,47,2.51085131158824,0.15510610079575596,0.8379051260079025,0.06447618920286007,0.032729323288756995,0.5
50,Cifar100,PerAvg,48,2.5034920700130208,0.15974801061007957,0.8382829549392495,0.06411838421975834,0.03283741804584674,0.5
51,Cifar100,PerAvg,49,2.4995349330152687,0.15782493368700265,0.8384440068892736,0.062470914075205726,0.03248771830417045,0.5
52,Cifar100,PerAvg,50,2.4950564024581943,0.15324933687002654,0.8380077634738585,0.05553334721304626,0.032464023638754856,0.5
53,Cifar100,PerAvg,51,2.4881824954552205,0.1560344827586207,0.838187666994067,0.06054200786620909,0.03277055092353808,0.5
54,Cifar100,PerAvg,52,2.481341615734961,0.16041114058355438,0.8397619370592176,0.06304187382914696,0.03196056942334084,0.5
55,Cifar100,PerAvg,53,2.4757313204723865,0.16127320954907162,0.8397303996286324,0.06599659059837301,0.03248170682210642,0.5
56,Cifar100,PerAvg,54,2.4706413276629506,0.16094164456233423,0.8394334404482254,0.065892277089632,0.033106387512206674,0.5
57,Cifar100,PerAvg,55,2.4652808975461955,0.16147214854111405,0.8393602940434606,0.06706728903293402,0.03335913928721726,0.5
58,Cifar100,PerAvg,56,2.4614792434189012,0.16452254641909814,0.839134798833038,0.0676817115553418,0.033791744692616414,0.5
59,Cifar100,PerAvg,57,2.4562818487503333,0.165053050397878,0.8398046306334431,0.06890344535708151,0.03299688070393903,0.5
60,Cifar100,PerAvg,58,2.4509273557426314,0.16545092838196288,0.8399310100059977,0.06614799749369049,0.03342548179547852,0.5
61,Cifar100,PerAvg,59,2.4449721730800915,0.16438992042440317,0.8404163964290466,0.06400037173696183,0.0327590189991202,0.5
62,Cifar100,PerAvg,60,2.440562939089295,0.16538461538461538,0.8404132699562845,0.06444334770280574,0.032602335077651826,0.5
63,Cifar100,PerAvg,61,2.434507813574052,0.1643236074270557,0.8407514606876656,0.06544042672465274,0.032477891613588085,0.5
64,Cifar100,PerAvg,62,2.430638735955709,0.1629310344827586,0.8405586303719361,0.06669183460027558,0.03293548155725685,0.5
65,Cifar100,PerAvg,63,2.4269638885046434,0.16187002652519894,0.8410264408203992,0.06343699625513133,0.03250979527699441,0.5
66,Cifar100,PerAvg,64,2.4229031825718144,0.16279840848806365,0.8411095954888239,0.06316951738629555,0.032514700063543,0.5
67,Cifar100,PerAvg,65,2.4204525514412722,0.16312997347480107,0.8405139534688911,0.06411804968781373,0.0327642466797097,0.5
68,Cifar100,PerAvg,66,2.417108926484725,0.165053050397878,0.8401332792982912,0.06626416397008188,0.03375651691859382,0.5
69,Cifar100,PerAvg,67,2.408419856792363,0.16492042440318302,0.8415325160881497,0.06468339612727837,0.03246101874547791,0.5
70,Cifar100,PerAvg,68,2.4039817027690855,0.16279840848806365,0.8422125398896105,0.06322978955182114,0.03138598606206365,0.5
71,Cifar100,PerAvg,69,2.3998724671099074,0.16478779840848806,0.841602104814746,0.06575528215887888,0.03223824559643525,0.5
72,Cifar100,PerAvg,70,2.3956587770722124,0.1659814323607427,0.8412936204136093,0.06993171803870814,0.032367276980135994,0.5
73,Cifar100,PerAvg,71,2.390637864895228,0.16684350132625994,0.8416532475705093,0.06758590134025931,0.03243043548554602,0.5
74,Cifar100,PerAvg,72,2.3872298713869182,0.16492042440318302,0.842442355688702,0.06526191911031086,0.03201043231343612,0.5
75,Cifar100,PerAvg,73,2.384267389812987,0.16392572944297082,0.8418849251308317,0.06707957588762044,0.03237246028309803,0.5
