1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,join_ratio
2,fmnist,PerAvg,0,0.15726994139415237,0.09110121087502855,0.46429591960703553,0.13321063983281498,0.1759116718002623,0.5
3,fmnist,PerAvg,1,0.10033646537962822,0.2748457847840987,0.6622971352497559,0.39577595775258256,0.25605164393241875,0.5
4,fmnist,PerAvg,2,0.07498219833197305,0.3758853095727667,0.7440756937842669,0.42866113681990897,0.28113744756302944,0.5
5,fmnist,PerAvg,3,0.0630208136482636,0.48212245830477496,0.7719651045350608,0.3590318358846008,0.23368553745915235,0.5
6,fmnist,PerAvg,4,0.05409122412780747,0.4632168151702079,0.8627759308673231,0.4101598035578404,0.1371584982029373,0.5
7,fmnist,PerAvg,5,0.05038181255848004,0.4895476353666895,0.8915013514983169,0.3298992875146962,0.11435010570473259,0.5
8,fmnist,PerAvg,6,0.04953491409593006,0.42517706191455334,0.825312690434283,0.33659881039140543,0.14331056787104707,0.5
9,fmnist,PerAvg,7,0.045772759631107926,0.4473954763536669,0.8589893317181354,0.37040541772143715,0.1264675676285745,0.5
10,fmnist,PerAvg,8,0.04228257748326503,0.5648846241718072,0.9017809626899115,0.37966915861122824,0.14128474309332237,0.5
11,fmnist,PerAvg,9,0.0415048724819492,0.49108978752570254,0.8829117921488985,0.3597461449218462,0.15228215809803045,0.5
12,fmnist,PerAvg,10,0.03983561350053124,0.6060086817454878,0.9062310537404431,0.3412282552444054,0.1729572209526591,0.5
13,fmnist,PerAvg,11,0.03720732983367864,0.5499200365547179,0.9105023671506637,0.34533318438281646,0.09957083824822235,0.5
14,fmnist,PerAvg,12,0.0363322433198377,0.5881882567968928,0.919585687309549,0.31729311030978335,0.11576002933524063,0.5
15,fmnist,PerAvg,13,0.035042235130224954,0.6218300205620287,0.9129467508195004,0.31503789492886425,0.1438887038699661,0.5
16,fmnist,PerAvg,14,0.03511400904885852,0.5852753027187572,0.9130160349792931,0.3173854938241571,0.10435136634751174,0.5
17,fmnist,PerAvg,15,0.035668791933873706,0.5661983093442997,0.8967244986396471,0.29260913675396805,0.11605300234775473,0.5
18,fmnist,PerAvg,16,0.032052057854972976,0.7123600639707562,0.9530737118956238,0.21065270023222146,0.046575655273242526,0.5
19,fmnist,PerAvg,17,0.031246455072972683,0.6728923920493489,0.9491961399654633,0.22316827078889925,0.04345748687388365,0.5
20,fmnist,PerAvg,18,0.030048185571624864,0.6486177747315512,0.9426944516723056,0.2134926212522651,0.05506436956948233,0.5
21,fmnist,PerAvg,19,0.029289825837182478,0.5691683801690656,0.9200868373732901,0.307268987246712,0.06826395911429559,0.5
22,fmnist,PerAvg,20,0.028034425287363135,0.6373086588987891,0.9290569243780706,0.2840652562359523,0.07110567602181363,0.5
23,fmnist,PerAvg,21,0.0274860944980745,0.6742060772218414,0.9324402759353597,0.2691479508318129,0.07716042704960792,0.5
24,fmnist,PerAvg,22,0.026700330651431736,0.6223440712816998,0.9350470416814088,0.26345374574874053,0.06150577262230146,0.5
25,fmnist,PerAvg,23,0.026150374420582996,0.6786611834589902,0.9469749030080776,0.21845064586206467,0.056294296314133144,0.5
26,fmnist,PerAvg,24,0.026077247733872728,0.6966529586474755,0.9406389239787626,0.23717302875143,0.06929283794244866,0.5
27,fmnist,PerAvg,25,0.0253326004506945,0.7199565912725611,0.9512358037106382,0.22602685801158814,0.05789044988409627,0.5
28,fmnist,PerAvg,26,0.024990655440254576,0.7027073337902673,0.9555638514239048,0.1939169736322409,0.04357793474387778,0.5
29,fmnist,PerAvg,27,0.023928130495341104,0.7118460132510852,0.9546882964548049,0.21483530352410043,0.049581720595671536,0.5
30,fmnist,PerAvg,28,0.02352127420468277,0.6686086360520904,0.9421731596181269,0.21683547428545533,0.06320672321393644,0.5
31,fmnist,PerAvg,29,0.023534487526430427,0.689798949051862,0.9519309075287667,0.2185982036349134,0.04836065164118642,0.5
32,fmnist,PerAvg,30,0.022777604216373655,0.6763765135937857,0.9447145477084717,0.2593934020555976,0.0594793326598942,0.5
33,fmnist,PerAvg,31,0.022658212501094434,0.7197852410326708,0.9599245125630985,0.19092667447917167,0.038840084334196764,0.5
34,fmnist,PerAvg,32,0.02234284120994544,0.7125885309572767,0.9561052207301249,0.23284595207791497,0.047650537274612784,0.5
35,fmnist,PerAvg,33,0.02228642494842531,0.6478181402787297,0.936275896490987,0.26941247074214436,0.0656328924748779,0.5
36,fmnist,PerAvg,34,0.022244018069517594,0.6674091843728581,0.9398826389834953,0.2734629716304808,0.06544229662695568,0.5
37,fmnist,PerAvg,35,0.02180462493716142,0.6920265021704364,0.9515182292469478,0.2281515418354922,0.04734661210382782,0.5
38,fmnist,PerAvg,36,0.021761755449329557,0.651530728809687,0.9372008092798385,0.2392584390504859,0.05619075933925207,0.5
39,fmnist,PerAvg,37,0.020978171716839147,0.7133881654100982,0.9625226766883028,0.14975285428352494,0.029824377732419485,0.5
40,fmnist,PerAvg,38,0.02167023255294557,0.6597555403244231,0.9410229329763146,0.24499274272789012,0.049712399394539565,0.5
41,fmnist,PerAvg,39,0.021901908131454505,0.6401644962302947,0.9310527935171629,0.2612440941213176,0.06704449606651212,0.5
42,fmnist,PerAvg,40,0.020862279701865705,0.6895704820653416,0.9456281771617908,0.22193923844019497,0.0484355925450633,0.5
43,fmnist,PerAvg,41,0.020414185840273342,0.6658670322138451,0.9424598558045638,0.22416407030527602,0.05517401552590425,0.5
44,fmnist,PerAvg,42,0.0207441863232037,0.7256111491889422,0.9602389452934924,0.17576152817160998,0.03872659838074567,0.5
45,fmnist,PerAvg,43,0.020169234160123735,0.6796892848983321,0.9470679734382055,0.22869783644597416,0.057997838708969636,0.5
46,fmnist,PerAvg,44,0.02016293745721237,0.7378341329677861,0.9584633652590032,0.19941246367474025,0.055181809075439965,0.5
47,fmnist,PerAvg,45,0.019543139160013427,0.7128741146904273,0.9586766659395995,0.18543692734494782,0.04515345435992649,0.5
48,fmnist,PerAvg,46,0.020345717097684086,0.7168722869545351,0.9531111646318272,0.19979924061410523,0.05277531832164437,0.5
49,fmnist,PerAvg,47,0.01987435786863525,0.7075622572538268,0.9481026231384819,0.2482282016281608,0.06382489984051389,0.5
50,fmnist,PerAvg,48,0.020174944708464877,0.6073794836646105,0.9202901116124916,0.33650090340785216,0.0852482233948534,0.5
51,fmnist,PerAvg,49,0.020252047054470146,0.6483321909984008,0.9337574460252231,0.28614209656224204,0.07855121450161874,0.5
52,fmnist,PerAvg,50,0.0194816993857532,0.7340073109435686,0.9599132690521852,0.22193265366808193,0.049967682937051394,0.5
53,fmnist,PerAvg,51,0.018582416047862954,0.6450765364404843,0.9431779944721129,0.26896036895651404,0.05166144914254908,0.5
54,fmnist,PerAvg,52,0.019432590113485467,0.7032785012565684,0.9505160073081,0.22544021941216058,0.058784292359405285,0.5
55,fmnist,PerAvg,53,0.01876692273860548,0.6759766963673749,0.9536107014727546,0.22934055707085985,0.041383536022128485,0.5
56,fmnist,PerAvg,54,0.01873299462710057,0.7268106008681745,0.9638759526099414,0.19304726508007272,0.034638582430089236,0.5
57,fmnist,PerAvg,55,0.019335965781171145,0.6630111948823395,0.9420778562247286,0.20847198680102566,0.04841294711766784,0.5
58,fmnist,PerAvg,56,0.018834450514022025,0.7017363490975554,0.9556892426274435,0.1872441846878724,0.0376120111414695,0.5
59,fmnist,PerAvg,57,0.018221139394653068,0.5855608864519077,0.9243264327486401,0.317411034187183,0.06858717748922531,0.5
60,fmnist,PerAvg,58,0.018552075146703432,0.6920836189170665,0.9472801195480705,0.21987567903883246,0.06037707469892073,0.5
61,fmnist,PerAvg,59,0.018465828679747717,0.7245830477496001,0.9568644308837863,0.1796617609492648,0.047532209888702805,0.5
62,fmnist,PerAvg,60,0.017721122141574903,0.7143591501028101,0.9530194146394552,0.22058806580008886,0.051150105547397115,0.5
63,fmnist,PerAvg,61,0.01772030108409788,0.6932830705962988,0.9500158689802591,0.23414102087531083,0.04865772930007567,0.5
64,fmnist,PerAvg,62,0.018379701818919514,0.7009367146447338,0.9497745859885123,0.2124267253235636,0.05564201500713504,0.5
65,fmnist,PerAvg,63,0.016845514678496487,0.695453506968243,0.9509227454785221,0.23166890463918913,0.05248668258618562,0.5
66,fmnist,PerAvg,64,0.017224100850788415,0.7307516563856523,0.9582562368720748,0.1835566932238193,0.04264639483696533,0.5
67,fmnist,PerAvg,65,0.018287357202656302,0.726525017135024,0.9526682078838711,0.21635612861063813,0.05794405042718842,0.5
68,fmnist,PerAvg,66,0.01844129873764249,0.7120744802376057,0.9440188250982461,0.21616572454290098,0.07193335652690375,0.5
69,fmnist,PerAvg,67,0.01851758665347808,0.6533013479552204,0.9308947024492081,0.22498055138380174,0.07366257026197744,0.5
70,fmnist,PerAvg,68,0.017433594573811054,0.673977610235321,0.9439106654311686,0.20359909321022565,0.05044864601977703,0.5
71,fmnist,PerAvg,69,0.016768345716387533,0.666838016906557,0.9453542698648105,0.2538261524559781,0.05654207432475058,0.5
72,fmnist,PerAvg,70,0.01696996846162413,0.7087617089330591,0.9481033451622883,0.2610105921572417,0.06358782826678663,0.5
73,fmnist,PerAvg,71,0.016559062427054596,0.7037925519762395,0.9496720544428389,0.2543897847548967,0.05826677674138045,0.5
74,fmnist,PerAvg,72,0.01664534241818841,0.6662097326936258,0.9487217644029223,0.26021149904622276,0.057434887168126614,0.5
75,fmnist,PerAvg,73,0.01641302636898538,0.7201279415124514,0.9609137252013812,0.1876574249194486,0.04074763419473212,0.5
76,fmnist,PerAvg,74,0.01775734374395401,0.6847726753484121,0.9434729714664509,0.23990337410529192,0.05912246082956405,0.5
77,fmnist,PerAvg,75,0.016903155415342992,0.7202421750057116,0.9588033724879484,0.22978328902817496,0.042117230690871366,0.5
78,fmnist,PerAvg,76,0.016043149185660185,0.739262051633539,0.9650027487914414,0.17218074112842474,0.03836259893489674,0.5
79,fmnist,PerAvg,77,0.016377997424940796,0.7291523874800091,0.9592447883240459,0.21005152455039117,0.04385934218900213,0.5
80,fmnist,PerAvg,78,0.01728314383861438,0.7048206534155814,0.9499561768617337,0.1857588960275886,0.05377059253593377,0.5
81,fmnist,PerAvg,79,0.01700916995867207,0.6990518620059402,0.943054314843189,0.2340188572618211,0.06925202009726852,0.5
82,fmnist,PerAvg,80,0.01760046377523196,0.7488005483207677,0.9526976731433722,0.20690161517690872,0.06826191094627751,0.5
83,fmnist,PerAvg,81,0.017371697882543093,0.7084761251999087,0.9413621457068516,0.23714573302414133,0.07641972956819396,0.5
84,fmnist,PerAvg,82,0.016869304646470993,0.7386337674206077,0.9595067972288263,0.19644018389129872,0.04032299865053531,0.5
85,fmnist,PerAvg,83,0.01657761962501119,0.7009367146447338,0.9525469001188923,0.22459310578305797,0.04211928641215417,0.5
86,fmnist,PerAvg,84,0.01576382511071303,0.6885423806259996,0.9460025317863158,0.23886214140447456,0.0550606780109944,0.5
87,fmnist,PerAvg,85,0.016001125817438996,0.6734064427690198,0.9430243580670249,0.2373807131093509,0.0552030546292486,0.5
88,fmnist,PerAvg,86,0.01559769204569569,0.7319511080648846,0.9602198077399356,0.17491351340797665,0.03684981516712387,0.5
89,fmnist,PerAvg,87,0.015596771604382399,0.7102467443454421,0.9542348899203995,0.22911354063360195,0.048633797761259256,0.5
90,fmnist,PerAvg,88,0.016095400271276157,0.7088759424263193,0.9544322617357327,0.19748338218552774,0.046122284145821146,0.5
91,fmnist,PerAvg,89,0.01561223432021279,0.6711217729038154,0.9454200358405056,0.23756818327998902,0.05992884474222477,0.5
92,fmnist,PerAvg,90,0.01631244500067756,0.6366232579392278,0.9246037971580521,0.29702308016929185,0.07607424493481976,0.5
93,fmnist,PerAvg,91,0.016854184518824856,0.7213845099383139,0.9495266936644532,0.2109816520819658,0.06285595078327753,0.5
94,fmnist,PerAvg,92,0.016255731087080633,0.7123029472241261,0.953039719758765,0.18481940965674307,0.05318485620713218,0.5
95,fmnist,PerAvg,93,0.01724093641350426,0.6182316655243317,0.9243725671409868,0.27794584956211266,0.07544021705583656,0.5
96,fmnist,PerAvg,94,0.01573266187457056,0.649474525931003,0.9391837436227783,0.2172198631381369,0.051370951337503384,0.5
97,fmnist,PerAvg,95,0.014823433817308574,0.6671236006397075,0.9463551891225661,0.22569509898906098,0.05077294024422181,0.5
98,fmnist,PerAvg,96,0.01566485551934982,0.6875142791866575,0.9518658883897064,0.17410547730755574,0.0382907387812113,0.5
99,fmnist,PerAvg,97,0.01503512373021568,0.669865204477953,0.949492546746169,0.21247750684779182,0.04845123324131617,0.5
100,fmnist,PerAvg,98,0.015416159785099847,0.7195567740461504,0.955721297199839,0.19342319577010933,0.04562443825124548,0.5
101,fmnist,PerAvg,99,0.014560671613643533,0.6187457162440028,0.9333941412259358,0.26794734860238334,0.0580474601390899,0.5
102,fmnist,PerAvg,100,0.015173027925323566,0.7103038610920722,0.9544256899143129,0.17686929064082338,0.040557951413077754,0.5
1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,join_ratio
2,fmnist,PerAvg,0,0.07394663962260573,0.08859819490460413,0.46325068856540386,0.14762849247739213,0.1878787568726163,0.5
