1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,Cifar100,SCAFFOLD,0,4.615562544410243,0.00826226012793177,0.49925935941762684,0.006105447987905244,0.047671385134914035
3,Cifar100,SCAFFOLD,1,4.5258691107923505,0.03611407249466951,0.6050164127312431,0.02571456461595076,0.10175080460693425
4,Cifar100,SCAFFOLD,2,4.354383895563031,0.05903518123667378,0.6792056328972031,0.03196078992621732,0.08707877298063453
5,Cifar100,SCAFFOLD,3,4.185240450246417,0.07076226012793177,0.7295497125974367,0.03936441951934783,0.064302669043616
6,Cifar100,SCAFFOLD,4,4.059994285746288,0.09028518123667377,0.7580011530467097,0.03346342818241742,0.05300991335713243
7,Cifar100,SCAFFOLD,5,3.9552507189070494,0.10021321961620469,0.7776010782165728,0.044073536015176974,0.046971691154077594
8,Cifar100,SCAFFOLD,6,3.8880582421493157,0.10774253731343283,0.7907919844915221,0.04603186190182877,0.04158097213003383
9,Cifar100,SCAFFOLD,7,3.828267880010766,0.11946961620469083,0.801415791935414,0.03947077867673873,0.03988855593418611
10,Cifar100,SCAFFOLD,8,3.773758264532549,0.12253464818763327,0.8110735275558582,0.03734031398058029,0.02899321854411994
11,Cifar100,SCAFFOLD,9,3.7336878233417417,0.13172974413646055,0.8155972564957896,0.03938044467980041,0.029725531955057324
12,Cifar100,SCAFFOLD,10,3.694830567805798,0.13446162046908317,0.821567517134288,0.03908694582633731,0.03027260331968719
13,Cifar100,SCAFFOLD,11,3.6529683396180443,0.13999200426439232,0.826568026589839,0.036407604473330524,0.0265237759138956
14,Cifar100,SCAFFOLD,12,3.6431080964277105,0.14505597014925373,0.827762498615185,0.04372365511315097,0.026537150710829606
15,Cifar100,SCAFFOLD,13,3.6131967489054735,0.14952025586353945,0.831510358427489,0.042287566169661374,0.02507698583231618
16,Cifar100,SCAFFOLD,14,3.5990814611572874,0.1511860341151386,0.8331775067976765,0.054149487960264975,0.02739263360275036
17,Cifar100,SCAFFOLD,15,3.570871256155341,0.15345149253731344,0.8362895882477006,0.04312994185623328,0.022663926858543123
18,Cifar100,SCAFFOLD,16,3.5471820523413955,0.15864872068230276,0.8384985631430281,0.049586394100215786,0.02381158963567217
19,Cifar100,SCAFFOLD,17,3.5302220280114027,0.1605143923240938,0.8399416974103178,0.04329847500058962,0.02452985994190764
20,Cifar100,SCAFFOLD,18,3.5247831196043546,0.1617137526652452,0.8409497609619933,0.04185269122326843,0.02559765454907471
21,Cifar100,SCAFFOLD,19,3.513835781744803,0.16371268656716417,0.8418446854756372,0.042321829829298316,0.024589113115366414
22,Cifar100,SCAFFOLD,20,3.4952375881931914,0.16477878464818763,0.8435798408958615,0.04411768096239423,0.0230797369733447
23,Cifar100,SCAFFOLD,21,3.4903025131508922,0.16571162046908317,0.8444194413280763,0.04291764403181586,0.0204402519666216
24,Cifar100,SCAFFOLD,22,3.4783314189130863,0.16884328358208955,0.8450836391604405,0.046271036092866376,0.024439505593170253
25,Cifar100,SCAFFOLD,23,3.476159783767818,0.1701092750533049,0.8456400844114821,0.04290378514023408,0.02150012543749249
26,Cifar100,SCAFFOLD,24,3.4557806311648758,0.17217484008528786,0.8477210281109873,0.04727701045284872,0.019714275831252816
27,Cifar100,SCAFFOLD,25,3.4500459717741387,0.17270788912579957,0.8480778135318955,0.05391333357599642,0.0223432455776375
28,Cifar100,SCAFFOLD,26,3.4436040036068802,0.17317430703624734,0.8484369111470496,0.040980176147735956,0.021629047452274546
29,Cifar100,SCAFFOLD,27,3.439950746916045,0.17317430703624734,0.8490643812909935,0.04524309605514035,0.01936420327795522
30,Cifar100,SCAFFOLD,28,3.438753086129153,0.1736407249466951,0.8486998757391605,0.04705832307210172,0.020512927593763067
31,Cifar100,SCAFFOLD,29,3.4353659431708707,0.17657249466950958,0.8485619460488595,0.04780690655078068,0.022787522651628315
32,Cifar100,SCAFFOLD,30,3.4605011193645403,0.17277452025586354,0.8449484551581593,0.05122504314580304,0.028286494361073115
33,Cifar100,SCAFFOLD,31,3.4614490368223723,0.16957622601279318,0.844366759314977,0.04315579446914482,0.028562963059209794
34,Cifar100,SCAFFOLD,32,3.4288375804356845,0.17117537313432835,0.8482967594511547,0.038300900027853364,0.026336200638449492
35,Cifar100,SCAFFOLD,33,3.4129688701761554,0.17563965884861407,0.8499609016409555,0.04541761258297929,0.026119235958011012
36,Cifar100,SCAFFOLD,34,3.3855082970977444,0.1793043710021322,0.8532927987571881,0.04061150395519828,0.018150934277800353
37,Cifar100,SCAFFOLD,35,3.369806711767263,0.18270255863539445,0.8556828086826657,0.042309167212202674,0.01651323574951744
38,Cifar100,SCAFFOLD,36,3.3515426563508273,0.18423507462686567,0.8563514276312949,0.04596931191256884,0.02051476992151731
39,Cifar100,SCAFFOLD,37,3.3424224795034996,0.1867004264392324,0.856798545683889,0.04747237044747762,0.020014939252653432
40,Cifar100,SCAFFOLD,38,3.328924426116716,0.18756663113006397,0.8575948683626945,0.04732083858423384,0.02058743162875962
41,Cifar100,SCAFFOLD,39,3.3315320263138406,0.18343550106609807,0.856760788489462,0.04863252644364931,0.02065135405011637
42,Cifar100,SCAFFOLD,40,3.342247242627248,0.18490138592750532,0.8546329285988513,0.04240488385808489,0.023714537884777613
43,Cifar100,SCAFFOLD,41,3.3710796728748758,0.17983742004264391,0.8508033643950367,0.04326008762972829,0.02914233408565911
44,Cifar100,SCAFFOLD,42,3.3305254999990246,0.1861673773987207,0.854863714201267,0.0433710659664174,0.021423395664626196
45,Cifar100,SCAFFOLD,43,3.3041641544487694,0.18936567164179105,0.8580540425756344,0.04336415854881659,0.01984019694012458
46,Cifar100,SCAFFOLD,44,3.300842870466227,0.18736673773987206,0.8584883703033148,0.04731389266027334,0.02198532136556109
47,Cifar100,SCAFFOLD,45,3.2876491433062855,0.19196428571428573,0.8599172433717134,0.04906454983976148,0.02379975558163784
48,Cifar100,SCAFFOLD,46,3.279544775712068,0.19229744136460555,0.8605637473716108,0.04944766649810792,0.021263932003362275
49,Cifar100,SCAFFOLD,47,3.268837767502227,0.19416311300639658,0.8616147981849231,0.04096191447266852,0.01841880125516271
50,Cifar100,SCAFFOLD,48,3.2648610661428945,0.19289712153518124,0.862248407085301,0.04693550504972058,0.017283468995171854
51,Cifar100,SCAFFOLD,49,3.2543141684738304,0.19223081023454158,0.862878477902976,0.05133829711789905,0.018545350774692004
52,Cifar100,SCAFFOLD,50,3.2472417949622816,0.19429637526652452,0.8631929398674769,0.05613087298673481,0.02029960636780769
53,Cifar100,SCAFFOLD,51,3.249601976072167,0.1923640724946695,0.8630345048977063,0.054388860830968146,0.01898845725630075
54,Cifar100,SCAFFOLD,52,3.25676583734256,0.19009861407249468,0.8619581224170307,0.05162959103335653,0.020080728018787828
55,Cifar100,SCAFFOLD,53,3.250820379657182,0.19422974413646055,0.8613673883702104,0.047471605620059,0.02062693586525188
56,Cifar100,SCAFFOLD,54,3.237769811491889,0.19389658848614072,0.8628434670647648,0.040044627738866044,0.01807128290755332
57,Cifar100,SCAFFOLD,55,3.232762931404197,0.1960954157782516,0.8638014976947277,0.039606843887612826,0.015636764140207832
58,Cifar100,SCAFFOLD,56,3.2314401009534097,0.19836087420042645,0.8633185780574117,0.04676671793733731,0.02110950749979048
59,Cifar100,SCAFFOLD,57,3.2119972991033543,0.19969349680170576,0.8657364100816053,0.044598114911701583,0.0200409489468782
60,Cifar100,SCAFFOLD,58,3.2020748997419632,0.19922707889125799,0.8667747707394536,0.03832346662162503,0.01730957722415436
61,Cifar100,SCAFFOLD,59,3.192499841000236,0.1986273987206823,0.8676250604387589,0.04370448330829624,0.01812086278728092
62,Cifar100,SCAFFOLD,60,3.1835561276616797,0.20069296375266524,0.868641331661255,0.03759215499759965,0.014626211656549766
63,Cifar100,SCAFFOLD,61,3.1965927000816468,0.1956956289978678,0.8671582794284448,0.039136956610675976,0.015773884417281836
64,Cifar100,SCAFFOLD,62,3.174577082821619,0.1986273987206823,0.8683345089197549,0.03828152588504456,0.014399222629471216
