1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,Cifar10,FedALA,0,2.3061052489747356,0.10714285714285714,0.5084494587055967,0.2203115326567343,0.198416140940435
3,Cifar10,FedALA,1,2.2520117424494748,0.2669909381663113,0.6429483855962722,0.2731403256505983,0.24614148934571747
4,Cifar10,FedALA,2,2.431465636466852,0.292910447761194,0.6394695545623407,0.30511968863189665,0.25061191658437326
5,Cifar10,FedALA,3,2.2049218908568773,0.3568097014925373,0.7174984467987154,0.2737959973684145,0.2638507893892881
6,Cifar10,FedALA,4,2.1551763143007614,0.3109674840085288,0.7214879761655233,0.2793886295514862,0.20292546972827846
7,Cifar10,FedALA,5,2.0206505134376926,0.357409381663113,0.7542783405982761,0.3078832851640003,0.16107145867846895
8,Cifar10,FedALA,6,2.5663857150509055,0.2992404051172708,0.6969553379602076,0.26888909162775937,0.19858910376503106
9,Cifar10,FedALA,7,2.2403151004258675,0.34594882729211085,0.734738904266595,0.29367879810263986,0.21521237062458606
10,Cifar10,FedALA,8,1.8333709137915266,0.4330357142857143,0.7945414416075164,0.2461253340522629,0.19188386592177023
11,Cifar10,FedALA,9,1.9135074151282156,0.40325159914712155,0.7886869200050904,0.27159638274553216,0.19890182441321752
12,Cifar10,FedALA,10,1.705057314761833,0.45808901918976547,0.8079038712537294,0.2774587986990707,0.1768162741291784
13,Cifar10,FedALA,11,1.0844019080134393,0.6439898720682303,0.916914299983045,0.24282458168194165,0.07801866150217499
14,Cifar10,FedALA,12,1.4936484950426194,0.5035314498933902,0.8522080579729842,0.24779264873372084,0.12699290514297387
15,Cifar10,FedALA,13,1.125887893816105,0.6192697228144989,0.9061803949379593,0.24184596436276312,0.09111524372315812
16,Cifar10,FedALA,14,1.8373471123119465,0.41124733475479747,0.8097924807947661,0.2549463770003187,0.14014174044696148
17,Cifar10,FedALA,15,1.3324664985970678,0.5297841151385928,0.8715375974190608,0.2513722849484448,0.108653948850251
18,Cifar10,FedALA,16,1.1390794321465028,0.5814232409381663,0.904557825550134,0.22326771222133052,0.07861861703228734
19,Cifar10,FedALA,17,1.0277309757742692,0.6493203624733476,0.9134058147088935,0.21859068448019311,0.09287846411239405
20,Cifar10,FedALA,18,1.1270298689781122,0.5992137526652452,0.8983650704137511,0.24574924049516847,0.10685183881452177
21,Cifar10,FedALA,19,1.4505843390873054,0.5075293176972282,0.8632406804372892,0.25393671411161545,0.10329143718074682
22,Cifar10,FedALA,20,1.338382460982489,0.5309834754797441,0.870922122021152,0.25733002778196096,0.11582865764487665
23,Cifar10,FedALA,21,1.1630863161394878,0.5756929637526652,0.8986333705618728,0.20089192576927312,0.07688921242355422
24,Cifar10,FedALA,22,1.11754755083218,0.6014125799573561,0.9016428034914904,0.17770163685729498,0.0761779194729739
25,Cifar10,FedALA,23,1.6707607252507934,0.4319696162046908,0.8424571604522751,0.2185487183759717,0.09029850158486216
26,Cifar10,FedALA,24,1.7792189719655038,0.4291044776119403,0.8283782765980041,0.24874500281608164,0.11404051137507128
27,Cifar10,FedALA,25,1.082526550894488,0.5988805970149254,0.908971371654514,0.19724418657133655,0.06549636999487986
28,Cifar10,FedALA,26,1.1530585093903627,0.5748267590618337,0.9019014060562577,0.17782591828538907,0.06276735380006494
29,Cifar10,FedALA,27,1.2544398261860776,0.5583022388059702,0.8842311383900716,0.21215649237470402,0.07919057547457616
30,Cifar10,FedALA,28,1.0043681388363752,0.6488539445628998,0.9183562998125887,0.15770146908248475,0.06550209022141515
31,Cifar10,FedALA,29,1.0848248761410335,0.6092084221748401,0.9022726554745523,0.20185282352889447,0.08286391362495403
32,Cifar10,FedALA,30,0.9099544812539456,0.6729744136460555,0.9282279532445963,0.16996022708174796,0.06389913870673629
33,Cifar10,FedALA,31,0.9483909439775278,0.6449893390191898,0.9215378393761636,0.1763531808484165,0.05629705836456783
34,Cifar10,FedALA,32,1.0840802560873608,0.6092750533049041,0.9067827976606104,0.16959358512009104,0.0663988643953102
35,Cifar10,FedALA,33,1.057376554179286,0.6001465884861408,0.9071230179524682,0.22000255616045192,0.08070089951922063
36,Cifar10,FedALA,34,0.9655845458340065,0.6473880597014925,0.9218173426277649,0.14079272444065966,0.047754135968322
37,Cifar10,FedALA,35,1.1119585338671554,0.5952158848614072,0.9048287108321478,0.18804644307780974,0.06617305131174164
38,Cifar10,FedALA,36,1.0913915873445932,0.6244669509594882,0.9033902944311751,0.18755219952925303,0.0687652363208116
39,Cifar10,FedALA,37,0.9129113655550701,0.6667110874200426,0.9251155358652443,0.18299137265247567,0.06766728714571608
40,Cifar10,FedALA,38,0.9849670575940057,0.6389925373134329,0.9147179130679779,0.17588653959956688,0.06076087886480826
41,Cifar10,FedALA,39,1.4076007623066984,0.5281183368869936,0.8751258512118439,0.21810690690452963,0.08239694826054277
