client=100
1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,Cifar100,FedALA_AAW,0,4.6162592356668455,0.008378773773108127,0.5034908472918959,0.009280586839039439,0.07192034368623447
3,Cifar100,FedALA_AAW,1,3.8261857354084245,0.12807554196036708,0.689651843094363,0.16672745817004522,0.17080281513188417
4,Cifar100,FedALA_AAW,2,3.3273854979554827,0.19809815134991354,0.775458510170723,0.18828449304660688,0.1604403639309728
5,Cifar100,FedALA_AAW,3,3.0412150152105446,0.23241122489692778,0.8259364997586583,0.17440005802036906,0.1312131232257916
6,Cifar100,FedALA_AAW,4,2.9521918734667802,0.24005851842000267,0.8431088484198844,0.1759833445212757,0.11665135936888352
7,Cifar100,FedALA_AAW,5,2.732019748074693,0.271046681739593,0.8712393746930293,0.16219743770923492,0.08693779463013354
8,Cifar100,FedALA_AAW,6,2.7042341929310636,0.2671232876712329,0.8770706652806207,0.16008103465616721,0.0793335287947327
9,Cifar100,FedALA_AAW,7,2.644092001958967,0.2702487032850113,0.8885195955757609,0.1479444261704015,0.06872037371198156
10,Cifar100,FedALA_AAW,8,2.582615572203582,0.28088841601276765,0.8882568221537527,0.17071010453363733,0.0754086093375681
11,Cifar100,FedALA_AAW,9,2.48193260087581,0.2909296448995877,0.8962498575121941,0.15337536382914846,0.06818055611046915
12,Cifar100,FedALA_AAW,10,2.4929969008249895,0.28235137651283415,0.8992532018402226,0.14629270685032164,0.05956850611114011
13,Cifar100,FedALA_AAW,11,2.4107995724819613,0.3084851709003857,0.9018936107496525,0.15720364891373365,0.06292463469850376
14,Cifar100,FedALA_AAW,12,2.3834170986030787,0.3055592499002527,0.9065570445772327,0.14054341451722924,0.05536559611666244
15,Cifar100,FedALA_AAW,13,2.3597232369635015,0.3154674823779758,0.903679896099357,0.15783734249717263,0.06546393854734978
16,Cifar100,FedALA_AAW,14,2.305490190862807,0.3152014895597819,0.9124418961080681,0.1452886945336556,0.053446775017249634
17,Cifar100,FedALA_AAW,15,2.3066711681724894,0.3156669769916212,0.9093652082066763,0.14257382949352132,0.05654323250221669
18,Cifar100,FedALA_AAW,16,2.3121705965140387,0.31154408830961566,0.9074566560676102,0.14418635353647535,0.05848547793573265
19,Cifar100,FedALA_AAW,17,2.2477066008315383,0.32258279026466286,0.9129261060698409,0.13972211935443285,0.05465645990644916
20,Cifar100,FedALA_AAW,18,2.196974785234212,0.32690517356031384,0.9151367066729046,0.14216111360342112,0.05170067927290372
21,Cifar100,FedALA_AAW,19,2.2472508761451992,0.32604069690118365,0.9121625412518609,0.14589085147663478,0.05219711029823637
22,Cifar100,FedALA_AAW,20,2.209096585065346,0.3303630801968347,0.9136649157224158,0.14648613751566064,0.05351134168369799
23,Cifar100,FedALA_AAW,21,2.1937326839050164,0.330828567628674,0.9145163620687012,0.14400480411131344,0.05072048707254385
24,Cifar100,FedALA_AAW,22,2.166228915977112,0.3274371591967017,0.9180971352890999,0.1288723651378852,0.04821445963751193
25,Cifar100,FedALA_AAW,23,2.1634993442204586,0.33508445271977655,0.9165644677251988,0.12704127074224122,0.04797639039967131
26,Cifar100,FedALA_AAW,24,2.1173216594062616,0.3408032983109456,0.9178150085526137,0.1419192351525759,0.053002645186482164
27,Cifar100,FedALA_AAW,25,2.1373792677352337,0.33335549940151615,0.9177396381147488,0.13285350385390243,0.04855194147930064
28,Cifar100,FedALA_AAW,26,2.0981091165507477,0.339606330629073,0.9186331460163951,0.1236445982887798,0.048686578809955465
29,Cifar100,FedALA_AAW,27,2.070919745343332,0.3428647426519484,0.9215602319664158,0.1241877380842435,0.044512919258254506
