1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,Cifar100,FedALA_AAW,0,4.61568046263738,0.008257308383831657,0.4993659951584215,0.009247920360640914,0.06944052768915349
3,Cifar100,FedALA_AAW,1,3.8185766857399077,0.1298528334554172,0.7026758021472925,0.1635470235401252,0.17315873459213468
4,Cifar100,FedALA_AAW,2,3.3199245948158684,0.19298128787374308,0.7890674178637472,0.18334962634273685,0.15356740035166178
5,Cifar100,FedALA_AAW,3,3.068536417581183,0.2257441566224945,0.8298527736688468,0.16110901087814042,0.14002837323173145
6,Cifar100,FedALA_AAW,4,2.822396353184407,0.24985016980755145,0.8641545759218123,0.16783575123773053,0.11067966882828888
7,Cifar100,FedALA_AAW,5,2.705936946331133,0.26909502563761073,0.8788511522313546,0.1677401944856899,0.095469174217628
8,Cifar100,FedALA_AAW,6,2.5964436142369727,0.2722914030765133,0.8960891868153411,0.13369784341027963,0.07064553659155345
9,Cifar100,FedALA_AAW,7,2.4914877957252473,0.2955983219018446,0.9034418838691733,0.1407267239603069,0.06816256977459136
10,Cifar100,FedALA_AAW,8,2.4127313828110557,0.31171339148964505,0.9020059322840012,0.14946749099969828,0.0740114436828618
11,Cifar100,FedALA_AAW,9,2.4028821815047783,0.29879469934074715,0.9067042590402811,0.1551086170729198,0.06303399122760688
12,Cifar100,FedALA_AAW,10,2.3635811491265013,0.32350003329559834,0.9099886633991852,0.13544558031486809,0.05962929835699956
13,Cifar100,FedALA_AAW,11,2.3377145785995617,0.3159752280748485,0.9120882414702052,0.1352914032202179,0.05620940884093149
14,Cifar100,FedALA_AAW,12,2.3431878182920927,0.3075847372977292,0.9110084339700661,0.14140392081550734,0.05920790835195189
15,Cifar100,FedALA_AAW,13,2.2016876138946953,0.33328893920223746,0.9191246984640944,0.12944805343250695,0.05016358863253991
16,Cifar100,FedALA_AAW,14,2.238936266441355,0.3341546247586069,0.9137267204849053,0.14361993983733928,0.060817226322484964
17,Cifar100,FedALA_AAW,15,2.1964998015377004,0.3290936938136778,0.9180645635563256,0.13956535110099658,0.05364380852354767
18,Cifar100,FedALA_AAW,16,2.1153214290631612,0.3434773922887394,0.925308771451384,0.10653006287346575,0.041944959034219
19,Cifar100,FedALA_AAW,17,2.11624533453337,0.339215555703536,0.9230864331909683,0.12000357643756256,0.045299888709250974
20,Cifar100,FedALA_AAW,18,2.0796940808644506,0.34234534194579475,0.9232980101641295,0.12199118342460916,0.04776805206265257
21,Cifar100,FedALA_AAW,19,2.0335910224744493,0.35486448691482986,0.9264549028469927,0.12138721372240109,0.04513890852244551
22,Cifar100,FedALA_AAW,20,2.0706732437574087,0.34341080109209565,0.9217413683944888,0.1431753383936132,0.05119925363879491
23,Cifar100,FedALA_AAW,21,2.042442397654464,0.3516681094759273,0.9247240558104243,0.11910601568598193,0.0462957404562935
24,Cifar100,FedALA_AAW,22,1.9999232176416848,0.3482719584470933,0.925234596765201,0.13108665951494985,0.04662512951579127
25,Cifar100,FedALA_AAW,23,2.0035038608737104,0.3502696943464074,0.9263340083000022,0.11451988780712427,0.04214205439724807
26,Cifar100,FedALA_AAW,24,1.9878437032848706,0.34920423520010657,0.9271582772025259,0.12007024022356058,0.040357366798383455
27,Cifar100,FedALA_AAW,25,1.9289483229926783,0.35286675101551573,0.9279543918676297,0.13055786435992814,0.04296298500470358
28,Cifar100,FedALA_AAW,26,1.9370479361134731,0.35872677632017047,0.9289004103706092,0.12481383148650393,0.042175112179484386
29,Cifar100,FedALA_AAW,27,1.8934684054092004,0.3569288140107878,0.9282988094844051,0.12842894995284918,0.046750437407861355
30,Cifar100,FedALA_AAW,28,1.8922520889514542,0.3597256442698275,0.929647863361773,0.10951346689087092,0.03871293083316142
31,Cifar100,FedALA_AAW,29,1.8931944317159757,0.3559299460611307,0.9276624137754753,0.12573494687987327,0.04353705370932025
32,Cifar100,FedALA_AAW,30,1.8467017910532821,0.36152360657921023,0.9312813719263656,0.11735396123149752,0.03769530519424232
33,Cifar100,FedALA_AAW,31,1.8590366564343055,0.3592595058933209,0.9292486969633023,0.12198056490612806,0.0412341577853971
34,Cifar100,FedALA_AAW,32,1.8282376989857525,0.3545315309316108,0.9295015654260756,0.12439630497963222,0.04212722891807973
35,Cifar100,FedALA_AAW,33,1.814302923251698,0.3663847639342079,0.9309601847447249,0.11182886805031006,0.03995639594591252
36,Cifar100,FedALA_AAW,34,1.8171091674951365,0.3599920090564027,0.9305303499311407,0.11541122495809614,0.038394020729518114
37,Cifar100,FedALA_AAW,35,1.7878726910339346,0.3665179463274955,0.9313462822137877,0.11973460124708608,0.03784630731399881
38,Cifar100,FedALA_AAW,36,1.778338022595269,0.3597256442698275,0.9311486268521594,0.11108649138084807,0.039187992293194904
39,Cifar100,FedALA_AAW,37,1.735437479145138,0.36365452487181193,0.9326943237953381,0.11054745670731526,0.03539393480544751
40,Cifar100,FedALA_AAW,38,1.7860076645707188,0.3607245122194846,0.9272512675002058,0.11006752143128015,0.042470937212929695
41,Cifar100,FedALA_AAW,39,1.7650305914971423,0.3523340214423653,0.9306216170109344,0.10528398084679279,0.037428166937884345
42,Cifar100,FedALA_AAW,40,1.721812100451216,0.36152360657921023,0.9315262478004697,0.1071483894504896,0.037498033196262034
43,Cifar100,FedALA_AAW,41,1.7466295399202632,0.36731704068722115,0.9288912615296385,0.1196244386201997,0.039680696894615106
44,Cifar100,FedALA_AAW,42,1.6993629904992624,0.36585203436105745,0.9319063000295508,0.12538822524517254,0.038461314082978156
45,Cifar100,FedALA_AAW,43,1.683104536498052,0.3641206632483186,0.9311172361560096,0.10607034342699942,0.03684681384929335
46,Cifar100,FedALA_AAW,44,1.6880440499440468,0.3682493174402344,0.930877757320276,0.12498576444873426,0.03848319681300594
47,Cifar100,FedALA_AAW,45,1.6260447171634076,0.3750416194979024,0.9346391679787249,0.11348617344333581,0.03497993633116226
48,Cifar100,FedALA_AAW,46,1.6256088197108503,0.3695811413731105,0.9332826876852999,0.11107011293966912,0.036042186407698955
49,Cifar100,FedALA_AAW,47,1.6842185565397296,0.36205633615236066,0.9296754019248967,0.10199281877173046,0.036822960962203916
50,Cifar100,FedALA_AAW,48,1.65082649175976,0.3671838582939335,0.9322513187445943,0.11595235447977499,0.03540006706513949
51,Cifar100,FedALA_AAW,49,1.6124863611836426,0.3712459212892056,0.93280796665996,0.0990673966936883,0.03497838038288219
52,Cifar100,FedALA_AAW,50,1.6605163526755138,0.3631883864953053,0.9304973229101982,0.11166490336128784,0.03791492619591492
53,Cifar100,FedALA_AAW,51,1.6356126637697241,0.3611906505959912,0.9307199667230276,0.1194833768426044,0.03889255177497893
54,Cifar100,FedALA_AAW,52,1.5969217313366137,0.368382499833522,0.9328532539096624,0.10357203252622652,0.03510066206833754
55,Cifar100,FedALA_AAW,53,1.570934302594346,0.36745022308050873,0.9337547806950204,0.1068438475788426,0.032444650972024446
56,Cifar100,FedALA_AAW,54,1.5835237955339123,0.37264433641872546,0.9327112995313582,0.10169720317942106,0.03357133620085894
57,Cifar100,FedALA_AAW,55,1.595801813244912,0.36365452487181193,0.9310554854628296,0.115187979209462,0.03762465427450356
58,Cifar100,FedALA_AAW,56,1.568104766840973,0.364653392821469,0.9330243831896154,0.1054998685814037,0.034471760852861584
59,Cifar100,FedALA_AAW,57,1.609013653969339,0.3707797829126989,0.9285349920725876,0.11755947576792501,0.041351111019471885
60,Cifar100,FedALA_AAW,58,1.576779575323154,0.36152360657921023,0.9308052958400505,0.10811478057733344,0.03698804876370275
61,Cifar100,FedALA_AAW,59,1.5806368015038486,0.3624558833322235,0.9297407459882882,0.10700610730547601,0.03664476005455774
62,Cifar100,FedALA_AAW,60,1.5185982050739268,0.36871545581674103,0.9336782694591005,0.10853598787142592,0.03551214610784595
63,Cifar100,FedALA_AAW,61,1.4884102506778938,0.37404275154824534,0.9346176662613502,0.09910925711378944,0.031291041092953824
64,Cifar100,FedALA_AAW,62,1.53186887352308,0.3657188519677699,0.9317817488370993,0.10548439781853222,0.03447892594455463
65,Cifar100,FedALA_AAW,63,1.5278686432043624,0.36352134247852436,0.9302722063821862,0.11934212890444518,0.039293134222085406
66,Cifar100,FedALA_AAW,64,1.5217006579323578,0.37430911633482056,0.9320095661335515,0.11589288618652982,0.03646467765274817
67,Cifar100,FedALA_AAW,65,1.5204302235402853,0.3739095691549577,0.931226650213264,0.12186088438736918,0.038232935235663304
68,Cifar100,FedALA_AAW,66,1.4890969537161802,0.36851568222680964,0.9304207493181266,0.10426897804867806,0.03596012816445212
69,Cifar100,FedALA_AAW,67,1.4898887170096642,0.3623892921355797,0.9310427808347862,0.10687542376071078,0.03470595915527372
70,Cifar100,FedALA_AAW,68,1.4913863803552325,0.36891522940667243,0.9321946544998936,0.10375249808425945,0.03316054634393611
71,Cifar100,FedALA_AAW,69,1.4658802743406352,0.3650529400013318,0.9317203582010035,0.10544761015230479,0.03495351240246283
72,Cifar100,FedALA_AAW,70,1.5072747328620055,0.3660518079509889,0.9292172427279836,0.12199897432299096,0.039942685764297645
