1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,Cifar100,FedALA_AAW,0,4.615351738705845,0.008111702127659574,0.4979430317241672,0.012135016856104682,0.0909897273707347
3,Cifar100,FedALA_AAW,1,4.365649998633644,0.045545212765957445,0.5418986848101462,0.12365837050867394,0.1565718561060948
4,Cifar100,FedALA_AAW,2,4.060260312202231,0.09621010638297872,0.5851183891904531,0.1871199342461717,0.1926092418117287
5,Cifar100,FedALA_AAW,3,3.7780983174942038,0.13690159574468086,0.6277509171623654,0.2171406745220395,0.2104509514241247
6,Cifar100,FedALA_AAW,4,3.508666875824722,0.18357712765957446,0.6602455989203292,0.2462871821099936,0.22894681764930205
7,Cifar100,FedALA_AAW,5,3.34895398153198,0.20013297872340424,0.6838459417231176,0.24881153396800282,0.23011697789709618
8,Cifar100,FedALA_AAW,6,3.1581294328801386,0.23178191489361702,0.7167624645437636,0.25776863578761994,0.23085825793949466
9,Cifar100,FedALA_AAW,7,2.902175818925959,0.27081117021276596,0.7466874839685842,0.26923151800524464,0.23011567907020078
10,Cifar100,FedALA_AAW,8,2.8003523177524654,0.2860372340425532,0.7612101928611081,0.2699557246755478,0.23176297799023501
11,Cifar100,FedALA_AAW,9,2.6102552360553166,0.3124335106382979,0.7806698538215048,0.26850933800619026,0.22999698057370027
12,Cifar100,FedALA_AAW,10,2.5518520944775496,0.3182845744680851,0.7912775370113077,0.2648688621920781,0.22621542659651547
13,Cifar100,FedALA_AAW,11,2.3815258685720164,0.3415558510638298,0.8095294933738848,0.2574311539253089,0.22156546729554602
14,Cifar100,FedALA_AAW,12,2.24711393191126,0.36336436170212766,0.8256406652754747,0.25997597239833203,0.2148119191107365
15,Cifar100,FedALA_AAW,13,2.152559019502266,0.37240691489361705,0.8446298476302971,0.2532023949775189,0.20000543400764925
16,Cifar100,FedALA_AAW,14,2.023005762179998,0.39341755319148936,0.8557481120755769,0.2511229783286562,0.19594424845794872
17,Cifar100,FedALA_AAW,15,2.0437313184679855,0.3849734042553192,0.8567824871773525,0.2488752386003179,0.19222137252548807
18,Cifar100,FedALA_AAW,16,1.9690184017333723,0.3962101063829787,0.8653487582192123,0.243861329022098,0.18522377917673402
19,Cifar100,FedALA_AAW,17,1.850645579877889,0.4110372340425532,0.8763732127834825,0.24177486125699796,0.1775984580207576
20,Cifar100,FedALA_AAW,18,1.8458494157933591,0.4160904255319149,0.8763892005491717,0.2308976363686477,0.17805351119704466
21,Cifar100,FedALA_AAW,19,1.7390265072007687,0.4228058510638298,0.8917763698787482,0.22519298231561938,0.16537153116276546
22,Cifar100,FedALA_AAW,20,1.774469395452544,0.41210106382978723,0.8881811662502203,0.22681331775287264,0.16469897959371485
23,Cifar100,FedALA_AAW,21,1.6806319631047768,0.4259973404255319,0.8963391150255786,0.22551416402035854,0.16203536650295447
24,Cifar100,FedALA_AAW,22,1.5691491991826152,0.44454787234042553,0.9087255926758403,0.21830706276490403,0.14870569260591696
25,Cifar100,FedALA_AAW,23,1.533326046593794,0.4552526595744681,0.9111447134477626,0.21062953791347128,0.14695279641418638
26,Cifar100,FedALA_AAW,24,1.4969578200920957,0.46023936170212765,0.9161095870241123,0.21050893555552694,0.14188679406373786
27,Cifar100,FedALA_AAW,25,1.4063281177476095,0.47127659574468084,0.9261233657134382,0.19502748620464813,0.12851472448168677
28,Cifar100,FedALA_AAW,26,1.3173919399436034,0.4777260638297872,0.9393402030181841,0.18227582304919404,0.10407118324104929
29,Cifar100,FedALA_AAW,27,1.3150319226426677,0.47925531914893615,0.9393352265589611,0.18275025576444862,0.10040521660404172
30,Cifar100,FedALA_AAW,28,1.2841586138019023,0.4779255319148936,0.9430349921578696,0.17544476122335667,0.0958317638553465
31,Cifar100,FedALA_AAW,29,1.240249183691928,0.49042553191489363,0.9442622605974991,0.18311735806166385,0.09682629678780394
