1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,fmnist,FedAvg,0,6.207858872759927,0.1000456308464522,0.4945642379737569,0.22329963606918662,0.244087495235722
3,fmnist,FedAvg,1,2.471927114274876,0.27475473420031943,0.6119674857795949,0.2929854312754348,0.24417900100330409
4,fmnist,FedAvg,2,2.7190126477099525,0.17670545288615103,0.6958575595885303,0.2545593930702943,0.18366846958236577
5,fmnist,FedAvg,3,2.057726439645083,0.3523271731690623,0.7953830561026988,0.31577053460418,0.1302305536197366
6,fmnist,FedAvg,4,2.0596202972154973,0.2862194843714351,0.8313328292111012,0.2720892141976047,0.13666959011136792
7,fmnist,FedAvg,5,1.5813173645111827,0.44957791467031716,0.8671697684275589,0.2957372115205941,0.1164453178836621
8,fmnist,FedAvg,6,1.0572179266990656,0.6307894136436231,0.9189460942127491,0.23296702206809464,0.0661352275602108
9,fmnist,FedAvg,7,0.9532058251104742,0.6983230663928816,0.9392268000676304,0.24241346504918498,0.055243182442283593
10,fmnist,FedAvg,8,0.7415042353427276,0.7367670545288615,0.9478167134810481,0.16647519316996084,0.04039983734077861
11,fmnist,FedAvg,9,0.9384405655515512,0.6757357973990418,0.9464706841138928,0.2300366493958823,0.03952661027779635
12,fmnist,FedAvg,10,0.706976346121027,0.7322610084417066,0.9534585476949938,0.1929350563264953,0.03708695708771977
13,fmnist,FedAvg,11,0.9867108075552209,0.656342687656856,0.9352942694891603,0.21375332596305563,0.05214684227900974
14,fmnist,FedAvg,12,0.6834290590022886,0.7492014601870864,0.9580147420081465,0.15261495568092115,0.028606016425487688
15,fmnist,FedAvg,13,0.7194746553096152,0.7472621492128679,0.9499785343661384,0.2095774511468828,0.05255922424928013
16,fmnist,FedAvg,14,0.8153954482571678,0.709046315309149,0.9517302538016371,0.1798772537625063,0.03454338419260801
17,fmnist,FedAvg,15,0.9974347956927205,0.6852612365959388,0.9444176092803297,0.25057696414914804,0.050733374503101156
18,fmnist,FedAvg,16,1.00659071270351,0.6866301619895049,0.949240391468924,0.25531299142816444,0.04742814681158264
19,fmnist,FedAvg,17,1.1463922505634858,0.668777093315081,0.9363478528106229,0.25040878390797106,0.06851535411977792
20,fmnist,FedAvg,18,0.8684497108609982,0.7324891626739676,0.952433026019171,0.21510772816233256,0.05150120255859245
21,fmnist,FedAvg,19,0.8109172632948576,0.7208532968286562,0.9483838361540115,0.1705577561176435,0.03994887694999874
22,fmnist,FedAvg,20,1.3803443972579426,0.6660392425279489,0.9397585896254128,0.2467351627544545,0.053412532200403685
23,fmnist,FedAvg,21,0.6185944412245276,0.7809148984713666,0.9626965629922397,0.1516574916373037,0.026051473033340385
24,fmnist,FedAvg,22,0.9690385580767134,0.6873146246862879,0.937096902598206,0.21828938149618932,0.05625050463174623
25,fmnist,FedAvg,23,1.1379877233051805,0.6276522929500342,0.9453111911002026,0.2556638461994584,0.04816236671080238
26,fmnist,FedAvg,24,0.664343811215801,0.7587268993839835,0.9590769695145572,0.15395709204524582,0.028198400724273927
27,fmnist,FedAvg,25,0.6679964091269194,0.7716746520647958,0.9586095182256511,0.1461111493512237,0.03037128815135434
28,fmnist,FedAvg,26,0.7921610366955744,0.7446383755418663,0.9508929476798191,0.19467571548755078,0.04360249974614529
29,fmnist,FedAvg,27,0.7272547138436812,0.7784052019164955,0.9608732102315233,0.21244155613256202,0.04812576541151424
30,fmnist,FedAvg,28,0.7487861139440553,0.729180926306183,0.9561384576714663,0.18716137319359616,0.030151265194413142
31,fmnist,FedAvg,29,1.0085527412624244,0.7030572667122975,0.9442384024825202,0.20791966734362138,0.05123922777548924
32,fmnist,FedAvg,30,0.6841386356050041,0.7618640200775725,0.9589147499256384,0.15581320769872764,0.03435266165665885
33,fmnist,FedAvg,31,0.9647070696714125,0.6970682181154461,0.9465005735202286,0.18830533794513793,0.04035814099152543
34,fmnist,FedAvg,32,0.7300595650380872,0.7698494182067077,0.9598207696123355,0.20068735551789016,0.04382096277440326
35,fmnist,FedAvg,33,0.7614676146084706,0.728724617841661,0.9595132312259242,0.181163306033783,0.028343672501965324
36,fmnist,FedAvg,34,0.5937756853684306,0.795916039242528,0.9661740500656528,0.1211477494779029,0.022500402074906906
37,fmnist,FedAvg,35,0.7664983587552447,0.7589550536162446,0.9563598766429506,0.1650498988942788,0.03778291315923319
38,fmnist,FedAvg,36,0.8387037679828694,0.7536504677161762,0.9585976449640019,0.20626941997466233,0.03859360240453127
39,fmnist,FedAvg,37,0.9547662416789745,0.7397900981063199,0.9542077713502177,0.21575506894495083,0.05460760924008214
40,fmnist,FedAvg,38,0.8830988012897577,0.7139516313027606,0.9553506050913042,0.16357127343632483,0.02713673186889142
41,fmnist,FedAvg,39,0.7072447575957589,0.7819986310746064,0.9652039543665978,0.1881775575823401,0.034301462817884786
42,fmnist,FedAvg,40,0.7004597574767054,0.7942619210586357,0.9651762399676734,0.19847822944508012,0.04564266883415882
43,fmnist,FedAvg,41,0.8814265210939541,0.7558749714807209,0.9618598640680847,0.20511148455606013,0.03527619161915786
44,fmnist,FedAvg,42,0.6631368312206498,0.7854209445585215,0.9655117720559099,0.15657042461970566,0.03145487886539254
45,fmnist,FedAvg,43,0.7703754027878474,0.7411019849418207,0.9580704090919896,0.16927247486071156,0.030795271518901157
