 nc=100 jr=0.1 beta=0.1
1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,mnist,FedAvg,0,6.176598174596464,0.09937286202964653,0.5068335552182135,0.22440736536577552,0.24916329886289712
3,mnist,FedAvg,1,3.9921583514234777,0.16927023945267958,0.5546355005225905,0.2517827486863074,0.25887910775893785
4,mnist,FedAvg,2,2.310097920801711,0.22309007981755985,0.7035021279746622,0.2694522586700429,0.18367399412703855
5,mnist,FedAvg,3,1.588432698925513,0.4834093500570125,0.8192705267269846,0.31709564163526766,0.17071741853792838
6,mnist,FedAvg,4,1.585636181695402,0.4989737742303307,0.8313758023987368,0.30072589898695257,0.18275661410951835
7,mnist,FedAvg,5,0.9601101873948673,0.6618015963511973,0.9285559531687035,0.2338705808424764,0.06765582096219239
8,mnist,FedAvg,6,0.8767766077943843,0.6908209806157355,0.9421295745653214,0.1646857618929894,0.03552883888812506
9,mnist,FedAvg,7,0.8620072377111198,0.702793614595211,0.9457891392577547,0.22313721227947456,0.04472468065082953
10,mnist,FedAvg,8,0.6885157796777919,0.7638540478905359,0.9524098805589045,0.16698023036879261,0.0456125548510364
11,mnist,FedAvg,9,1.201756573318062,0.6279361459521094,0.9264512715314096,0.2482793161843235,0.0745763949653962
12,mnist,FedAvg,10,0.8179781732551653,0.7305017103762828,0.9490199647415544,0.24503169515584208,0.05285909373091445
13,mnist,FedAvg,11,0.8165356461364747,0.7325541619156214,0.9427498369631336,0.23926160012969178,0.06852231021470179
14,mnist,FedAvg,12,0.75364042678019,0.7419612314709236,0.9512783157924484,0.17046611129418443,0.03563641808063978
15,mnist,FedAvg,13,1.0478567062280124,0.6873432155074116,0.938436384543688,0.2675996004194232,0.06015235955461105
16,mnist,FedAvg,14,0.5763178442808863,0.8166476624857468,0.964371025449872,0.11869286127446439,0.030704928586454072
17,mnist,FedAvg,15,0.49090390317759025,0.8413340935005701,0.9714642534619332,0.10254169672346392,0.02110730258283148
18,mnist,FedAvg,16,0.9725826648471716,0.7052451539338654,0.9518268664449183,0.21650408655904435,0.0421482547760564
19,mnist,FedAvg,17,0.47068135729125266,0.8452109464082098,0.9733364341307318,0.08733252133344505,0.015778074353539263
20,mnist,FedAvg,18,0.6218895890680575,0.7946408209806157,0.9640764470507145,0.13089198084474182,0.027058893505514662
21,mnist,FedAvg,19,0.5110363179073937,0.8392816419612315,0.9713077027533349,0.10912310899791862,0.02226096206604335
22,mnist,FedAvg,20,0.4438780803844906,0.8611744583808438,0.9756749053953112,0.08360088746693113,0.018646396358731165
23,mnist,FedAvg,21,0.5353439057083248,0.8402508551881414,0.9735178644852358,0.09438754587941303,0.019509351321872453
24,mnist,FedAvg,22,0.5353415343829957,0.8431014823261117,0.9675843580631726,0.11655415768404911,0.029716043592689773
25,mnist,FedAvg,23,0.6114471174794627,0.8063854047890536,0.9627805950564686,0.16104844662928294,0.03636512893142822
26,mnist,FedAvg,24,0.4610217461096604,0.8567844925883694,0.9730838922324051,0.08471975698415257,0.01827636503038095
27,mnist,FedAvg,25,0.45453228414508356,0.8622576966932726,0.975549157119024,0.09064877565168628,0.018499215519401375
28,mnist,FedAvg,26,0.519610739093298,0.8385974914481186,0.9737159661543776,0.10819181186341109,0.019538716965880734
29,mnist,FedAvg,27,0.6041641130067399,0.8176168757126567,0.9648219679352353,0.1316157984203365,0.0315265024947747
30,mnist,FedAvg,28,0.4081747329046087,0.8762257696693273,0.9774894962271443,0.062936352010204,0.013742517608049329
31,mnist,FedAvg,29,0.4509169404705488,0.8661345496009122,0.9785169099095421,0.07666853496200988,0.015956063786018545
32,mnist,FedAvg,30,0.5453718805162275,0.8398517673888255,0.9692700376185972,0.13423417992212133,0.03442020362115356
33,mnist,FedAvg,31,0.41776942068433526,0.8750855188141391,0.9776145026880836,0.09078392776378569,0.019185557306443515
34,mnist,FedAvg,32,0.579367682093833,0.837115165336374,0.9721152504767535,0.12147415753628109,0.025877282846730045
35,mnist,FedAvg,33,0.41380181155875384,0.8737172177879133,0.9791644619122865,0.07943422525576245,0.013823412856644438
36,mnist,FedAvg,34,0.4949805981803546,0.8539338654503991,0.976358265701929,0.09646639240494942,0.019090886763331264
37,mnist,FedAvg,35,0.41552791782756215,0.8798175598631699,0.9791283673037345,0.07434774392733612,0.015023300589898782
38,mnist,FedAvg,36,0.7362636401822668,0.7985176738882555,0.9666792009217567,0.13069856448596573,0.024290413639989024
39,mnist,FedAvg,37,0.5411307100379603,0.8492588369441277,0.9750022880364223,0.09915892849069556,0.019112268590471285
40,mnist,FedAvg,38,0.4224862234829957,0.8744013683010262,0.9793621142356941,0.08006064501581407,0.014590624123626644
41,mnist,FedAvg,39,0.46196914018092977,0.8695553021664766,0.9784899540926065,0.07919432940521891,0.015863123924030508
42,mnist,FedAvg,40,0.9767727182730656,0.7521094640820981,0.96126707145823,0.15970769454829054,0.02673154889800408
43,mnist,FedAvg,41,0.5509154158260577,0.8389965792474344,0.9723408731198565,0.12234157133697024,0.024712785261658547
44,mnist,FedAvg,42,0.6102716948426109,0.8233751425313569,0.9679418491707652,0.14371662658415907,0.0311659299631691
45,mnist,FedAvg,43,0.8519287033301953,0.7776510832383124,0.9614923236992379,0.15766891123825025,0.03251896201715094
46,mnist,FedAvg,44,0.7504739121845162,0.7968072976054732,0.9667572872868412,0.17197637612827682,0.033342117057366796
47,mnist,FedAvg,45,0.5998906438945464,0.8298175598631699,0.968511889909464,0.14273756421547987,0.03226667982480513
48,mnist,FedAvg,46,0.4641488441909936,0.8664766248574687,0.9760156255118785,0.10137020085066498,0.023726975233676808
49,mnist,FedAvg,47,0.6530356773279854,0.8166476624857468,0.9667385086238388,0.13443134580165877,0.02936412947566015
50,mnist,FedAvg,48,0.4375570549034585,0.8705245153933866,0.976564321912257,0.08691763873139101,0.018828265807666625
51,mnist,FedAvg,49,0.4559468620067028,0.8650513112884834,0.9754545535135815,0.09154512735197222,0.020446693639844343
52,mnist,FedAvg,50,0.4926028612137341,0.8602622576966933,0.9758866393178418,0.11199847465371682,0.02310106131333921
53,mnist,FedAvg,51,0.4688336028438889,0.8566704675028506,0.9771047534465049,0.09712313811219447,0.019636240145884876
54,mnist,FedAvg,52,0.5139917842424488,0.8493158494868871,0.9755718549750708,0.09917634763541334,0.016860002775245804
55,mnist,FedAvg,53,0.39648497126592813,0.8780501710376283,0.9789499364113048,0.0755522882577782,0.013855666591594679
56,mnist,FedAvg,54,0.38986770024927564,0.8833523375142531,0.9815630032458524,0.07470170156591482,0.0125466089648967
57,mnist,FedAvg,55,0.31081102764178253,0.9052451539338654,0.9854473856886532,0.05171180854792163,0.008806362179453407
58,mnist,FedAvg,56,0.413047618980798,0.8825541619156214,0.9797413482151678,0.0871418796714176,0.018939368277958495
59,mnist,FedAvg,57,0.34403533464573144,0.8976054732041049,0.9825478272097224,0.06265926277344998,0.01266714668624506
60,mnist,FedAvg,58,0.4017875592754849,0.8850057012542759,0.980233119438051,0.07621156116547288,0.016251352320276614
61,mnist,FedAvg,59,0.6078784405214871,0.8238882554161916,0.9696497490051449,0.11989858511884004,0.023856909754040253
62,mnist,FedAvg,60,0.4297534216379959,0.8754275940706956,0.9781738045996067,0.10316177283052616,0.02290037257863725
63,mnist,FedAvg,61,0.42899106192416686,0.8779931584948689,0.9810746105596118,0.08278046184258636,0.016336405914988087
64,mnist,FedAvg,62,0.3664589104670749,0.892018244013683,0.983105325579273,0.05864194259140856,0.01079605083291855
65,mnist,FedAvg,63,0.6736051823037755,0.8174458380843785,0.968568911121502,0.13929686980765002,0.027430322077734336
66,mnist,FedAvg,64,0.5837569375199454,0.8329532497149373,0.9718236888238684,0.12000688673213475,0.026206352967878085
67,mnist,FedAvg,65,0.31928628282723076,0.9042759407069555,0.9855291213342193,0.05657011929079061,0.01012556065049614
68,mnist,FedAvg,66,0.37106357257224076,0.8909350057012543,0.9824486332336544,0.07271402053191989,0.013175107567888773
69,mnist,FedAvg,67,0.45240527376586936,0.8742873432155074,0.9796415875163937,0.08577429434244963,0.01676342634207192
70,mnist,FedAvg,68,0.39827444417645474,0.8856898517673888,0.9814948330371491,0.07647489244626027,0.015055312274874342
71,mnist,FedAvg,69,0.6579624291973972,0.8160205245153934,0.9720423503399654,0.12466375840814178,0.021862550870579065
72,mnist,FedAvg,70,0.9112018217931019,0.7579247434435575,0.9624792480126177,0.17275599803409328,0.03246327311045096
73,mnist,FedAvg,71,0.3939618651213484,0.8817559863169897,0.9793950392907331,0.08238657449092585,0.020014418881547775
74,mnist,FedAvg,72,0.47081116558222724,0.8647092360319271,0.9772431473888916,0.11111404352032932,0.021881845305727832
75,mnist,FedAvg,73,0.9716181882790174,0.7393386545039908,0.9629703503973229,0.17862740038948927,0.026257206181946647
76,mnist,FedAvg,74,0.317585288304869,0.901539338654504,0.9845881303537608,0.05603390723458193,0.010018546792820044
77,mnist,FedAvg,75,0.31951683900184824,0.9038768529076396,0.9850591075986522,0.06106175720678713,0.010302481994908607
78,mnist,FedAvg,76,0.3115449771729462,0.9020524515393387,0.9847525180300977,0.060618942504115356,0.009839847705308971
79,mnist,FedAvg,77,0.6310678443321239,0.8238882554161916,0.9698287444409193,0.1213640665990862,0.026539942798410442
80,mnist,FedAvg,78,0.41888655277535575,0.8767388825541619,0.978210755774415,0.10139496133349798,0.022344027932897862
81,mnist,FedAvg,79,0.3727670520220974,0.888939566704675,0.9815741969264289,0.08619009019299535,0.018373527990245143
82,mnist,FedAvg,80,0.3523816198430704,0.892018244013683,0.9823554705870075,0.06356649305049639,0.012392309468573134
83,mnist,FedAvg,81,0.2928476781391904,0.9090649942987458,0.9846071394641205,0.057466085575912935,0.011281548990863428
84,mnist,FedAvg,82,0.3614336256004562,0.8951539338654504,0.9819183617111925,0.0721518764505592,0.014586045839252108
85,mnist,FedAvg,83,0.42737088137569335,0.8839224629418472,0.980883376544093,0.07349939543867541,0.014301932289969134
86,mnist,FedAvg,84,0.38991634110823653,0.8896807297605474,0.980645140343383,0.08299897945909018,0.01880785351959316
87,mnist,FedAvg,85,0.6194322503533493,0.8319840364880273,0.9717667397258671,0.11709414678597778,0.024026732778974894
88,mnist,FedAvg,86,0.5334467333418346,0.8584378563283922,0.9756033007025181,0.10841549976769933,0.023297364746868117
89,mnist,FedAvg,87,0.7674285091440095,0.7950399087799316,0.9682773882648377,0.1478173828567378,0.02725964009383933
90,mnist,FedAvg,88,0.35801386688161957,0.894811858608894,0.9833721437922641,0.07395191364030831,0.013491584468334731
91,mnist,FedAvg,89,0.34161093417219296,0.897206385404789,0.9849124032860344,0.05371524819097612,0.009166487890451975
92,mnist,FedAvg,90,0.3487651260730735,0.8996009122006842,0.9841783652562442,0.06878428847183485,0.013082882166873257
93,mnist,FedAvg,91,0.48151121437022115,0.8700114025085519,0.974134895810398,0.1276114052262569,0.02938796601543583
94,mnist,FedAvg,92,0.44709373391208423,0.8702964652223489,0.9789153457700588,0.0984092643850639,0.01836398359163614
95,mnist,FedAvg,93,0.31469565516943776,0.9017103762827822,0.9843864103248714,0.05704696125329426,0.010249608015663339
96,mnist,FedAvg,94,0.4940813137007994,0.8716077537058152,0.9764833640370328,0.09955157627972838,0.02269781257353551
97,mnist,FedAvg,95,0.36203936868909586,0.896921322690992,0.981991691776651,0.08081885327834935,0.016791168884273188
98,mnist,FedAvg,96,0.32202652066936344,0.9006841505131129,0.9839917745651581,0.06564024080056031,0.013072265972861286
99,mnist,FedAvg,97,0.3052863010168286,0.9050171037628278,0.9845569019957584,0.06018294797580384,0.01114185325846492
100,mnist,FedAvg,98,0.33739238792379656,0.8978905359179019,0.9833389236387969,0.08860316170969959,0.016089056862854365
101,mnist,FedAvg,99,0.45719407948437696,0.8709806157354618,0.976756293375241,0.09872758386359456,0.019538021170462008
102,mnist,FedAvg,100,0.32005906615233415,0.9032497149372862,0.9857065117863979,0.05765786824396933,0.010502236759573234
1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,mnist,FedALA_AAW,0,2.3050444461089117,0.1072405929304447,0.5267084193371162,0.16373856615835514,0.17603808692407302
3,mnist,FedALA_AAW,1,2.110368785596901,0.19960091220068416,0.5784813802289295,0.288511197111266,0.21472196353125728
4,mnist,FedALA_AAW,2,1.874455646830217,0.27371721778791336,0.6369680077239056,0.36027470916090876,0.2364788472355727
5,mnist,FedALA_AAW,3,1.704280387668941,0.3461231470923603,0.6687175686275765,0.3913848018709655,0.2537021144377801
6,mnist,FedALA_AAW,4,1.5836135045231776,0.4058722919042189,0.6865072658569431,0.41693830126551884,0.2606116112964136
7,mnist,FedALA_AAW,5,1.4545957518611887,0.44686431014823264,0.7173244337471533,0.4146190350161856,0.26430945481900586
8,mnist,FedALA_AAW,6,1.3519550653302912,0.49486887115165334,0.7346069368435099,0.4263849079749628,0.26926154468281005
9,mnist,FedALA_AAW,7,1.2457920401812392,0.5269099201824401,0.7532715664790158,0.42570042913821005,0.265763706348716
10,mnist,FedALA_AAW,8,1.088541489867533,0.5850627137970353,0.7859290765719255,0.41612563471305875,0.2623411735141511
11,mnist,FedALA_AAW,9,0.944133114735612,0.64230330672748,0.8166947255917737,0.41033569569597916,0.25391070870427174
12,mnist,FedALA_AAW,10,0.8826891290398177,0.66442417331813,0.8308337622998403,0.4023509845388604,0.2467311055443182
13,mnist,FedALA_AAW,11,0.7645516416332289,0.7096351197263397,0.8623407765443271,0.37742779130818216,0.2149905934498318
14,mnist,FedALA_AAW,12,0.7023865018942924,0.7249714937286202,0.8801604051196891,0.3626945155628332,0.203238741051617
15,mnist,FedALA_AAW,13,0.6948909476528985,0.7300456100342075,0.8790509214664529,0.3716889893938,0.20366442686531813
16,mnist,FedALA_AAW,14,0.5446884055649871,0.7856328392246295,0.9014599308763575,0.3366246052582498,0.19724347227946343
17,mnist,FedALA_AAW,15,0.4839915980828458,0.8086088939566705,0.9087824250624078,0.326513046632268,0.19651788249285124
18,mnist,FedALA_AAW,16,0.4987968113411929,0.8021664766248575,0.9091540208541057,0.3289195860100395,0.19474398744597027
19,mnist,FedALA_AAW,17,0.3949884891836245,0.8412200684150513,0.9235250889720696,0.30704335292485846,0.18031994950589553
20,mnist,FedALA_AAW,18,0.3884851767461035,0.8425313568985177,0.9255719540325197,0.27429935451962756,0.15459900532104975
21,mnist,FedALA_AAW,19,0.3354389929300232,0.8636259977194983,0.9361154113059942,0.24090379842985163,0.13738101685537144
22,mnist,FedALA_AAW,20,0.3379162766133116,0.8645381984036488,0.9366446024890259,0.23661593823232932,0.13748541508342257
23,mnist,FedALA_AAW,21,0.33615448117074404,0.8660775370581528,0.9368242521827701,0.2370758149647142,0.13745123663447256
24,mnist,FedALA_AAW,22,0.27227907122141964,0.8936716077537058,0.9623299818287921,0.2203793268376913,0.11436885481579948
25,mnist,FedALA_AAW,23,0.273381276138595,0.8905359179019384,0.9624951223423397,0.2180594460795084,0.11167482214222277
