1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,mnist,FedJS,0,2.305249011166624,0.10545558411882319,0.5278971311054939,0.14549019371901503,0.21722241535201756
3,mnist,FedJS,1,2.1720274148803607,0.24610111396743786,0.6459287600646605,0.30625030503877465,0.24367795248876126
4,mnist,FedJS,2,2.102493593398108,0.31876606683804626,0.7057982164292218,0.3254970267450198,0.24168745344115403
5,mnist,FedJS,3,2.1049809410812594,0.39428734647243646,0.7125675425016397,0.33985368266250854,0.23776916395978775
6,mnist,FedJS,4,1.5491013514521002,0.5444730077120823,0.8233383874050224,0.34903782655874593,0.2101359783284539
7,mnist,FedJS,5,1.503385456149017,0.6023993144815767,0.8363320007847952,0.2663165591487458,0.18579829226055777
8,mnist,FedJS,6,1.4271517861760916,0.5885175664095973,0.8412434974083468,0.27688640340081433,0.18079231220182415
9,mnist,FedJS,7,1.3662222700323154,0.5548700371322479,0.8827468653893169,0.34679086942799603,0.10732215432765262
10,mnist,FedJS,8,0.9981796266889804,0.6393030562696372,0.9188908798306268,0.28293603599942524,0.08660725927469905
11,mnist,FedJS,9,1.066051748230134,0.6534704370179949,0.9155965186818382,0.3107005051313893,0.09356954634231014
12,mnist,FedJS,10,0.9237962789150954,0.6864324478720366,0.9274028107095829,0.24932777930288058,0.08341911001285561
13,mnist,FedJS,11,1.1008056628259832,0.6598114824335904,0.9146087446627488,0.2842204196673796,0.09238778586157377
14,mnist,FedJS,12,0.9563254391639712,0.6818623250499857,0.922874347897077,0.24852579395692878,0.09815946036635176
15,mnist,FedJS,13,0.9954362603712222,0.6465581262496429,0.9199819912612258,0.28036004529847725,0.08894283839186914
16,mnist,FedJS,14,0.8698233108014994,0.7085975435589832,0.9368657936812645,0.23035311767443611,0.07869926430932452
17,mnist,FedJS,15,0.9524508563845363,0.699057412167952,0.9323980465447037,0.2636857334424691,0.08060934480303454
18,mnist,FedJS,16,0.8401836267181176,0.7391031133961725,0.9426057600597787,0.21840010023916637,0.07866445797392864
19,mnist,FedJS,17,0.7639204719192152,0.7420736932305055,0.9472844762168299,0.21397386478292404,0.06969057627295062
20,mnist,FedJS,18,0.8647419977923915,0.7050556983718937,0.9380484593350242,0.2567331099473988,0.07134554467311255
21,mnist,FedJS,19,0.8327766606292065,0.7152242216509569,0.942686760942255,0.24795046879007543,0.06504734459568753
22,mnist,FedJS,20,0.8728780741542934,0.720365609825764,0.9438378267107037,0.257311356767216,0.0662481657125655
23,mnist,FedJS,21,0.7382674267025671,0.7306483861753784,0.9516492590130794,0.23506050389697794,0.05517102797831008
24,mnist,FedJS,22,0.7745864950040061,0.712539274493002,0.9496935512372957,0.24847873470278084,0.057061286223130336
25,mnist,FedJS,23,0.7531399976047066,0.7307055127106541,0.9514190454298008,0.23263390793272246,0.05236330863453651
26,mnist,FedJS,24,0.6766841745037566,0.7585261353898886,0.9569217723965087,0.21765441441068403,0.05630058640577162
27,mnist,FedJS,25,0.6385819602221111,0.7665809768637533,0.9602083147970976,0.20589563079911047,0.051443793780331384
28,mnist,FedJS,26,0.6104169835102516,0.7800057126535276,0.9671311892886096,0.2010032861139554,0.04328246977281657
29,mnist,FedJS,27,0.537213867222009,0.7987432162239361,0.9706236886066391,0.2023666233759054,0.03891870020999271
30,mnist,FedJS,28,0.6315723318160082,0.7829191659525849,0.9611838270233327,0.20667283943947018,0.05894401112285574
31,mnist,FedJS,29,0.8090873499571515,0.744987146529563,0.9482546377622674,0.23717891641838773,0.06842177619283395
32,mnist,FedJS,30,0.7403599845523761,0.7548129105969723,0.9610909693551267,0.20906699459340827,0.04205159997795489
33,mnist,FedJS,31,0.5873177972316644,0.7856041131105398,0.9696018472101451,0.16944632949497287,0.029581125133160385
34,mnist,FedJS,32,0.5923253292443935,0.7730362753499,0.9685513282388223,0.18626835403559255,0.03185878695446703
35,mnist,FedJS,33,0.5079570061948419,0.8294201656669523,0.9764900508851342,0.12008297623647539,0.0239810292139674
36,mnist,FedJS,34,0.5800045315194369,0.7724078834618681,0.9677230529892662,0.19866612000068862,0.0356939078563076
