1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,join_ratio
2,fmnist,FedAvg,0,6.213415019794091,0.10024561603929856,0.4958997729519945,0.26807807236180464,0.2454528241470452,0.5
3,fmnist,FedAvg,1,2.325075915572487,0.35014565602330494,0.7416470293772459,0.34896907203701705,0.2223810552726145,0.5
4,fmnist,FedAvg,2,1.5992249991635028,0.45061975209916033,0.8442154466977456,0.25447608116464837,0.1039873860775654,0.5
5,fmnist,FedAvg,3,1.1273670617987908,0.5798823327811733,0.9193473334521433,0.23934343515790868,0.05583075263247275,0.5
6,fmnist,FedAvg,4,1.0180432473287877,0.6270634603301537,0.9328699487253036,0.2051641752916426,0.03456014285476469,0.5
7,fmnist,FedAvg,5,1.3735241333092272,0.5915919346547095,0.9048327324232395,0.24753983818138722,0.09478296860574537,0.5
8,fmnist,FedAvg,6,1.2997898313959289,0.5973039355686297,0.9216315084713462,0.25877557293088704,0.06526190725329495,0.5
9,fmnist,FedAvg,7,0.9823429127057173,0.6473410635745702,0.9415945773927131,0.21155193991798948,0.04411475818063876,0.5
10,fmnist,FedAvg,8,1.5228817358666016,0.6437425029988004,0.9169215998265857,0.2663347834375681,0.09120173086840445,0.5
11,fmnist,FedAvg,9,1.2077196447353344,0.6589935454389673,0.9152733121847804,0.24751391213400376,0.1027620247079412,0.5
12,fmnist,FedAvg,10,0.9749553792670023,0.6879533900725424,0.9431101736878408,0.2076015460106676,0.04721454334340107,0.5
13,fmnist,FedAvg,11,1.0268343981164405,0.687267949962872,0.9475088640840832,0.22346194352802878,0.04603266695017387,0.5
14,fmnist,FedAvg,12,0.8638745131262361,0.7167418746787,0.9462927147662583,0.18240354778396756,0.0456024567789659,0.5
15,fmnist,FedAvg,13,1.0397220815924941,0.6188381790141086,0.9428848322108755,0.22877015547118634,0.03980737869184669,0.5
16,fmnist,FedAvg,14,0.830250049412247,0.7203975552636088,0.9476275463113117,0.1788784712704289,0.043267937379117806,0.5
17,fmnist,FedAvg,15,0.6790969107590109,0.7712914834066373,0.9608541664184967,0.12626021877473775,0.02392182449198396,0.5
18,fmnist,FedAvg,16,0.8144032709645332,0.73176443708231,0.9556633742326828,0.18038448191536255,0.033462702169604265,0.5
19,fmnist,FedAvg,17,0.8809125243173873,0.747929399668704,0.9561832958045428,0.1702309086876348,0.03742426522987957,0.5
20,fmnist,FedAvg,18,0.8909983150261148,0.7586679613868739,0.9562945054932792,0.22236452723540026,0.047780161241563195,0.5
21,fmnist,FedAvg,19,1.0590454765279205,0.6975495516079283,0.9479715146003099,0.23284935538970183,0.04648424215740761,0.5
22,fmnist,FedAvg,20,0.9082015824668002,0.7249100359856058,0.952350766761627,0.19476260514665833,0.03962030962199618,0.5
23,fmnist,FedAvg,21,0.8059806316516753,0.7372479579596732,0.954953397845879,0.1780027735071994,0.03559868899669644,0.5
24,fmnist,FedAvg,22,1.0057939887590905,0.696064431370309,0.9433190757026955,0.21330607558521544,0.05402663236540542,0.5
25,fmnist,FedAvg,23,0.9676556332047969,0.6717884274861484,0.9475660141376903,0.19358087875008687,0.03449537324270333,0.5
26,fmnist,FedAvg,24,0.7437465224078619,0.7425029988004798,0.9567643649789008,0.15586298179228544,0.02679565506421702,0.5
27,fmnist,FedAvg,25,0.7897747978115411,0.7365053978408637,0.9592197276327743,0.16778013273298098,0.028878053423315144,0.5
28,fmnist,FedAvg,26,0.6931775132332167,0.7871708459473353,0.9651324490258737,0.12358551657119399,0.021548418329473105,0.5
29,fmnist,FedAvg,27,0.8213760438717713,0.7334209173473468,0.9619738633673414,0.14454156686046019,0.020498117622443416,0.5
30,fmnist,FedAvg,28,0.8455617353551016,0.7302793168446907,0.955093432279751,0.12421817017781304,0.02552603061643592,0.5
31,fmnist,FedAvg,29,0.8035908941134327,0.7514708402353344,0.9614086640262366,0.11879904002597604,0.01788852392868189,0.5
32,fmnist,FedAvg,30,0.7483594651879604,0.760724281715885,0.9646987213168979,0.13718670703858743,0.021838698906131618,0.5
33,fmnist,FedAvg,31,0.6152392586815141,0.7945393271262924,0.9673805965041985,0.10192607210887233,0.019882949248238926,0.5
34,fmnist,FedAvg,32,0.7842541837625285,0.741703318672531,0.961233464411291,0.13255905035961596,0.02284376804716038,0.5
35,fmnist,FedAvg,33,1.393911956884355,0.6814417090306735,0.9428917760314965,0.24529520904652583,0.05653908105830679,0.5
36,fmnist,FedAvg,34,0.816432905626928,0.7563260410121666,0.9603970238380114,0.13777356415416994,0.02337596994735235,0.5
37,fmnist,FedAvg,35,0.8940564653642832,0.7327354772376764,0.9600381791022792,0.18157422555284444,0.02713598024281101,0.5
38,fmnist,FedAvg,36,0.753728066059051,0.7812874850059977,0.9613837239600556,0.1530826406182002,0.034595579878035326,0.5
39,fmnist,FedAvg,37,0.7142376883072602,0.7648940423830468,0.9621163105566193,0.14640970335425502,0.02935966286662185,0.5
40,fmnist,FedAvg,38,0.7637740774975843,0.7651225224196035,0.9614213166543272,0.177723942073548,0.033507454572042815,0.5
41,fmnist,FedAvg,39,1.339609347485547,0.6946364311418289,0.9459116816965918,0.22232767317500615,0.042770898427159657,0.5
42,fmnist,FedAvg,40,0.6748116916326332,0.7905409264865483,0.966570893325059,0.12197105329328876,0.021153310295007003,0.5
43,fmnist,FedAvg,41,0.7302253383334256,0.7673502027760325,0.9628406141515932,0.13313414900785034,0.02209705630920324,0.5
44,fmnist,FedAvg,42,0.6877287919543991,0.7819158051065288,0.9653428550224568,0.1184070309767676,0.01874225397276641,0.5
45,fmnist,FedAvg,43,0.9034751529229497,0.7444450791112126,0.9585572395956752,0.1898720193442954,0.0360353789159044,0.5
46,fmnist,FedAvg,44,0.6918180447013402,0.7940252470440395,0.964784700566473,0.15700939713642512,0.030869942717240844,0.5
47,fmnist,FedAvg,45,1.152936249967761,0.7330781972925116,0.9498832373935593,0.18286559887586187,0.046697116057959384,0.5
48,fmnist,FedAvg,46,0.6728546728012024,0.7816302050608328,0.9646395450029616,0.13236430609488986,0.02182181803500047,0.5
49,fmnist,FedAvg,47,0.8222475585048429,0.7395898783343805,0.9593281969494328,0.14868071115922524,0.022295541164351753,0.5
