1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,fmnist,FedGen,0,8.544505536342673,0.10024561603929856,0.4958997729519945,0.26807807236180464,0.2454528241470452
3,fmnist,FedGen,1,3.060981268287409,0.34443365510938484,0.7138473745290542,0.3358740371242718,0.25633273433568504
4,fmnist,FedGen,2,1.9806402749384533,0.44736391157822586,0.8152555791484862,0.26569354590576294,0.12955282000272514
5,fmnist,FedGen,3,1.3780159462229686,0.5776546524247443,0.914414807882414,0.24575223467896434,0.06871950181726841
6,fmnist,FedGen,4,1.5038453130389957,0.6031301765008282,0.9213371315433146,0.19678744893544778,0.04350399850455807
7,fmnist,FedGen,5,1.6201768213608077,0.523961843833895,0.8696183259300163,0.25967802848928595,0.12432197370062312
8,fmnist,FedGen,6,1.5381170259792105,0.5151082424173188,0.8945760962107495,0.27621973313924797,0.0778980368259136
9,fmnist,FedGen,7,1.445099140505441,0.565373850459816,0.9077294507462951,0.2869843457010898,0.09021333959831614
10,fmnist,FedGen,8,1.9733733032818734,0.6227223396355743,0.8719066003254938,0.26349828848859425,0.15188179987391132
11,fmnist,FedGen,9,1.5973762832890785,0.6213514594162335,0.8706010953766203,0.2407613191005591,0.1613072044590623
12,fmnist,FedGen,10,1.4843202721758364,0.593134174901468,0.9060643393571421,0.2532884071042043,0.08431319728674846
13,fmnist,FedGen,11,1.4098432751426486,0.6354601016736162,0.9348014621826524,0.25867143949730825,0.056318786249899735
14,fmnist,FedGen,12,1.2419954203824812,0.6632204261152682,0.9223879187907403,0.23229471415271283,0.08523427119029402
15,fmnist,FedGen,13,1.5749073060236307,0.5476095276175245,0.912745063826401,0.2831119627714294,0.08180713902245218
16,fmnist,FedGen,14,1.083243664347111,0.67167418746787,0.9261031967799751,0.23204329340500465,0.08532560828371305
17,fmnist,FedGen,15,0.9257880466633978,0.7094305135088822,0.9525843162918829,0.14748975724491895,0.030781316302347633
18,fmnist,FedGen,16,1.1897977301336575,0.6783572285371565,0.944509517866237,0.2066736152835676,0.04106033902604574
19,fmnist,FedGen,17,1.504886905184473,0.6137544982007197,0.913896222044261,0.232564791675218,0.08777961134529316
20,fmnist,FedGen,18,1.4558823274958148,0.6496829839492775,0.9183032655137346,0.2538335737495247,0.08567006113435602
21,fmnist,FedGen,19,1.4723815524233164,0.6621922659507625,0.9220184908157039,0.2614354110941588,0.08365384576748396
22,fmnist,FedGen,20,1.2935173636767263,0.6354029816644771,0.9330018473358557,0.24212153716212448,0.05855544781657219
23,fmnist,FedGen,21,1.3086153493998502,0.6362597818015651,0.9308089892976454,0.2275512782839727,0.05794386756966326
24,fmnist,FedGen,22,1.3940673135367767,0.5981607357057177,0.9244686034033449,0.2544267689246605,0.06882090439459784
25,fmnist,FedGen,23,1.2560418862323877,0.6086708173873308,0.9297949271635613,0.23713414786247436,0.04979351265259415
26,fmnist,FedGen,24,1.0072334788950221,0.6960073113611698,0.948058911269589,0.19236182205033756,0.035016492072533954
27,fmnist,FedGen,25,0.9880908600175223,0.7277089164334266,0.957207829918478,0.1781562746810779,0.03401483837111576
28,fmnist,FedGen,26,1.0880567025657937,0.7435882789741246,0.9590812764161111,0.12990883083886567,0.025779668150695496
