1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,join_ratio
2,fmnist,pFedMe,0,1.4725033186720822,0.4430546036097784,0_auc,0_std,0_std,0.5
3,fmnist,pFedMe,1,1.172390334715944,0.5114233493260224,0_auc,0_std,0_std,0.5
4,fmnist,pFedMe,2,1.391486293504636,0.4635023989033585,0_auc,0_std,0_std,0.5
5,fmnist,pFedMe,3,0.9780619250117593,0.5921293123143706,0_auc,0_std,0_std,0.5
6,fmnist,pFedMe,4,1.058207535105871,0.5731665524331734,0_auc,0_std,0_std,0.5
7,fmnist,pFedMe,5,1.1775985144039491,0.5257025359835503,0_auc,0_std,0_std,0.5
8,fmnist,pFedMe,6,1.566683571450965,0.3597783870230752,0_auc,0_std,0_std,0.5
9,fmnist,pFedMe,7,1.0881119389064031,0.5928147132739319,0_auc,0_std,0_std,0.5
10,fmnist,pFedMe,8,1.083322126074429,0.5639707562257253,0_auc,0_std,0_std,0.5
11,fmnist,pFedMe,9,1.011399693465527,0.5820196481608407,0_auc,0_std,0_std,0.5
12,fmnist,pFedMe,10,1.173873132807783,0.5572880968700022,0_auc,0_std,0_std,0.5
13,fmnist,pFedMe,11,1.1317765408613643,0.5425519762394334,0_auc,0_std,0_std,0.5
14,fmnist,pFedMe,12,1.0663748202551484,0.6118917066483893,0_auc,0_std,0_std,0.5
15,fmnist,pFedMe,13,1.3994710838173599,0.43528672606808316,0_auc,0_std,0_std,0.5
16,fmnist,pFedMe,14,1.0294871185903995,0.5875028558373315,0_auc,0_std,0_std,0.5
17,fmnist,pFedMe,15,1.351191591671047,0.4879483664610464,0_auc,0_std,0_std,0.5
18,fmnist,pFedMe,16,1.0561958319535476,0.57653644048435,0_auc,0_std,0_std,0.5
19,fmnist,pFedMe,17,1.254020904164945,0.5027987205848755,0_auc,0_std,0_std,0.5
20,fmnist,pFedMe,18,1.5328094206417417,0.40752798720584876,0_auc,0_std,0_std,0.5
21,fmnist,pFedMe,19,1.2848397916464678,0.5083390450079963,0_auc,0_std,0_std,0.5
22,fmnist,pFedMe,20,1.2210162469059722,0.5418094585332419,0_auc,0_std,0_std,0.5
23,fmnist,pFedMe,21,1.152997409422555,0.566826593557231,0_auc,0_std,0_std,0.5
