1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,join_ratio
2,mnist,pFedMe,0,1.3909046306411963,0.47547901459854014,0_auc,0_std,0_std,0.5
3,mnist,pFedMe,1,1.2988770045636107,0.5062728102189781,0_auc,0_std,0_std,0.5
4,mnist,pFedMe,2,1.3724841085589659,0.47992700729927007,0_auc,0_std,0_std,0.5
5,mnist,pFedMe,3,1.3417666473340748,0.4859146897810219,0_auc,0_std,0_std,0.5
6,mnist,pFedMe,4,1.327315487090945,0.5049612226277372,0_auc,0_std,0_std,0.5
7,mnist,pFedMe,5,1.3328991711645934,0.4956090328467153,0_auc,0_std,0_std,0.5
8,mnist,pFedMe,6,1.358281383510364,0.49241560218978103,0_auc,0_std,0_std,0.5
9,mnist,pFedMe,7,1.3491122934795172,0.49406934306569344,0_auc,0_std,0_std,0.5
10,mnist,pFedMe,8,1.3633006894765283,0.47279881386861317,0_auc,0_std,0_std,0.5
11,mnist,pFedMe,9,1.39405984698084,0.47405337591240876,0_auc,0_std,0_std,0.5
12,mnist,pFedMe,10,1.31151721971254,0.5022810218978102,0_auc,0_std,0_std,0.5
13,mnist,pFedMe,11,1.399892214678036,0.46498631386861317,0_auc,0_std,0_std,0.5
14,mnist,pFedMe,12,1.4071872413745328,0.46521441605839414,0_auc,0_std,0_std,0.5
15,mnist,pFedMe,13,1.3090994865834695,0.5015396897810219,0_auc,0_std,0_std,0.5
16,mnist,pFedMe,14,1.4664571133219737,0.44651003649635035,0_auc,0_std,0_std,0.5
17,mnist,pFedMe,15,1.3726708368789273,0.48785355839416056,0_auc,0_std,0_std,0.5
18,mnist,pFedMe,16,1.3896107140881788,0.4834055656934307,0_auc,0_std,0_std,0.5
19,mnist,pFedMe,17,1.3763703620010892,0.47433850364963503,0_auc,0_std,0_std,0.5
20,mnist,pFedMe,18,1.3755282571823373,0.4783873175182482,0_auc,0_std,0_std,0.5
21,mnist,pFedMe,19,1.3922986130347346,0.47587819343065696,0_auc,0_std,0_std,0.5
22,mnist,pFedMe,20,1.3525358270410202,0.4869411496350365,0_auc,0_std,0_std,0.5
23,mnist,pFedMe,21,1.3059674690317193,0.5079835766423357,0_auc,0_std,0_std,0.5
24,mnist,pFedMe,22,1.3679741326386186,0.48329151459854014,0_auc,0_std,0_std,0.5
25,mnist,pFedMe,23,1.4224985600040352,0.4510150547445255,0_auc,0_std,0_std,0.5
26,mnist,pFedMe,24,1.3122460329797434,0.5059306569343066,0_auc,0_std,0_std,0.5
27,mnist,pFedMe,25,1.3973644344063334,0.46510036496350365,0_auc,0_std,0_std,0.5
28,mnist,pFedMe,26,1.3100524823423394,0.4944685218978102,0_auc,0_std,0_std,0.5
29,mnist,pFedMe,27,1.3281666523421667,0.49737682481751827,0_auc,0_std,0_std,0.5
30,mnist,pFedMe,28,1.4639524306664755,0.44605383211678834,0_auc,0_std,0_std,0.5
31,mnist,pFedMe,29,1.3229776583335593,0.49623631386861317,0_auc,0_std,0_std,0.5
32,mnist,pFedMe,30,1.3602486586066875,0.48688412408759124,0_auc,0_std,0_std,0.5
33,mnist,pFedMe,31,1.3894474644088277,0.4747947080291971,0_auc,0_std,0_std,0.5
34,mnist,pFedMe,32,1.3391646889487976,0.4889370437956204,0_auc,0_std,0_std,0.5
35,mnist,pFedMe,33,1.387247458327826,0.4724566605839416,0_auc,0_std,0_std,0.5
36,mnist,pFedMe,34,1.3642574494717985,0.47918567518248173,0_auc,0_std,0_std,0.5
37,mnist,pFedMe,35,1.366973947060783,0.4845460766423358,0_auc,0_std,0_std,0.5
38,mnist,pFedMe,36,1.3780014263369278,0.47730383211678834,0_auc,0_std,0_std,0.5
39,mnist,pFedMe,37,1.42709343596535,0.45563412408759124,0_auc,0_std,0_std,0.5
40,mnist,pFedMe,38,1.362690226632874,0.48637089416058393,0_auc,0_std,0_std,0.5
