1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC,join_ratio
2,Cifar100,PerAvg,0,2.538772387654571,0.00753082305898034,0.49743365341192686,0.008233444161469209,0.09448975344694836,0.5
3,Cifar100,PerAvg,1,2.1107191524302724,0.019326891036321226,0.5550298976447496,0.02873569369696749,0.17045417502778412,0.5
4,Cifar100,PerAvg,2,1.8319014954605024,0.0396534488503832,0.5950131335941515,0.06603321399538138,0.16347148880481782,0.5
5,Cifar100,PerAvg,3,1.6803151063505977,0.05044985004998334,0.6314495376646764,0.052624148424427995,0.1542817291664883,0.5
6,Cifar100,PerAvg,4,1.5843712495333513,0.04545151616127957,0.6475585878194637,0.04730784715724469,0.1563146962825662,0.5
7,Cifar100,PerAvg,5,1.5060052819878662,0.05031656114628457,0.6678576838526442,0.054416166919688945,0.13798780056525703,0.5
8,Cifar100,PerAvg,6,1.4458740815306068,0.05778073975341553,0.6723314107227909,0.05073673255554458,0.15397468336771558,0.5
9,Cifar100,PerAvg,7,1.3951965422035113,0.06871042985671443,0.6875803416898111,0.06493512826378602,0.14358295149355205,0.5
10,Cifar100,PerAvg,8,1.3417693967856361,0.07437520826391203,0.7165155947059615,0.06004025839144774,0.13225767291608706,0.5
11,Cifar100,PerAvg,9,1.3039538730055265,0.07644118627124293,0.7229434130108882,0.06411884324393054,0.13874053994197005,0.5
12,Cifar100,PerAvg,10,1.2726480873042638,0.080973008997001,0.7231222223319081,0.06109114964695675,0.12491844114499406,0.5
13,Cifar100,PerAvg,11,1.2360959905796602,0.08150616461179606,0.7383786173565742,0.051366241150415735,0.10771370702858041,0.5
14,Cifar100,PerAvg,12,1.205232834710685,0.0817727424191936,0.7418920954981402,0.05838414053511637,0.1076143026544505,0.5
15,Cifar100,PerAvg,13,1.1765930770953743,0.08617127624125291,0.7499079117138931,0.06321042718890207,0.10018216827136525,0.5
16,Cifar100,PerAvg,14,1.1473437762577654,0.08517160946351217,0.7546681633896336,0.06476910980409153,0.0951881695600047,0.5
17,Cifar100,PerAvg,15,1.1200569928847572,0.0757080973008997,0.7570093216550337,0.07261671979810133,0.08802516272718043,0.5
18,Cifar100,PerAvg,16,1.0946287829103727,0.09150283238920359,0.7704772655333046,0.05725198077373846,0.07447225350953937,0.5
19,Cifar100,PerAvg,17,1.0777472757644575,0.08670443185604798,0.7637979795639483,0.06289863525745117,0.09057538498578495,0.5
20,Cifar100,PerAvg,18,1.0623315626100265,0.08970343218927024,0.7623208218045927,0.06275540308214551,0.08558876264979094,0.5
21,Cifar100,PerAvg,19,1.0522274231629867,0.09783405531489503,0.7629808783398769,0.07790839240129177,0.09862242960162287,0.5
22,Cifar100,PerAvg,20,1.0424297006546634,0.0899033655448184,0.7558005261003532,0.07370090465734225,0.09939947085333611,0.5
23,Cifar100,PerAvg,21,1.0207344941481689,0.09250249916694435,0.7681390868332992,0.06719256774602157,0.08315234811442007,0.5
24,Cifar100,PerAvg,22,1.018024006532072,0.09243585471509497,0.766326093039322,0.0638603941015763,0.09060127930386554,0.5
25,Cifar100,PerAvg,23,1.009596694821855,0.09776741086304565,0.762510941836837,0.07500670419514192,0.10135528347732942,0.5
26,Cifar100,PerAvg,24,0.9909497849430254,0.09423525491502832,0.7691639394466204,0.0709551462127049,0.0858418405173323,0.5
27,Cifar100,PerAvg,25,0.9758473687226019,0.10116627790736421,0.7769248124965165,0.059431241897183164,0.08050512766944778,0.5
28,Cifar100,PerAvg,26,0.9579669100219873,0.10409863378873709,0.7760512215722258,0.06130522708249772,0.07710409848940537,0.5
29,Cifar100,PerAvg,27,0.9559806112496304,0.10369876707764078,0.771461494486261,0.06556131549077163,0.09096578383482719,0.5
30,Cifar100,PerAvg,28,0.9435172170177177,0.10549816727757415,0.7747842364179951,0.072755265098353,0.08153384524131892,0.5
31,Cifar100,PerAvg,29,0.9386829339933305,0.09696767744085305,0.7703044352935448,0.06881536165490641,0.09370336348687756,0.5
32,Cifar100,PerAvg,30,0.9330768853142677,0.1024325224925025,0.7671751598475617,0.0715390563590847,0.09628213561958049,0.5
33,Cifar100,PerAvg,31,0.9173965352103052,0.10543152282572475,0.7749085622519003,0.07493764854653288,0.08628451529430012,0.5
34,Cifar100,PerAvg,32,0.9121204981221146,0.10376541152949018,0.7730771225155033,0.07895234324058108,0.09123646422903146,0.5
35,Cifar100,PerAvg,33,0.9058895237668496,0.1016327890703099,0.7798570786640024,0.0698563656622104,0.07509128863353204,0.5
36,Cifar100,PerAvg,34,0.8986147904491976,0.10429856714428523,0.7795060941357329,0.07010817763354803,0.07409246728826022,0.5
37,Cifar100,PerAvg,35,0.8842594395633717,0.09976674441852716,0.7795802015212331,0.07303693668336687,0.06693502070074453,0.5
38,Cifar100,PerAvg,36,0.8693247179301317,0.10763078973675441,0.7868972983671894,0.05583522714645783,0.06472408470829409,0.5
39,Cifar100,PerAvg,37,0.8650750270936782,0.10116627790736421,0.7850167379948165,0.05723334687784857,0.060182934172635705,0.5
40,Cifar100,PerAvg,38,0.8580173923061017,0.10663112295901367,0.7873126657736683,0.057713128390458106,0.06240362547394532,0.5
41,Cifar100,PerAvg,39,0.8489122512681874,0.10336554481839387,0.7791339814682078,0.07532958558584218,0.07810855699774398,0.5
42,Cifar100,PerAvg,40,0.8513354745637451,0.10369876707764078,0.7735875095000632,0.08952457280363534,0.09024304723376632,0.5
43,Cifar100,PerAvg,41,0.8462195397039458,0.10789736754415195,0.7787481577882112,0.08491139438837532,0.07605971463088677,0.5
44,Cifar100,PerAvg,42,0.8269204387818829,0.11109630123292236,0.7896477253837558,0.06216107962669343,0.061091475329395885,0.5
45,Cifar100,PerAvg,43,0.8238747593980015,0.11402865711429523,0.7936868741365198,0.05122140842233573,0.053379239615858144,0.5
46,Cifar100,PerAvg,44,0.8173389118618097,0.10883038987004331,0.7890711310321721,0.04773235177540679,0.0484155748826245,0.5
47,Cifar100,PerAvg,45,0.8189189288453371,0.10963012329223593,0.7893970249975851,0.05263421382363721,0.044689052475519665,0.5
48,Cifar100,PerAvg,46,0.8118457479679689,0.10869710096634455,0.7879294262604797,0.0520298586345538,0.05961419851835654,0.5
49,Cifar100,PerAvg,47,0.8091102437034206,0.10996334555148284,0.7863034925872098,0.06428765387483742,0.06577583996338679,0.5
50,Cifar100,PerAvg,48,0.805104542759597,0.10916361212929024,0.7855266905548145,0.06706749679861987,0.06707445084891751,0.5
51,Cifar100,PerAvg,49,0.8017133845802871,0.10916361212929024,0.7840669544002465,0.0641402932671943,0.07971411987367413,0.5
52,Cifar100,PerAvg,50,0.7943179290014009,0.10716427857380872,0.7896838908836902,0.05408369180851518,0.0534741482861488,0.5
53,Cifar100,PerAvg,51,0.7968870654373593,0.1113628790403199,0.7895818746334075,0.050678197221498404,0.04718342236356824,0.5
54,Cifar100,PerAvg,52,0.7935123671867761,0.10576474508497168,0.7864052291425858,0.06282561441978987,0.056411528830025655,0.5
55,Cifar100,PerAvg,53,0.7886038345143571,0.10996334555148284,0.789737915171687,0.05651743927929612,0.050842823656653144,0.5
56,Cifar100,PerAvg,54,0.7845579974383046,0.10543152282572475,0.7872395553772922,0.05593697235359394,0.04258522222053822,0.5
57,Cifar100,PerAvg,55,0.7702841910991689,0.11402865711429523,0.7900422018913623,0.06885270919892576,0.058416091773268945,0.5
58,Cifar100,PerAvg,56,0.7705712154789344,0.10903032322559147,0.7890973399433453,0.055889125974463216,0.047797367920526516,0.5
59,Cifar100,PerAvg,57,0.7730514126696565,0.10983005664778407,0.7852142645324917,0.0697722616069365,0.05841453667694619,0.5
60,Cifar100,PerAvg,58,0.7671744832632817,0.10836387870709763,0.787184566298826,0.059303832484009764,0.06022750580327008,0.5
61,Cifar100,PerAvg,59,0.7581828740452382,0.1100966344551816,0.791224102334694,0.050363033243079766,0.05422594314686348,0.5
62,Cifar100,PerAvg,60,0.758789869431506,0.11176274575141619,0.7844728916731268,0.07258066962267411,0.07035622710700776,0.5
63,Cifar100,PerAvg,61,0.7586592794453302,0.11462845718093968,0.7864363130618119,0.07101241324696807,0.05806912006176755,0.5
64,Cifar100,PerAvg,62,0.756995239369384,0.10943018993668777,0.7826568077634796,0.07590267880085932,0.07539045472650892,0.5
65,Cifar100,PerAvg,63,0.7531674923313396,0.11656114628457181,0.7869517886388019,0.07947608148540256,0.07047287314745947,0.5
66,Cifar100,PerAvg,64,0.7503395676212637,0.11622792402532489,0.7843261896418716,0.08277429901933175,0.07650800957059227,0.5
67,Cifar100,PerAvg,65,0.7511595261987347,0.10563145618127291,0.7815029153212751,0.0711652045147082,0.0867062528434142,0.5
68,Cifar100,PerAvg,66,0.7471467134553788,0.10909696767744086,0.7821942261088531,0.07306296130250665,0.08270884703659198,0.5
69,Cifar100,PerAvg,67,0.7483450647117419,0.11122959013662112,0.7807959220779012,0.0776924243770485,0.08038110211434797,0.5
70,Cifar100,PerAvg,68,0.7413289583270407,0.11796067977340886,0.7832409655065895,0.08122989821790819,0.08414717617763494,0.5
71,Cifar100,PerAvg,69,0.7343594565215633,0.1169610129956681,0.7909280930607114,0.05467908999018682,0.05198662240006876,0.5
72,Cifar100,PerAvg,70,0.7394463243032964,0.11396201266244585,0.7859663163162376,0.0612258361584261,0.06329735609433157,0.5
73,Cifar100,PerAvg,71,0.7328395658286038,0.11702765744751749,0.789980745661203,0.05946618824692536,0.06053167115997181,0.5
74,Cifar100,PerAvg,72,0.7242773171096859,0.11809396867710763,0.7929421684317743,0.05927334716903656,0.049276066493662764,0.5
75,Cifar100,PerAvg,73,0.7263272784217061,0.11669443518827058,0.794586860608266,0.04752415489489413,0.03881378133944256,0.5
76,Cifar100,PerAvg,74,0.7279159430396803,0.10876374541819393,0.789903113461517,0.05284090305800566,0.049209997588086224,0.5
77,Cifar100,PerAvg,75,0.7184631064282057,0.11489503498833722,0.7926447949395968,0.05432891199245267,0.0477580381762557,0.5
78,Cifar100,PerAvg,76,0.7203731766248894,0.11382872375874709,0.7898558143146066,0.06548047003636123,0.05554378288628204,0.5
79,Cifar100,PerAvg,77,0.72712388703111,0.11429523492169277,0.7854405713718895,0.06172889596133747,0.05930228304668982,0.5
80,Cifar100,PerAvg,78,0.7204428019246146,0.11302899033655449,0.7835810013689809,0.07486071395798076,0.06847091759853773,0.5
81,Cifar100,PerAvg,79,0.7185690181476762,0.11356214595134954,0.786087723421563,0.06673293023989926,0.06624883879160576,0.5
82,Cifar100,PerAvg,80,0.7190306207968208,0.11029656781072976,0.784618236245143,0.06112294486654675,0.06761769391669442,0.5
83,Cifar100,PerAvg,81,0.7156652443837518,0.11289570143285571,0.7840349662508286,0.06963857469580645,0.0720781629447687,0.5
84,Cifar100,PerAvg,82,0.7146125742694638,0.11529490169943352,0.7864003112782153,0.07297980526079687,0.06661827006898628,0.5
85,Cifar100,PerAvg,83,0.7199306445166835,0.1088970343218927,0.7863582020842579,0.0656517555460462,0.06323784889181464,0.5
86,Cifar100,PerAvg,84,0.7094666680242409,0.11936021326224591,0.7888309398725551,0.07451446425388365,0.06035234685875357,0.5
87,Cifar100,PerAvg,85,0.7109923307033493,0.11422859046984339,0.7886866799209623,0.07723337019080023,0.05737311851386167,0.5
88,Cifar100,PerAvg,86,0.7065373588355381,0.11776074641786072,0.7875598329751967,0.06742501592876056,0.06346939051542237,0.5
89,Cifar100,PerAvg,87,0.6993175997983395,0.12255914695101633,0.7915024613521918,0.05716272386660063,0.05833994396786622,0.5
90,Cifar100,PerAvg,88,0.6990186462890241,0.11822725758080639,0.7926305061173574,0.06090483115265938,0.05330633875867167,0.5
91,Cifar100,PerAvg,89,0.7031578864279481,0.11789403532155948,0.7882913049203707,0.07542483189557742,0.06735321206942639,0.5
92,Cifar100,PerAvg,90,0.7051280337246071,0.1133622125958014,0.7861797863447854,0.06536694608298338,0.06507807141149044,0.5
93,Cifar100,PerAvg,91,0.6875518768937766,0.11716094635121627,0.7889522194531522,0.07432724289241092,0.06802541632455185,0.5
94,Cifar100,PerAvg,92,0.687146571814148,0.12015994668443852,0.7880547427639536,0.0765167853108725,0.06859655752087786,0.5
95,Cifar100,PerAvg,93,0.6891513465273943,0.11802732422525825,0.7883208988047514,0.07630164411197583,0.06685600817681303,0.5
96,Cifar100,PerAvg,94,0.6944516698222792,0.12015994668443852,0.7863312068101824,0.0766027720515959,0.07564847382339952,0.5
97,Cifar100,PerAvg,95,0.6930440856372618,0.11556147950683106,0.7900381373445566,0.06345512875561692,0.05830955994675589,0.5
98,Cifar100,PerAvg,96,0.6874016970984452,0.11669443518827058,0.7908555340876231,0.05468893590593551,0.05736006431094812,0.5
99,Cifar100,PerAvg,97,0.6881431573553686,0.11922692435854715,0.7911779784831878,0.060925341821186176,0.056785081107432904,0.5
100,Cifar100,PerAvg,98,0.6811741624683563,0.12095968010663112,0.7921867614981839,0.0603158037040218,0.05204607714502945,0.5
101,Cifar100,PerAvg,99,0.6890683492564122,0.11976007997334222,0.7864275564406631,0.06950320248303472,0.06760903984653002,0.5
102,Cifar100,PerAvg,100,0.6754714263398269,0.11989336887704098,0.7889949827123959,0.07142633835813457,0.06673914822526807,0.5
1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,Cifar100,FedALA_AAW,0,4.615318702378731,0.00753082305898034,0.49743365341192686,0.008233444161469209,0.09448975344694836
