1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,Cifar100,FedALA_AAW,0,4.61509060660291,0.008462153518123667,0.49667925838600446,0.004221567489852207,0.0370011696428587
3,Cifar100,FedALA_AAW,1,3.7860874350994718,0.1154051172707889,0.7313676297132427,0.09199390402897435,0.14097575082644878
4,Cifar100,FedALA_AAW,2,3.479288272632558,0.14698827292110875,0.7862105856916201,0.08150026982537895,0.13050008942237706
5,Cifar100,FedALA_AAW,3,3.2221785700260215,0.16804371002132196,0.8224826357779051,0.07797098616232018,0.12347117203116814
6,Cifar100,FedALA_AAW,4,2.911695230300157,0.2140858208955224,0.8671200896725922,0.05072360927335169,0.04274907066776784
7,Cifar100,FedALA_AAW,5,2.8553604117690776,0.21102078891257997,0.8724545294347174,0.06503528837191837,0.03822934019085748
8,Cifar100,FedALA_AAW,6,2.744463154240064,0.2195495735607676,0.8817750265078856,0.05700393888104597,0.031512071706389075
9,Cifar100,FedALA_AAW,7,2.6925855096422957,0.2248134328358209,0.8799449809200641,0.0641855992000246,0.03913832453126753
10,Cifar100,FedALA_AAW,8,2.5752271749430546,0.2355410447761194,0.8895285888187571,0.04084346405678547,0.025447370491577644
11,Cifar100,FedALA_AAW,9,2.5309893088793096,0.2418043710021322,0.8906867783917478,0.05345090955083898,0.025448269716693023
12,Cifar100,FedALA_AAW,10,2.53739019370376,0.23367537313432835,0.8853787685031975,0.06174619267410553,0.03425081597968756
13,Cifar100,FedALA_AAW,11,2.4231954489354033,0.24506929637526653,0.8925881651736185,0.04934273395028244,0.02421244925590017
14,Cifar100,FedALA_AAW,12,2.4433860189596266,0.24213752665245203,0.8871366230430026,0.06274308309390436,0.03633152795629705
15,Cifar100,FedALA_AAW,13,2.361270318215454,0.24480277185501065,0.8912502958385955,0.0420316068486903,0.02133896371128508
16,Cifar100,FedALA_AAW,14,2.3819918239820628,0.240205223880597,0.8877494903226469,0.06170989116543531,0.033075489694703704
17,Cifar100,FedALA_AAW,15,2.2640320853452827,0.24953358208955223,0.8945814426245342,0.04119565094854752,0.019460093413901158
18,Cifar100,FedALA_AAW,16,2.196644224457814,0.2531982942430704,0.8981868896784194,0.04038047119209764,0.01985368421536019
19,Cifar100,FedALA_AAW,17,2.1646681915730026,0.25539712153518124,0.8986745874495602,0.037292825836395045,0.020473285037296188
20,Cifar100,FedALA_AAW,18,2.1655468441433277,0.25772921108742003,0.8949984237645079,0.050066545747246935,0.028424965950756897
21,Cifar100,FedALA_AAW,19,2.110161626410548,0.2613939232409382,0.8966816666611245,0.034556030732468254,0.019585653773192473
22,Cifar100,FedALA_AAW,20,2.1354259279911205,0.25219882729211085,0.8939362153818962,0.04557466969975985,0.023526995925769695
23,Cifar100,FedALA_AAW,21,2.0596428390983426,0.26199360341151384,0.8961999885567752,0.044795673431523075,0.024117533011850295
24,Cifar100,FedALA_AAW,22,2.033935935072124,0.2548640724946695,0.8963189719624073,0.04224604118439967,0.023630528271420002
25,Cifar100,FedALA_AAW,23,2.0321888924208453,0.25499733475479747,0.8948462448107646,0.04656298274964245,0.02528342851602567
26,Cifar100,FedALA_AAW,24,1.9996742587102398,0.2544642857142857,0.895304552004905,0.042141846803833476,0.018365933947548853
27,Cifar100,FedALA_AAW,25,1.9689525018565464,0.26119402985074625,0.8964048495570662,0.03490237848488686,0.018500146325571287
28,Cifar100,FedALA_AAW,26,1.9678541040263433,0.2579957356076759,0.8932627499063684,0.04585076769785122,0.021218760754686997
29,Cifar100,FedALA_AAW,27,1.928542977962908,0.26119402985074625,0.894783308097781,0.04256791860545568,0.02038727020470868
30,Cifar100,FedALA_AAW,28,1.9019256284155508,0.2600613006396588,0.8942777737998601,0.04157220675174038,0.01821905332973947
31,Cifar100,FedALA_AAW,29,1.9181094822321365,0.2515325159914712,0.892495132565439,0.04488724796511849,0.020481131381270477
32,Cifar100,FedALA_AAW,30,1.8931843086109361,0.2615271855010661,0.8943674163075698,0.04855323456451344,0.023953338785088527
33,Cifar100,FedALA_AAW,31,1.9007227597913947,0.2545309168443497,0.8941127937900295,0.045577347434380876,0.020358716229178103
34,Cifar100,FedALA_AAW,32,1.8469285516555545,0.2568630063965885,0.8952599647470691,0.038149654492430796,0.017583750497045598
35,Cifar100,FedALA_AAW,33,1.842312253498575,0.25779584221748403,0.8941621181127455,0.04009791949998399,0.019544339755933365
36,Cifar100,FedALA_AAW,34,1.8383207411632883,0.2555970149253731,0.8931401844587842,0.03865350056375623,0.019117985140294974
37,Cifar100,FedALA_AAW,35,1.8225490612909199,0.25806236673773986,0.8921154362796672,0.03938282531471307,0.02126984349219889
38,Cifar100,FedALA_AAW,36,1.806644563900234,0.2545309168443497,0.8937215790455109,0.0383433734103485,0.01928784930180474
39,Cifar100,FedALA_AAW,37,1.791699095987433,0.2563299573560768,0.8917399878223399,0.04247400046741512,0.02155988027536218
40,Cifar100,FedALA_AAW,38,1.750291476889225,0.25986140724946694,0.8925783098012872,0.03492017942375341,0.020532330313558268
41,Cifar100,FedALA_AAW,39,1.74845891666476,0.25619669509594883,0.8931316402815366,0.042144437184293074,0.02207470245325968
42,Cifar100,FedALA_AAW,40,1.710550002188644,0.2556636460554371,0.8937502004225303,0.026486416159514293,0.014732963782013176
43,Cifar100,FedALA_AAW,41,1.755640721297243,0.2547308102345416,0.8913325033863961,0.04646961066111918,0.02356820776325657
44,Cifar100,FedALA_AAW,42,1.741445609323972,0.25146588486140725,0.8915755528024767,0.03872833427535514,0.018408355922447713
45,Cifar100,FedALA_AAW,43,1.7255439006537863,0.2533315565031983,0.8905990375846451,0.03238409642625757,0.01973025589658752
