1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,fmnist,FedALA_AAW,0,2.324273186411124,0.08846680355920603,0.4642278317386632,0.11108416059598317,0.14780977161476136
3,fmnist,FedALA_AAW,1,2.071642998827367,0.19415925165411818,0.5446883413439388,0.2813188277842037,0.22000319776877086
4,fmnist,FedALA_AAW,2,1.788409406695191,0.2951174994296144,0.6159712065284596,0.35858548808531693,0.2502295727969669
5,fmnist,FedALA_AAW,3,1.614260754634775,0.3608829568788501,0.655621656491197,0.39528189028673083,0.27074441268083305
6,fmnist,FedALA_AAW,4,1.5433912806490482,0.38689253935660506,0.6649233468025798,0.4056821541845056,0.2714734216688085
7,fmnist,FedALA_AAW,5,1.373025232640209,0.4596167008898015,0.702922386677231,0.4179478980268167,0.2801804249400118
8,fmnist,FedALA_AAW,6,1.158557772291377,0.5459730778005932,0.760631382202592,0.4243568820802588,0.27951374129092216
9,fmnist,FedALA_AAW,7,1.0854188539519367,0.5781998631074606,0.7785155718141868,0.4240604103588859,0.2750825279684797
10,fmnist,FedALA_AAW,8,0.9848097855259769,0.6078028747433265,0.7969226122598827,0.4188929400454061,0.27013423576589957
11,fmnist,FedALA_AAW,9,0.8982421690875505,0.6423682409308693,0.8123631295186943,0.41462654377931535,0.2671664473405092
12,fmnist,FedALA_AAW,10,0.8487614721283047,0.6605635409536846,0.8311631542957741,0.4099888927193332,0.2594628607523136
13,fmnist,FedALA_AAW,11,0.8301578398642906,0.6646132785763176,0.8352011271591759,0.40459305287865865,0.256531220862582
14,fmnist,FedALA_AAW,12,0.6989001128182282,0.7246178416609628,0.8663832492146502,0.383706264964643,0.24431681274235467
15,fmnist,FedALA_AAW,13,0.5967310096261005,0.7618640200775725,0.8844280954358237,0.36629040180832473,0.2284017102313963
16,fmnist,FedALA_AAW,14,0.6113065336524632,0.7549623545516769,0.8875164159692988,0.3602611088264366,0.221867726967369
17,fmnist,FedALA_AAW,15,0.5915293928248113,0.7671686059776409,0.8907882616143358,0.3527463708752227,0.22255817297552563
