1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,mnist,FedALA_AAW,0,2.3050444461089117,0.1072405929304447,0.5267084193371162,0.16373856615835514,0.17603808692407302
3,mnist,FedALA_AAW,1,2.110368622122766,0.19960091220068416,0.5784813931754764,0.288511197111266,0.21472200746946762
4,mnist,FedALA_AAW,2,1.8744548305146937,0.27371721778791336,0.6369681254813253,0.36027470916090876,0.23647884970041835
5,mnist,FedALA_AAW,3,1.7042803532542523,0.3461231470923603,0.6687170153657623,0.3913848018709655,0.2537015734788115
6,mnist,FedALA_AAW,4,1.5836108822374821,0.4058722919042189,0.6865080634552018,0.41693830126551884,0.2606113109649159
7,mnist,FedALA_AAW,5,1.4545985520659754,0.4467502850627138,0.7173250869588041,0.414615003022202,0.26430932845821153
8,mnist,FedALA_AAW,6,1.352010417723326,0.494811858608894,0.734603464873153,0.426346961211574,0.26925858737359887
9,mnist,FedALA_AAW,7,1.2457435339690202,0.5269099201824401,0.7532779736301521,0.42570042913821005,0.2657706919705852
10,mnist,FedALA_AAW,8,1.088559527412531,0.5848916761687571,0.7859337193853272,0.41607879173973267,0.262340304229437
11,mnist,FedALA_AAW,9,0.9438696477781884,0.6421322690992018,0.8167184213483277,0.41032082183816093,0.2539154929007412
12,mnist,FedALA_AAW,10,0.8827428237278891,0.6643101482326111,0.830830939872259,0.4023731057787317,0.24672955044612202
13,mnist,FedALA_AAW,11,0.7643575705113158,0.7096351197263397,0.8623608164633153,0.37742779130818216,0.2149962460577707
14,mnist,FedALA_AAW,12,0.7024602929573484,0.7249144811858609,0.8801632348504057,0.3625670855459834,0.2032388898864604
15,mnist,FedALA_AAW,13,0.6947998359118114,0.7298745724059293,0.8790779324923469,0.3715410431715697,0.20361418742190307
16,mnist,FedALA_AAW,14,0.5438352543592655,0.7860319270239453,0.9015512337026989,0.3363687833815837,0.19725419305391115
17,mnist,FedALA_AAW,15,0.4843523560606475,0.8084948688711516,0.9087610740923624,0.32661140675436434,0.19651390493286913
18,mnist,FedALA_AAW,16,0.49786576218430845,0.8023375142531357,0.9092302482390672,0.32869172220732207,0.19474139188611642
19,mnist,FedALA_AAW,17,0.3950219975136204,0.8412200684150513,0.9235250726904821,0.30701725731295365,0.18032081666364133
20,mnist,FedALA_AAW,18,0.3884608191629413,0.8425883694412771,0.9255770620481101,0.27412060590926013,0.1546001028878394
21,mnist,FedALA_AAW,19,0.3354445087055837,0.8636259977194983,0.9361186439966869,0.24069113410028892,0.1373806232327838
22,mnist,FedALA_AAW,20,0.33784938277908266,0.8645381984036488,0.9366493315533445,0.2365601949697402,0.137485484666099
23,mnist,FedALA_AAW,21,0.33606034512107646,0.8660205245153934,0.9368301604013183,0.23701606831585634,0.13745278993883406
24,mnist,FedALA_AAW,22,0.2723585215574502,0.8935005701254276,0.9623275209655235,0.22031590294155223,0.1143692339292022
25,mnist,FedALA_AAW,23,0.2732811321305539,0.8904789053591791,0.9625074674444456,0.21792443222753144,0.11167338151597814
26,mnist,FedALA_AAW,24,0.23642475657870365,0.9031356898517674,0.9646418802274288,0.21318484058122303,0.11145516595279396
27,mnist,FedALA_AAW,25,0.22411442769260867,0.9108323831242874,0.9689746903650989,0.191481788495739,0.10171155521285798
28,mnist,FedALA_AAW,26,0.23023873893331157,0.9055302166476625,0.9683616883410563,0.19403958927677456,0.10171924950638894
29,mnist,FedALA_AAW,27,0.22693771479704278,0.9084948688711516,0.9696528930281723,0.1795060589501117,0.09672699449616813
30,mnist,FedALA_AAW,28,0.12663357471592493,0.9464652223489167,0.9855340083941351,0.14153334999308276,0.07700289120540009
31,mnist,FedALA_AAW,29,0.14266366417486592,0.9420752565564424,0.9850772885063798,0.14176591876577674,0.07699087247839284
32,mnist,FedALA_AAW,30,0.1564113168350581,0.935860889395667,0.9836838796950855,0.15554074007235438,0.07789738102528361
33,mnist,FedALA_AAW,31,0.15475039411009986,0.9366590649942987,0.984419361473899,0.14509728948775244,0.07706489502581226
34,mnist,FedALA_AAW,32,0.11366011173037954,0.9522234891676169,0.9895554689053229,0.11114540447660641,0.059880340334782546
35,mnist,FedALA_AAW,33,0.11518383410600182,0.951254275940707,0.9892174541052099,0.11192494392279509,0.06000707695753153
36,mnist,FedALA_AAW,34,0.10449185541825513,0.953648802736602,0.9897657725397506,0.11070800888843722,0.06001086652385844
37,mnist,FedALA_AAW,35,0.11995801882792344,0.951254275940707,0.9893973108136612,0.1092089753998519,0.059856965356870205
