1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,Cifar100,FedAvg,0,7.353020612009904,0.010396534488503832,0.5005365765919584,0.03977402675183932,0.11531974572951975
3,Cifar100,FedAvg,1,5.667710013491403,0.01506164611796068,0.5151311853924005,0.029646972426430142,0.1644143495178893
4,Cifar100,FedAvg,2,5.111881670239133,0.04545151616127957,0.5463835202336058,0.09169821135379595,0.17923279150075938
5,Cifar100,FedAvg,3,4.877318729688264,0.026857714095301567,0.5721356568675976,0.048266610264410946,0.1927967731433264
6,Cifar100,FedAvg,4,4.7843205978861905,0.03152282572475842,0.5914269600998704,0.057611015109162354,0.1902582350208463
7,Cifar100,FedAvg,5,4.625723321486622,0.0445184938353882,0.6158235139544146,0.065516451007115,0.16924226008937962
8,Cifar100,FedAvg,6,4.59980274727336,0.045251582805731425,0.6299174972495192,0.06379221389073397,0.1822274311671877
9,Cifar100,FedAvg,7,4.588760630006892,0.04705098300566478,0.6390186953482501,0.061365437793549804,0.180686128546764
10,Cifar100,FedAvg,8,4.453321930872164,0.05471509496834388,0.6578730387154255,0.06532213120012488,0.17021321056838576
11,Cifar100,FedAvg,9,4.458663524342602,0.06351216261246251,0.6611496812720438,0.07453686945608208,0.1821550151521701
12,Cifar100,FedAvg,10,4.45402604860131,0.05718093968677108,0.666299933326779,0.06548584036089435,0.16583056744220903
13,Cifar100,FedAvg,11,4.324680105159291,0.06697767410863045,0.6847200350143137,0.06684073939394113,0.1603392788233767
14,Cifar100,FedAvg,12,4.3348838824606455,0.067244251916028,0.6908588230409187,0.058276730959879966,0.16026807454950176
15,Cifar100,FedAvg,13,4.30805607079346,0.06991002999000333,0.7019989707101093,0.0729981772356436,0.1457007019143941
16,Cifar100,FedAvg,14,4.285639543948013,0.06684438520493169,0.710052526625679,0.07784737055821384,0.12152383831472945
17,Cifar100,FedAvg,15,4.297380935604886,0.052249250249916696,0.7193300333314236,0.06799979499800433,0.10315573805576611
18,Cifar100,FedAvg,16,4.1346047319657435,0.07050983005664778,0.7328966259779497,0.07292318887455357,0.08926823927186682
19,Cifar100,FedAvg,17,4.215814800544566,0.07230923025658113,0.7240627233071159,0.07266615262444327,0.1058153339923022
20,Cifar100,FedAvg,18,4.204334488479268,0.08117294235254915,0.7299143731045143,0.07119267500593625,0.10597165301876663
21,Cifar100,FedAvg,19,4.21318124790951,0.0854381872709097,0.7268711556765226,0.08285698463178166,0.12593960641197824
22,Cifar100,FedAvg,20,4.246092194514979,0.07857380873042319,0.734806546709755,0.08006688008633212,0.11827629104137383
23,Cifar100,FedAvg,21,4.160069245407589,0.07904031989336888,0.7387384227473239,0.07885147475589388,0.10477143955708776
24,Cifar100,FedAvg,22,4.202019716099276,0.0854381872709097,0.7357116766051044,0.07744925597476655,0.11307330432717716
25,Cifar100,FedAvg,23,4.236416571489221,0.0837720759746751,0.7335006282668748,0.09021579701194839,0.12174497471758983
26,Cifar100,FedAvg,24,4.17615362224948,0.0753082305898034,0.7471638786739436,0.08814681914861448,0.0946194644740902
27,Cifar100,FedAvg,25,4.076730802984,0.09443518827057648,0.7499233874578702,0.08185571460343993,0.09301008551703357
28,Cifar100,FedAvg,26,4.10569535782859,0.08937020993002333,0.7502808210144952,0.06851530578965677,0.09871261961744365
29,Cifar100,FedAvg,27,4.1143210938551675,0.09563478840386538,0.7476490097114546,0.07654556925625496,0.11462363696424431
30,Cifar100,FedAvg,28,4.089467576559752,0.09083638787070976,0.7538916279491544,0.07940088629652908,0.10491715713470319
31,Cifar100,FedAvg,29,4.18525223299808,0.08323892035988004,0.745428105509151,0.07202774212986286,0.12141839571209681
32,Cifar100,FedAvg,30,4.196114107518327,0.08830389870043319,0.7460129616293624,0.0909999048719298,0.11895539458130448
33,Cifar100,FedAvg,31,4.1079140696661325,0.10016661112962345,0.7548388970321445,0.09009479886226839,0.10534032353965765
34,Cifar100,FedAvg,32,4.104383706728335,0.09456847717427525,0.7501683308331952,0.08327614025696299,0.11422446250615093
35,Cifar100,FedAvg,33,4.098705031635286,0.08630456514495169,0.7571670926216638,0.09062967964671345,0.09315524252891293
36,Cifar100,FedAvg,34,4.067636299268525,0.08937020993002333,0.7586987498735467,0.07458043986123755,0.09471122407588416
37,Cifar100,FedAvg,35,4.105079327791505,0.08357214261912696,0.7637280091379545,0.07175971121873886,0.0787723054886351
38,Cifar100,FedAvg,36,3.9568141895415945,0.09623458847050984,0.7715843347243824,0.06882976635448936,0.06815051390478961
39,Cifar100,FedAvg,37,4.027359267242014,0.08383872042652449,0.7687165359489987,0.06471854245289868,0.06467820129650534
40,Cifar100,FedAvg,38,3.984676357599976,0.09476841052982339,0.7712564497452339,0.08470218997714984,0.06403594605342249
41,Cifar100,FedAvg,39,4.052756278996366,0.09043652115961347,0.7709447256578245,0.08287598921722213,0.07817313994532497
42,Cifar100,FedAvg,40,4.09263033232655,0.0931022992335888,0.7667336215936836,0.10127301141779854,0.09333796004327986
43,Cifar100,FedAvg,41,4.0106183785507685,0.0983672109296901,0.7705324635571876,0.0980550958590088,0.08488721399434067
44,Cifar100,FedAvg,42,3.955668665002037,0.0959680106631123,0.7781752946545951,0.07815510948260082,0.06803430335160658
45,Cifar100,FedAvg,43,3.909484798925203,0.09616794401866045,0.7778032794885422,0.07432253688336159,0.05840861629471319
46,Cifar100,FedAvg,44,3.926135580024261,0.10656447850716427,0.7807045819910937,0.0640044069130284,0.049737132935492485
47,Cifar100,FedAvg,45,3.931346700398841,0.10176607797400866,0.7835570753926046,0.06356984066442625,0.05095193618734089
48,Cifar100,FedAvg,46,3.9436032573046207,0.10336554481839387,0.7800903575078129,0.059269271391146384,0.05821188334615507
49,Cifar100,FedAvg,47,3.967894809669235,0.09823392202599134,0.7805783115078502,0.08063306649151512,0.0608000584539628
50,Cifar100,FedAvg,48,3.9763271600856473,0.10263245584805065,0.7777717990134918,0.08174889756085636,0.06937956986600771
51,Cifar100,FedAvg,49,4.0372342179519425,0.09963345551482838,0.7723189472766758,0.09050059307427862,0.07687947984975498
52,Cifar100,FedAvg,50,3.966275703397934,0.10149950016661113,0.7783139222689025,0.06448363799353708,0.057005076604502575
53,Cifar100,FedAvg,51,3.9734555683102046,0.1007664111962679,0.7818195663777507,0.06375194097740879,0.05579985090055995
54,Cifar100,FedAvg,52,4.003124696292063,0.09570143285571477,0.7782613293057332,0.07789431300169325,0.06900300524650292
55,Cifar100,FedAvg,53,3.947098489137519,0.10429856714428523,0.7817511730651763,0.07827234988397556,0.05609244821953278
56,Cifar100,FedAvg,54,3.958452297816073,0.09996667777407531,0.781977763095908,0.0664243940387204,0.054111482123371114
57,Cifar100,FedAvg,55,3.9350834668531114,0.10716427857380872,0.7839543758847345,0.07185428980829064,0.05396610372117275
58,Cifar100,FedAvg,56,3.9725610775667577,0.09823392202599134,0.7842527801217631,0.05718623997089298,0.051557980685432936
59,Cifar100,FedAvg,57,3.973354133237087,0.10196601132955681,0.7818472482806317,0.07310569916957115,0.061174482953388856
60,Cifar100,FedAvg,58,3.9426360740250117,0.10429856714428523,0.7842405068117354,0.06920168954587,0.05521358775887742
61,Cifar100,FedAvg,59,3.935986337442203,0.10329890036654449,0.7862743662298414,0.05825078170371302,0.05980640428606864
62,Cifar100,FedAvg,60,4.0249905934643495,0.10629790069976675,0.7806763648089113,0.07724428638317274,0.07410831545528357
63,Cifar100,FedAvg,61,3.9492801850376607,0.10896367877374209,0.7818875292538925,0.07987205825620373,0.06428695889268309
64,Cifar100,FedAvg,62,4.0533799205704515,0.09776741086304565,0.7767340592629386,0.08016418055967446,0.07772005575252659
65,Cifar100,FedAvg,63,3.9042553040295096,0.11822725758080639,0.7858359966700162,0.08743397596418001,0.06680024655915394
66,Cifar100,FedAvg,64,3.9930419845963923,0.11502832389203599,0.7819488316843201,0.0890652185001425,0.074726230959536
67,Cifar100,FedAvg,65,4.075293635232275,0.09650116627790736,0.7800057958519852,0.07283880981305364,0.07759147449822675
68,Cifar100,FedAvg,66,3.9918186895655356,0.10736421192935688,0.781706252275626,0.08172723234611766,0.07896898112064651
69,Cifar100,FedAvg,67,3.9935596547225405,0.11056314561812729,0.7818630118280322,0.0785822328219789,0.0788965249983588
70,Cifar100,FedAvg,68,3.921083299815655,0.11949350216594469,0.7835292797584934,0.08994226001495598,0.0773547472666002
71,Cifar100,FedAvg,69,3.8266442008024857,0.11802732422525825,0.790457964292454,0.060648082770264525,0.05729683416192501
72,Cifar100,FedAvg,70,3.929590896938619,0.11102965678107297,0.7847530263356935,0.07088195836678682,0.06519498955984299
73,Cifar100,FedAvg,71,3.9212290429188688,0.11409530156614461,0.7885523658653633,0.0714533553186936,0.0579074348066576
74,Cifar100,FedAvg,72,3.870730804408042,0.11676107964011996,0.7918617381519514,0.07123193802726796,0.048426650050213654
75,Cifar100,FedAvg,73,3.8426106577241974,0.10969676774408531,0.792880394808589,0.05720825742550357,0.037917632473002706
76,Cifar100,FedAvg,74,3.9072626272183295,0.10336554481839387,0.7900596568595468,0.05933732363622287,0.046243009625574816
77,Cifar100,FedAvg,75,3.9068021221305127,0.10696434521826058,0.78842129904133,0.07099969372093015,0.05005178800729441
78,Cifar100,FedAvg,76,3.8719189073320384,0.11562812395868044,0.7885871521065446,0.079074654669636,0.06075746722204623
79,Cifar100,FedAvg,77,3.9562357232345806,0.11149616794401866,0.7839838099593333,0.0776732106475493,0.06630635502142793
80,Cifar100,FedAvg,78,3.995550478013809,0.11202932355881373,0.7844885768166404,0.08360239444871287,0.06864074369407867
81,Cifar100,FedAvg,79,3.9529753194346333,0.11929356881039653,0.7876871882909239,0.07832421013002543,0.06394170957630811
82,Cifar100,FedAvg,80,4.012197584247886,0.10763078973675441,0.7855451910040799,0.08624799459624367,0.059883761379239675
83,Cifar100,FedAvg,81,4.030246466642173,0.10836387870709763,0.7847172443382762,0.08697863011265826,0.06756131708605097
84,Cifar100,FedAvg,82,3.926943421263075,0.1137620793068977,0.7883741247216637,0.07590569768738306,0.06262852478646706
85,Cifar100,FedAvg,83,3.90644808214065,0.10963012329223593,0.7902167183835227,0.07386960329040237,0.06284537025615758
86,Cifar100,FedAvg,84,3.894740058253668,0.12295901366211263,0.7922902123120058,0.09254058748276786,0.05373995733000418
87,Cifar100,FedAvg,85,3.8901094877064972,0.11382872375874709,0.7902002787826768,0.09028389820426225,0.054355213270440315
