2,global_rounds,id_list
3,0,"[27, 36, 40, 9, 14, 56, 76, 51, 97, 42]"
4,1,"[23, 80, 44, 14, 5, 43, 50, 77, 46, 19]"
5,2,"[32, 4, 68, 90, 33, 26, 83, 39, 62, 96]"
6,3,"[70, 89, 19, 46, 71, 52, 60, 21, 29, 54]"
7,4,"[1, 80, 23, 20, 39, 50, 78, 40, 19, 94]"
8,5,"[55, 14, 69, 78, 62, 34, 10, 65, 95, 39]"
9,6,"[3, 64, 32, 47, 11, 10, 25, 82, 22, 71]"
10,7,"[89, 8, 78, 59, 42, 40, 50, 47, 39, 15]"
11,8,"[96, 20, 6, 64, 71, 86, 87, 14, 49, 32]"
12,9,"[35, 34, 40, 71, 67, 49, 21, 88, 59, 8]"
13,10,"[51, 67, 18, 24, 34, 60, 11, 96, 1, 19]"
14,11,"[15, 42, 69, 83, 3, 74, 10, 59, 80, 57]"
15,12,"[2, 91, 53, 35, 95, 89, 19, 92, 24, 75]"
16,13,"[98, 67, 39, 80, 38, 8, 83, 63, 30, 99]"
17,14,"[39, 9, 74, 28, 69, 59, 79, 68, 23, 63]"
18,15,"[62, 22, 82, 75, 19, 79, 5, 86, 69, 34]"
19,16,"[94, 63, 45, 55, 25, 24, 93, 69, 33, 77]"
20,17,"[63, 71, 49, 52, 55, 84, 0, 56, 17, 34]"
21,18,"[12, 62, 34, 71, 37, 14, 48, 81, 44, 30]"
22,19,"[64, 9, 73, 2, 60, 12, 32, 33, 80, 98]"
23,20,"[91, 29, 84, 23, 73, 90, 7, 8, 99, 72]"
24,21,"[23, 55, 12, 16, 35, 99, 3, 97, 22, 13]"
25,22,"[93, 28, 96, 37, 26, 36, 61, 97, 4, 72]"
26,23,"[41, 33, 80, 83, 25, 49, 85, 67, 38, 81]"
27,24,"[15, 14, 10, 47, 4, 99, 43, 49, 17, 54]"
28,25,"[84, 22, 62, 91, 59, 47, 52, 29, 78, 23]"
29,26,"[26, 19, 31, 35, 46, 88, 77, 78, 32, 55]"
30,27,"[40, 57, 33, 51, 15, 35, 90, 60, 54, 24]"
31,28,"[66, 97, 91, 19, 46, 79, 85, 70, 96, 67]"
32,29,"[27, 91, 72, 76, 45, 62, 29, 88, 64, 98]"
33,30,"[48, 17, 96, 55, 60, 84, 50, 51, 19, 82]"
34,31,"[41, 34, 9, 11, 37, 5, 29, 42, 4, 59]"
35,32,"[83, 50, 15, 77, 13, 92, 95, 75, 88, 57]"
36,33,"[57, 62, 77, 85, 55, 65, 76, 2, 19, 79]"
37,34,"[95, 3, 27, 43, 86, 66, 21, 29, 13, 17]"
38,35,"[56, 53, 24, 34, 50, 60, 9, 37, 45, 21]"
39,36,"[32, 60, 38, 86, 37, 68, 73, 56, 42, 41]"
40,37,"[88, 11, 31, 18, 36, 74, 70, 58, 83, 86]"
41,38,"[58, 75, 77, 87, 41, 24, 9, 50, 35, 6]"
42,39,"[17, 6, 62, 11, 77, 89, 19, 52, 14, 95]"
43,40,"[56, 68, 32, 93, 80, 39, 67, 17, 57, 89]"
44,41,"[71, 85, 19, 25, 87, 24, 89, 17, 84, 0]"
45,42,"[37, 50, 69, 4, 81, 38, 47, 62, 85, 55]"
46,43,"[74, 52, 82, 48, 28, 6, 57, 96, 33, 60]"
47,44,"[86, 25, 21, 52, 98, 95, 8, 50, 17, 94]"
48,45,"[32, 45, 6, 68, 58, 25, 89, 51, 88, 93]"
49,46,"[59, 91, 19, 67, 21, 71, 52, 93, 9, 45]"
50,47,"[88, 64, 94, 18, 68, 45, 35, 14, 66, 61]"
51,48,"[28, 31, 64, 13, 43, 78, 24, 96, 21, 99]"
52,49,"[90, 38, 51, 28, 30, 12, 11, 14, 6, 35]"
53,50,"[10, 96, 16, 39, 36, 13, 99, 26, 75, 55]"
54,51,"[30, 27, 91, 43, 57, 0, 83, 84, 41, 89]"
55,52,"[81, 70, 77, 20, 40, 51, 45, 59, 98, 1]"
56,53,"[27, 65, 20, 96, 64, 5, 67, 14, 68, 98]"
57,54,"[36, 65, 20, 23, 55, 41, 32, 37, 73, 44]"
58,55,"[81, 3, 83, 78, 19, 60, 13, 34, 37, 6]"
59,56,"[58, 52, 88, 49, 9, 72, 48, 60, 14, 73]"
