2,global_rounds,id_list
3,0,"[17, 16, 13, 2, 6, 0, 18, 5, 14, 15, 12, 1, 11, 4, 9, 10, 3, 19, 7, 8]"
4,1,"[5, 7, 13, 10, 15, 9, 14, 18, 17, 11, 1, 16, 0, 8, 2, 12, 3, 6, 4, 19]"
5,2,"[3, 14, 1, 11, 15, 19, 0, 9, 7, 12, 5, 13, 8, 17, 10, 2, 18, 4, 16, 6]"
6,3,"[14, 1, 13, 19, 4, 16, 11, 7, 3, 8, 15, 12, 18, 2, 9, 17, 5, 0, 10, 6]"
7,4,"[15, 1, 13, 16, 6, 14, 10, 7, 0, 18, 12, 8, 3, 11, 5, 19, 4, 17, 2, 9]"
8,5,"[15, 1, 0, 8, 7, 19, 3, 10, 6, 5, 2, 13, 12, 4, 16, 11, 18, 17, 14, 9]"
9,6,"[0, 9, 15, 16, 6, 18, 3, 12, 5, 13, 11, 4, 19, 2, 8, 14, 17, 1, 7, 10]"
10,7,"[1, 18, 15, 7, 5, 14, 8, 12, 3, 10, 17, 19, 4, 2, 0, 6, 11, 9, 16, 13]"
11,8,"[3, 16, 19, 0, 2, 10, 11, 8, 14, 4, 13, 7, 9, 15, 6, 12, 5, 1, 18, 17]"
12,9,"[14, 8, 6, 10, 19, 17, 9, 11, 18, 5, 16, 2, 3, 0, 4, 15, 7, 13, 1, 12]"
13,10,"[11, 9, 10, 0, 17, 2, 19, 14, 1, 8, 13, 18, 3, 5, 6, 7, 12, 4, 16, 15]"
14,11,"[14, 16, 1, 11, 10, 13, 12, 19, 9, 18, 3, 5, 17, 8, 2, 15, 0, 6, 7, 4]"
15,12,"[0, 6, 5, 2, 19, 13, 7, 16, 4, 17, 8, 11, 10, 14, 18, 3, 12, 1, 15, 9]"
16,13,"[0, 5, 13, 2, 9, 10, 3, 1, 12, 18, 15, 16, 19, 7, 17, 14, 8, 11, 6, 4]"
17,14,"[9, 17, 4, 8, 11, 0, 1, 18, 15, 12, 3, 7, 19, 2, 6, 14, 13, 5, 16, 10]"
