num,global_rounds,id_list
3,0,"[10, 36, 7, 21, 5, 29, 45, 17, 31, 39, 41, 20, 26, 46, 25, 35, 16, 30, 47, 23, 9, 14, 28, 11, 42]"
4,1,"[34, 33, 20, 42, 35, 25, 15, 1, 2, 8, 14, 47, 40, 36, 10, 45, 6, 32, 38, 11, 21, 44, 27, 9, 7]"
5,2,"[29, 16, 40, 44, 6, 19, 20, 38, 18, 4, 45, 3, 17, 26, 24, 32, 8, 37, 42, 36, 48, 11, 39, 28, 30]"
6,3,"[41, 24, 20, 34, 17, 21, 25, 14, 42, 36, 39, 46, 10, 31, 47, 30, 22, 12, 15, 32, 23, 28, 1, 37, 11]"
7,4,"[34, 21, 37, 10, 41, 20, 7, 24, 14, 44, 23, 12, 25, 19, 33, 43, 29, 8, 13, 4, 39, 22, 5, 45, 2]"
8,5,"[31, 40, 29, 26, 41, 33, 45, 49, 6, 5, 34, 38, 22, 46, 4, 13, 39, 2, 19, 21, 18, 14, 27, 43, 25]"
9,6,"[9, 24, 3, 41, 19, 42, 21, 6, 0, 39, 49, 37, 11, 27, 15, 13, 17, 4, 7, 35, 36, 31, 14, 46, 23]"
10,7,"[36, 9, 41, 17, 33, 19, 1, 24, 25, 3, 45, 38, 29, 44, 4, 13, 21, 46, 43, 39, 7, 40, 23, 48, 5]"
11,8,"[10, 39, 49, 35, 34, 48, 38, 8, 15, 40, 44, 24, 47, 3, 16, 43, 45, 12, 0, 23, 32, 11, 22, 7, 17]"
12,9,"[15, 16, 0, 19, 20, 38, 22, 3, 37, 6, 36, 27, 7, 4, 48, 13, 23, 34, 25, 32, 33, 31, 24, 9, 18]"
13,10,"[18, 26, 14, 29, 34, 40, 31, 28, 35, 30, 36, 42, 15, 3, 46, 37, 48, 13, 20, 45, 9, 27, 25, 0, 4]"
14,11,"[46, 37, 40, 29, 0, 47, 32, 36, 25, 42, 14, 21, 2, 28, 18, 19, 20, 48, 27, 33, 35, 3, 43, 41, 49]"
15,12,"[33, 32, 24, 18, 27, 37, 35, 36, 14, 22, 38, 30, 6, 7, 15, 46, 19, 16, 49, 4, 2, 13, 42, 28, 0]"
16,13,"[38, 8, 19, 21, 29, 15, 47, 43, 7, 49, 0, 13, 42, 5, 34, 27, 10, 25, 31, 41, 14, 44, 17, 32, 26]"
17,14,"[8, 31, 34, 18, 45, 19, 27, 6, 26, 44, 28, 4, 32, 40, 17, 15, 29, 47, 13, 24, 16, 43, 49, 5, 1]"
18,15,"[35, 45, 7, 0, 21, 22, 20, 4, 13, 33, 25, 14, 48, 12, 23, 24, 43, 2, 10, 30, 15, 3, 46, 6, 42]"
19,16,"[48, 29, 5, 19, 46, 11, 4, 3, 38, 34, 12, 45, 28, 9, 37, 44, 2, 10, 22, 30, 14, 23, 7, 40, 39]"
