1,*********************,*********************
2,global_rounds,id_list
3,0,"[15, 7, 13, 19, 11, 18, 0, 17, 9, 4, 8, 5, 12, 6, 3, 16, 2, 1, 10, 14]"
4,1,"[19, 18, 2, 5, 14, 15, 16, 11, 13, 7, 3, 1, 8, 10, 9, 0, 4, 12, 6, 17]"
5,2,"[5, 3, 2, 4, 8, 19, 11, 15, 10, 6, 16, 17, 12, 14, 7, 0, 1, 13, 18, 9]"
6,3,"[6, 13, 5, 0, 1, 3, 18, 11, 14, 2, 12, 8, 16, 15, 7, 4, 10, 17, 9, 19]"
7,4,"[14, 13, 19, 15, 0, 3, 4, 5, 17, 11, 6, 2, 9, 16, 10, 18, 1, 7, 12, 8]"
8,5,"[16, 9, 14, 18, 4, 8, 13, 3, 11, 15, 19, 10, 12, 5, 2, 6, 0, 17, 1, 7]"
9,6,"[12, 16, 2, 11, 5, 17, 1, 18, 3, 7, 8, 6, 0, 14, 13, 19, 10, 15, 4, 9]"
10,7,"[3, 17, 13, 10, 6, 18, 0, 11, 7, 4, 15, 16, 2, 14, 19, 5, 12, 9, 1, 8]"
11,8,"[12, 16, 14, 15, 17, 10, 8, 13, 2, 18, 11, 9, 5, 1, 6, 0, 4, 19, 7, 3]"
12,9,"[17, 2, 16, 9, 5, 7, 15, 10, 19, 6, 13, 3, 18, 11, 1, 8, 12, 0, 14, 4]"
13,10,"[5, 11, 18, 12, 4, 19, 17, 9, 7, 6, 0, 10, 14, 13, 3, 8, 1, 2, 16, 15]"
14,11,"[17, 10, 5, 16, 9, 3, 12, 7, 13, 1, 19, 2, 4, 6, 0, 11, 15, 14, 18, 8]"
15,12,"[3, 2, 12, 7, 9, 14, 5, 0, 15, 10, 18, 11, 8, 19, 6, 17, 4, 13, 16, 1]"
16,13,"[14, 16, 1, 19, 4, 13, 17, 3, 0, 2, 10, 15, 7, 18, 6, 8, 5, 11, 9, 12]"
17,14,"[1, 0, 14, 11, 6, 17, 19, 7, 3, 18, 16, 12, 4, 13, 9, 5, 8, 10, 2, 15]"
18,15,"[3, 5, 16, 1, 18, 14, 7, 19, 15, 12, 13, 6, 9, 8, 17, 11, 10, 4, 2, 0]"
19,16,"[12, 10, 11, 3, 16, 8, 19, 7, 13, 14, 2, 9, 5, 4, 0, 15, 18, 17, 1, 6]"
20,17,"[19, 7, 3, 0, 11, 16, 18, 2, 15, 9, 4, 6, 1, 12, 17, 5, 14, 10, 13, 8]"
21,18,"[16, 17, 4, 2, 18, 15, 3, 12, 9, 6, 19, 7, 0, 5, 10, 8, 14, 11, 13, 1]"
22,19,"[9, 19, 11, 2, 0, 16, 8, 3, 13, 4, 1, 5, 10, 18, 15, 6, 12, 7, 17, 14]"
23,20,"[14, 17, 12, 8, 10, 9, 19, 15, 0, 2, 7, 5, 16, 13, 11, 18, 4, 3, 6, 1]"
24,21,"[7, 5, 9, 11, 13, 0, 18, 2, 10, 3, 17, 8, 4, 1, 15, 12, 16, 6, 19, 14]"
25,22,"[2, 6, 3, 10, 14, 18, 4, 1, 16, 15, 8, 19, 11, 7, 9, 13, 5, 0, 12, 17]"
26,23,"[1, 9, 11, 4, 15, 13, 3, 12, 17, 14, 0, 19, 8, 16, 5, 6, 18, 10, 7, 2]"
