1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,Cifar100,FedALA,0,4.615120028525973,0.007228116710875331,0.49633495271818656,0.01128076503984541,0.07394823986012679
3,Cifar100,FedALA,1,4.507305076023308,0.03905835543766578,0.6313901796999154,0.04818635258034335,0.08151054985194157
4,Cifar100,FedALA,2,4.390572585579013,0.05855437665782493,0.6906019216406836,0.054599633978159236,0.06910654713875906
5,Cifar100,FedALA,3,4.270368672524569,0.07446949602122016,0.7306521434666167,0.059767000320274516,0.06173345311194494
6,Cifar100,FedALA,4,4.163374625224549,0.0873342175066313,0.7580152883770986,0.0644091820149541,0.05810397192148925
7,Cifar100,FedALA,5,4.075755436067933,0.09887267904509284,0.7740364122930672,0.06223657174004736,0.05446493579991269
8,Cifar100,FedALA,6,4.004684303765189,0.10550397877984084,0.7872076027568545,0.06665505211261274,0.052474271711145694
9,Cifar100,FedALA,7,3.948061255300076,0.11710875331564986,0.7943776999509753,0.06799355184027704,0.05557131998678491
10,Cifar100,FedALA,8,3.892475312946624,0.12838196286472148,0.8039215692769405,0.07193596588768764,0.0527773705042037
11,Cifar100,FedALA,9,3.843186251648785,0.1356763925729443,0.810958058195143,0.07586438396026861,0.052390406146485054
12,Cifar100,FedALA,10,3.797907051832315,0.14555702917771884,0.8184685873991134,0.07618934362819595,0.047626456614762155
13,Cifar100,FedALA,11,3.764108227035299,0.1490053050397878,0.8220487496553641,0.07738247191727617,0.048704305481554425
14,Cifar100,FedALA,12,3.725082797682639,0.15305039787798408,0.8289652765189655,0.07775029461364029,0.043547626573206044
15,Cifar100,FedALA,13,3.69021199431578,0.15404509283819628,0.8344587185779175,0.07825452720901344,0.04070716005363114
16,Cifar100,FedALA,14,3.657364901861011,0.16173740053050398,0.8388622936149199,0.07679008645373611,0.03999370384484588
17,Cifar100,FedALA,15,3.6283991683131216,0.16903183023872678,0.8417665386818419,0.08334357035197239,0.03996178400138516
18,Cifar100,FedALA,16,3.604609732391438,0.1706233421750663,0.8442469036669928,0.0826595254700869,0.03940472624192128
19,Cifar100,FedALA,17,3.5814261498081836,0.17228116710875332,0.8473447642631378,0.07869020865004553,0.03739582559267726
20,Cifar100,FedALA,18,3.56543421110401,0.17539787798408488,0.8481778492345343,0.08489299407456272,0.03856692306861387
21,Cifar100,FedALA,19,3.5446802260073422,0.17725464190981433,0.8501678623307063,0.08446366747917478,0.037982973618285475
22,Cifar100,FedALA,20,3.523576026613548,0.18083554376657826,0.8524366379635924,0.08152243017777207,0.03680257087560625
23,Cifar100,FedALA,21,3.5004483396928108,0.18249336870026525,0.8546100860383435,0.08526916007656896,0.035683686091414146
24,Cifar100,FedALA,22,3.4864322245521824,0.1810344827586207,0.8558937042182064,0.0824360991648304,0.03629750257466182
25,Cifar100,FedALA,23,3.472065823682913,0.1860079575596817,0.8564596439827937,0.08465266669269286,0.03667211659365952
26,Cifar100,FedALA,24,3.4537625088666486,0.1897214854111406,0.8588989577576293,0.08345717500243571,0.03564743418622157
27,Cifar100,FedALA,25,3.4379000383396914,0.19283819628647214,0.8596666588058635,0.0811504999363474,0.03580279473878537
28,Cifar100,FedALA,26,3.432522045452264,0.1953580901856764,0.8597375168571124,0.08371247714163237,0.03649339964736649
29,Cifar100,FedALA,27,3.4200864633476638,0.1952917771883289,0.8611478072350048,0.07989287767832613,0.0363008004893601
30,Cifar100,FedALA,28,3.402993520754694,0.20251989389920425,0.8630241552495139,0.07988520176884449,0.0343031347477281
31,Cifar100,FedALA,29,3.3953492869969963,0.2013262599469496,0.8632531827440146,0.08226485215438498,0.03472838954817523
32,Cifar100,FedALA,30,3.3795100140067094,0.20324933687002653,0.8648522006861556,0.08124497726723506,0.03356655352537239
33,Cifar100,FedALA,31,3.366355747660532,0.20517241379310344,0.8653651791465207,0.08398744762147729,0.03332053718854146
34,Cifar100,FedALA,32,3.358123497493511,0.20590185676392572,0.865637777158431,0.0836660204340712,0.03373082720562795
35,Cifar100,FedALA,33,3.341853612946211,0.20888594164456234,0.8668484653472424,0.08535059339563743,0.03328280134228754
36,Cifar100,FedALA,34,3.3363034608577236,0.20736074270557028,0.8670773905540728,0.08349777610009722,0.03280906209770998
37,Cifar100,FedALA,35,3.327672743197675,0.20954907161803712,0.868194444877629,0.08714496747582459,0.03275342312779824
38,Cifar100,FedALA,36,3.3235908772906284,0.2102785145888594,0.868118899539856,0.08453502521217299,0.03366132313671067
39,Cifar100,FedALA,37,3.319677264222455,0.21080901856763926,0.8684865025765349,0.08590602436257447,0.033972079461603015
40,Cifar100,FedALA,38,3.3086348837836916,0.21220159151193635,0.8688897704133657,0.08700968118432664,0.033322458837622915
41,Cifar100,FedALA,39,3.2880950085755303,0.21637931034482757,0.8711287449209905,0.08540652846072577,0.031273999208481895
42,Cifar100,FedALA,40,3.2849544399652335,0.21458885941644562,0.8705966874465048,0.08625845463449858,0.03225656703181934
43,Cifar100,FedALA,41,3.2782241808377304,0.2153846153846154,0.8709830060236788,0.08629539690251557,0.03240600667710216
44,Cifar100,FedALA,42,3.268266226105291,0.2189655172413793,0.8716945808288675,0.08424555145432684,0.031755530619452264
45,Cifar100,FedALA,43,3.2630971518320044,0.22009283819628647,0.8715887541094554,0.08592615996641834,0.031782898670698306
46,Cifar100,FedALA,44,3.2512271685374965,0.2199602122015915,0.8724804037339462,0.08722391019173535,0.0314148161323465
47,Cifar100,FedALA,45,3.2443892007599624,0.22188328912466843,0.8728011310091738,0.08728583277816299,0.03164338691775787
48,Cifar100,FedALA,46,3.240221940556161,0.22049071618037136,0.8728887130332484,0.08775487003664983,0.03170384916464602
49,Cifar100,FedALA,47,3.2336870708893546,0.2180371352785146,0.8735883480485083,0.08734134993854804,0.03129252705214531
50,Cifar100,FedALA,48,3.2174173706979974,0.22606100795755968,0.8743688551721361,0.08850862212389311,0.03091018523520328
51,Cifar100,FedALA,49,3.218167445007209,0.22619363395225464,0.8742789547298714,0.0850738991178015,0.030927850441777843
52,Cifar100,FedALA,50,3.2203410283648934,0.22354111405835544,0.8738532935494259,0.08105757049294006,0.03126934971456834
53,Cifar100,FedALA,51,3.218343356928034,0.22294429708222813,0.8739689198880425,0.0811317996178613,0.0314149003111261
54,Cifar100,FedALA,52,3.199647881904974,0.22791777188328913,0.8754412410987027,0.08264580198223392,0.030348141823971202
55,Cifar100,FedALA,53,3.1941208024896293,0.22751989389920424,0.8756311848318447,0.0856049753016516,0.03050667899385851
56,Cifar100,FedALA,54,3.192109682581772,0.22619363395225464,0.8754019360019927,0.0853980288667689,0.031070938928580052
57,Cifar100,FedALA,55,3.183637853311357,0.2289787798408488,0.8756825590370034,0.08498897786935472,0.03097707817579536
58,Cifar100,FedALA,56,3.1793095859232414,0.22990716180371354,0.8755071867138148,0.08755336938791922,0.03131324414729773
59,Cifar100,FedALA,57,3.1731362062794717,0.2300397877984085,0.8759567349293979,0.08658498969907971,0.03097165038321389
