1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,mnist,FedAvg,0,6.18033934870193,0.10208511853756069,0.5077446522773228,0.28480932456467917,0.29537808083044936
3,mnist,FedAvg,1,3.1690887049391576,0.23878891745215652,0.5873544784422075,0.3376742407566485,0.3227458383274762
4,mnist,FedAvg,2,3.1195175333108343,0.21245358469008854,0.6399434222509198,0.3344798928436645,0.25311023550454503
5,mnist,FedAvg,3,2.8973572843560387,0.2855184233076264,0.689037969214376,0.3268046608977102,0.25354340611648
6,mnist,FedAvg,4,1.671643031099134,0.5147100828334762,0.8147421280908858,0.3550328836404022,0.21829415325689086
7,mnist,FedAvg,5,1.8872275860524372,0.4834618680377035,0.817715196878057,0.2712152254702193,0.1937642128767669
8,mnist,FedAvg,6,1.8407273558995427,0.45958297629248784,0.8034337724028217,0.35324788361383674,0.20071371056421264
9,mnist,FedAvg,7,1.50847007584816,0.5430448443301914,0.8598025955721785,0.3554162914491267,0.17627099072930655
10,mnist,FedAvg,8,1.392942343666239,0.527734932876321,0.896603186143158,0.3127356247381133,0.09647517570519504
11,mnist,FedAvg,9,1.1007273229476906,0.6576406740931162,0.9143239857736289,0.25638809180470257,0.09220399180152905
12,mnist,FedAvg,10,1.1562107572655471,0.6367323621822336,0.9056566280566581,0.29894910052084145,0.10866388762792956
13,mnist,FedAvg,11,1.4365687919582435,0.6078263353327621,0.8930545022167932,0.2980326447703166,0.10739160008816044
14,mnist,FedAvg,12,1.377863874398462,0.6179377320765496,0.8893485511610443,0.29439701082145486,0.12944242168994963
15,mnist,FedAvg,13,1.190344779762015,0.6168523279063125,0.9159415800009364,0.32563318412905395,0.08620281672673417
16,mnist,FedAvg,14,1.1858789091904405,0.6247357897743502,0.9118570629827557,0.2929459047417663,0.09580574587004867
17,mnist,FedAvg,15,1.1336996554820895,0.702027992002285,0.9198448724524267,0.26124959654655666,0.0951068926076493
18,mnist,FedAvg,16,1.218394477677302,0.6796343901742359,0.9123865008212907,0.2569503134958943,0.10877573022617004
19,mnist,FedAvg,17,0.9800109034822916,0.7301342473578978,0.9233782995005525,0.21931012718578397,0.10187713463159842
20,mnist,FedAvg,18,1.2986572346788503,0.6531848043416166,0.9116791497812933,0.2411904784045304,0.09418440270756537
21,mnist,FedAvg,19,1.0501680241793843,0.682604970008569,0.9202809761276793,0.24243063056952227,0.08119397020891678
22,mnist,FedAvg,20,1.0644834029861734,0.7239645815481291,0.9343899642794313,0.2448883922023043,0.07627654068414569
23,mnist,FedAvg,21,0.9851310814103963,0.7047700656955156,0.9372355023097397,0.22387117824184835,0.06205120492550556
24,mnist,FedAvg,22,0.8389914325355844,0.7404170237075122,0.9372087676757139,0.21590270265930173,0.06935078866312419
25,mnist,FedAvg,23,1.104483506919899,0.6886032562125107,0.93493671475724,0.23876602218268694,0.060747790745717796
26,mnist,FedAvg,24,0.9512418608219174,0.7307055127106541,0.9322999668325597,0.23454988329320028,0.083160759751032
27,mnist,FedAvg,25,0.9268746734536617,0.7177377892030848,0.9357686401887365,0.21886909461917772,0.06782632944607998
28,mnist,FedAvg,26,0.7632332689853646,0.7356755212796344,0.9536215893951462,0.22214855057091834,0.03942636749735063
29,mnist,FedAvg,27,0.5988225908850804,0.7883461868037703,0.9620951156136757,0.1976951382555227,0.03515052998846542
30,mnist,FedAvg,28,0.7280647826317701,0.7834904313053414,0.9467814054228612,0.20502909527367127,0.06796993413963696
31,mnist,FedAvg,29,0.9908458891171091,0.7280205655526992,0.9379274279724225,0.2580604277906969,0.07200071638275428
32,mnist,FedAvg,30,0.8542444184771937,0.720994001713796,0.9508366934276468,0.22860827925501156,0.042257193842454556
33,mnist,FedAvg,31,0.8158131624791116,0.7096258211939446,0.9509961844265662,0.2838397927664948,0.04874763578403736
34,mnist,FedAvg,32,0.6676757623933185,0.7423021993716081,0.9562567605868754,0.25316517506885944,0.03773809306791649
35,mnist,FedAvg,33,0.5083323275150029,0.8339902884890031,0.9670197870983127,0.11205436186316384,0.02284330935722722
36,mnist,FedAvg,34,0.5511730153578687,0.8046272493573264,0.9618980254039706,0.1699135716074876,0.03686939336888503
37,mnist,FedAvg,35,0.6844009323713129,0.7601256783776064,0.955358554590612,0.21165869391469933,0.037662852368130315
38,mnist,FedAvg,36,0.6053119134369204,0.8051985147100829,0.9623723822442043,0.13043714603800244,0.02673821789912136
39,mnist,FedAvg,37,0.6022960697863712,0.785432733504713,0.9616642732948188,0.19264139209028525,0.03580666261549617
40,mnist,FedAvg,38,0.7261035843041395,0.7465866895172808,0.9589026211383197,0.25262336499878263,0.035846019651680695
41,mnist,FedAvg,39,0.5981871430541026,0.7862325049985719,0.9637057282005234,0.2978298936758782,0.046716972160379365
42,mnist,FedAvg,40,0.45481416468827496,0.8395886889460155,0.9695315272205595,0.11773104873050087,0.0215970018792337
43,mnist,FedAvg,41,0.599252810642168,0.8149671522422165,0.9640207718286327,0.1176398011615739,0.024846367160577424
44,mnist,FedAvg,42,0.5447113325100329,0.8045129962867752,0.9680816493581631,0.20754423716636092,0.025438583557967347
45,mnist,FedAvg,43,0.6035534849660095,0.8026278206226792,0.9618639554040802,0.14665371039616493,0.02956518288488074
46,mnist,FedAvg,44,0.6258902455743295,0.7880605541273922,0.9628497465223195,0.19295951085904955,0.03001830645376631
47,mnist,FedAvg,45,0.6997861047642995,0.773664667237932,0.956640473481886,0.2260210469318517,0.048206278093315555
48,mnist,FedAvg,46,0.5925461583372217,0.7874892887746359,0.9630937072405178,0.21964662512029437,0.031445251820366296
49,mnist,FedAvg,47,0.8269742306527972,0.7574978577549272,0.9528494302547105,0.1419917551905461,0.035406901517670446
50,mnist,FedAvg,48,0.6309472222491399,0.8045129962867752,0.9612441545393526,0.20849544536167947,0.04490598701983398
51,mnist,FedAvg,49,0.7109511632301536,0.7817766352470723,0.9568807081347693,0.16211584883436045,0.03463861545090393
