1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,Cifar100,FedAvg,0,7.340410636154973,0.009375,0.4972738793219446,0.031026445522477086,0.11837273202026592
3,Cifar100,FedAvg,1,5.0689401322444665,0.01908244680851064,0.5219457260023997,0.03182770150766945,0.1348054128212414
4,Cifar100,FedAvg,2,4.688889603745914,0.032313829787234044,0.5744082171952365,0.057221865970798785,0.14884001930284466
5,Cifar100,FedAvg,3,4.6157594320497815,0.02759308510638298,0.6061045579404296,0.051160438305285584,0.13151801832242993
6,Cifar100,FedAvg,4,4.508457787929529,0.043284574468085105,0.6298576706172112,0.05458546500570849,0.1339409589808719
7,Cifar100,FedAvg,5,4.419607814700023,0.057579787234042556,0.6493901750581983,0.06640685157853007,0.14356567830127942
8,Cifar100,FedAvg,6,4.329857928638819,0.04381648936170213,0.6808091360192929,0.05072273471744527,0.11947796164249812
9,Cifar100,FedAvg,7,4.279971261659577,0.057180851063829786,0.6969597855976104,0.05745223955816177,0.10256538781228679
10,Cifar100,FedAvg,8,4.292526985402406,0.05538563829787234,0.7055778060876511,0.061809440197209534,0.10792364010458902
11,Cifar100,FedAvg,9,4.263256024897173,0.05226063829787234,0.714090408310031,0.06083756021817086,0.10247629787030192
12,Cifar100,FedAvg,10,4.180718956228198,0.07573138297872341,0.7248581925094729,0.0693886036395399,0.09809843029339098
13,Cifar100,FedAvg,11,4.091125340988286,0.0875,0.7363094187694944,0.0650299843081875,0.09442445745409313
14,Cifar100,FedAvg,12,4.07052334623238,0.07878989361702128,0.742676569898652,0.05445812632821713,0.07694672654597844
15,Cifar100,FedAvg,13,4.0408824528994,0.09029255319148936,0.749536770996028,0.06605982821203699,0.07951751355855527
16,Cifar100,FedAvg,14,4.113495075198246,0.08803191489361702,0.743675475171273,0.06766162108319804,0.09194939019580264
17,Cifar100,FedAvg,15,3.9998926501298797,0.09807180851063829,0.7570791907453134,0.06908016703532724,0.07815972416213054
18,Cifar100,FedAvg,16,4.00756049567494,0.10232712765957447,0.7509985779272291,0.07992705877932033,0.09345235041511214
19,Cifar100,FedAvg,17,3.991392548005297,0.10445478723404256,0.7599415775358196,0.08627006901555379,0.08972149888599759
20,Cifar100,FedAvg,18,3.925453649750992,0.10977393617021276,0.769558435581194,0.07239372252148363,0.0759453895664367
21,Cifar100,FedAvg,19,3.9446584281698334,0.1096409574468085,0.7697127357587333,0.06741566492493398,0.07419171793763848
22,Cifar100,FedAvg,20,3.914292121269813,0.10970744680851063,0.7744503673147148,0.07229694219902331,0.06792000083769231
23,Cifar100,FedAvg,21,3.928990339822076,0.09986702127659575,0.7745791257913438,0.07571537766131131,0.06818710187426244
24,Cifar100,FedAvg,22,3.8583803586535446,0.11349734042553192,0.7798593325072503,0.07541792752356623,0.05977983218094003
25,Cifar100,FedAvg,23,3.9035163804944593,0.10871010638297872,0.7769199982473647,0.07512518258065222,0.06641526847647737
26,Cifar100,FedAvg,24,3.865442809968564,0.11409574468085107,0.7809488449011583,0.07124607114292238,0.06294682087201635
27,Cifar100,FedAvg,25,3.871386171669603,0.10731382978723404,0.7802958517364434,0.0697923274260081,0.06697961741218383
28,Cifar100,FedAvg,26,3.7928075151632052,0.1211436170212766,0.790620582634435,0.07193561548024247,0.05067415533686003
29,Cifar100,FedAvg,27,3.7834982864293982,0.11914893617021277,0.7930699261535405,0.06507625989173828,0.05317511593416191
30,Cifar100,FedAvg,28,3.8173815800747346,0.12007978723404256,0.7899771241032861,0.07418146157345971,0.057091417533156344
31,Cifar100,FedAvg,29,3.810791778646395,0.11675531914893617,0.7897743856114878,0.06624871700112624,0.05747980529520073
32,Cifar100,FedAvg,30,3.889054610777212,0.11183510638297872,0.7862172570566157,0.07070338342574159,0.061833212374477683
33,Cifar100,FedAvg,31,3.8760903823101143,0.11515957446808511,0.7846157963536685,0.0649405649552256,0.06398552484413302
34,Cifar100,FedAvg,32,3.8485024933345913,0.12034574468085106,0.7869972839842267,0.07280072050612625,0.06543717311410296
35,Cifar100,FedAvg,33,3.8191764874823115,0.12347074468085106,0.7896952666697437,0.07292042428667249,0.06260171129211205
36,Cifar100,FedAvg,34,3.8086258465478386,0.12659574468085105,0.7898244831094149,0.07306023548069308,0.061089227283068315
37,Cifar100,FedAvg,35,3.8237721121081325,0.12280585106382978,0.79125349861147,0.07159865535948494,0.05504488044686603
38,Cifar100,FedAvg,36,3.7779205960794084,0.1293218085106383,0.7955841447607391,0.07983852401652147,0.05318185751966734
39,Cifar100,FedAvg,37,3.8176222767835855,0.1266622340425532,0.7939760498057165,0.07224204377746028,0.056292227259782585
40,Cifar100,FedAvg,38,3.77038294663282,0.13430851063829788,0.7963700093645958,0.07047910037603566,0.055945368219521646
41,Cifar100,FedAvg,39,3.817249489888626,0.13277925531914894,0.7964560181265279,0.08197361398360058,0.055731145656577
42,Cifar100,FedAvg,40,3.787199216638904,0.13597074468085107,0.793945802135943,0.07704468832607111,0.056696309894099135
43,Cifar100,FedAvg,41,3.778525227293375,0.13331117021276595,0.7972775774574085,0.07574477991956043,0.056421436220846326
44,Cifar100,FedAvg,42,3.813484082640633,0.13158244680851064,0.7957819131465984,0.07706961336373136,0.05648504808183685
45,Cifar100,FedAvg,43,3.799104961183024,0.1310505319148936,0.7967533695195278,0.0766905283775672,0.05483855673508505
46,Cifar100,FedAvg,44,3.6855613940439147,0.14308510638297872,0.8026353806334888,0.07728390114482964,0.051094082289753456
47,Cifar100,FedAvg,45,3.699260270211382,0.13956117021276596,0.8034373105733424,0.07316139632214926,0.05142416715199512
48,Cifar100,FedAvg,46,3.6822306840489154,0.1363031914893617,0.8049748579708422,0.0673387323798887,0.040537257646197346
49,Cifar100,FedAvg,47,3.6572064965447235,0.14468085106382977,0.8060990240902052,0.07032294256861499,0.043742383811101314
50,Cifar100,FedAvg,48,3.706993802006469,0.1410904255319149,0.8046816242181821,0.07062869769929296,0.046700569025248634
51,Cifar100,FedAvg,49,3.7225748230529416,0.1410904255319149,0.8021015170890393,0.07574226583548804,0.051958450156012234
52,Cifar100,FedAvg,50,3.7960657613434083,0.1355718085106383,0.7986988626586837,0.07290499732221464,0.05558561156961137
53,Cifar100,FedAvg,51,3.746365512269796,0.14075797872340426,0.8038332581688898,0.07730834557377154,0.0501993766358046
54,Cifar100,FedAvg,52,3.6953767394885446,0.14547872340425533,0.8050572795107537,0.07403425323375724,0.04959083626724178
55,Cifar100,FedAvg,53,3.682233082550569,0.14694148936170212,0.8052145010171844,0.06937656831387029,0.05031399878843958
56,Cifar100,FedAvg,54,3.7266435051545397,0.14035904255319148,0.8015386504821822,0.0699044827128673,0.056517043087176484
57,Cifar100,FedAvg,55,3.7224845755442915,0.1386968085106383,0.8032864454655618,0.07714076924756838,0.05505675945645354
58,Cifar100,FedAvg,56,3.7054486848723887,0.14089095744680852,0.8046488255208822,0.0673282853686655,0.053497715007060125
59,Cifar100,FedAvg,57,3.7089870488179666,0.14315159574468084,0.8054584966363326,0.07117986987982625,0.05157608026947135
60,Cifar100,FedAvg,58,3.694828047140584,0.14315159574468084,0.8067448836948455,0.0726922996223459,0.046001652071338085
61,Cifar100,FedAvg,59,3.714291126597483,0.14574468085106382,0.8053526038175111,0.0651886715402563,0.04703330617966914
62,Cifar100,FedAvg,60,3.6777750189613814,0.14867021276595746,0.8069926271669353,0.07485923011307935,0.049952641429446394
63,Cifar100,FedAvg,61,3.6704519011786614,0.1466090425531915,0.808954339205083,0.07184709215325998,0.04112961285111562
64,Cifar100,FedAvg,62,3.6882939059417006,0.13716755319148935,0.8075651205002087,0.07449253348631647,0.047746141161300576
65,Cifar100,FedAvg,63,3.726879479637254,0.14035904255319148,0.8070328001901682,0.07828972889450203,0.04690743741718256
66,Cifar100,FedAvg,64,3.7548748688694835,0.1360372340425532,0.8057653542170533,0.07768232467991688,0.047481380995853924
67,Cifar100,FedAvg,65,3.6725767075621727,0.1464095744680851,0.8076894528464,0.06613864385443514,0.04468424256226558
68,Cifar100,FedAvg,66,3.6456217325850058,0.1545877659574468,0.8101360495266593,0.07397674546447108,0.045045240991367586
69,Cifar100,FedAvg,67,3.6148914528534766,0.14727393617021275,0.812333488159247,0.05927937657726295,0.04078478556735472
70,Cifar100,FedAvg,68,3.6415548207472104,0.14587765957446808,0.8120693563777779,0.06918451234733816,0.03893213703303423
71,Cifar100,FedAvg,69,3.6470326304813514,0.14694148936170212,0.8122161282645719,0.06564142349402477,0.04258695347264521
72,Cifar100,FedAvg,70,3.722392864662331,0.14002659574468085,0.808513380451252,0.07174612393561818,0.044054352094615425
73,Cifar100,FedAvg,71,3.6954673064410035,0.14840425531914894,0.8089485219518083,0.07342178648140278,0.045671667973283946
74,Cifar100,FedAvg,72,3.6512920206182877,0.14973404255319148,0.811067666982808,0.06423544416083114,0.041361646649490255
75,Cifar100,FedAvg,73,3.6771010458442785,0.14627659574468085,0.8111422583914766,0.06626933362258057,0.04174800264713721
