1,*********************,*********************
2,global_rounds,id_list
3,0,"[95, 24, 84, 99, 86, 82, 68, 75, 77, 30]"
4,1,"[92, 6, 18, 41, 86, 99, 97, 36, 7, 13]"
5,2,"[1, 66, 19, 39, 53, 26, 64, 28, 17, 92]"
6,3,"[51, 1, 73, 81, 79, 37, 45, 28, 10, 27]"
7,4,"[73, 93, 33, 78, 32, 4, 17, 80, 22, 35]"
8,5,"[81, 64, 82, 34, 70, 95, 2, 17, 53, 33]"
9,6,"[69, 28, 6, 76, 40, 52, 23, 44, 92, 98]"
10,7,"[11, 95, 5, 40, 22, 62, 59, 7, 89, 24]"
11,8,"[14, 88, 84, 15, 75, 22, 52, 34, 32, 69]"
12,9,"[4, 65, 16, 50, 91, 86, 81, 59, 40, 29]"
13,10,"[88, 47, 67, 33, 65, 27, 24, 54, 97, 98]"
14,11,"[70, 43, 99, 8, 59, 77, 36, 10, 55, 82]"
15,12,"[43, 35, 13, 6, 97, 20, 49, 44, 75, 77]"
16,13,"[61, 41, 80, 28, 16, 94, 71, 30, 43, 4]"
17,14,"[93, 13, 11, 77, 50, 0, 26, 89, 29, 65]"
18,15,"[92, 39, 96, 14, 90, 18, 69, 33, 80, 75]"
19,16,"[84, 4, 72, 62, 20, 47, 1, 17, 32, 53]"
20,17,"[42, 80, 36, 51, 43, 48, 94, 60, 28, 86]"
21,18,"[55, 98, 32, 27, 22, 15, 79, 41, 23, 37]"
22,19,"[10, 63, 46, 28, 61, 86, 66, 19, 47, 22]"
23,20,"[69, 1, 81, 98, 60, 72, 92, 73, 11, 68]"
24,21,"[44, 42, 35, 60, 21, 10, 4, 61, 26, 53]"
25,22,"[37, 11, 9, 65, 67, 29, 91, 64, 25, 74]"
26,23,"[10, 25, 27, 21, 90, 79, 69, 36, 19, 94]"
27,24,"[79, 63, 20, 24, 42, 26, 33, 87, 64, 46]"
28,25,"[32, 37, 1, 25, 29, 2, 83, 31, 30, 75]"
29,26,"[26, 83, 89, 72, 38, 58, 81, 53, 11, 4]"
30,27,"[76, 49, 33, 12, 81, 43, 23, 66, 83, 92]"
31,28,"[99, 62, 92, 20, 49, 76, 11, 50, 97, 35]"
32,29,"[17, 72, 27, 91, 62, 35, 32, 50, 45, 79]"
33,30,"[78, 83, 72, 79, 89, 65, 45, 42, 25, 54]"
34,31,"[89, 8, 92, 45, 67, 65, 21, 91, 23, 27]"
35,32,"[52, 32, 25, 88, 3, 89, 98, 94, 7, 82]"
36,33,"[46, 14, 10, 20, 78, 12, 39, 69, 76, 87]"
37,34,"[17, 7, 46, 22, 28, 63, 23, 36, 4, 77]"
38,35,"[49, 86, 18, 73, 12, 25, 42, 53, 6, 26]"
39,36,"[19, 8, 85, 81, 84, 29, 12, 15, 52, 10]"
40,37,"[30, 5, 90, 34, 55, 13, 56, 98, 85, 73]"
41,38,"[5, 94, 65, 25, 27, 56, 7, 17, 68, 6]"
42,39,"[1, 16, 66, 22, 9, 94, 13, 44, 53, 75]"
43,40,"[52, 85, 72, 48, 59, 25, 57, 15, 88, 71]"
44,41,"[82, 39, 80, 38, 26, 35, 84, 32, 47, 30]"
45,42,"[86, 52, 28, 80, 49, 44, 78, 45, 8, 64]"
46,43,"[95, 44, 73, 40, 25, 63, 72, 59, 19, 29]"
47,44,"[75, 9, 5, 70, 55, 84, 54, 97, 36, 90]"
48,45,"[75, 14, 48, 60, 81, 53, 74, 73, 98, 41]"
49,46,"[8, 30, 67, 70, 88, 14, 48, 45, 12, 29]"
50,47,"[32, 21, 47, 19, 79, 49, 76, 86, 61, 87]"
51,48,"[81, 2, 31, 25, 55, 79, 19, 85, 7, 24]"
52,49,"[93, 9, 28, 59, 29, 34, 76, 16, 94, 83]"
53,50,"[43, 68, 41, 49, 97, 93, 44, 91, 70, 22]"
54,51,"[52, 79, 53, 88, 91, 83, 7, 76, 30, 17]"
55,52,"[8, 20, 89, 6, 69, 84, 19, 68, 47, 90]"
56,53,"[11, 8, 24, 81, 20, 95, 57, 52, 36, 3]"
57,54,"[45, 84, 1, 64, 44, 47, 2, 37, 53, 16]"
58,55,"[75, 25, 64, 16, 55, 46, 53, 20, 95, 97]"
59,56,"[81, 83, 92, 17, 15, 35, 34, 5, 56, 38]"
60,57,"[59, 66, 51, 2, 67, 94, 11, 58, 20, 22]"
61,58,"[88, 34, 2, 5, 39, 14, 20, 45, 81, 0]"
62,59,"[76, 37, 87, 36, 19, 7, 12, 15, 57, 84]"
63,60,"[63, 52, 92, 69, 17, 35, 39, 14, 57, 13]"
64,61,"[33, 26, 43, 61, 47, 54, 90, 24, 75, 14]"
65,62,"[11, 66, 42, 89, 68, 95, 67, 2, 37, 26]"
66,63,"[90, 14, 29, 56, 34, 41, 88, 26, 25, 16]"
67,64,"[51, 90, 65, 66, 23, 72, 94, 93, 35, 80]"
68,65,"[21, 12, 97, 88, 53, 56, 72, 0, 95, 54]"
69,66,"[97, 39, 14, 44, 95, 57, 93, 81, 30, 25]"
70,67,"[59, 64, 25, 10, 98, 77, 96, 60, 52, 50]"
71,68,"[69, 64, 8, 91, 57, 81, 68, 24, 19, 40]"
72,69,"[62, 73, 39, 61, 69, 19, 53, 4, 12, 22]"
73,70,"[73, 0, 37, 3, 12, 32, 10, 29, 70, 61]"
74,71,"[73, 10, 53, 66, 40, 64, 49, 57, 78, 95]"
75,72,"[50, 8, 7, 45, 76, 67, 16, 24, 52, 42]"
76,73,"[12, 77, 47, 62, 79, 7, 16, 50, 91, 80]"
77,74,"[4, 13, 1, 24, 89, 74, 17, 42, 54, 64]"
78,75,"[33, 43, 69, 56, 20, 18, 89, 23, 7, 61]"
79,76,"[97, 75, 32, 82, 76, 25, 55, 90, 71, 27]"
80,77,"[53, 42, 0, 35, 56, 39, 21, 90, 95, 31]"
81,78,"[68, 33, 7, 47, 45, 85, 87, 88, 8, 97]"
82,79,"[56, 4, 40, 86, 22, 95, 81, 66, 33, 29]"
83,80,"[79, 2, 35, 87, 33, 68, 85, 22, 28, 73]"
84,81,"[12, 38, 24, 28, 32, 79, 94, 9, 78, 22]"
85,82,"[93, 33, 72, 61, 85, 18, 59, 52, 70, 62]"
86,83,"[62, 95, 93, 43, 99, 98, 3, 69, 61, 54]"
87,84,"[90, 4, 45, 46, 32, 65, 73, 34, 1, 91]"
88,85,"[55, 20, 19, 31, 89, 51, 41, 15, 5, 94]"
